country;score;rank;process;government;participation;culture;liberties;type
Norway;9.87;1;10.00;9.64;10.00;10.00;9.71;FullD
Iceland;9.58;2;10.00;9.29;8.89;10.00;9.71;FullD
Sweden;9.39;3;9.58;9.64;8.33;10.00;9.41;FullD
New Zealand;9.26;4;10.00;9.29;8.89;8.13;10.00;FullD
Finland;9.25;5;10.00;8.93;8.89;8.75;9.71;FullD
Ireland;9.24;6;10.00;7.86;8.33;10.00;10.00;FullD
Denmark;9.22;7;10.00;9.29;8.33;9.38;9.12;FullD
Canada;9.22;7;9.58;9.64;7.78;9.38;9.71;FullD
Australia;9.09;9;10.00;8.93;7.78;8.75;10.00;FullD
Switzerland;9.03;10;9.58;9.29;7.78;9.38;9.12;FullD
Netherlands;9.01;11;9.58;9.29;8.33;8.75;9.12;FullD
Luxembourg;8.81;12;10.00;8.93;6.67;8.75;9.71;FullD
Germany;8.68;13;9.58;8.57;8.33;7.50;9.41;FullD
United Kingdom;8.52;14;9.58;7.50;8.89;7.50;9.12;FullD
Uruguay;8.38;15;10.00;8.57;6.11;7.50;9.71;FullD
Austria;8.29;16;9.58;7.86;8.33;6.88;8.82;FullD
Spain;8.29;16;9.58;7.14;7.78;8.13;8.82;FullD
Mauritius;8.22;18;9.17;8.21;5.56;8.75;9.41;FullD
Costa Rica;8.13;19;9.58;7.50;6.67;7.50;9.41;FullD
France;8.12;20;9.58;7.86;7.78;6.88;8.53;FullD
Chile;8.08;21;9.58;8.57;5.00;8.13;9.12;FullD
Portugal;8.03;22;9.58;7.86;6.11;7.50;9.12;FullD
South Korea;8.00;23;9.17;7.86;7.22;7.50;8.24;FlawedD
Japan;7.99;24;8.75;8.21;6.67;7.50;8.82;FlawedD
United States of America;7.96;25;9.17;7.14;7.78;7.50;8.24;FlawedD
Malta;7.95;26;9.17;7.50;6.11;8.13;8.82;FlawedD
Estonia;7.90;27;9.58;7.86;6.67;6.88;8.53;FlawedD
Israel;7.86;28;9.17;7.86;8.89;7.50;5.88;FlawedD
Botswana;7.81;29;9.17;7.14;6.11;7.50;9.12;FlawedD
Cabo Verde;7.78;30;9.17;7.36;6.67;6.88;8.82;FlawedD
Taiwan;7.73;31;9.58;8.21;6.11;5.63;9.12;FlawedD
Czech Republic;7.69;32;9.58;6.79;6.67;6.88;8.53;FlawedD
Belgium;7.64;33;9.58;8.21;5.00;6.88;8.53;FlawedD
Cyprus;7.59;34;9.17;6.43;6.67;6.88;8.82;FlawedD
Italy;7.52;35;9.58;6.07;7.78;6.25;7.94;FlawedD
Slovenia;7.50;36;9.58;6.79;6.67;6.25;8.24;FlawedD
Lithuania;7.50;36;9.58;6.43;6.11;6.25;9.12;FlawedD
Latvia;7.49;38;9.58;6.07;6.11;6.88;8.82;FlawedD
Greece;7.43;39;9.58;4.86;6.67;7.50;8.53;FlawedD
South Africa;7.24;40;7.42;7.50;8.33;5.00;7.94;FlawedD
Timor-Leste;7.19;41;9.58;6.29;5.56;6.88;7.65;FlawedD
Slovakia;7.17;42;9.58;7.14;5.56;5.63;7.94;FlawedD
Malaysia;7.16;43;9.17;7.86;6.67;6.25;5.88;FlawedD
Trinidad and Tobago;7.16;43;9.58;7.14;6.11;5.63;7.35;FlawedD
Colombia;7.13;45;9.17;6.79;5.56;5.63;8.53;FlawedD
Panama;7.05;46;9.58;6.07;6.67;5.00;7.94;FlawedD
Bulgaria;7.03;47;9.17;6.43;7.22;4.38;7.94;FlawedD
Argentina;7.02;48;9.17;5.36;6.11;6.25;8.24;FlawedD
Suriname;6.98;49;9.17;6.43;6.67;5.00;7.65;FlawedD
Jamaica;6.96;50;8.75;7.14;4.44;6.25;8.24;FlawedD
India;6.90;51;8.67;6.79;6.67;5.63;6.76;FlawedD
Brazil;6.86;52;9.58;5.36;6.11;5.00;8.24;FlawedD
Tunisia;6.72;53;9.17;5.71;7.22;5.63;5.88;FlawedD
Philippines;6.64;54;9.17;5.36;7.22;4.38;7.06;FlawedD
Ghana;6.63;55;8.33;5.71;6.67;6.25;6.18;FlawedD
