day;bikes;zb;dist.total;ga;gd;sop;tczew;rumia;s10111;s10111d;s10112;s10112d;zstat;sstat;gd0p;ga0p;sop0p;tczew0p;rumia0p;gd1p;ga1p;sop1p;tczew1p;rumia1p
2019-04-13;626;162;6672.3;1072.2;4746.5;498.2;141.9;82.2;0.25;0.20;0.56;0.61;65.24;84.25;72.60;66.06;55.85;39.08;61.43;90.65;85.18;75.30;64.10;84.99
2019-04-14;616;137;7167.6;1165.5;4915.8;655.0;160.5;66.8;0.95;0.71;1.45;1.82;65.77;85.63;73.06;68.26;50.71;42.85;55.58;91.35;88.26;76.68;68.92;85.92
2019-04-15;663;186;9726.2;1625.5;6789.3;629.9;231.6;135.0;0.31;0.42;0.48;0.63;67.91;87.03;74.27;70.61;61.14;47.23;62.33;91.60;90.78;89.13;69.54;87.40
2019-04-16;690;173;10694.7;1747.3;7464.2;710.8;250.1;167.2;0.34;0.45;0.27;0.36;68.61;86.60;73.63;73.47;68.01;45.05;68.10;91.45;91.17;89.68;65.89;85.32
2019-04-17;805;193;12744.9;2618.0;8456.5;763.6;319.2;148.8;0.08;0.05;0.57;0.62;66.86;85.42;73.65;65.09;66.64;48.48;67.87;91.95;84.40;88.08;72.89;81.88
2019-04-18;770;130;13744.3;2927.1;9159.0;825.0;297.6;134.1;0.57;0.48;0.70;0.91;64.04;84.05;71.62;57.11;65.26;51.88;65.46;89.48;80.75;90.20;75.96;83.82
2019-04-19;821;142;11275.9;2202.8;7550.6;654.0;271.0;160.6;0.48;0.56;0.61;0.81;60.54;82.44;66.57;57.62;57.79;54.14;60.24;86.70;82.61;81.37;76.25;86.87
2019-04-20;804;171;6500.1;1422.5;4184.2;424.9;174.6;103.4;0.70;0.61;1.26;1.50;55.75;78.92;61.55;57.40;37.50;45.81;46.49;83.88;81.21;64.37;69.23;78.02
2019-04-21;799;277;3913.2;865.3;2395.7;336.9;117.5;77.9;3.26;3.63;1.73;1.76;53.42;76.68;58.88;56.24;31.36;43.67;40.75;81.43;80.44;58.24;66.16;74.85
2019-04-22;799;223;6059.9;1238.6;3818.7;625.1;128.9;78.3;4.39;3.96;1.37;1.49;56.04;78.39;61.35;60.24;28.79;45.83;50.34;83.26;83.06;51.80;67.69;80.30
2019-04-23;850;158;11366.0;1954.2;7739.4;766.7;273.8;194.5;3.99;3.83;1.97;1.48;58.67;80.14;64.21;63.51;34.00;46.74;54.27;84.23;84.97;60.71;72.11;83.22
