date;Gd;Ga;PGd;Rumia;Sop;Tczew;status
2019-05-01 00:00;68.3;178.1;1698.3;1397.3;934.8;1383.0;13
2019-05-01 01:00;70.2;235.6;1787.8;1491.4;939.3;1282.4;13
2019-05-01 02:00;72.6;232.5;1794.5;1428.6;1058.5;1255.1;13
2019-05-01 03:00;74.2;234.7;1710.7;1301.9;1147.5;1228.7;13
2019-05-01 04:00;80.7;248.6;1644.6;1233.9;1168.3;1230.5;13
2019-05-01 05:00;77.2;244.1;1696.4;1232.0;1087.0;1222.6;13
2019-05-01 06:00;73.9;247.8;1467.3;1250.1;1044.2;1229.2;13
2019-05-01 07:00;89.4;267.2;1405.5;1243.1;858.3;1260.2;13
2019-05-01 08:00;127.6;276.7;1744.2;1048.5;780.9;1355.3;13
2019-05-01 09:00;149.2;336.6;1587.3;999.3;952.5;1540.4;13
2019-05-01 10:00;163.9;448.6;1601.8;1245.0;1257.3;2884.3;13
2019-05-01 11:00;221.3;362.9;1949.5;1281.9;1992.1;2361.1;13
2019-05-01 12:00;239.5;431.4;1962.2;2171.9;1338.5;2569.8;13
2019-05-01 13:00;233.0;388.4;2069.4;2297.6;2132.5;2865.4;13
2019-05-01 14:00;104.4;395.0;1273.2;2002.8;1482.2;1933.1;13
2019-05-01 15:00;103.3;340.8;1280.5;1606.1;1550.7;1382.4;13
2019-05-01 16:00;66.7;294.1;1292.6;1327.9;1060.1;1306.3;13
2019-05-01 17:00;66.0;258.6;1261.5;1624.1;1007.3;1519.1;13
2019-05-01 18:00;81.2;274.3;1496.1;1441.9;1489.7;1568.8;13
2019-05-01 19:00;105.3;257.0;1050.2;2110.5;1892.5;2233.1;13
2019-05-01 20:00;85.2;223.4;1098.0;1934.9;1898.1;1962.8;13
2019-05-01 21:00;83.8;178.3;1026.3;2498.6;1360.4;1458.5;13
2019-05-01 22:00;71.5;188.1;1102.2;2553.0;891.0;1232.5;13
2019-05-01 23:00;65.4;180.2;1019.6;2289.7;863.9;1038.4;13
2019-05-02 00:00;44.5;177.3;937.5;1801.2;904.3;874.7;4
2019-05-02 01:00;42.7;175.8;957.9;1972.8;956.3;878.1;4
2019-05-02 02:00;41.3;173.1;937.5;2032.0;945.1;899.1;4
2019-05-02 03:00;41.1;175.3;946.3;2032.0;939.1;909.1;4
2019-05-02 04:00;41.8;174.7;978.6;2034.5;927.6;982.4;4
2019-05-02 05:00;47.5;187.1;1008.1;2092.0;975.5;1352.7;4
2019-05-02 06:00;88.0;186.2;955.4;2187.5;970.4;2141.9;4
2019-05-02 07:00;155.5;189.0;1018.6;2410.5;935.4;2235.9;4
2019-05-02 08:00;234.7;222.4;1240.3;2504.2;1015.3;2338.0;4
2019-05-02 09:00;301.2;218.6;1179.1;2408.5;1270.6;1795.7;4
2019-05-02 10:00;300.5;204.3;1160.1;2229.0;1781.8;1395.4;4
2019-05-02 11:00;340.0;221.6;1164.8;2593.4;1325.6;1168.7;4
2019-05-02 12:00;294.8;259.0;1345.3;2792.6;1439.6;917.5;4
2019-05-02 13:00;206.3;236.8;1257.1;2716.4;1254.2;1032.9;4
2019-05-02 14:00;122.1;208.8;1389.7;2518.3;890.8;990.8;4
2019-05-02 15:00;69.7;190.8;1482.9;2444.4;929.3;963.2;4
2019-05-02 16:00;61.9;174.2;1356.2;2025.6;954.8;941.3;4
2019-05-02 17:00;76.8;226.8;1510.4;1704.4;1146.6;835.7;4
2019-05-02 18:00;114.6;212.2;1560.6;1603.9;1051.1;779.0;4
2019-05-02 19:00;85.6;215.8;1283.3;1365.8;1114.7;806.6;4
2019-05-02 20:00;70.6;179.3;1237.5;1324.6;1505.9;785.0;4
2019-05-02 21:00;74.9;207.5;1416.5;1287.8;1495.1;891.0;4
2019-05-02 22:00;79.0;209.4;1058.3;1258.0;1056.9;883.1;4
2019-05-02 23:00;74.2;193.7;1022.2;1408.8;783.6;680.9;4
2019-05-03 00:00;64.4;200.5;1083.6;1425.2;723.2;639.4;15
2019-05-03 01:00;56.2;194.9;1206.5;1605.3;625.6;632.3;15
2019-05-03 02:00;55.8;188.9;1230.8;1644.6;638.3;630.2;15
2019-05-03 03:00;57.5;190.4;1201.0;1644.6;641.2;630.2;15
2019-05-03 04:00;61.1;194.8;1201.0;1644.6;658.7;631.7;15
2019-05-03 05:00;65.9;199.6;1201.0;1655.2;677.1;618.7;15
2019-05-03 06:00;70.4;194.3;1190.8;1606.8;666.7;656.5;15
