id;coords;city
10100;54.44534256 18.57092997;SP
10101;54.45728166 18.55307937;SP
10102;54.42587193 18.57779023;SP
10103;54.43072914 18.58645013;SP
10105;54.43506353 18.57211772;SP
10106;54.43063135 18.56594548;SP
10107;54.42989104 18.56326330;SP
10108;54.43062174 18.56161546;SP
10109;54.43362230 18.56127717;SP
10110;54.43637669 18.55187650;SP
10111;54.43932080 18.54699960;SP
10112;54.44214462 18.55696979;SP
10113;54.44774773 18.54074432;SP
10114;54.44087973 18.56152141;SP
10115;54.44297529 18.56317824;SP
10116;54.44000498 18.56421950;SP
10117;54.43928602 18.56329294;SP
10118;54.43578246 18.56711664;SP
10119;54.43849661 18.57277545;SP
10120;54.44253608 18.57048040;SP
10121;54.45392821 18.56255831;SP
10122;54.44873505 18.56223673;SP
10123;54.44577509 18.56821701;SP
10124;54.44402841 18.56614844;SP
10125;54.45400068 18.54905820;SP
10126;54.45749582 18.53485420;SP
10127;54.45843102 18.54742349;SP
10200;54.09633981 18.78973436;TC
10201;54.10064778 18.77207054;TC
10202;54.09857003 18.76443392;TC
10203;54.09724756 18.75979854;TC
10204;54.09562804 18.76496064;TC
10205;54.09175525 18.76207742;TC
10206;54.08959162 18.76730608;TC
10207;54.08886433 18.77235263;TC
10208;54.07330264 18.77438017;TC
10209;54.06780682 18.76763564;TC
10210;54.08372203 18.77735855;TC
10211;54.08823115 18.78293222;TC
10212;54.08843786 18.78798850;TC
10213;54.08569605 18.79335955;TC
10214;54.07756452 18.78943546;TC
10215;54.07731383 18.80039483;TC
10216;54.07511039 18.80626013;TC
10217;54.08220586 18.80220596;TC
10218;54.08715189 18.79959240;TC
10219;54.08691270 18.79538979;TC
10220;54.09067869 18.80241597;TC
10221;54.10286204 18.80287085;TC
10222;54.09589279 18.79302787;TC
10223;54.09361670 18.78620479;TC
10224;54.09293608 18.78166082;TC
10225;54.09694075 18.78160330;TC
10226;54.10076563 18.77969609;TC
10227;54.09570198 18.77540786;TC
10300;54.56892846 18.38788854;RU
10301;54.55855249 18.40562481;RU
10302;54.56123416 18.41360784;RU
10303;54.56604762 18.41671641;RU
10304;54.56802789 18.41189482;RU
10305;54.57351403 18.41569203;RU
10306;54.57552452 18.40865942;RU
10307;54.57796160 18.40018586;RU
10308;54.58367838 18.39501150;RU
10309;54.58222405 18.38627280;RU
10310;54.57786252 18.39168809;RU
10311;54.57468171 18.38735874;RU
10312;54.57382776 18.39511416;RU
10313;54.56960106 18.39213912;RU
10314;54.56865770 18.38667767;RU
10315;54.56264630 18.38548701;RU
10316;54.56514300 18.39214002;RU
10317;54.56740131 18.39843853;RU
10318;54.57307608 18.40028323;RU
10319;54.56756218 18.40656013;RU
10320;54.56412266 18.40998649;RU
10321;54.56328493 18.40528003;RU
10322;54.55967394 18.40522063;RU
10400;54.25844656 18.64546242;PG
10401;54.26799415 18.62815703;PG
10402;54.26002532 18.63389281;PG
10403;54.25757770 18.63309230;PG
10404;54.25257893 18.62875935;PG
10405;54.24079074 18.61662711;PG
10406;54.24936676 18.63776343;PG
10407;54.25468628 18.63698560;PG
10408;54.26108415 18.63812214;PG
10409;54.25838706 18.64782575;PG
10410;54.24667882 18.65135160;PG
10411;54.25727379 18.65997955;PG
10412;54.26022317 18.67302835;PG
10413;54.26444093 18.66911690;PG
10414;54.26356962 18.66455846;PG
10415;54.26112325 18.65069910;PG
10416;54.26248346 18.63640583;PG
10417;54.27005691 18.63826276;PG
10500;54.59530444 18.35349920;RE
10501;54.63151154 18.36214700;RE
10502;54.62599237 18.35250467;RE
10503;54.61587418 18.34574959;RE
10504;54.61387866 18.33342539;RE
10505;54.60436990 18.31839728;RE
10506;54.61087803 18.35286758;RE
10507;54.59674230 18.34444455;RE
10509;54.59551275 18.35243446;RE
10510;54.60680261 18.36340540;RE
10511;54.60504915 18.35570927;RE
10512;54.60334004 18.35060018;RE
10513;54.60233271 18.35571119;RE
10514;54.60006688 18.35208686;RE
10515;54.59743770 18.35596490;RE
10516;54.59480017 18.36117085;RE
10600;54.33393721 18.19567796;KT
10601;54.34037230 18.20224871;KT
10602;54.33595048 18.19122167;KT
10603;54.33437070 18.20592941;KT
10604;54.32597071 18.19446964;KT
10700;54.71602639 18.40898973;PU
10701;54.71944712 18.40018374;PU
10702;54.72454154 18.40274445;PU
10703;54.72072360 18.41147760;PU
10704;54.72035753 18.41152672;PU
10705;54.72290793 18.41003048;PU
10706;54.72114488 18.41847424;PU
10707;54.71523433 18.43042894;PU
10708;54.71294454 18.42043880;PU
10709;54.71397762 18.41573041;PU
10710;54.71041704 18.41169214;PU
10711;54.71167190 18.40339780;PU
10712;54.71676489 18.40366774;PU
10713;54.70971667 18.39580677;PU
10800;54.79343906 18.39882739;WW
10801;54.79407796 18.40921353;WW
10802;54.79395280 18.41633141;WW
10803;54.78940441 18.41455152;WW
10910;54.34995872 17.89664845;SI
10911;54.34514639 17.89312795;SI
10912;54.34932632 17.89106698;SI
10920;54.34385092 18.36397120;ZU
10921;54.34266998 18.35946707;ZU
10930;54.27187652 18.19492518;SO
10931;54.25465105 18.11438805;SO
10940;54.21356336 18.03818710;ST
10941;54.20964354 17.95652395;ST
11001;54.38120649 18.60545106;GD
11002;54.37454967 18.62722406;GD
11003;54.38947612 18.59372332;GD
11004;54.39127180 18.57778982;GD
11005;54.40189596 18.57625421;GD
11006;54.41099001 18.57252451;GD
11007;54.42081020 18.57016036;GD
11008;54.36495232 18.57296017;GD
11009;54.35332743 18.54955578;GD
11010;54.35533586 18.52827547;GD
11011;54.35631078 18.64304021;GD
11012;54.34760275 18.64447902;GD
11013;54.32274966 18.60502167;GD
11014;54.38255587 18.46711809;GD
11015;54.37399186 18.50616959;GD
11016;54.35554594 18.64512656;GD
11017;54.37720224 18.57177233;GD
11018;54.40108751 18.67152089;GD
11019;54.39943032 18.66930692;GD
11020;54.40303687 18.65535296;GD
11021;54.40032086 18.66138045;GD
11022;54.40504470 18.64370729;GD
11023;54.40669825 18.63849979;GD
11024;54.40301351 18.63935395;GD
11025;54.40417609 18.63321932;GD
11026;54.35035993 18.64826963;GD
11027;54.37789212 18.60722541;GD
11029;54.40633977 18.63194160;GD
11030;54.40409936 18.62837656;GD
11031;54.40806313 18.62724946;GD
11032;54.40461000 18.62475800;GD
11033;54.41119057 18.62899765;GD
11034;54.40810288 18.58978841;GD
11035;54.40446951 18.61229380;GD
11036;54.38886848 18.64951413;GD
11037;54.40423622 18.59215221;GD
11038;54.40250535 18.61081575;GD
11039;54.40920324 18.59761493;GD
11040;54.39717350 18.59689283;GD
11041;54.39933958 18.60731286;GD
11042;54.40547504 18.59963311;GD
11043;54.41500894 18.60115686;GD
11044;54.41339761 18.62368134;GD
