rok;nrt;interwencje;in;zng;zngn;zp;zpn;znk;znkn;wypadki;wn;zabici;zn;ranni;rn;d1;d7
2008;48;NA;NA;4542;6;2015;6;2183;6;789;6;77;6;739;6;2008-12-01;2008-12-06
2008;49;NA;NA;5518;7;2670;7;2450;7;867;7;102;7;1035;7;2008-12-07;2008-12-13
2008;50;NA;NA;4825;7;2485;7;2026;7;1011;7;86;7;1260;7;2008-12-15;2008-12-19
2008;51;NA;NA;1357;2;489;2;692;2;174;2;26;2;243;2;2008-12-21;2008-12-27
2008;52;NA;NA;3278;6;1414;6;1491;6;448;6;51;6;567;6;2008-12-28;2009-01-03
2009;01;NA;NA;3344;7;2072;7;1409;7;548;7;48;7;714;7;2009-01-04;2009-01-09
2009;02;NA;NA;4866;7;2407;7;2198;7;627;7;64;7;778;7;2009-01-11;2009-01-17
2009;03;NA;NA;4778;7;2458;7;2094;7;670;7;79;7;869;7;2009-01-18;2009-01-23
2009;04;NA;NA;4926;7;2602;7;2070;7;609;7;63;7;780;7;2009-01-25;2009-01-31
2009;05;NA;NA;5038;7;2249;7;2241;7;658;7;68;7;830;7;2009-02-01;2009-02-06
2009;06;NA;NA;5557;7;2298;7;2550;7;725;7;61;7;957;7;2009-02-08;2009-02-14
2009;07;NA;NA;4369;7;2253;7;1858;7;486;7;44;7;645;7;2009-02-15;2009-02-21
2009;08;NA;NA;5183;7;2356;7;2226;7;508;7;51;7;632;7;2009-02-22;2009-02-28
2009;09;NA;NA;5128;7;2199;7;2539;7;559;7;55;7;663;7;2009-03-01;2009-03-07
2009;10;NA;NA;5981;7;2400;7;2730;7;600;7;53;7;741;7;2009-03-08;2009-03-14
2009;11;NA;NA;6144;7;2500;7;2555;7;596;7;58;7;736;7;2009-03-15;2009-03-21
2009;12;NA;NA;5758;7;2336;7;2538;7;621;7;56;7;802;7;2009-03-22;2009-03-28
2009;13;NA;NA;6618;7;2243;7;3187;7;764;7;59;7;926;7;2009-03-29;2009-04-04
2009;14;NA;NA;7277;7;2320;7;3778;7;768;7;67;7;1016;7;2009-04-05;2009-04-11
2009;15;NA;NA;6060;7;2257;7;3200;7;666;7;55;7;859;7;2009-04-12;2009-04-18
2009;16;NA;NA;6157;7;2204;7;3242;7;767;7;66;7;953;7;2009-04-19;2009-04-24
2009;17;NA;NA;6218;7;2077;7;3270;7;840;7;104;7;1050;7;2009-04-26;2009-05-02
2009;18;NA;NA;6060;7;1999;7;3103;7;708;7;61;7;884;7;2009-05-03;2009-05-09
2009;19;NA;NA;6370;7;2291;7;3283;7;798;7;63;7;1038;7;2009-05-10;2009-05-16
2009;20;NA;NA;6501;7;2331;7;3422;7;812;7;63;7;1031;7;2009-05-17;2009-05-23
2009;21;NA;NA;5837;7;2238;7;3072;7;828;7;60;7;1080;7;2009-05-24;2009-05-30
2009;22;NA;NA;6535;7;2137;7;3413;7;757;7;64;7;946;7;2009-05-31;2009-06-06
2009;23;NA;NA;6923;7;2014;7;3910;7;833;7;87;7;1121;7;2009-06-07;2009-06-13
2009;24;NA;NA;6466;7;2254;7;3344;7;844;7;74;7;1096;7;2009-06-14;2009-06-20
2009;25;NA;NA;6363;7;2178;7;3373;7;792;7;78;7;1018;7;2009-06-21;2009-06-27
2009;26;NA;NA;6543;7;1992;7;3668;7;860;7;63;7;1138;7;2009-06-28;2009-07-04
2009;27;NA;NA;7005;7;2178;7;3846;7;846;7;92;7;1163;7;2009-07-05;2009-07-11
2009;28;NA;NA;7124;7;2085;7;4097;7;851;7;91;7;1138;7;2009-07-12;2009-07-18
2009;29;NA;NA;6369;7;1946;7;3595;7;967;7;109;7;1342;7;2009-07-19;2009-07-25
2009;30;NA;NA;6210;7;2171;7;3345;7;807;7;79;7;1064;7;2009-07-26;2009-08-01
2009;31;NA;NA;6819;7;1939;7;3954;7;860;7;83;7;1188;7;2009-08-02;2009-08-08
2009;32;NA;NA;6486;7;2085;7;3513;7;840;7;91;7;1115;7;2009-08-09;2009-08-15
2009;33;NA;NA;6459;7;2017;7;3668;7;842;7;93;7;1083;7;2009-08-16;2009-08-22
2009;34;NA;NA;5730;7;2079;7;3215;7;749;7;65;7;941;7;2009-08-23;2009-08-29
2009;35;NA;NA;7038;7;2135;7;3933;7;992;7;86;7;1266;7;2009-08-30;2009-09-05
2009;36;NA;NA;6649;7;2230;7;3772;7;827;7;73;7;1068;7;2009-09-06;2009-09-12
2009;37;NA;NA;6211;7;2293;7;3389;7;844;7;90;7;979;7;2009-09-13;2009-09-19
2009;38;NA;NA;6476;7;2506;7;3414;7;847;7;85;7;1106;7;2009-09-20;2009-09-26
2009;39;NA;NA;5215;7;2014;7;2602;7;809;7;65;7;1008;7;2009-09-27;2009-10-03
2009;40;NA;NA;5925;6;2021;6;3184;6;822;6;96;6;1004;6;2009-10-05;2009-10-10
2009;41;NA;NA;5966;7;2178;7;3077;7;1036;7;103;7;1326;7;2009-10-11;2009-10-17
2009;42;NA;NA;5931;7;2398;7;3062;7;745;7;73;7;921;7;2009-10-18;2009-10-24
2009;43;NA;NA;5833;7;2583;7;2797;7;817;7;87;7;989;7;2009-10-25;2009-10-31
2009;44;NA;NA;4969;7;2160;7;2350;7;715;7;59;7;878;7;2009-11-01;2009-11-07
2009;45;NA;NA;5901;7;2041;7;2875;7;831;7;93;7;1019;7;2009-11-08;2009-11-14
2009;46;NA;NA;5677;7;2361;7;2615;7;739;7;76;7;869;7;2009-11-15;2009-11-21
2009;47;NA;NA;5684;7;2542;7;2639;7;804;7;98;7;932;7;2009-11-22;2009-11-28
2009;48;NA;NA;5789;7;2163;7;2759;7;796;7;95;7;990;7;2009-11-29;2009-12-05
2009;49;NA;NA;5591;7;2317;7;2642;7;814;7;102;7;926;7;2009-12-06;2009-12-12
2009;50;NA;NA;4256;7;2148;7;1723;7;614;7;54;7;742;7;2009-12-13;2009-12-19
2009;51;NA;NA;3506;7;1700;7;1527;7;613;7;64;7;760;7;2009-12-20;2009-12-26
2009;52;NA;NA;4134;7;2061;7;1745;7;531;7;54;7;724;7;2009-12-27;2010-01-02
2010;01;NA;NA;2980;6;1954;6;1046;6;360;6;23;6;468;6;2010-01-03;2010-01-09
2010;02;NA;NA;3938;7;2240;7;1337;7;404;7;29;7;519;7;2010-01-10;2010-01-16
2010;03;NA;NA;3707;7;2403;7;1271;7;411;7;36;7;493;7;2010-01-17;2010-01-23
2010;04;NA;NA;3332;7;2234;7;1132;7;422;7;39;7;559;7;2010-01-24;2010-01-30
2010;05;NA;NA;4667;7;2385;7;1684;7;452;7;32;7;600;7;2010-01-31;2010-02-06
2010;06;NA;NA;4657;7;2346;7;1590;7;415;7;34;7;524;7;2010-02-07;2010-02-13
2010;07;NA;NA;4959;7;2317;7;1778;7;394;7;29;7;525;7;2010-02-14;2010-02-20
2010;08;NA;NA;5024;7;2517;7;2638;7;488;7;44;7;646;7;2010-02-21;2010-02-27
2010;09;NA;NA;5928;7;2146;7;2646;7;550;7;43;7;720;7;2010-02-28;2010-03-06
2010;10;NA;NA;6268;7;2317;7;2776;7;457;7;34;7;561;7;2010-03-07;2010-03-13
2010;11;NA;NA;6640;7;2357;7;2982;7;538;7;51;7;674;7;2010-03-14;2010-03-20
2010;12;NA;NA;7105;7;2452;7;3230;7;565;7;55;7;672;7;2010-03-21;2010-03-27
2010;13;NA;NA;6539;7;2452;7;3082;7;617;7;60;7;743;7;2010-03-28;2010-04-03
2010;14;NA;NA;6346;7;1948;7;3145;7;488;7;47;7;634;7;2010-04-04;2010-04-10
2010;15;NA;NA;6195;7;2184;7;2985;7;509;7;41;7;617;7;2010-04-11;2010-04-17
2010;16;NA;NA;6405;7;2249;7;3316;7;611;7;58;7;747;7;2010-04-18;2010-04-24
2010;17;NA;NA;6463;7;2292;7;3342;7;790;7;50;7;956;7;2010-04-25;2010-05-01
2010;18;NA;NA;6307;7;1730;7;3336;7;637;7;54;7;845;7;2010-05-02;2010-05-08
2010;19;NA;NA;6394;7;2064;7;3316;7;695;7;59;7;893;7;2010-05-09;2010-05-15
2010;20;NA;NA;5662;7;2065;7;2804;7;673;7;57;7;871;7;2010-05-16;2010-05-22
2010;21;NA;NA;6137;7;2137;7;3104;7;768;7;46;7;948;7;2010-05-23;2010-05-29
2010;22;NA;NA;6043;7;1783;7;3246;7;727;7;50;7;929;7;2010-05-30;2010-06-05
2010;23;NA;NA;6903;7;2045;7;3699;7;825;7;64;7;1001;7;2010-06-06;2010-06-12
2010;24;NA;NA;6240;7;2200;7;3135;7;888;7;76;7;1134;7;2010-06-13;2010-06-19
2010;25;NA;NA;6784;7;2256;7;3526;7;827;7;65;7;1048;7;2010-06-20;2010-06-26
2010;26;NA;NA;6485;7;1850;7;3479;7;934;7;86;7;1182;7;2010-06-27;2010-07-03
2010;27;NA;NA;7022;7;2096;7;3796;7;832;7;69;7;1076;7;2010-07-04;2010-07-10
2010;28;NA;NA;6825;7;2049;7;3295;7;846;7;87;7;1133;7;2010-07-11;2010-07-16
2010;29;NA;NA;5203;6;1814;6;2499;6;652;6;60;6;875;6;2010-07-18;2010-07-24
2010;30;NA;NA;5660;7;1974;7;2908;7;782;7;74;7;1021;7;2010-07-25;2010-07-31
2010;31;NA;NA;6396;7;1924;7;3406;7;813;7;87;7;1048;7;2010-08-01;2010-08-07
2010;32;NA;NA;7139;7;2126;7;4031;7;833;7;94;7;1076;7;2010-08-08;2010-08-14
2010;33;NA;NA;6558;7;2011;7;3626;7;870;7;82;7;1134;7;2010-08-15;2010-08-21
2010;34;NA;NA;6361;7;2130;7;3325;7;877;7;91;7;1131;7;2010-08-22;2010-08-28
2010;35;NA;NA;5538;7;2178;7;2701;7;800;7;102;7;1017;7;2010-08-29;2010-09-04
2010;36;NA;NA;6310;7;2159;7;3212;7;801;7;93;7;996;7;2010-09-05;2010-09-11
2010;37;NA;NA;6378;7;2148;7;3309;7;850;7;92;7;1067;7;2010-09-12;2010-09-18
2010;38;NA;NA;6183;7;2332;7;3146;7;788;7;90;7;966;7;2010-09-19;2010-09-25
