Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","maj 2015",32635,23599,666,24265,23648,666,24314
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","maj 2015",57379,37504,9409,46913,42092,13206,55298
"Dziennik Łódzki","Polska Press Sp. z o.o.","maj 2015",32089,22418,328,22746,22418,328,22746
"Dziennik Polski","Polska Press Sp. z o.o.","maj 2015",26857,18910,148,19058,19562,148,19710
"Dziennik Wschodni","Corner Media Sp. z o.o.","maj 2015",9985,6479,0,6479,6479,0,6479
"Dziennik Zachodni","Polska Press Sp. z o.o.","maj 2015",56916,39379,75,39454,39627,75,39702
"Echo Dnia","Polska Press Sp. z o.o.","maj 2015",27270,18740,590,19330,20041,784,20825
"Express Bydgoski","""Express Media"" Sp. z o.o.","maj 2015",17194,10645,174,10819,11075,174,11249
"Express Ilustrowany","Polska Press Sp. z o.o.","maj 2015",36682,28057,104,28161,28057,104,28161
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2015",436705,305760,230,305990,305760,230,305990
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","maj 2015",22261,16257,307,16564,16266,307,16573
"Gazeta Krakowska","Polska Press Sp. z o.o.","maj 2015",23824,16738,156,16894,16990,156,17146
"Gazeta Lubuska","Polska Press Sp. z o.o.","maj 2015",25644,20794,185,20979,20800,185,20985
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","maj 2015",21047,13886,74,13960,13982,74,14056
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","maj 2015",35310,24526,1813,26339,24526,1813,26339
"Gazeta Polska Codziennie","Forum SA","maj 2015",57826,19670,273,19943,19670,283,19953
"Gazeta Pomorska","Polska Press Sp. z o.o.","maj 2015",46759,40904,252,41156,40944,349,41293
"Gazeta Wrocławska","Polska Press Sp. z o.o.","maj 2015",23638,16069,213,16282,16329,213,16542
"Gazeta Współczesna","Polska Press Sp. z o.o.","maj 2015",8368,6266,93,6359,6358,621,6979
"Gazeta Wyborcza","Agora SA","maj 2015",240385,153766,2277,156043,158245,16321,174566
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","maj 2015",28027,21951,400,22351,22131,400,22531
"Głos Wielkopolski","Polska Press Sp. z o.o.","maj 2015",39364,29450,291,29741,29454,291,29745
"Kurier Lubelski","Polska Press Sp. z o.o.","maj 2015",7618,4190,19,4209,4190,19,4209
"Kurier Poranny","Polska Press Sp. z o.o.","maj 2015",7145,5464,51,5515,5668,467,6135
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","maj 2015",20146,10907,57,10964,12875,57,12932
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","maj 2015",20495,14392,305,14697,15955,495,16450
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","maj 2015",17724,12313,119,12432,12668,119,12787
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","maj 2015",10377,2972,1863,4835,3180,2163,5343
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","maj 2015",10788,3661,68,3729,3699,68,3767
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2015",59930,29352,361,29713,29352,361,29713
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","maj 2015",15038,7818,2783,10601,11182,2783,13965
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","maj 2015",64807,46823,9482,56305,47579,9482,57061
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2015",11326,5588,21,5609,5588,21,5609
"Super Express","ZPR Media SA","maj 2015",253792,143992,0,143992,144712,0,144712
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","maj 2015",14916,8186,0,8186,8186,0,8186
"Sumy dla: wszystkich tytułów",,,43871082,28669404,731650,29401054,29162674,1196851,30359525
"Średnie dla: wszystkich tytułów",,,55253,36108,921,37029,36729,1507,38236
