Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,kwiecie? 2019,18440,12466,164,12630,12466,164,12630
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,kwiecie? 2019,43731,24000,11037,35037,24583,11037,35619
Dziennik ?ódzki,Polska Press Sp. z o.o.,kwiecie? 2019,19369,12166,187,12353,12383,187,12569
Dziennik Polski,Polska Press Sp. z o.o.,kwiecie? 2019,18183,10930,111,11041,10978,111,11089
Dziennik Wschodni,Corner Media Sp. z o.o.,kwiecie? 2019,7858,4061,30,4091,4066,30,4097
Dziennik Zachodni,Polska Press Sp. z o.o.,kwiecie? 2019,30256,19354,244,19598,19354,244,19598
Echo Dnia,Polska Press Sp. z o.o.,kwiecie? 2019,17016,10434,416,10850,11182,731,11912
Express Bydgoski,Polska Press Sp. z o.o.,kwiecie? 2019,9390,6407,25,6432,6407,25,6432
Express Ilustrowany,Polska Press Sp. z o.o.,kwiecie? 2019,21283,14720,35,14755,14953,35,14987
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,kwiecie? 2019,356688,218352,183,218535,218352,183,218535
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,kwiecie? 2019,16025,10102,114,10217,10110,114,10225
Gazeta Krakowska,Polska Press Sp. z o.o.,kwiecie? 2019,17270,9814,346,10160,9833,346,10179
Gazeta Lubuska,Polska Press Sp. z o.o.,kwiecie? 2019,15632,11912,196,12108,11920,196,12117
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,kwiecie? 2019,9549,6070,1050,7120,6070,1050,7120
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",kwiecie? 2019,26533,19498,2590,22088,19498,2590,22088
Gazeta Polska Codziennie,Forum SA,kwiecie? 2019,51321,12950,264,13214,12950,346,13296
Gazeta Pomorska,Polska Press Sp. z o.o.,kwiecie? 2019,30177,25378,81,25459,25378,81,25459
Gazeta Wroc?awska,Polska Press Sp. z o.o.,kwiecie? 2019,13454,8683,398,9081,8683,398,9081
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,kwiecie? 2019,5453,3632,157,3790,3635,157,3793
Gazeta Wyborcza,Agora SA,kwiecie? 2019,149836,84381,1593,85974,87527,9687,97213
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,kwiecie? 2019,17965,12310,484,12794,12418,484,12902
G?os Wielkopolski,Polska Press Sp. z o.o.,kwiecie? 2019,25075,18072,321,18393,18076,321,18397
Kurier Lubelski,Polska Press Sp. z o.o.,kwiecie? 2019,5036,2432,151,2583,2432,151,2583
Kurier Poranny,Polska Press Sp. z o.o.,kwiecie? 2019,4777,3229,25,3254,3254,25,3279
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",kwiecie? 2019,12771,6656,71,6728,6971,71,7042
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",kwiecie? 2019,12470,8046,86,8132,9121,86,9207
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,kwiecie? 2019,9940,7490,39,7530,7490,39,7530
Parkiet Gazeta Gie?dy,Gremi Media SA,kwiecie? 2019,6057,1954,1942,3896,1967,2242,4209
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,kwiecie? 2019,7017,2200,299,2499,2200,299,2499
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,kwiecie? 2019,51500,21387,306,21693,21387,306,21693
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",kwiecie? 2019,9116,5407,3992,9398,6661,3992,10652
Rzeczpospolita,Gremi Media SA,kwiecie? 2019,53606,30428,11299,41726,30476,11299,41774
Sport,WHIZZ S.A.,kwiecie? 2019,10156,4726,26,4752,4726,26,4752
Super Express,TIME SA,kwiecie? 2019,189243,110621,140,110761,111341,140,111481
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,kwiecie? 2019,11505,4862,0,4861,4862,0,4861
Sumy dla: wszystkich tytu?ów,,,31517701,18485216,836181,19321418,18689587,1055041,19744555
?rednie dla: wszystkich tytu?ów,,,39250,23020,1041,24062,23275,1314,24588
