tytul;wydawca;date;naklad
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-01-01;26252
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-01-01;66745
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-01-01;25587
Dziennik Polski;Polska Press Sp. z o.o.;2015-01-01;20300
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-01-01;6989
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-01-01;45635
Echo Dnia;Polska Press Sp. z o.o.;2015-01-01;24012
Express Bydgoski;"Express Media" Sp. z o.o.;2015-01-01;12575
Express Ilustrowany;Polska Press Sp. z o.o.;2015-01-01;31602
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-01-01;324940
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-01-01;17327
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-01-01;18720
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-01-01;22063
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-01-01;16615
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-01-01;26507
Gazeta Polska Codziennie;Forum SA;2015-01-01;18947
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-01-01;44042
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-01-01;18158
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-01-01;7549
Gazeta Wyborcza;Agora SA;2015-01-01;185642
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-01-01;24339
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-01-01;33035
Kurier Lubelski;Polska Press Sp. z o.o.;2015-01-01;4766
Kurier Poranny;Polska Press Sp. z o.o.;2015-01-01;6107
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-01-01;14177
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-01-01;17258
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-01-01;13900
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-01-01;5401
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-01-01;3798
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-01-01;28554
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-01-01;14028
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-01-01;58403
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-01-01;4978
Super Express;ZPR Media SA;2015-01-01;158345
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-01-01;9831
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-02-01;24831
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-02-01;55172
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-02-01;23739
Dziennik Polski;Polska Press Sp. z o.o.;2015-02-01;19533
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-02-01;6508
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-02-01;40615
Echo Dnia;Polska Press Sp. z o.o.;2015-02-01;21243
Express Bydgoski;"Express Media" Sp. z o.o.;2015-02-01;11629
Express Ilustrowany;Polska Press Sp. z o.o.;2015-02-01;28998
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-02-01;324529
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-02-01;16175
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-02-01;16943
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-02-01;20421
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-02-01;15648
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-02-01;26923
Gazeta Polska Codziennie;Forum SA;2015-02-01;18077
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-02-01;42684
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-02-01;17286
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-02-01;7317
Gazeta Wyborcza;Agora SA;2015-02-01;186678
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-02-01;24158
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-02-01;31342
Kurier Lubelski;Polska Press Sp. z o.o.;2015-02-01;4465
Kurier Poranny;Polska Press Sp. z o.o.;2015-02-01;5998
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-02-01;13129
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-02-01;16723
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-02-01;13167
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-02-01;5221
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-02-01;4658
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-02-01;31968
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-02-01;13961
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-02-01;57677
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-02-01;5344
Super Express;ZPR Media SA;2015-02-01;147720
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-02-01;8857
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-03-01;23731
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-03-01;55610
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-03-01;22920
Dziennik Polski;Polska Press Sp. z o.o.;2015-03-01;18980
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-03-01;6423
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-03-01;39559
Echo Dnia;Polska Press Sp. z o.o.;2015-03-01;20617
Express Bydgoski;"Express Media" Sp. z o.o.;2015-03-01;11428
Express Ilustrowany;Polska Press Sp. z o.o.;2015-03-01;27739
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-03-01;315704
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-03-01;15605
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-03-01;16755
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-03-01;20264
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-03-01;14856
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-03-01;26859
Gazeta Polska Codziennie;Forum SA;2015-03-01;18140
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-03-01;44130
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-03-01;16489
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-03-01;7387
Gazeta Wyborcza;Agora SA;2015-03-01;174943
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-03-01;22981
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-03-01;30583
Kurier Lubelski;Polska Press Sp. z o.o.;2015-03-01;4164
Kurier Poranny;Polska Press Sp. z o.o.;2015-03-01;5945
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-03-01;12683
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-03-01;16008
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-03-01;12937
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-03-01;5316
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-03-01;3849
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-03-01;29804
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-03-01;13961
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-03-01;56556
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-03-01;5627
Super Express;ZPR Media SA;2015-03-01;148842
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-03-01;8289
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-04-01;26588
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-04-01;52245
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-04-01;24886
Dziennik Polski;Polska Press Sp. z o.o.;2015-04-01;20258
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-04-01;6933
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-04-01;43719
Echo Dnia;Polska Press Sp. z o.o.;2015-04-01;22965
Express Bydgoski;"Express Media" Sp. z o.o.;2015-04-01;12365
Express Ilustrowany;Polska Press Sp. z o.o.;2015-04-01;30782
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-04-01;328916
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-04-01;17244
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-04-01;17532
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-04-01;20448
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-04-01;21899
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-04-01;26156
Gazeta Polska Codziennie;Forum SA;2015-04-01;18456
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-04-01;43393
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-04-01;17557
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-04-01;7414
Gazeta Wyborcza;Agora SA;2015-04-01;183783
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-04-01;24259
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-04-01;31395
Kurier Lubelski;Polska Press Sp. z o.o.;2015-04-01;4821
Kurier Poranny;Polska Press Sp. z o.o.;2015-04-01;6262
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-04-01;13993
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-04-01;17306
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-04-01;13550
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-04-01;5483
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-04-01;4023
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-04-01;30007
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-04-01;14253
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-04-01;57057
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-04-01;5604
Super Express;ZPR Media SA;2015-04-01;152839
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-04-01;9065
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-05-01;24314
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-05-01;55298
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-05-01;22746
Dziennik Polski;Polska Press Sp. z o.o.;2015-05-01;19710
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-05-01;6479
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-05-01;39702
Echo Dnia;Polska Press Sp. z o.o.;2015-05-01;20825
Express Bydgoski;"Express Media" Sp. z o.o.;2015-05-01;11249
Express Ilustrowany;Polska Press Sp. z o.o.;2015-05-01;28161
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-05-01;305990
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-05-01;16573
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-05-01;17146
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-05-01;20985
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-05-01;14056
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-05-01;26339
Gazeta Polska Codziennie;Forum SA;2015-05-01;19953
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-05-01;41293
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-05-01;16542
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-05-01;6979
Gazeta Wyborcza;Agora SA;2015-05-01;174566
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-05-01;22531
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-05-01;29745
Kurier Lubelski;Polska Press Sp. z o.o.;2015-05-01;4209
Kurier Poranny;Polska Press Sp. z o.o.;2015-05-01;6135
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-05-01;12932
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-05-01;16450
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-05-01;12787
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-05-01;5343
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-05-01;3767
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-05-01;29713
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-05-01;13965
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-05-01;57061
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-05-01;5609
