month;gw;se;fakt;rz
2015-01-01;168859;157625;324940;57924
2015-02-01;168077;147000;324529;57301
2015-03-01;158924;148122;315700;56259
2015-04-01;166740;152119;328916;56182
2015-05-01;156043;143992;305990;56305
2015-06-01;154296;139494;293160;55902
2015-07-01;152873;141505;297254;55048
2015-08-01;153541;139799;301172;55445
2015-09-01;149416;137463;297990;55170
2015-10-01;155735;142824;298962;54971
2015-11-01;157055;141058;299819;55003
2015-12-01;160350;143818;303338;55135
2016-01-01;154165;152006;314918;58441
2016-02-01;152385;143218;308457;55150
2016-03-01;145709;143391;299790;55331
2016-04-01;152282;145341;283381;54805
2016-05-01;141653;136295;276051;54082
2016-06-01;133494;129802;270045;54226
2016-07-01;142182;136316;266363;54017
2016-08-01;132766;132036;270330;52681
2016-09-01;136143;136119;279497;52793
2016-10-01;135277;135685;266940;52139
2016-11-01;129786;132162;268764;52095
2016-12-01;132837;135130;272663;52124
2017-01-01;118252;137108;279885;52450
2017-02-01;119717;131711;279933;49237
2017-03-01;117100;133095;277877;48883
2017-04-01;120565;132840;266407;49483
2017-05-01;111999;130634;259694;49017
2017-06-01;112188;128209;260026;48871
2017-07-01;107800;127492;252576;48790
2017-08-01;101828;122432;253211;48278
2017-09-01;107300;125793;248499;48219
2017-10-01;102127;121209;247342;47678
2017-11-01;103316;122551;253089;47853
2017-12-01;110077;130611;259386;47875
2018-01-01;096668;124345;261702;45279
2018-02-01;098192;123574;259090;45069
2018-03-01;101183;127898;255222;45996
2018-04-01;096603;118120;244400;45205
2018-05-01;093136;114011;248992;45074
2018-06-01;092148;117419;236756;45590
2018-07-01;087231;111373;228630;45214
2018-08-01;089535;115023;233398;44787
2018-09-01;090088;110605;224215;44795
2018-10-01;091883;113064;226263;44277
2018-11-01;100261;120085;221113;44619
2018-12-01;098215;116344;212610;44702
2019-01-01;091957;114979;236889;40975
2019-02-01;092259;116162;228266;41172
2019-03-01;090361;117815;223003;41731
2019-04-01;085974;110761;218529;41726
2019-05-01;089180;114876;222097;41759
2019-06-01;082678;110353;208966;42123
2019-07-01;078907;106528;205623;42009
2019-08-01;084572;116455;214678;43155
2019-09-01;081778;111789;205296;42873
2019-10-01;083926;110595;206158;42532
2019-11-01;083450;114046;207230;42807
