nr;nazwisko;imie;affi;exdist;dist;wynik;time;kmh
1;KOZAK;KAROL;ETT;77;77;2:02:55;7375;37.59
2;KUBIAK;MACIEJ;ZOELLER TECH;77;77;2:07:27;7647;36.25
3;ROGOWSKI;LESZEK;OPRYCHY TEAM;77;77;2:13:13;7993;34.68
4;GAWŁAS;TOMASZ;-;77;77;2:15:03;8103;34.21
5;SZMIDT;LECH;-;77;77;2:15:06;8106;34.20
6;GOLWIEJ;KRZYSZTOF;-;77;77;2:15:15;8115;34.16
7;OŁDZIEJEWSKI;LESZEK;-;77;77;2:20:09;8409;32.96
8;WRÓBEL;ANTONI;-;77;77;2:20:12;8412;32.95
9;STEFANIAK;LESZEK;DREAM TRI TEAM;77;77;2:23:07;8587;32.28
10;WÓJCIK;ROMAN;SWORD SPÓŁKA Z OGRANICZONŠ ODPOWIEDZIALNOCIŠ SPÓŁKA KOMANDYTOWA;77;77;2:28:21;8901;31.14
11;SIEROTA;PRZEMYSŁAW;NEST BANK SA;77;77;2:28:25;8905;31.13
12;BRONISZEWSKI;MACIEJ;SWORD SPÓŁKA Z OGRANICZONŠ ODPOWIEDZIALNOCIŠ SPÓŁKA KOMANDYTOWA;77;77;2:28:51;8931;31.04
13;OLSZEWSKI;TADEUSZ;-;77;77;2:30:18;9018;30.74
14;OLSZEWSKI;KRZYSZTOF;-;77;77;2:30:21;9021;30.73
15;MISZEWSKI;JAN;JANSOLO;77;77;2:30:23;9023;30.72
16;SOBCZYŃSKI;RADOSŁAW;ROTMA;77;77;2:31:57;9117;30.40
17;BOJKO;MICHAŁ;-;77;77;2:33:35;9215;30.08
18;SEKIDA;MATEUSZ;-;77;77;2:39:52;9592;28.90
19;WOCIAL;TOMASZ;NEST BANK SA;77;77;2:40:06;9606;28.86
20;BESZTERDA;WŁADYSŁAW;-;77;77;2:40:15;9615;28.83
21;BESZTERDA;KRZYSZTOF;-;77;77;2:40:15;9615;28.83
22;KRAWCZYK;ROMAN;SPIE ELBUD GDAŃSK S.A.;77;77;2:44:00;9840;28.17
23;JAWORSKI;MARIUSZ;DGT SP. Z O.O.;77;77;2:44:27;9867;28.09
24;SZANK;PIOTR;-;77;77;2:47:35;10055;27.57
25;TORCZYŁŁO;WŁODZIMIERZ;ŻUŁAWIACY STOLMACH;77;77;2:49:26;10166;27.27
26;ŁOŚ;MARCIN;ŻUŁAWIACY STOLMACH;77;77;2:49:38;10178;27.24
27;JASNOCH;ANDRZEJ;NEST BANK SA;77;77;2:51:24;10284;26.95
28;FULARA;WOJCIECH;-;77;77;2:51:56;10316;26.87
29;ZYLKA;ARKADIUSZ;ŻUŁAWIACY STOLMACH;77;77;2:55:09;10509;26.38
30;KURŁOWICZ;JAKUB;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;2:55:20;10520;26.35
31;PLECZYŃSKI;ZBIGNIEW;-;77;77;2:55:27;10527;26.33
32;LEŚNIOWSKI;KRZYSZTOF;-;77;77;2:57:01;10621;26.10
33;GLEJZER;KRZYSZTOF;-;77;77;2:57:37;10657;26.01
34;BUKOWSKI;MICHAŁ;ŻUŁAWIACY STOLMACH;77;77;2:57:42;10662;26.00
35;NIKODEM;ADAM;-;77;77;2:59:19;10759;25.76
36;MANIEWSKI;MARCIN;LPP TEAM;77;77;2:59:34;10774;25.73
37;NOWAK;TYMOTEUSZ;-;77;77;3:00:18;10818;25.62
38;NOWAK;WALDEMAR;-;77;77;3:00:57;10857;25.53
39;ZGORZAŁEK;RAFAŁ;-;77;77;3:02:23;10943;25.33
40;ZGORZAŁEK;ANNA;-;77;77;3:02:24;10944;25.33
41;WESOLOWSKI;DOMINIK;-;77;77;3:05:03;11103;24.97
42;KOSINSKI;ADAM;-;77;77;3:05:03;11103;24.97
43;MARKOWSKI;ALFRED;-;77;77;3:05:07;11107;24.96
44;STORMA;ANDRZEJ;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:05:57;11157;24.85
45;BAFIA;MONIKA;LPP TEAM;77;77;3:07:04;11224;24.70
46;DOMAŃSKI;MAREK;SPIE ELBUD GDAŃSK S.A.;77;77;3:07:31;11251;24.64
47;KORDYLASIŃSKI;EDWARD;ŻUŁAWIACY STOLMACH;77;77;3:07:40;11260;24.62
48;JAWORSKI;ARTUR;-;77;77;3:11:52;11512;24.08
49;ABRAMCZUK;ROBERT;DGT SP. Z O.O.;77;77;3:12:50;11570;23.96
50;SAMORAJCZYK;KATARZYNA;USŁUGI AUTO-NAPRAWA W.J.RULEWSKI;77;77;3:14:42;11682;23.73
51;JÓŹWIK;PAWEŁ;-;77;77;3:14:42;11682;23.73
52;MARKO;ANDRZEJ;DGT SP. Z O.O.;77;77;3:15:35;11735;23.62
53;MENDALA;JACEK;ŻUŁAWIACY STOLMACH;77;77;3:16:11;11771;23.55
54;MENDALA;DOROTA;ŻUŁAWIACY STOLMACH;77;77;3:16:09;11769;23.55
55;GAWIŃKOWSKI;JAKUB;LPP TEAM;77;77;3:17:04;11824;23.44
56;BANASZEWSKA;BARBARA;-;77;77;3:17:08;11828;23.44
57;FRELICHOWSKA;JOANNA;-;77;77;3:17:09;11829;23.43
58;KĘPKA;KAROL;JIT SOLUTIONS;77;77;3:17:52;11872;23.35
59;CZESNOWSKI;GRZEGORZ;ASE GDAŃSK;77;77;3:19:22;11962;23.17
60;WYSOCKI;PIOTR;DGT SP. Z O.O.;77;77;3:19:45;11985;23.13
61;SKRZYCKA;MARIOLA;DGT SP. Z O.O.;77;77;3:19:43;11983;23.13
62;LABUDA;DAWID;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:20:04;12004;23.09
63;DMOCHOWSKI;KAMIL;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:20:05;12005;23.09
64;KWIECIEŃ;PIOTR;MASTERLEASE;77;77;3:20:20;12020;23.06
65;RULEWSKI;GRZEGORZ;USŁUGI AUTO-NAPRAWA W.J.RULEWSKI;77;77;3:22:11;12131;22.85
66;GRUDNIK;SŁAWOMIR;DGT SP. Z O.O.;77;77;3:23:09;12189;22.74
67;MŁYNARSKI;MARIUSZ;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:24:11;12251;22.63
68;ZIĘTKOWSKI;MICHAŁ;-;77;77;3:24:13;12253;22.62
69;PATOK;GERARD;CCC POLKOWICE;77;77;3:25:46;12346;22.45
70;RULEWSKI;WIESŁAW;USŁUGI AUTO-NAPRAWA W.J. RULEWSKI;77;77;3:26:36;12396;22.36
71;RULEWSKA;BARBARA;USŁUGI AUTO-NAPRAWA W.J.RULEWSKI;77;77;3:26:36;12396;22.36
72;ŚLEDŹ;PIOTR;SPIE ELBUD GDAŃSK S.A.;77;77;3:26:48;12408;22.34
73;BORZYSZKOWSKI;TOMASZ;SPIE ELBUD GDAŃSK S.A.;77;77;3:26:49;12409;22.34
74;STAWISZYŃSKI;MAREK;ROOTO SYSTEM;77;77;3:28:16;12496;22.18
75;ŚLOSARSKI;DARIUSZ;HODOWCA SP. Z O.O.;77;77;3:28:42;12522;22.14
76;KRASNOWSKA;ANNA;-;77;77;3:29:43;12583;22.03
77;KIELISZEK;KAMIL;-;77;77;3:29:45;12585;22.03
78;ANTOCHOWSKI;JAN;AMATOR;77;77;3:30:46;12646;21.92
79;SKÓRSKI;JACEK;-;77;77;3:30:49;12649;21.91
80;PŁACHTA;JACEK;NEST BANK SA;77;77;3:31:18;12678;21.86
81;FABISIAK;GRZEGORZ;NEST BANK SA;77;77;3:31:18;12678;21.86
82;GRODECKI;KRZYSZTOF;NEST BANK SA;77;77;3:31:29;12689;21.85
83;ZAMORSKI;JACEK;ŻUŁAWIACY STOLMACH;77;77;3:32:39;12759;21.73
84;GRAJKOWSKI;MARCIN;DGT SP. Z O.O.;77;77;3:33:06;12786;21.68
85;KULCZYNSKI;ZBIGNIEW;-;77;77;3:33:46;12826;21.61
86;ŁUKASIUK;PIOTRSZYMON;ŻUŁAWIACY STOLMACH;77;77;3:34:06;12846;21.58
87;PŠCZEK;STANISŁAW;-;77;77;3:34:19;12859;21.56
88;TUR;IRENEUSZ;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:36:46;13006;21.31
89;JEGIER;ADAM;ŻUŁAWIACY STOLMACH;77;77;3:37:00;13020;21.29
90;KUKUŁKA;STANISŁAW;-;77;77;3:38:02;13082;21.19
91;LEŚNIEWSKI;RAFAŁ;DGT SP. Z O.O.;77;77;3:38:14;13094;21.17
92;LEŚNIEWSKA;KAROLINA;DGT SP. Z O.O.;77;77;3:38:14;13094;21.17
93;OKROY;MACIEJ;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:39:35;13175;21.04
94;ŁUKASIUK;PIOTR;ŻUŁAWIACY STOLMACH;77;77;3:39:37;13177;21.04
95;ŁUKASIUK;JAN;ŻUŁAWIACY STOLMACH;77;77;3:39:35;13175;21.04
96;GOŚ;MIKOŁAJ;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:40:31;13231;20.95
97;KUKLIŃSKI;JAROSŁAW;ROOTO SYSTEM;77;77;3:42:58;13378;20.72
98;KUCHTA;DARIUSZ;PYJO;77;77;3:43:10;13390;20.70
99;SZYMCZAK;PAWEŁ;-;77;77;3:44:01;13441;20.62
100;SZYMAŃSKI;JACEK;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:44:18;13458;20.60
101;CHMIELEWSKI;MARIUSZ;ŻUŁAWIACY STOLMACH;77;77;3:44:31;13471;20.58
102;LITWINOWICZ;IRENEUSZ;-;77;77;3:45:20;13520;20.50
103;LICHTOŃ;KAMILA;USŁUGI AUTO-NAPRAWA W.J.RULEWSKI;77;77;3:46:07;13567;20.43
104;TUR;ANNA;ATENA USŁUGI INFORMATYCZNE I FINANSOWE;77;77;3:46:53;13613;20.36
