rok;zawodnik1;czas1;zawodnik2;czas2;zawodnik3;czas3;dystans;speed
1913;PaulDeman;12hr3min10sec;JosephVanDaele;0;VictorDoms;0;324km;26.88
1914;MarcelBuysse;10hr20min;HenriVanLerberghe;0;PierreVendevelde;0;280km;27.10
1915;NA;NA;NA;NA;NA;NA;NA;NA
1916;NA;NA;NA;NA;NA;NA;NA;NA
1917;NA;NA;NA;NA;NA;NA;NA;NA
1918;NA;NA;NA;NA;NA;NA;NA;NA
1919;HenriVanLerberghe;7hr41min18sec;LéonBuysse;@14min;JulesVanHevel;0;230km;26.42
1920;JulesVanHevel;9hr30min;AlbertDeJonghe;0;AlfonsVanHecke;@1min;248km;26.11
1921;RenéVanVermandel;9hr56min;JulesVanHevel;0;LeonBudts;0;262km;25.17
1922;LéonDevos;8hr55min20sec;JeanBrunier;@7min40sec;FrancisPélissier;@27min43sec;253km;27.96
1923;HeiriSuter;9hr16min15sec;CharlesDeruyter;0;AlbertDeJonghe;0;243km;26.21
1924;GérardDebaets;10hr0min19sec;RenéVermandel;@20sec;FélixSellier;@31sec;284km;28.39
1925;JulienDelbecque;8hr49min;JosephPé;0;HectorMartin;@4min45sec;228km;25.86
1926;DenisVerschueren;7hr12min30sec;GustaafVanSlembroeck;0;RaymondDecorte;0;217km;30.10
1927;GérardDebaets;7hr12min30sec;GustaafVanSlembroeck;@1min35sec;MauriceDewaele;@2min20sec;217km;30.83
1928;JanMertens;6hr55min;AugustMortelmans;0;LouisDelannoy;0;225km;32.53
1929;JosephDervaes;7hr1min50sec;GeorgesRonsse;@4min10sec;AlfredHamerlinck;@5min10sec;216km;30.72
1930;FransBonduel;7hr3min;AiméDossche;@9min15sec;EmileJoly;0;227km;32.20
1931;RomainGijssels;6hr52min;CésarBogaert;0;JanAerts;0;227km;33.06
1932;RomainGijssels;6hr29min;AlfonsDeloor;@3min15sec;FredHaemerlinck;@4min30sec;227km;35.01
1933;AlfonsSchepers;6hr51min;LeonTommies;0;RomainGijssels;0;227km;33.14
1934;GastonRebry;7hr0min;AlfonsSchepers;@4min16sec;FélicienVervaecke;0;239km;34.14
1935;LouisDuerloo;7hr27min;EloiMeulenbergh;0;CorneliusLeemans;0;260km;34.90
1936;LouisHardiquest;7hr30min;EdgardDeCaluwé;0;FrançoisNeuville;0;250km;33.33
1937;MichelD'Hooghe;7hr29min;HubertDeltour;0;LouisHardiquest;0;267km;35.68
1938;EdgardDeCaluwé;7hr42min;SilvèreMaes;0;MarcelKint;0;260km;33.77
1939;KarelKaers;6hr32min;RomainMaes;@3lengths;EdwardVissers;@10sec;230km;35.20
1940;AchielBuysse;6hr2min;GeorgesChristiaens;@20sec;BriekSchotte;0;211km;34.97
1941;AchielBuysse;5hr38min;GustaafvanOverloop;0;OdielVanderMeerschaut;0;198km;34.98
1942;BriekSchotte;6hr26min;GeorgesClaes;@5sec;RobertVanEenaeme;0;226km;35.12
1943;AchielBuysse;6hr7min58sec;AlbertSercu;0;KamielBeeckman;0;205km;33.43
1944;RikVanSteenbergen;6hr23min;BriekSchotte;0;JefMoerenhout;0;224km;35.09
1945;SylvainGrysolle;6hr12min;AlbertSercu;@15sec;JefMoerenhout;0;222km;34.96
1946;RikVanSteenbergen;6hr51min;LouisThietard;@1min10sec;BriekSchotte;0;246km;35.91
1947;EmielFaigneart;7hr5min;RogerDesmet;0;RikRenders;0;257km;36.28
1948;BriekSchotte;6hr43min;AlbertRamon;0;MarcelRijckaert;0;257km;38.26
1949;FiorenzoMagni;7hr21min;ValèreOlivier;0;BriekSchotte;0;260km;35.37
1950;FiorenzoMagni;8r15min;BriekSchotte;@2min15sec;LouisCaput;@9min20sec;273km;33.09
1951;FiorenzoMagni;7hr43min3sec;BernardGauthier;@5min35sec;AttilioRedolfi;@10min32sec;274km;35.50
1952;RogerDecock;7hr27min;LorettoPetrucci;0;BriekSchotte;0;258km;34.63
1953;WimVanEst;7hr19min;DesireKeteleer;0;BernardGauthier;@45sec;253km;34.58
1954;RaymondImpanis;7hr33min;FrançoisMahé;0;AlphonseVandenbrande;@30sec;255km;33.77
1955;LouisonBobet;7hr27min;HugoKoblet;0;RikVanSteenbergen;0;263km;35.30
1956;JeanForestier;6hr9min;StanOckers;@9sec;LéonVanDaele;0;238km;38.70
1957;FreddeBruyne;5hr58min;JozefPlanckaert;0;NorbertKerkhove;0;242km;40.56
1958;GermainDerycke;6hr7min;WillyTruye;0;AngeloConterno;0;230km;37.60
1959;RikVanLooy;6hr14min;FransSchubben;@2lengths;GilbertDesmet;@10meters;242km;38.82
1960;ArthurDeCabooter;5hr52min;JeanGraczyk;0;RikVanLooy;0;227km;38.69
1961;TomSimpson;6hr22min;NinoDefilippis;0;JoDeHaan;@11sec;255km;35.34
1962;RikVanLooy;6hr39min56sec;MichelVanAerde;@9sec;NorbertKerkhove;0;256km;38.406
1963;NoëlForé;6hr8min42sec;FransMelckenbeeck;0;TomSimpson;0;249km;40.68
1964;RudiAltig;5hr43min27sec;BenoniBeheyt;@4min5sec;JoDeRoo;0;236km;41.228
1965;JodeRoo;5hr47min29sec;EdwardSels;s.t.;GeorgesVanconigsloo;@33sec;235km;40.577
1966;EdwardSels;5hr53min;AdrianoDurante;0;GeorgesVanderberghe;0;243km;41.303
1967;DinoZandegù;6hr16min;NoëlForé;0;EddyMerckx;@20sec;245km;39.10
1968;WalterGodefroot;5hr52min;RudiAltig;0;JanJanssen;0;249km;42.44
1969;EddyMerckx;6hr20min;FeliceGimondi;@5min36sec;MarinoBasso;@8min28sec;259km;40.89
1970;EricLeman;6hr24min;WalterGodefroot;0;EddyMerckx;0;265km;41.41
1971;EvertDolman;6hr12min;FransKerremans;@2sec;CyrilleGuimard;s.t.;268km;43.225
1972;EricLeman;6hr4min30sec;AndreDierickx;0;FransVerbeeck;0;250km;41.152
1973;EricLeman;6hr17min;FreddyMaertens;0;EddyMerckx;0;260km;41.379
1974;CeesBal;6hr10min;FransVerbeeck;@19sec;WalterGodefroot;(DQ);256km;41.513
1975;EddyMerckx;6hr16min;FransVerbeeck;@30sec;MarcDemeyer;@5min2sec;255km;40.690
1976;WalterPlanckaert;6hr10min;FrancescoMoser;0;MarcdeMeyer;0;261km;42.234
1977;RogerdeVlaeminck;6hr44min;FreddyMaertens(DQ);;WalterPlanckert(DQ);;260km;39.207
1978;WalterGodefroot;6hr12min;MichelPollentier;0;GregorBraun;0;260km;41.935
1979;JanRaas;6hr31min0sec;MarcDemeyer;@1min4sec;DanielWillems;@1min15sec;267km;40.971
1980;MichelPollentier;6hr35min40sec;FrancescoMoser;s.t.;JanRaas;s.t.;265km;38.459
1981;HennieKuiper;6hr32min37sec;FritsPirard;@1min3sec;JanRaas;@1min6sec;267km;40.650
1982;ReneéMartens;6hr35min40sec;EddyPlanckaert;@21sec;RudyPevenage;0;267km;40.566
1983;JanRaas;6hr37min27sec;LudoPeeters;@1min30sec;MarcSergeant;0;272km;41.061
1984;JohanLammerts;6hr45min47sec;SeanKelly;@25sec;Jean-LucVandenboucke;0;268km;39.692
1985;EricVanderaerden;6hr49min50sec;PhilAnderson;@41sec;HenniKuiper;@1min1sec;271km;39.65
1986;AdrievanderPoel;7hr10min50sec;SeanKelly;0;Jean-PhilippeVandenbrande;s.t.;275km;38.297
1987;ClaudeCriquielion;7hr15min30sec;SeanKelly;@1min0sec;EricVanderaerden;0;274km;37.350
1988;EddyPlanckaert;7hr27min28sec;PhilAnderson;0;AdrievanderPoel;@18sec;264km;37.41
1989;EdwigVanHooydonck;7hr1min0sec;HermanFrison;@22sec;Dag-OttoLauritzen;0;264km;37.625
1990;MorenoArgentin;6hr47min25sec;RudyDhaenens;0;JohnTalen;@11sec;265km;39.026
1991;EdwigvanHooydonck;7hr2min0sec;JohanMuseeuw;@45sec;RolfSørenson;0;261km;36.682
1992;JackyDurand;6hr37min19sec;ThomasWegmüller;@48sec;EdwigVanHooydonck;@1min44sec;260km;38.81
1993;JohanMuseeuw;6hr33min0sec;FransMaassen;0;DarioBotero;@22sec;263km;40.153
1995;JohanMuseeuw;6hr36min24sec;FabioBaldato;@1min27sec;AndreiTchmil;s.t.;261km;39.506
1996;MicheleBartoli;6hr27min0sec;FabioBaldato;@55sec;JohanMuseeuw;0;269km;41.705
1997;RolfSørensen;5hr57min1sec;FrédéricMoncassin;@7sec;FrancoBallerini;@8sec;256km;43.023
1998;JohanMuseeuw;6hr50min2sec;StefanoZanini;@43sec;AndreiTchmil;0;277km;39.580
1999;PeterVanPetegem;6hr15min0sec;FrankVandenbroucke;0;JohanMuseeuw;@1sec;270km;43.200
2000;AndreiTchmil;6hr48min17sec;DarioPieri;@4sec;RomansVainsteins;0;270km;38.70
2001;GianlucaBortolami;6hr10min23sec;ErikDekker;0;DenisZanette;0;269km;43.580
2002;AndreaTafi;6ht53min0sec;JohanMuseeuw;@21sec;PeterVanPetegam;0;264km;38.352
2003;PeterVanPetegem;6hr18min48sec;FrankVandenbroucke;@2sec;StuartO'Grady;@19sec;255km;40.391
2004;SteffenWesemann;6hr39min0sec;LiefHoste;0;DaveBruylandts;0;257km;38.647
2005;TomBoonen;6hr22min;AndreasKlier;@35sec;PeterVanPetegem;@40sec;256km;40.2
2006;TomBoonen;6hr24min26sec;LeifHoste;0;GeorgeHincapie;@1min17sec;259km;40.423
2007;AlessandroBallan;6hr10min15sec;LeifHoste;0;LucaPaolini;@5sec;259km;41.971
2008;StijnDevolder;6ht24min2sec;NickNuyens;@15sec;JuanAntonioFlecha;0;264km;41.246
2009;StijnDevolder;6hr1min4sec;HeinrichHaussler;@59sec;PhilippeGilbert;0;261.5km;43.45
2010;FabianCancellara;6hr25min56sec;TomBoonen;@1min15sec;PhilippeGilbert;@2min11sec;262km;40.732
2011;NickNuyens;6hr1min20sec;SylvainChavanel;0;FabianCancellara;0;256km;42.509
2012;TomBoonen;6hr4min20sec;FilippoPozzato;0;AlessandroBallan;@1sec;256km;42.159
2013;FabianCancellara;6hr6min1sec;PeterSagan;@1min27sec;JurgenRoelandts;@1min29sec;256.2km;41.965
2014;FabianCancellara;6hr15min18sec;GregvanAvermaet;0;SepVanmarcke;0;259km;41.407
2015;AlexanderKristoff;6hr26min32sec;NikiTerpstra;0;GregvanAvermaet;@7sec;264.9km;41.119
