event;year;cat;sex;fid;cntry1;name1;winner;name2;cntry2;score1;score2;time;round;idr;ippon;stime;in;wn;yn
oo;2012;100;M;28;CZE;KRPALEK=Lukas;R;KHAIBULAEV=Tagir;RUS;1= █;1 0 0=;05:00;Quarter Final;Quarter Final;1;300;1;0;1
oo;2012;100;M;27;NED;GROL=Henk;R;PETERS=Dimitri;GER;0= █;1 0=;05:00;Quarter Final;Quarter Final;0;300;0;1;0
oo;2012;100;M;26;MGL;NAIDAN=Tuvshinbayar;L;SAYIDOV=Ramziddin;UZB;1 0 0=;0= █;05:16;Quarter Final;Quarter Final;1;316;1;0;0
oo;2012;100;M;25;AZE;GASIMOV=Elmar;R;HWANG=Hee-Tae;KOR;0= █ █;2= █;05:00;Quarter Final;Quarter Final;0;300;0;0;2
oo;2012;100;M;24;RUS;KHAIBULAEV=Tagir;L;BIADULIN=Yauhen;BLR;1 1= █;0= █ █ █;05:00;best 16;best 16;0;300;0;1;1
oo;2012;100;M;23;JPN;ANAI=Takamasa;R;KRPALEK=Lukas;CZE;0=;1 0 0= █;05:00;best 16;best 16;1;300;1;0;0
oo;2012;100;M;22;GER;PETERS=Dimitri;L;BORODAVKO=Jevgenijs;LAT;1= █;0=;05:15;best 16;best 16;0;315;0;0;1
oo;2012;100;M;21;NED;GROL=Henk;L;CORREA=Luciano;BRA;1 0= █;0= █ █ █;05:00;best 16;best 16;0;300;0;1;0
oo;2012;100;M;20;UZB;SAYIDOV=Ramziddin;L;DESPAIGNE=Oreidis;CUB;1 0 2=;1 0=;04:26;best 16;best 16;1;266;1;1;2
oo;2012;100;M;19;MGL;NAIDAN=Tuvshinbayar;L;FABRE=Thierry;FRA;1 0 0=;0=;05:00;best 16;best 16;1;300;1;0;0
oo;2012;100;M;18;KOR;HWANG=Hee-Tae;L;BLOSHENKO=Artem;UKR;1 0 0= █;0=;04:03;best 16;best 16;1;243;1;0;0
oo;2012;100;M;17;AZE;GASIMOV=Elmar;L;ZHORZHOLIANI=Levan;GEO;1= █;0= █ █;05:00;best 16;best 16;0;300;0;0;1
oo;2012;100;M;16;BLR;BIADULIN=Yauhen;L;SCHMIDT=Cristian;ARG;1 0 0= █;0=;04:41;best 32;best 32;1;281;1;0;0
oo;2012;100;M;15;RUS;KHAIBULAEV=Tagir;L;VAN DER GEEST=Elco;BEL;1 0 0=;0=;05:00;best 32;best 32;1;300;1;0;0
oo;2012;100;M;13;JPN;ANAI=Takamasa;L;AUSTIN=James;GBR;1 0= █;0= █ █ █;05:00;best 32;best 32;0;300;0;1;0
oo;2012;100;M;12;LAT;BORODAVKO=Jevgenijs;L;LIU=Anthony;ASA;1 0 0=;0=;00:41;best 32;best 32;1;41;1;0;0
oo;2012;100;M;11;ISR;ZEEVI=Ariel;R;PETERS=Dimitri;GER;0=;1 0 0=;00:42;best 32;best 32;1;42;1;0;0
oo;2012;100;M;10;MLI;KONE=Oumar;R;CORREA=Luciano;BRA;0= █ █;1 0 2=;05:00;best 32;best 32;1;300;1;0;2
oo;2012;100;M;9;NED;GROL=Henk;L;DUGASSE=Dominic;SEY;1 0 1=;0=;01:26;best 32;best 32;1;86;1;0;1
oo;2012;100;M;7;UZB;SAYIDOV=Ramziddin;L;VASHKULAT=Kyle;USA;1 0 0=;0=;01:39;best 32;best 32;1;99;1;0;0
oo;2012;100;M;6;FRA;FABRE=Thierry;L;DARWISH=Ramadan;EGY;1= █;0= █ █;06:19;best 32;best 32;0;379;0;0;1
oo;2012;100;M;5;MGL;NAIDAN=Tuvshinbayar;L;HOMKLIN=Teerawat;THA;1 0 1=;0=;00:54;best 32;best 32;1;54;1;0;1
oo;2012;100;M;4;AUS;KELLY=Daniel;R;BLOSHENKO=Artem;UKR;0= █ █ █;1 0=;05:00;best 32;best 32;0;300;0;1;0
oo;2012;100;M;3;KOR;HWANG=Hee-Tae;L;MEKIC=Amel;BIH;2= █;0= █ █;05:00;best 32;best 32;0;300;0;0;2
oo;2012;100;M;2;ROU;BRATA=Daniel;R;ZHORZHOLIANI=Levan;GEO;0= █ █ █;1 0= █;05:00;best 32;best 32;0;300;0;1;0
oo;2012;100;M;1;KAZ;RAKOV=Maxim;R;GASIMOV=Elmar;AZE;0=;1=;05:00;best 32;best 32;0;300;0;0;1
oo;2012;178;F;28;GBR;BRYANT=Karina;L;ISSANOVA=Gulzhan;KAZ;1 0= █ █;1= █;05:00;Quarter Final;Quarter Final;0;300;0;1;1
oo;2012;178;F;27;JPN;SUGIMOTO=Mika;L;ALTHEMAN=Maria Suelen;BRA;1 0 0=;0=;00:48;Quarter Final;Quarter Final;1;48;1;0;0
oo;2012;178;F;26;RUS;IVASHCHENKO=Elena;R;ORTIZ=Idalys;CUB;0= █ █;1= █;05:00;Quarter Final;Quarter Final;0;300;0;0;1
oo;2012;178;F;25;CHN;TONG=Wen;L;KINDZERSKA=Iryna;UKR;1 0 0=;0=;00:59;Quarter Final;Quarter Final;1;59;1;0;0
oo;2012;178;F;24;KOR;KIM=Na-Young;R;ISSANOVA=Gulzhan;KAZ;1= █ █;1= █ █;02:29;best 16;best 16;0;149;0;0;2
oo;2012;178;F;23;SLO;POLAVDER=Lucija;R;BRYANT=Karina;GBR;0=;1= █;05:00;best 16;best 16;0;300;0;0;1
oo;2012;178;F;22;BRA;ALTHEMAN=Maria Suelen;L;CHEIKH ROUHOU=Nihel;TUN;1 0 0= █;0= █;03:59;best 16;best 16;1;239;1;0;0
oo;2012;178;F;21;JPN;SUGIMOTO=Mika;L;BLANCO=Giovanna;VEN;1 0 0=;0=;00:51;best 16;best 16;1;51;1;0;0
oo;2012;178;F;20;CUB;ORTIZ=Idalys;L;MONIZ=Adysangela;CPV;1 0 3=;0= █ █;01:54;best 16;best 16;1;114;1;0;3
oo;2012;178;F;19;RUS;IVASHCHENKO=Elena;L;MOJICA=Melissa;PUR;1 0 1=;0=;02:23;best 16;best 16;1;143;1;0;1
