cat;sex;fid;cntry1;name1;winner;name2;cntry2;score1;score2;time;round;comment;ippon;idr
48;F;67;JPN;TONAKI=Funa;R;BILODID=Daria; UKR;0=;1 0= █ █;04:00;Final;;0;r8
48;F;66;ESP;MARTINEZ ABELENDA=Laura;R;KRASNIQI=Distria; KOS;0=;1 0 0=;00:32;Bronze;;1;r8
48;F;65;FRA;CLEMENT=Melanie;R;MUNKHBAT=Urantsetseg; MGL;0=;1 0 0=;02:31;Bronze;;1;r8
48;F;64;UKR;BILODID=Daria;L;MUNKHBAT=Urantsetseg; MGL;1 0 0= █;0= █;01:36;Semi-Final;;1;r7
48;F;63;JPN;TONAKI=Funa;L;KRASNIQI=Distria; KOS;1 1 0= █;0= █ █;03:34;Semi-Final;;1;r7
48;F;62;ESP;MARTINEZ ABELENDA=Laura;L;GALBADRAKH=Otgontsetseg; KAZ;1 0= █;0=;04:00;Repechage;;0;r5
48;F;61;FRA;CLEMENT=Melanie;L;PARETO=Paula; ARG;0= █ █;0= █ █;03:56;Repechage;;0;r5
48;F;60;MGL;MUNKHBAT=Urantsetseg;L;GALBADRAKH=Otgontsetseg; KAZ;1 0 0=;0=;01:04;Quarter-Final;;1;r6
48;F;59;UKR;BILODID=Daria;L;MARTINEZ ABELENDA=Laura; ESP;1 0 0=;0=;01:38;Quarter-Final;;1;r6
48;F;58;ARG;PARETO=Paula;R;KRASNIQI=Distria; KOS;0= █ █;1 0= █;06:24;Quarter-Final;;0;r6
48;F;57;JPN;TONAKI=Funa;L;CLEMENT=Melanie; FRA;1 1 0=;0=;01:31;Quarter-Final;;1;r6
48;F;56;KAZ;GALBADRAKH=Otgontsetseg;L;ALVAREZ=Luz; COL;1 1 0=;0=;00:44;Round 3;;1;r3
48;F;55;MGL;MUNKHBAT=Urantsetseg;L;UNGUREANU=Monica; ROU;1 1 0=;0=;00:52;Round 3;;1;r3
48;F;54;RUS;DOLGOVA=Irina;R;MARTINEZ ABELENDA=Laura; ESP;0= █;1 1 0= █;02:50;Round 3;;1;r3
48;F;53;UKR;BILODID=Daria;L;TSYZHIPOVA=Sariuna; IJF;1 1 0=;0= █;01:17;Round 3;;1;r3
48;F;52;KOS;KRASNIQI=Distria;L;FIGUEROA=Julia; ESP;1 0= █;0= █ █;04:42;Round 3;;0;r3
48;F;51;ARG;PARETO=Paula;L;KANG=Yujeong; KOR;1 0= █;0= █ █;04:07;Round 3;;0;r3
48;F;50;SRB;NIKOLIC=Milica;R;CLEMENT=Melanie; FRA;0= █;1 0=;04:00;Round 3;;0;r3
48;F;49;JPN;TONAKI=Funa;L;CSERNOVICZKI=Eva; HUN;1 0 0=;0=;02:25;Round 3;;1;r3
48;F;48;COL;ALVAREZ=Luz;L;VARGAS LEY=Mary Dee; CHI;1 0= █;0= █ █;04:00;Round 2;;0;r2
48;F;47;KAZ;GALBADRAKH=Otgontsetseg;L;RISHONY=Shira; ISR;1 0=;0= █;04:22;Round 2;;0;r2
48;F;46;TUR;SENTURK=Gulkader;R;UNGUREANU=Monica; ROU;0=;1 0 0=;00:38;Round 2;;1;r2
48;F;45;MGL;MUNKHBAT=Urantsetseg;L;LIN=Chen-Hao; TPE;1 1 0=;0= █ █;01:24;Round 2;;1;r2
48;F;44;ESP;MARTINEZ ABELENDA=Laura;L;LI=Yanan; CHN;1 1 0= █;0= █;02:20;Round 2;;1;r2
48;F;43;RUS;DOLGOVA=Irina;L;CARRILLO=Edna; MEX;1 0= █ █;0= █ █;04:00;Round 2;;0;r2
48;F;41;UKR;BILODID=Daria;L;COSTA=Catarina; POR;0=;0= █ █;02:43;Round 2;;0;r2
48;F;40;HKG;WONG=Ka Lee;R;FIGUEROA=Julia; ESP;0= █;1 0 0= █;01:18;Round 2;;1;r2
48;F;39;KOS;KRASNIQI=Distria;L;GANBAATAR=Narantsetseg; MGL;1 0 0= █;0=;01:00;Round 2;;1;r2
48;F;38;KOR;KANG=Yujeong;L;NAZAROVA=Aziza; TKM;1 1 0=;0= █;02:08;Round 2;;1;r2
48;F;37;ARG;PARETO=Paula;L;MENZ=Katharina; GER;1 0 0=;0= █;01:58;Round 2;;1;r2
48;F;36;VIE;HOANG THI=Tinh;R;CLEMENT=Melanie; FRA;0= █ █;0= █;03:48;Round 2;;0;r2
48;F;35;SRB;NIKOLIC=Milica;L;GURBANLI=Aisha; AZE;1 1 0=;0=;03:13;Round 2;;1;r2
48;F;34;RSA;WHITEBOOI=Geronay;R;CSERNOVICZKI=Eva; HUN;0= █;1 1 0= █;03:32;Round 2;;1;r2
48;F;33;JPN;TONAKI=Funa;L;GILIAZOVA=Sabina; RUS;1 0 0=;0= █;03:47;Round 2;;1;r2
48;F;32;PAK;ASHIQ=Humaira;R;VARGAS LEY=Mary Dee; CHI;0=;1 0 0=;00:59;Round 1;;1;r1
48;F;28;ROU;UNGUREANU=Monica;L;SORIANO=Estefania; DOM;1 1 0=;0=;01:24;Round 1;;1;r1
48;F;26;TPE;LIN=Chen-Hao;L;SOLIS=Jacqueline; GUA;1 0 0=;0=;01:38;Round 1;;1;r1
48;F;23;PHI;LOPEZ=Ma. Jeanalane;R;MARTINEZ ABELENDA=Laura; ESP;0=;1 1 0=;01:30;Round 1;;1;r1
48;F;22;MEX;CARRILLO=Edna;L;BLANARU=Cristina; MDA;1 0= █ █;0= █;05:19;Round 1;;0;r1
48;F;18;POR;COSTA=Catarina;L;ALIYEVA=Leyla; AZE;0=;0= █ █;03:01;Round 1;;0;r1
48;F;14;MGL;GANBAATAR=Narantsetseg;L;STANGAR=Marusa; SLO;1 0 0=;0= █ █;06:47;Round 1;;1;r1
48;F;12;TKM;NAZAROVA=Aziza;L;GIMENEZ=Maria; VEN;1 0 0=;0=;00:46;Round 1;;1;r1
