year;Action;Adult;Adventure;Animation;Biography;Comedy;Crime;Documentary;Drama;Family;Fantasy;FilmNoir;GameShow;History;Horror;Music;Musical;Mystery;News;RealityTV;Romance;SciFi;Short;Sport;TalkShow;Thriller;War;Western;Unknown;Total
1874;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;2
1878;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;2
1881;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;2
1883;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;2
1885;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;2
1887;;;;37;;;;1;;;;;;;;;;;;;;;45;1;;;;;;84
1888;;;;;;;;3;;;;;;;;;;;;;;;5;;;;;;;8
1889;;;;;;;;1;;;;;;;;;;;;;;;2;;;;;;;3
1890;;;;;;1;;2;;1;;;;;;;;;;;;;5;;;;;;;9
1891;1;;;;;;;3;;;;;;;;;;;;;;;10;1;;;;;;15
1892;;;;3;;1;;1;;;;;;;;;;;;;1;;8;4;;;;;;18
1893;;;;;;1;;1;;;;;;;;;;;;;;;3;;;;;;;5
1894;3;;;1;;5;;29;1;;;;;;;1;;;;;1;;96;9;;;;1;;147
1895;;;;;;8;2;53;6;;;;;2;;;;;3;;;1;116;4;;;;;;195
1896;1;;;;1;39;2;576;10;2;5;;;;4;1;;;7;;1;;837;22;;;;;;1508
1897;3;;;1;;112;7;814;24;14;4;;;3;7;;;;61;;1;;1351;68;;;10;;;2480
1898;3;;1;2;;192;3;1152;34;3;11;;;1;7;;;;68;;2;1;1749;54;;;55;;17;3355
1899;;;1;2;5;200;2;1166;62;1;21;;;5;7;1;;;108;;4;;1790;155;;;35;4;3;3572
1900;1;;1;2;1;228;9;1256;66;;29;;;3;4;9;14;;9;;1;;1821;54;;;47;;6;3561
1901;2;1;;1;;162;2;1332;40;1;42;;;1;4;1;;;25;;3;;1751;93;;;34;1;1;3497
1902;2;;3;1;2;230;1;1175;33;;61;;;1;2;5;;;45;;;;1800;62;;;2;;2;3427
1903;10;;5;1;4;430;19;1644;122;9;88;;;;4;1;;;19;;8;1;2664;88;;;6;7;8;5138
1904;5;;4;2;;344;20;988;86;1;24;;;3;1;;1;;2;;2;1;1827;52;;;44;4;5;3416
1905;3;;4;1;2;367;31;917;111;5;18;;;;1;23;1;1;4;;3;1;1680;69;;;7;1;8;3258
1906;;;6;3;3;407;29;921;147;2;19;;;2;2;36;1;1;4;;5;1;1823;84;;;2;6;11;3515
1907;2;1;9;8;;734;22;775;307;5;40;;;1;4;73;1;1;;;10;1;2462;66;;4;1;19;8;4554
1908;21;1;9;21;2;1089;49;951;811;2;60;;;18;4;55;41;5;2;;28;5;4251;111;;1;13;49;16;7615
1909;6;1;14;22;8;1350;59;1070;1269;2;46;;;21;2;65;40;12;;;42;3;5318;83;;6;31;106;64;9640
1910;2;1;25;31;5;1626;66;1235;1738;5;47;;;27;6;1;51;11;4;;160;4;6297;74;;29;26;384;56;11911
1911;9;;31;15;8;1953;61;1512;2193;22;34;;;19;1;3;3;5;27;;230;4;7487;69;;29;45;515;88;14363
1912;11;;69;29;4;2571;124;975;2942;30;43;;;18;9;2;;24;144;;395;3;8127;31;;100;37;583;192;16463
1913;19;;76;125;6;2993;197;1004;3402;20;38;;;28;10;36;3;30;280;;339;3;8907;17;;115;43;485;327;18503
1914;26;1;114;60;8;3026;214;526;3333;6;25;;;35;11;13;1;52;324;;247;2;7846;13;;101;107;398;445;16934
1915;42;1;88;153;7;2701;172;544;3212;5;20;;;32;13;6;;77;319;;206;6;6803;19;;102;106;295;606;15535
1916;56;;56;315;5;2214;135;528;2127;5;18;;;24;12;11;;51;418;;159;9;4891;17;2;92;58;220;705;12128
1917;32;;75;282;12;1643;136;587;1441;10;28;;;24;12;3;2;62;338;;114;2;3357;8;;38;58;176;763;9203
1918;33;;79;188;9;1189;84;618;1085;6;16;;;17;6;1;;43;441;;145;5;2441;4;;13;150;140;850;7563
1919;52;;79;181;5;1060;139;412;1000;2;10;;;20;13;1;1;29;26;;143;3;1643;18;;12;31;202;931;6013
1920;46;6;96;290;4;1263;139;388;896;5;10;;;15;24;1;3;55;;;95;9;1814;16;;9;11;180;1244;6619
1921;44;2;82;247;3;991;101;377;723;10;25;;;12;13;13;2;84;1;;128;7;1580;34;;10;7;218;1441;6155
1922;53;1;68;203;11;902;78;314;709;18;17;;;31;9;29;2;44;15;;153;3;1389;48;;13;6;207;1115;5438
1923;44;2;64;174;11;753;85;257;626;20;19;;;34;8;11;1;49;6;;105;2;1072;23;;8;11;153;970;4508
1924;62;3;58;187;3;796;74;243;589;22;12;;;25;8;8;4;35;8;1;121;5;1122;54;;16;10;210;973;4649
1925;93;7;99;247;6;929;44;359;647;27;13;;;14;8;6;6;11;3;1;149;7;1279;51;;13;11;268;857;5155
1926;136;;129;284;7;978;75;266;801;22;10;;;17;8;30;5;23;3;1;229;;1312;41;;19;22;213;573;5204
1927;98;1;79;239;5;1024;58;348;824;25;7;1;;19;11;49;21;17;;;190;2;1315;56;;16;30;194;607;5236
1928;101;1;80;199;10;905;69;319;854;27;9;2;;31;8;115;19;21;3;1;174;;1294;37;;20;29;183;634;5145
1929;72;1;80;186;4;852;85;265;756;62;6;1;;22;8;242;276;40;2;1;172;4;1482;56;;19;18;111;614;5437
1930;73;4;66;203;6;786;103;237;708;77;13;1;;15;5;82;276;38;4;;247;3;1036;50;;7;28;86;569;4723
1931;71;1;60;233;8;808;140;215;798;91;12;3;;9;14;70;127;63;5;;218;6;935;75;3;17;27;84;570;4663
1932;82;2;78;256;6;719;145;386;737;109;13;4;;16;23;57;120;72;1;;209;6;829;84;;18;20;89;470;4551
1933;68;3;66;230;9;752;118;379;728;91;20;1;;18;19;70;158;54;6;;219;11;763;58;;16;31;53;445;4386
1934;75;3;98;234;15;762;116;278;752;100;21;1;;25;18;78;203;68;1;;266;8;888;58;;16;19;63;476;4642
1935;145;1;118;227;16;730;142;291;728;103;31;2;;29;19;107;201;72;7;;282;11;803;41;;21;17;113;458;4715
1936;117;;116;240;19;813;184;525;783;134;18;5;;39;22;142;184;67;5;;247;12;866;47;2;24;46;95;499;5251
1937;145;1;134;217;16;846;179;598;799;171;21;9;;44;8;232;193;61;5;1;303;8;943;54;12;27;125;98;513;5763
1938;127;;136;241;21;859;180;465;843;151;17;4;5;49;3;246;178;76;6;1;274;9;892;59;11;18;83;84;507;5545
1939;142;1;143;199;35;693;193;384;779;152;24;8;2;48;27;175;138;65;15;2;202;7;754;40;5;25;56;105;448;4867
1940;98;2;125;211;33;596;119;325;665;140;30;8;5;40;19;71;120;52;3;;195;9;654;28;;19;67;106;428;4168
1941;114;1;129;222;15;653;104;355;543;136;24;13;4;31;18;141;136;63;12;;194;7;792;32;;27;110;102;324;4302
1942;136;2;137;241;26;600;116;399;553;145;19;22;3;44;18;142;104;62;3;;178;7;766;38;;38;178;82;323;4382
1943;81;;96;203;18;513;70;393;502;103;20;9;;42;19;112;116;50;4;;146;4;697;25;;35;175;83;298;3814
1944;94;1;100;205;19;434;80;300;449;102;24;25;1;34;25;118;129;47;3;;154;8;676;17;;19;155;68;258;3545
1945;55;1;62;167;16;391;93;396;435;88;28;38;;32;19;126;119;59;5;;127;7;714;21;;30;109;72;248;3458
1946;92;;80;178;22;519;142;402;658;123;34;57;14;32;22;230;129;76;6;;155;7;739;41;2;30;73;90;300;4253
1947;119;1;111;171;22;608;157;414;798;139;39;65;14;33;8;386;108;66;14;;154;4;706;60;11;31;40;83;340;4702
1948;125;3;91;203;19;661;150;402;920;220;33;54;25;25;18;528;105;67;14;1;170;21;754;68;44;39;45;104;461;5370
1949;125;;116;243;35;985;199;410;1429;419;84;64;95;39;34;888;170;152;47;3;201;24;766;63;47;73;80;142;496;7429
1950;164;3;129;201;29;1290;304;517;1900;678;45;66;204;62;60;1110;197;307;15;3;205;76;785;59;109;78;60;242;529;9427
1951;160;1;188;199;40;1514;354;559;2428;725;62;51;209;118;85;1198;210;389;72;1;263;112;810;76;124;107;98;261;503;10917
1952;241;2;368;197;42;1685;486;632;2710;797;99;33;240;180;95;735;150;347;209;4;275;102;836;89;51;153;61;340;737;11896
1953;328;2;355;201;61;2099;462;692;2936;1021;104;31;312;247;54;695;139;250;212;18;306;164;900;63;102;141;83;287;715;12980
1954;248;;462;204;66;2407;537;715;3134;1086;142;28;279;266;74;750;146;282;280;13;350;179;900;60;100;144;55;281;750;13938
1955;245;6;596;219;101;2553;606;897;3792;1317;140;51;334;190;85;785;168;244;202;11;337;113;1071;59;132;149;82;496;772;15753
1956;268;;667;235;120;2619;655;776;4467;1436;60;48;313;145;269;1068;222;666;137;15;513;125;956;77;206;87;130;665;963;17908
1957;357;;960;253;111;2777;1088;987;4432;1633;87;40;508;171;279;1397;186;823;144;25;388;68;1085;79;355;161;215;810;892;20311
1958;521;;840;352;119;2929;1273;973;4255;1971;112;26;353;125;287;1430;197;708;196;23;413;100;1009;107;525;220;167;1036;1047;21314
1959;565;;854;549;123;2943;1670;995;4256;1927;192;;401;114;227;1470;220;666;189;12;347;118;967;65;435;310;122;1226;1133;22096
1960;511;3;743;1052;134;3392;1719;1119;4609;2420;217;;528;118;178;1200;250;619;179;33;448;110;1122;165;421;212;114;1170;1153;23939
