year;movies
1910;1
1911;2
1912;2
1913;4
1914;15
1915;29
1916;40
1917;78
1918;89
1919;85
1920;78
1921;96
1922;129
1923;108
1924;171
1925;218
1926;163
1927;136
1928;131
1929;86
1930;69
1931;80
1932;85
1933;52
1934;49
1935;105
1936;93
1937;94
1938;77
1939;97
1940;100
1941;92
1942;78
1943;79
1944;63
1945;70
1946;85
1947;78
1948;99
1949;97
1950;122
1951;105
1952;100
1953;81
1954;67
1955;75
1956;75
1957;82
1958;65
1959;51
1960;61
1961;62
1962;62
1963;48
1964;82
1965;108
1966;136
1967;106
1968;119
1969;97
1970;93
1971;117
1972;116
1973;77
1974;35
1975;57
1976;39
1977;20
1978;23
1979;28
1980;12
1981;15
1982;15
1983;9
1984;8
1985;12
1986;16
1987;10
1988;6
1989;8
1990;10
1991;13
1992;10
1993;11
1994;16
1995;19
1996;4
1997;3
1998;12
1999;8
2000;11
2001;8
2002;12
2003;15
2004;10
2005;22
2006;16
2007;21
2008;27
2009;28
2010;40
2011;44
2012;45
2013;42
2014;63
2015;53
2016;43
2017;56
2018;60
2019;36
2020;10
