state;tax;inc;road;dlic;fuel
ME;9.00;3.571;1.976;52.5;541
NH;9.00;4.092;1.250;57.2;524
VT;9.00;3.865;1.586;58.0;561
MA;7.50;4.870;2.351;52.9;414
RI;8.00;4.399;.431;54.4;410
CN;10.00;5.342;1.333;57.1;457
NY;8.00;5.319;11.868;45.1;344
NJ;8.00;5.126;2.138;55.3;467
PA;8.00;4.447;8.577;52.9;464
OH;7.00;4.512;8.507;55.2;498
IN;8.00;4.391;5.939;53.0;580
IL;7.50;5.126;14.186;52.5;471
MI;7.00;4.817;6.930;57.4;525
WI;7.00;4.207;6.580;54.5;508
MN;7.00;4.332;8.159;60.8;566
IA;7.00;4.318;10.340;58.6;635
MO;7.00;4.206;8.508;57.2;603
ND;7.00;3.718;4.725;54.0;714
SD;7.00;4.716;5.915;72.4;865
NE;8.50;4.341;6.010;67.7;640
KS;7.00;4.593;7.834;66.3;649
DE;8.00;4.983;.602;60.2;540
MD;9.00;4.897;2.449;51.1;464
VA;9.00;4.258;4.686;51.7;547
WV;8.50;4.574;2.619;55.1;460
NC;9.00;3.721;4.746;54.4;566
SC;8.00;3.448;5.399;54.8;577
GA;7.50;3.846;9.061;57.9;631
FL;8.00;4.188;5.975;56.3;574
KY;9.00;3.601;4.650;49.3;534
TN;7.00;3.640;6.905;51.8;571
AL;7.00;3.333;6.594;51.3;554
MS;8.00;3.063;6.524;57.8;577
AR;7.50;3.357;4.121;54.7;628
LA;8.00;3.528;3.495;48.7;487
OK;6.58;3.802;7.834;62.9;644
TX;5.00;4.045;17.782;56.6;640
MT;7.00;3.897;6.385;58.6;704
ID;8.50;3.635;3.274;66.3;648
WY;7.00;4.345;3.905;67.2;968
CO;7.00;4.449;4.639;62.6;587
NM;7.00;3.656;3.985;56.3;699
AZ;7.00;4.300;3.635;60.3;632
UT;7.00;3.745;2.611;50.8;591
NV;6.00;5.215;2.302;67.2;782
WN;9.00;4.476;3.942;57.1;510
OR;7.00;4.296;4.083;62.3;610
CA;7.00;5.002;9.794;59.3;524
