teryt;nazwa;ppp;OSM1;OSM2;SM1;SM2;L1;L2
0201000;bolesławiecki;15982;0;0;1;1;1;1
0202000;dzierżoniowski;15857;0;0;2;0;2;0
0203000;głogowski;16469;0;0;1;1;1;1
0204000;górowski;6575;0;0;0;0;0;0
0205000;jaworski;8501;0;0;0;0;0;0
0206000;jeleniogórski;10105;0;0;0;0;0;0
0207000;kamiennogórski;7263;0;0;0;0;0;0
0208000;kłodzki;24631;0;0;2;1;2;1
0209000;legnicki;9915;0;0;0;0;0;0
0210000;lubański;8907;0;0;1;0;1;0
0211000;lubiński;18447;0;0;1;0;1;0
0212000;lwówecki;7578;0;0;0;0;0;0
0213000;milicki;7323;0;0;1;0;1;0
0214000;oleśnicki;19835;0;0;2;0;2;0
0215000;oławski;14143;0;0;1;0;1;0
0216000;polkowicki;12027;0;0;0;0;0;0
0217000;strzeliński;7665;0;0;2;0;2;0
0218000;średzki;9979;0;0;0;0;0;0
0219000;świdnicki;26107;0;0;1;1;1;1
0220000;trzebnicki;15899;0;0;1;0;1;0
0221000;wałbrzyski;8825;0;0;0;0;0;0
0222000;wołowski;7933;0;0;0;0;0;0
0223000;wrocławski;30338;0;0;0;0;0;0
0224000;ząbkowicki;10471;0;0;1;0;1;0
0225000;zgorzelecki;14489;0;0;2;1;2;1
0226000;złotoryjski;7357;0;0;0;0;0;0
0261000;m.Jelenia Góra;11508;0;0;3;1;3;1
0262000;m.Legnica;16465;1;1;1;1;2;2
0264000;m.Wrocław;103376;3;1;4;2;7;3
0265000;m.Wałbrzych;16639;1;1;1;1;2;2
0401000;aleksandrowski;9628;0;0;1;0;1;0
0402000;brodnicki;16044;0;0;1;0;1;0
0403000;bydgoski;23676;0;0;1;0;1;0
0404000;chełmiński;10024;0;0;1;0;1;0
0405000;golubsko-dobrzyński;8711;0;0;2;1;2;1
0406000;grudziądzki;8233;0;0;0;0;0;0
0407000;inowrocławski;27247;0;0;1;1;1;1
0408000;lipnowski;13048;0;0;1;0;1;0
0409000;mogileński;8276;0;0;0;0;0;0
0410000;nakielski;17017;0;0;1;0;1;0
0411000;radziejowski;6897;0;0;1;0;1;0
0412000;rypiński;8508;0;0;1;0;1;0
0413000;sępoleński;8092;0;0;0;0;0;0
0414000;świecki;19064;0;0;0;0;0;0
0415000;toruński;22696;0;0;5;0;5;0
0416000;tucholski;9724;0;0;0;0;0;0
0417000;wąbrzeski;6484;0;0;1;0;1;0
0418000;włocławski;15381;0;0;0;0;0;0
0419000;żniński;13216;0;0;0;0;0;0
0461000;m.Bydgoszcz;55702;1;1;1;1;2;2
0462000;m.Grudziądz;16778;0;0;1;1;1;1
0463000;m.Toruń;34017;1;1;1;1;2;2
0464000;m.Włocławek;17764;1;0;1;1;2;1
0601000;bialski;21347;0;0;1;0;1;0
0602000;biłgorajski;18291;0;0;1;0;1;0
0603000;chełmski;14201;0;0;0;0;0;0
0604000;hrubieszowski;10433;0;0;0;0;0;0
0605000;janowski;8112;0;0;0;0;0;0
0606000;krasnostawski;10099;0;0;1;1;1;1
0607000;kraśnicki;16195;0;0;2;0;2;0
0608000;lubartowski;16591;0;0;1;1;1;1
0609000;lubelski;30266;0;0;1;0;1;0
0610000;łęczyński;11170;0;0;0;0;0;0
0611000;łukowski;22392;0;0;1;0;1;0
0612000;opolski;10412;0;0;0;0;0;0
0613000;parczewski;6256;0;0;1;0;1;0
0614000;puławski;19335;0;0;2;0;2;0
0615000;radzyński;11474;0;0;1;0;1;0
0616000;rycki;10204;0;0;0;0;0;0
0617000;świdnicki;12472;0;0;1;0;1;0
0618000;tomaszowski;14126;0;0;1;0;1;0
0619000;włodawski;6834;0;0;1;0;1;0
0620000;zamojski;18327;0;0;1;0;1;0
0661000;m.Biała Podlaska;10354;0;0;2;2;2;2
0662000;m.Chełm;9806;0;0;2;1;2;1
0663000;m.Lublin;56905;1;1;4;5;5;6
0664000;m.Zamość;10596;0;0;1;1;1;1
0801000;gorzowski;13923;0;0;0;0;0;0
0802000;krośnieński;9646;0;0;2;0;2;0
0803000;międzyrzecki;10349;0;0;1;0;1;0
0804000;nowosolski;15859;0;0;1;0;1;0
0805000;słubicki;8744;1;0;1;0;2;0
0806000;strzelecko-drezdenecki;9265;0;0;1;0;1;0
0807000;sulęciński;6575;0;0;0;0;0;0
0808000;świebodziński;10385;0;0;1;0;1;0
0809000;zielonogórski;13938;0;0;0;0;0;0
0810000;żagański;13953;0;0;2;1;2;1
0811000;żarski;17202;0;0;1;0;1;0
0812000;wschowski;7663;0;0;1;0;1;0
0861000;m.Gorzów Wielkopolski;21545;0;0;2;1;2;1
0862000;m.Zielona Góra;24644;0;0;1;1;1;1
1001000;bełchatowski;20887;0;0;1;0;1;0
1002000;kutnowski;15396;0;0;1;1;1;1
1003000;łaski;8537;0;0;0;0;0;0
1004000;łęczycki;8475;0;0;1;0;1;0
1005000;łowicki;13992;0;0;2;1;2;1
1006000;łódzki wschodni;13271;0;0;2;0;2;0
1007000;opoczyński;14812;0;0;1;0;1;0
1008000;pabianicki;19601;0;1;1;2;1;3
1009000;pajęczański;8915;0;0;0;0;0;0
1010000;piotrkowski;17676;0;0;0;0;0;0
1011000;poddębicki;7032;0;0;1;0;1;0
1012000;radomszczański;19369;0;0;1;0;1;0
1013000;rawski;9096;0;0;0;0;0;0
1014000;sieradzki;21068;0;0;1;0;1;0
1015000;skierniewicki;7386;0;0;0;0;0;0
1016000;tomaszowski;21052;0;0;1;1;1;1
1017000;wieluński;13865;0;0;1;0;1;0
1018000;wieruszowski;7952;0;0;0;0;0;0
1019000;zduńskowolski;12020;0;0;1;1;1;1
1020000;zgierski;28742;0;0;4;1;4;1
1021000;brzeziński;5442;0;0;1;0;1;0
