teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ
0201000;bolesławiecki;15982;90173;17.72;0;0;1;1;1;1;p
0202000;dzierżoniowski;15857;102077;15.53;0;0;2;0;2;0;p
0203000;głogowski;16469;89933;18.31;0;0;1;1;1;1;p
0204000;górowski;6575;35473;18.54;0;0;0;0;0;0;p
0205000;jaworski;8501;50947;16.69;0;0;0;0;0;0;p
0206000;jeleniogórski;10105;64178;15.75;0;0;0;0;0;0;p
0207000;kamiennogórski;7263;43999;16.51;0;0;0;0;0;0;p
0208000;kłodzki;24631;160465;15.35;0;0;2;1;2;1;p
0209000;legnicki;9915;55233;17.95;0;0;0;0;0;0;p
0210000;lubański;8907;54991;16.20;0;0;1;0;1;0;p
0211000;lubiński;18447;106320;17.35;0;0;1;0;1;0;p
0212000;lwówecki;7578;46360;16.35;0;0;0;0;0;0;p
0213000;milicki;7323;37125;19.73;0;0;1;0;1;0;p
0214000;oleśnicki;19835;106907;18.55;0;0;2;0;2;0;p
0215000;oławski;14143;76505;18.49;0;0;1;0;1;0;p
0216000;polkowicki;12027;63017;19.09;0;0;0;0;0;0;p
0217000;strzeliński;7665;44006;17.42;0;0;2;0;2;0;p
0218000;średzki;9979;53722;18.58;0;0;0;0;0;0;p
0219000;świdnicki;26107;158392;16.48;0;0;1;1;1;1;p
0220000;trzebnicki;15899;84495;18.82;0;0;1;0;1;0;p
0221000;wałbrzyski;8825;56446;15.63;0;0;0;0;0;0;p
0222000;wołowski;7933;47124;16.83;0;0;0;0;0;0;p
0223000;wrocławski;30338;141337;21.47;0;0;0;0;0;0;p
0224000;ząbkowicki;10471;66009;15.86;0;0;1;0;1;0;p
0225000;zgorzelecki;14489;90584;16.00;0;0;2;1;2;1;p
0226000;złotoryjski;7357;44126;16.67;0;0;0;0;0;0;p
0261000;m.Jelenia Góra;11508;80072;14.37;0;0;3;1;3;1;m
0262000;m.Legnica;16465;100324;16.41;1;1;1;1;2;2;m
0264000;m.Wrocław;103376;638586;16.19;3;1;4;2;7;3;m
0265000;m.Wałbrzych;16639;113621;14.64;1;1;1;1;2;2;m
0401000;aleksandrowski;9628;55337;17.40;0;0;1;0;1;0;p
0402000;brodnicki;16044;78879;20.34;0;0;1;0;1;0;p
0403000;bydgoski;23676;115981;20.41;0;0;1;0;1;0;p
0404000;chełmiński;10024;52292;19.17;0;0;1;0;1;0;p
0405000;golubsko-dobrzyński;8711;45289;19.23;0;0;2;1;2;1;p
0406000;grudziądzki;8233;40368;20.39;0;0;0;0;0;0;p
0407000;inowrocławski;27247;161591;16.86;0;0;1;1;1;1;p
0408000;lipnowski;13048;66517;19.62;0;0;1;0;1;0;p
0409000;mogileński;8276;46046;17.97;0;0;0;0;0;0;p
0410000;nakielski;17017;86764;19.61;0;0;1;0;1;0;p
0411000;radziejowski;6897;40898;16.86;0;0;1;0;1;0;p
0412000;rypiński;8508;44029;19.32;0;0;1;0;1;0;p
0413000;sępoleński;8092;41373;19.56;0;0;0;0;0;0;p
0414000;świecki;19064;99505;19.16;0;0;0;0;0;0;p
0415000;toruński;22696;105631;21.49;0;0;5;0;5;0;p
0416000;tucholski;9724;48438;20.08;0;0;0;0;0;0;p
0417000;wąbrzeski;6484;34612;18.73;0;0;1;0;1;0;p
0418000;włocławski;15381;86604;17.76;0;0;0;0;0;0;p
0419000;żniński;13216;70534;18.74;0;0;0;0;0;0;p
0461000;m.Bydgoszcz;55702;352313;15.81;1;1;1;1;2;2;m
0462000;m.Grudziądz;16778;95629;17.54;0;0;1;1;1;1;m
0463000;m.Toruń;34017;202562;16.79;1;1;1;1;2;2;m
0464000;m.Włocławek;17764;111752;15.90;1;0;1;1;2;1;m
0601000;bialski;21347;111922;19.07;0;0;1;0;1;0;p
0602000;biłgorajski;18291;101949;17.94;0;0;1;0;1;0;p
0603000;chełmski;14201;78579;18.07;0;0;0;0;0;0;p
0604000;hrubieszowski;10433;64428;16.19;0;0;0;0;0;0;p
0605000;janowski;8112;46306;17.52;0;0;0;0;0;0;p
0606000;krasnostawski;10099;64432;15.67;0;0;1;1;1;1;p
0607000;kraśnicki;16195;96574;16.77;0;0;2;0;2;0;p
0608000;lubartowski;16591;89040;18.63;0;0;1;1;1;1;p
0609000;lubelski;30266;153380;19.73;0;0;1;0;1;0;p
0610000;łęczyński;11170;57461;19.44;0;0;0;0;0;0;p
0611000;łukowski;22392;107896;20.75;0;0;1;0;1;0;p
0612000;opolski;10412;60266;17.28;0;0;0;0;0;0;p
0613000;parczewski;6256;35140;17.80;0;0;1;0;1;0;p
0614000;puławski;19335;114198;16.93;0;0;2;0;2;0;p
0615000;radzyński;11474;59640;19.24;0;0;1;0;1;0;p
