teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ;ppp.dens
0201;bolesławiecki;15982;90173;17.72;0;0;1;1;1;1;p;7991
0202;dzierżoniowski;15857;102077;15.53;0;0;2;0;2;0;p;7928.5
0203;głogowski;16469;89933;18.31;0;0;1;1;1;1;p;8234.5
0204;górowski;6575;35473;18.54;0;0;0;0;0;0;p;66666
0205;jaworski;8501;50947;16.69;0;0;0;0;0;0;p;66666
0206;jeleniogórski;10105;64178;15.75;0;0;0;0;0;0;p;66666
0207;kamiennogórski;7263;43999;16.51;0;0;0;0;0;0;p;66666
0208;kłodzki;24631;160465;15.35;0;0;2;1;2;1;p;8210.33
0209;legnicki;9915;55233;17.95;0;0;0;0;0;0;p;66666
0210;lubański;8907;54991;16.20;0;0;1;0;1;0;p;8907
0211;lubiński;18447;106320;17.35;0;0;1;0;1;0;p;18447
0212;lwówecki;7578;46360;16.35;0;0;0;0;0;0;p;66666
0213;milicki;7323;37125;19.73;0;0;1;0;1;0;p;7323
0214;oleśnicki;19835;106907;18.55;0;0;2;0;2;0;p;9917.5
0215;oławski;14143;76505;18.49;0;0;1;0;1;0;p;14143
0216;polkowicki;12027;63017;19.09;0;0;0;0;0;0;p;66666
0217;strzeliński;7665;44006;17.42;0;0;2;0;2;0;p;3832.5
0218;średzki;9979;53722;18.58;0;0;0;0;0;0;p;66666
0219;świdnicki;26107;158392;16.48;0;0;1;1;1;1;p;13053.5
0220;trzebnicki;15899;84495;18.82;0;0;1;0;1;0;p;15899
0221;wałbrzyski;8825;56446;15.63;0;0;0;0;0;0;p;66666
0222;wołowski;7933;47124;16.83;0;0;0;0;0;0;p;66666
0223;wrocławski;30338;141337;21.47;0;0;0;0;0;0;p;66666
0224;ząbkowicki;10471;66009;15.86;0;0;1;0;1;0;p;10471
0225;zgorzelecki;14489;90584;16.;0;0;2;1;2;1;p;4829.67
0226;złotoryjski;7357;44126;16.67;0;0;0;0;0;0;p;66666
0261;m.Jelenia Góra;11508;80072;14.37;0;0;3;1;3;1;m;2877
