nrk;teryt;nro;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw;lwug15;lkw15;lkwzu15;lgnw15;lgw15;freq15;pgnw15;dup.addr
150;79521;181605;8;Zespół Szkół Nr 4 w Pawłokomie 36-065 Pawłokoma 24;409;54;54;4;50;13.2;7.41;420;119;119;11;108;28.33;9.24;Zespół Szkół Nr 4 w Pawłokomie|Pawłokoma| 24 |36-065 Dynów
258;91110;181701;23;Szpital Powiatowy 38-500 Sanok 800 Lecia 26;231;18;18;3;15;7.79;16.67;114;53;53;14;39;46.49;26.42;Areszt Śledczy|Sanok|Zaułek Dobrego Wojaka Szwejka 4 |38-500 
271;91111;181704;6;Świetlica na terenie ZK Nowy Łupków 38-543 Nowy Łupków 45;199;44;44;7;37;22.11;15.91;154;64;64;12;52;41.56;18.75;Świetlica na terenie ZK|Nowy Łupków| 45 |38-543 Komańcza
272;91112;181704;7;Świetlica na terenie OZ Moszczaniec 38-543 Moszczaniec 14;276;37;37;3;34;13.41;8.11;252;86;86;6;80;34.13;6.98;Świetlica na terenie OZ Moszczaniec|Moszczaniec| 14 |38-543 Komańcza
300;79667;181707;7;Dom Strażaka w Mokrem 38-542 Mokre 116;570;90;90;7;83;15.79;7.78;557;192;192;12;180;34.47;6.25;Dom Strażaka w Mokrem|Mokre| 116 |38-542 Rzepedź
368;79732;181804;3;Wiejski Dom Kultury 37-455 Chwałowice 132;1148;179;179;14;165;15.59;7.82;1137;454;454;28;426;39.93;6.17;Wiejski Dom Kultury|Chwałowice| 132 |37-455 Radomyśl nad Sanem
372;79736;181805;2;Urząd Gminy w Zaklikowie 37-470 Zaklików ul. Zachodnia 15;991;158;158;15;143;15.94;9.49;972;419;419;33;386;43.11;7.88;Urząd Miejski w Zaklikowie|Zaklików|ul. Zachodnia 15 |37-470 Zaklików
386;79749;181806;6;Publiczna Szkoła Podstawowa w Kotowej Woli 37 - 415 Kotowa Wola 1;775;139;139;17;122;17.94;12.23;764;330;330;22;308;43.19;6.67;Publiczna Szkoła Podstawowa w Kotowej Woli|Kotowa Wola| 1 |37-415 Zaleszany
387;79750;181806;7;Publiczna Szkoła Podstawowa im.II Armii Wojska Polskiego w Majdanie Zbydniowskim i Wólce Turebskiej 37 - 415 Majdan Zbydniowski 1;690;121;121;9;112;17.54;7.44;684;300;300;21;279;43.86;7;Publiczna Szkoła Podstawowa im.II Armii Wojska Polskiego w Majdanie Zbydniowskim i Wólce Turebskiej|Majdan Zbydniowski| 1 |37-415 Zaleszany
519;91123;182103;11;Szpital Powiatowy 38-600 Lesko Kochanowskiego 2;34;13;13;2;11;38.24;15.38;60;16;16;1;15;26.67;6.25;Szpital Powiatowy|Lesko|Kochanowskiego 2 |38-600 Lesko
523;79879;182104;4;Świetlica Wiejska 38-711 Wańkowa 66;582;64;64;4;60;11;6.25;583;182;182;17;165;31.22;9.34;Świetlica Wiejska|Wańkowa| 66 |38-711 Ropienka
557;80507;201003;2;Świetlica OSP w Żurobicach 17-306 Żurobice Żurobice 17a;293;36;36;3;33;12.29;8.33;291;96;96;6;90;32.99;6.25;Świetlica OSP w Żurobicach|Żurobice|Żurobice 17a |17-306 Dziadkowice
565;80515;201005;1;Wiejski Ośrodek Kultury,Sportu i Rekreacji w Wilanowie 17-307 Wilanowo 72;498;108;108;10;98;21.69;9.26;482;197;197;14;183;40.87;7.11;Wiejski Ośrodek Kultury,Sportu i Rekreacji|Wilanowo| 72 |17-307 Mielnik
569;80519;201006;2;Ochotnicz Straż Pożarna w Rogaczach 17-332 Rogacze 11;308;53;53;6;47;17.21;11.32;312;115;115;10;105;36.86;8.7;Ochotnicza Straż Pożarna w Rogaczach|Rogacze| 11 |17-332 Milejczyce
581;80531;201009;1;Gimnazjum Gminne w Siemiatyczach 17 - 300 Siemiatycze ul. Tadeusza Kościuszki 88;442;13;13;1;12;2.94;7.69;437;109;109;7;102;24.94;6.42;Gimnazjum Gminne w Siemiatyczach|Siemiatycze|ul. Tadeusza Kościuszki 88 |17-300 Siemiatycze
621;80570;201107;3;Szkoła Podstawowa w Majewie 16-124 Nowinka 1;543;86;86;8;78;15.84;9.3;544;176;176;11;165;32.35;6.25;Szkoła Podstawowa w Majewie|Nowinka| 1 |16-124 Sidra
658;80606;201201;4;Szkoła Podstawowa w Zdrębach 16-423 Zdręby 34;397;27;27;3;24;6.8;11.11;393;102;102;7;95;25.95;6.86;Szkoła Podstawowa w Zdrębach|Zdręby| 34 |16-423 Bakałarzewo
706;80653;201302;13;Świetlica Wiejska w Pobikrach 18-230 Pobikry 50;209;52;52;6;46;24.88;11.54;206;102;102;7;95;49.51;6.86;Świetlica Wiejska w Pobikrach|Pobikry| 50|18-230 Ciechanowiec
733;91177;201308;5;NZOZ MD CARE Sp. z o.o. Centrum Rehabilitacji i Adaptacji 18-218 Dworaki-Staśki 46;61;13;13;2;11;21.31;15.38;52;20;20;4;16;38.46;20;NZOZ MD CARE Sp. z o.o. Centrum Rehabilitacji i Adaptacji w Dworakach-Staśkach|Dworaki-Staśki| 46 |18-218 Sokoły
767;80710;201403;3;Szkoła Podstawowa w Grądach-Woniecko 18-312 Grądy-Woniecko 18;664;113;113;8;105;17.02;7.08;655;197;197;14;183;30.08;7.11;Szkoła Podstawowa w Grądach-Woniecko|Grądy-Woniecko| 18 |18-312 Rutki-Kossaki
1045;80969;220101;2;Szkoła Podstawowa 77-100 Dąbrówka 21;462;90;90;9;81;19.48;10;461;141;141;13;128;30.59;9.22;Sala Wiejska|Dąbrówka| 22 |77-100 Bytów
1046;80970;220101;3;Szkoła Podstawowa 77-141 Niedarzyno 21b;422;101;101;12;89;23.93;11.88;421;204;204;18;186;48.46;8.82;Szkoła Podstawowa w Niedarzynie|Niedarzyno| 21b |77-141 Borzytuchom
1068;80992;220102;22;Szkoła Podstawowa 77-131 Rekowo 18;654;109;109;7;102;16.67;6.42;654;296;296;20;276;45.26;6.76;Szkoła Podstawowa|Rekowo| 18 |77-131 Rekowo
1078;81001;220104;4;Zespoł Szkół 77-140 Łubno 22;550;67;67;11;56;12.18;16.42;553;180;180;20;160;32.55;11.11;Zespoł Szkół w Łubnie|Łubno| 22 |77-140 Kołczygłowy
1147;81066;220202;11;Szkoła Podstawowa 89-632 Męcikał Szkolna 7;545;139;139;10;129;25.5;7.19;572;287;287;18;269;50.17;6.27;Szkoła Podstawowa w Męcikale|Męcikał|Szkolna 7 |89-632 Brusy
1195;81112;220302;6;Międzypokoleniowe Wiejskie Centrum Aktywności 77-324 Bińcze 12;544;113;113;12;101;20.77;10.62;544;198;198;15;183;36.4;7.58;Międzypokoleniowe Wiejskie Centrum Aktywności|Bińcze| 12 |77-324 Bińcze
1197;81114;220302;8;Klub Animacji Społecznej 77-330 Krzemieniewo 34;577;91;91;7;84;15.77;7.69;573;183;183;11;172;31.94;6.01;Klub Animacji Społecznej|Krzemieniewo| 34 |77-330 Czarne
1198;91208;220302;9;Czarne 77-330 Czarne Pomorska 1;1393;288;288;43;245;20.67;14.93;1286;458;458;63;395;35.61;13.76;Zakład Karny|Czarne|Pomorska 1 |77-330 Czarne
1208;81123;220304;2;Centrum Kultury Sportu i Turystyki 77-310 Debrzno ul.Wojska Polskiego 1;1036;159;159;10;149;15.35;6.29;1064;365;365;22;343;34.3;6.03;Centrum Kultury Sportu i Turystyki|Debrzno|ul.Wojska Polskiego 2 |77-310 Debrzno
1211;81126;220304;5;Świetlica Wiejska 77-310 Stanisławka 10B;390;42;42;9;33;10.77;21.43;379;65;65;8;57;17.15;12.31;Świetlica Wiejska Stanisławka|Stanisławka| 10B |77-310 Debrzno
1213;81128;220304;7;Świetlica Wiejska 77-310 Słupia 38A;481;33;33;4;29;6.86;12.12;480;134;134;11;123;27.92;8.21;Świetlica Wiejska Słupia|Słupia| 38A |77-310 Debrzno
1221;81136;220305;4;Świetlica OSP w Pietrzykowie 77-220 Pietrzykowo 34;460;65;65;4;61;14.13;6.15;451;155;155;15;140;34.37;9.68;Sala Wiejska w Pietrzykowie|Pietrzykowo| 24 |77-220 Koczała
1226;81141;220306;5;Przedszkole 77-320 Przechlewo Osiedle Juźkowa 14;932;160;160;10;150;17.17;6.25;934;422;422;33;389;45.18;7.82;Przedszkole|Przechlewo|Osiedle Juźkowa 14 |77-320 Przechlewo
1234;81149;220307;5;Zespół Szkół Filia w Gwieździnie 77-304 Gwieździn 26;436;63;63;5;58;14.45;7.94;427;149;149;9;140;34.89;6.04;Świetlica Wiejska w Gwieździnie|Gwieździn| 18a |77-304 Rzeczenica
1235;81150;220307;6;Szkoła Podstawowa 77-304 Pieniężnica 55;283;26;26;2;24;9.19;7.69;280;80;80;5;75;28.57;6.25;Zespół Szkół w Rzeczenicy Filia w Pieniężnicy|Pieniężnica| 55 |77-304 Rzeczenica
1281;81196;220406;4;Szkoła Podstawowa w Żelisławkach 83-032 Żelisławki 3;633;77;77;7;70;12.16;9.09;637;225;225;15;210;35.32;6.67;Szkoła Podstawowa w Żelisławkach|Żelisławki| 3 |83-032 Pszczółki
1288;91232;221201;10;Wojewódzki Szpital Specjalistyczny im. Janusza Korczaka w Słupsku, Oddział w Ustce 76-270 Ustka ul. Mickiewicza 12;47;13;13;5;8;27.66;38.46;60;27;27;6;21;45;22.22;Wojewódzki Szpital Specjalistyczny im. Janusza Korczaka w Słupsku Sp. z o.o. Oddział w Ustce|Ustka|Mickiewicza 12 |76-270 Ustka
1290;81556;221202;2;Zespół Szkół w Damnie 76-231 Damno 42;1858;149;149;11;138;8.02;7.38;1825;490;490;42;448;26.85;8.57;Zespół Szkół w Damnie|Damno| 42 |76-231 Damnica
