komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K1;1;1;LITWIN Czesław;2043;33.88;0.50;NX
K1;1;2;KOWALSKA Marianna Stefania;728;12.07;0.18;NX
K1;1;3;SAS Dariusz Krzysztof;353;5.85;0.09;NX
K1;1;4;WOJTKUN Czesław;220;3.64;0.05;NX
K1;1;5;JĘDRASZKO Janusz;230;3.81;0.06;NX
K1;1;6;KAWECKA Marzanna;277;4.59;0.07;NX
K1;1;7;NOWAK Patrycja Anna;220;3.64;0.05;NX
K1;1;8;MICHALSKI Henryk Zbigniew;221;3.66;0.05;NX
K1;1;9;WITKOWSKI Bolesław;194;3.21;0.05;NX
K1;1;10;STACHÓW Marian;170;2.81;0.04;NX
K1;1;11;SZYMOREK Elżbieta;116;1.92;0.03;NX
K1;1;12;SAWICKI Jan;242;4.01;0.06;NX
K1;1;13;CHUDY Dagmara Angelika;129;2.13;0.03;NX
K1;1;14;TOKARCZYK Ryszard;127;2.10;0.03;NX
K1;1;15;CIEŚLAK Mariola;177;2.93;0.04;NX
K1;1;17;MATUSIAK Dagmara;130;2.15;0.03;NX
K1;1;18;LADZIŃSKA Adela;40;0.66;0.01;NX
K1;1;19;NOWAK Ryszard;172;2.85;0.04;NX
K1;1;20;CIOSEK-ZADROGA Anna Małgorzata;240;3.98;0.06;NX
K1;2;1;KOŁACZ Grzegorz;1494;34.59;0.55;NX
K1;2;2;SKIBA Grzegorz Wojciech;411;9.51;0.15;NX
K1;2;3;JASIAK Ewa;429;9.93;0.16;NX
K1;2;4;CYMBAŁA Tadeusz Piotr;294;6.80;0.11;NX
K1;2;5;KINDEL Bogusława;94;2.17;0.03;NX
K1;2;6;NIEJADLIK Kazimierz;107;2.47;0.04;NX
K1;2;7;ŻARNOWSKA Maria;191;4.42;0.07;NX
K1;2;8;WIDZIAK Józef Franciszek;140;3.24;0.05;NX
K1;2;9;SMACKI Zdzisław Kazimierz;65;1.50;0.02;NX
K1;2;10;WAŻNY Andrzej;155;3.58;0.06;NX
K1;2;11;JANIK Jan Jerzy;140;3.24;0.05;NX
K1;2;12;MAKOWSKA Agnieszka;184;4.26;0.07;NX
K1;2;13;KRAWCZYK Edmund Karol;146;3.38;0.05;NX
K1;2;14;SUDOŁ Patryk Radosław;107;2.47;0.04;NX
K1;2;15;JAŚKIEWICZ Artur;103;2.38;0.04;NX
K1;2;16;HAJDUK Kazimierz Stanisław;258;5.97;0.10;NX
K1;3;1;ŻYSZKIEWICZ Jerzy;2208;35.54;0.40;NX
K1;3;2;BERUS Anna Eugenia;550;8.85;0.10;NX
K1;3;3;SZYLLE Dariusz Władysław;176;2.83;0.03;NX
K1;3;4;WARGOCKI Jan;217;3.49;0.04;NX
K1;3;5;WAJDA Marian Leord;324;5.21;0.06;NX
K1;3;6;ZAJĄC Wiesław Antoni;390;6.27;0.07;NX
K1;3;7;KOWALSKA Maria;295;4.74;0.05;NX
K1;3;8;KOZAK Iwona Stanisława;202;3.25;0.04;NX
K1;3;9;KOSIK Julian Sylwester;89;1.43;0.02;NX
K1;3;10;OLSZEWSKI Stanisław;327;5.26;0.06;NX
K1;3;11;KOZERA Kamil;132;2.12;0.02;NX
K1;3;12;LITWIN Janina Zbigniewa;110;1.77;0.02;NX
K1;3;13;GIEDRYS Elżbieta Barbara;136;2.18;0.02;NX
K1;3;14;DRÓŻDŻ Henryk;95;1.52;0.02;NX
K1;3;15;STEFANISZYN Arkadiusz Robert;133;2.14;0.02;NX
K1;3;16;JANKOWSKI Zygmunt Piotr;100;1.60;0.02;NX
K1;3;17;SOBURA Maria Małgorzata;64;1.03;0.01;NX
K1;3;18;ILKÓW Krzysztof Roman;41;0.66;0.01;NX
K1;3;19;NOGA Krystyna;154;2.47;0.03;NX
K1;3;20;ZARUCKA Wioletta Ewa;83;1.33;0.01;NX
K1;3;21;KAMIŃSKI Maciej Sebastian;79;1.27;0.01;NX
K1;3;22;KODŹ Bożena Urszula;42;0.67;0.01;NX
K1;3;23;JANUS Marcin;61;0.98;0.01;NX
K1;3;24;KOSTKA Rosanna;29;0.46;0.01;NX
K1;3;25;HABER Kazimierz;32;0.51;0.01;NX
K1;3;26;TYL Czesław;143;2.30;0.03;NX
K1;4;1;FILIPEK-KAŹMIERCZAK Sebastian Franciszek;2175;30.40;0.52;NX
K1;4;2;NOWACKI Bartosz Leszek;644;9.00;0.15;NX
K1;4;3;KUKIEŁKA Agnieszka;810;11.32;0.19;NX
K1;4;4;WIECZOREK Jan Franciszek;501;7.00;0.12;NX
K1;4;5;JAKUBCZYK Adam;328;4.58;0.08;NX
K1;4;6;ZAWIERUCHA Kazimierz;148;2.06;0.04;NX
K1;4;7;KWIATKOWSKI Czesław Stanisław;261;3.64;0.06;NX
K1;4;8;KINECKI Błażej Andrzej;160;2.23;0.04;NX
K1;4;9;DRABIK Jacek;83;1.16;0.02;NX
K1;4;10;KASPRZYK Tadeusz Bogdan;95;1.32;0.02;NX
K1;4;11;SZREIBER Jan Franciszek;70;0.97;0.02;NX
K1;4;12;KAMIŃSKA Irena Maria;212;2.96;0.05;NX
K1;4;13;GWIZDAŁA Krzysztof Jan;531;7.42;0.13;NX
K1;4;14;KUŹBA Zygmunt;145;2.02;0.03;NX
K1;4;15;STRZELECKI Stanisław;206;2.87;0.05;NX
K1;4;16;BEDRYJ Teresa;85;1.18;0.02;NX
K1;4;17;FETTER Romuald Nikodem;72;1.00;0.02;NX
K1;4;18;PODSIADŁY Zbigniew Józef;88;1.23;0.02;NX
K1;4;19;BUBACZ Mieczysław;72;1.00;0.02;NX
K1;4;20;RACŁAW Ryszard;38;0.53;0.01;NX
K1;4;21;KLUGOWSKA Lidia Irena;61;0.85;0.01;NX
K1;4;22;KRYSTEK Ryszard Leon;39;0.54;0.01;NX
K1;4;23;GÓRSKI Zdzisław;144;2.01;0.03;NX
K1;4;24;KUROPATWIŃSKA Małgorzata;186;2.59;0.04;NX
K1;5;1;KUROPATWIŃSKI Lech Stefan;2858;31.14;0.73;NX
K1;5;2;WOLSKI Piotr Aleksander;1233;13.43;0.31;NX
K1;5;3;KRAJEWSKI Ryszard;510;5.55;0.13;NX
K1;5;4;CHMIELEWSKI Marek;386;4.20;0.10;NX
K1;5;5;JANKOWSKI Stefan Józef;326;3.55;0.08;NX
K1;5;6;KAPELIŃSKI Piotr;320;3.48;0.08;NX
K1;5;7;CZARNECKI Piotr;479;5.22;0.12;NX
K1;5;8;RUSOŃ Błażej;222;2.41;0.06;NX
K1;5;9;JURKIEWICZ Józef Franciszek;285;3.10;0.07;NX
K1;5;10;PIEJKO Wawrzyniec;163;1.77;0.04;NX
K1;5;11;SUCHORZYŃSKI Mirosław Wojciech;79;0.86;0.02;NX
K1;5;12;KOWAL Mieczysław;212;2.31;0.05;NX
K1;5;13;ŁUBIŃSKI Wiesław;122;1.32;0.03;NX
K1;5;14;PARADZIŃSKI Zdzisław;159;1.73;0.04;NX
K1;5;15;SZALEWSKA Barbara Jolanta;231;2.51;0.06;NX
K1;5;16;LEJMAN Beata Ewa;203;2.21;0.05;NX
K1;5;17;WÓJCIK Kazimierz;144;1.56;0.04;NX
K1;5;18;SZCZUPAKOWSKI Wojciech;108;1.17;0.03;NX
K1;5;19;OCHOCIŃSKI Marian Kazimierz;92;1.00;0.02;NX
K1;5;20;JASIŃSKI Roman Tadeusz;123;1.34;0.03;NX
K1;5;21;PIETRZAK Grzegorz Marian;150;1.63;0.04;NX
K1;5;22;RUTKOWSKI Andrzej;204;2.22;0.05;NX
K1;5;23;ANTOSZEWSKI Antoni;164;1.78;0.04;NX
