okreg;komitet;numer;kandydat;url;glosy;procent;wynik
10;1;1;Macierewicz Antoni;/cpr/sjm-10/pl/a3f6f6b7-831a-440a-92cc-f2dea6d29280.html;41871;16,03;PX
10;1;2;Seliga Dariusz Michał;/cpr/sjm-10/pl/044f32bf-3319-4236-a1b5-58bce8641991.html;8129;3,11;PX
10;1;3;Krupa Urszula Irena;/cpr/sjm-10/pl/74e8353c-0237-41ca-b083-b68cb69854a9.html;4791;1,83;NX
10;1;4;Telus Robert;/cpr/sjm-10/pl/5d272ba4-6946-4d99-8a8f-2751e934c08f.html;11305;4,33;PX
10;1;5;Maciejewski Krzysztof;/cpr/sjm-10/pl/c6cfe681-9828-4aef-97b8-f7837ae1caa2.html;6442;2,47;NX
10;1;6;Witko Marcin;/cpr/sjm-10/pl/d8d6c60e-7c43-41ee-9d7d-550fe9e14eeb.html;6535;2,50;PX
10;1;7;Brózda Jarosław Konrad;/cpr/sjm-10/pl/77397a53-0e39-4186-ae78-58653f3e5bfa.html;5039;1,93;NX
10;1;8;Olejnik Wiesława Helena;/cpr/sjm-10/pl/f7d4051e-0c98-4fa2-9a48-2d06d6981808.html;2168;0,83;NX
10;1;9;Grabek Anna Małgorzata;/cpr/sjm-10/pl/c83c23b5-792f-4c77-93aa-c406ca792234.html;3014;1,15;NX
10;1;10;Penczak Maria Karolina;/cpr/sjm-10/pl/b79aa8c6-e10d-4d73-bb2a-a1a7d7a55897.html;558;0,21;NX
10;1;11;Grabowski Piotr;/cpr/sjm-10/pl/4ec5517b-ccfd-460f-afad-8f0b461c9525.html;4211;1,61;NX
10;1;12;Lasota Magdalena Małgorzata;/cpr/sjm-10/pl/088e41a0-4f54-4e02-9328-89be90c796aa.html;1118;0,43;NX
10;1;13;Kubiak Dariusz Jan;/cpr/sjm-10/pl/513f9825-101a-4b46-8394-070a33718209.html;2080;0,80;NX
10;1;14;Sikorska Iwona Ewa;/cpr/sjm-10/pl/2a9249c6-1930-40c3-b1c2-76527aac2e48.html;855;0,33;NX
10;1;15;Nowakowska Joanna Małgorzata;/cpr/sjm-10/pl/77caa647-e7ee-4703-9b67-ca3302d43359.html;950;0,36;NX
10;1;16;Marasek Mariusz Wojciech;/cpr/sjm-10/pl/8d55dee9-21f2-4458-ace7-90b981331fbc.html;567;0,22;NX
10;1;17;Witczak Witold Jacek;/cpr/sjm-10/pl/24cb4c4f-398a-46f0-b27e-31f39ccb0205.html;3839;1,47;NX
10;2;1;Przybyłek Ignacy Wojciech;/cpr/sjm-10/pl/33dfb23c-e74a-4005-ab9e-157c5ff95319.html;1384;0,53;NX
10;2;2;Zyskowski Mieczysław Kazimierz;/cpr/sjm-10/pl/cf2f0d05-050f-49e9-8a5d-9718b05c7442.html;773;0,30;NX
10;2;3;Kulbas Małgorzata Bogumiła;/cpr/sjm-10/pl/07b5f1e6-3317-4881-96f1-5b9d9ecfd4ef.html;476;0,18;NX
10;2;4;Bernacki Mirosław;/cpr/sjm-10/pl/b5a2dbfe-5766-486b-a7ac-11fb00d4714d.html;231;0,09;NX
10;2;5;Niewieczerzał Arkadiusz Mariusz;/cpr/sjm-10/pl/2dc3dfeb-463c-49fc-907b-96fcb1c739f2.html;374;0,14;NX
10;2;6;Hetig Ewelina;/cpr/sjm-10/pl/36d2103c-7444-48cd-a233-dc2e10e092c0.html;193;0,07;NX
10;2;7;Wojciechowska Beata Janina;/cpr/sjm-10/pl/2a15d79d-617f-4529-8a71-b46baff6e02a.html;419;0,16;NX
10;2;8;Sosiński Robert Wacław;/cpr/sjm-10/pl/befdcad2-ab77-44d4-92c8-a1100ac70d5a.html;93;0,04;NX
10;2;9;Cichecka Agata;/cpr/sjm-10/pl/622d5392-7f21-42e0-b1c9-e7fedc623f35.html;267;0,10;NX
10;2;10;Szymański Dariusz Wiktor;/cpr/sjm-10/pl/25c6c508-2532-40ae-91ba-3eee906b7996.html;113;0,04;NX
10;2;11;Kapusta Mariusz;/cpr/sjm-10/pl/02b36646-1298-4cff-bf79-fccf05c56efd.html;127;0,05;NX
10;2;12;Tahery Magdalena Izabela;/cpr/sjm-10/pl/47cc76f5-4fb4-4b64-abaa-51512d1d686d.html;74;0,03;NX
10;2;13;Wiktorowicz Aleksandra Elżbieta;/cpr/sjm-10/pl/401ecfd0-681a-4eef-ac68-579526411f1f.html;432;0,17;NX
10;3;1;Ostrowski Artur Zygmunt;/cpr/sjm-10/pl/7d5cc6b6-5a2a-4580-b1a0-c68186c592b2.html;7884;3,02;PX
10;3;2;Barański Andrzej;/cpr/sjm-10/pl/60c964ee-31bc-43d7-a8c8-6a58521fb87b.html;4004;1,53;NX
10;3;3;Kałuzińska Danuta;/cpr/sjm-10/pl/455193fd-91f0-42a5-8dd9-1004104af0bd.html;2894;1,11;NX
10;3;4;Komidzierski Sławomir Jarosław;/cpr/sjm-10/pl/00147935-a7d0-4196-8f3e-057e2f8c1583.html;1845;0,71;NX
10;3;5;Karbowiak Małgorzata Stanisława;/cpr/sjm-10/pl/deb6a420-abde-46f3-95b6-6a894e37f09f.html;895;0,34;NX
10;3;6;Baryła Stanisław Paweł;/cpr/sjm-10/pl/2646fd39-5766-4574-9124-f4cfe928e3f7.html;836;0,32;NX
10;3;7;Rochmiński Paweł;/cpr/sjm-10/pl/a717cb1e-731a-430c-a18d-dd4ce6a77d36.html;227;0,09;NX
10;3;8;Dębska Anna Janina;/cpr/sjm-10/pl/5a5cec27-0f70-4e7d-b1a5-9cd8d3083567.html;758;0,29;NX
10;3;9;Napora Joanna Małgorzata;/cpr/sjm-10/pl/033db8d1-3d3c-4913-938a-7d4498a0a7af.html;680;0,26;NX
10;3;10;Kik Mirosław Jan;/cpr/sjm-10/pl/5cd5ed04-57dc-48d9-b201-64bcbdb362f5.html;544;0,21;NX
10;3;11;Pierkoś Piotr Mariusz;/cpr/sjm-10/pl/3af3367f-0f59-49df-8db9-93ea08bc6f5a.html;312;0,12;NX
10;3;12;Wiktorowicz Agnieszka Dorota;/cpr/sjm-10/pl/cbe10db5-eb8c-4749-a1c3-921d97b1911e.html;400;0,15;NX
10;3;13;Cieślik Jan;/cpr/sjm-10/pl/4a415c42-1b07-450f-9d0f-ee950e40ad32.html;353;0,14;NX
10;3;14;Pecyna Maria;/cpr/sjm-10/pl/7e64bfa4-d0c5-41ed-83f2-f700256379bc.html;478;0,18;NX
10;3;15;Starczyk Tomasz Krzysztof;/cpr/sjm-10/pl/bbfd1183-db2a-4fda-9b2e-94a78f90bb8b.html;170;0,07;NX
10;3;16;Jagiełło Jolanta Gabriela;/cpr/sjm-10/pl/609ee3ba-7093-424b-a35a-075fba9c4fb3.html;688;0,26;NX
10;3;17;Chrzanowski Bogdan;/cpr/sjm-10/pl/7fef2a45-5d45-4b2a-96a9-6cc25eec9f9d.html;360;0,14;NX
10;3;18;Stempniak Piotr Andrzej;/cpr/sjm-10/pl/819582c1-9f91-4e2c-9c89-ce2606061e3d.html;660;0,25;NX
10;4;1;Domaracki Marek Robert;/cpr/sjm-10/pl/39ddba32-0da1-4ba6-8bf1-dd1a9e6c3996.html;9986;3,82;PX
10;4;2;Jakubowski Marek Janusz;/cpr/sjm-10/pl/e9ac253f-0e86-4fc1-bcd7-7cbfb4dff6e1.html;2071;0,79;NX
10;4;3;Gruchała Jadwiga Wanda;/cpr/sjm-10/pl/75b35456-aaac-4785-8c71-c6b465e508c9.html;1941;0,74;NX
10;4;4;Kasprzyca Wiesława Wacława;/cpr/sjm-10/pl/c3bc0c1d-0dd9-4865-a80a-141d0ac8bd3b.html;535;0,20;NX
10;4;5;Ruciński Krzysztof Ryszard;/cpr/sjm-10/pl/c24d1241-fd4d-4023-ad18-d9297c04fc29.html;705;0,27;NX
10;4;6;Rosiński Bartłomiej;/cpr/sjm-10/pl/e965d395-bc93-4a23-a7b9-196aea2904ac.html;782;0,30;NX
10;4;7;Traczyk Ewa Teresa;/cpr/sjm-10/pl/639d2511-6a23-4d42-89b8-963165cdd080.html;1134;0,43;NX
10;4;8;Madej Mariusz Bogdan;/cpr/sjm-10/pl/8d00a808-d499-4b4c-a3c0-0ef2ce277ced.html;756;0,29;NX
10;4;9;Karzewnik Zofia;/cpr/sjm-10/pl/84e131ad-09b5-4908-a326-b4fbf8955d87.html;411;0,16;NX
10;4;10;Małyszek Dorota;/cpr/sjm-10/pl/eb0b9803-cf44-4e8f-838b-aea0a4790692.html;785;0,30;NX
10;4;11;Filipek Bohdan Jerzy;/cpr/sjm-10/pl/3b73e120-b3c6-45b8-87e1-55e1751d5e18.html;424;0,16;NX
10;4;12;Wąs Elżbieta Urszula;/cpr/sjm-10/pl/0607bc6a-cca0-4de8-b876-8c51fff37d96.html;674;0,26;NX
10;4;13;Kaczmarek Daniel Jacek;/cpr/sjm-10/pl/c9feb855-9fe5-46eb-a145-15e2a6dbf97b.html;598;0,23;NX
10;4;14;Wójciak Wanda Krystyna;/cpr/sjm-10/pl/61dc0d35-8605-419e-b5af-a185f4314af6.html;352;0,13;NX
10;4;15;Wojtania Paweł;/cpr/sjm-10/pl/dda381b5-ebdd-4615-8350-f499a91cab6e.html;815;0,31;NX
10;4;16;Staniec Marcin Dariusz;/cpr/sjm-10/pl/a506fb10-b7a3-4d92-9adc-433c45cc7365.html;1041;0,40;NX
10;5;1;Ozga Krystyna Ewa;/cpr/sjm-10/pl/60d616f8-1db6-410d-9fd0-f2d0f74bacb8.html;9207;3,53;PX
10;5;2;Witaszczyk Stanisław;/cpr/sjm-10/pl/a8dfbee0-369a-4240-aeff-d92ae00a073f.html;5902;2,26;NX
