komitet;numer;posel;glosy
6;1;LIPIŃSKI Adam;32303
6;2;WITEK Elżbieta Barbara;9666
6;3;MACHAŁEK Marzena Anna;11109
6;5;CYBULSKI Piotr;11835
8;1;SCHETYNA Grzegorz;54345
8;2;DROZD Ewa;19908
8;3;ZAWIŁA Marcin Edward;14133
8;4;WOJNAROWSKI Norbert;15439
8;5;BRODNIAK Roman;10191
8;6;MIKULICZ Janusz;8291
20;1;SZMAJDZIŃSKI Jerzy Andrzej;42724
20;2;ZBRZYZNY Ryszard;11049
6;1;WIĄZOWSKI Waldemar Bogdan;20911
6;4;ZALEWSKA Anna Elżbieta;10584
8;1;CHLEBOWSKI Zbigniew;56533
8;2;MRZYGŁOCKA Izabela Katarzyna;18523
8;3;SZULC Jakub Maciej;12310
8;4;SMOLARZ Tomasz;8208
8;6;WIELICHOWSKA Monika;5877
20;2;GOŁĘBIEWSKI Henryk;10664
6;1;UJAZDOWSKI Kazimierz Michał;73416
6;2;NATALLI-ŚWIAT Aleksandra Krystyna;21999
6;3;JACKIEWICZ Dawid Bohdan;14653
6;4;KEMPA Beata Agnieszka;10228
8;1;ZDROJEWSKI Bogdan;213883
8;2;ŁOŚ Andrzej Antoni;6064
8;3;PIECHOTA Sławomir Jan;13345
8;4;WOLAK Ewa Wanda;7686
8;5;MŁYŃCZAK Aldona;5420
8;6;SKORUPA Aleksander Marek;4851
8;7;HUSKOWSKI Stanisław;9584
8;8;RABA Norbert Łukasz;4306
8;17;JAROS Michał;4740
20;1;KRASOŃ Janusz;21490
6;1;MOJZESOWICZ Wojciech;37634
6;2;LATOS Tomasz Edward;17751
6;3;WALKOWIAK Andrzej;8127
8;1;SIKORSKI Radosław Tomasz;117291
8;2;OLSZEWSKI Paweł Bartosz;8633
8;3;PIOTROWSKA Teresa;12558
8;4;KATULSKI Jarosław Paweł;7514
8;5;ROSZAK Grzegorz Michał;6217
8;24;BREJZA Krzysztof;6441
10;1;KŁOPOTEK Eugeniusz;12975
20;1;ZEMKE Janusz Władysław;42347
