"Kod TERYT";"Gmina";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście której rejestracja została unieważniona";"% głosów ważnych";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"020101";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"60,88";"1,15";"46,19";"53,81";"0,00";"98,85";"23,95";"";"6,16";"5,40";"";"35,83";"";"22,22";"6,44";""
"020102";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"56,54";"1,47";"58,06";"41,94";"0,00";"98,53";"19,24";"";"7,58";"9,27";"";"43,64";"";"14,94";"5,32";""
"020103";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"52,83";"2,42";"81,82";"18,18";"0,00";"97,58";"12,93";"";"5,27";"6,94";"";"50,81";"";"19,28";"4,77";""
"020104";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"48,79";"1,91";"63,30";"36,70";"0,00";"98,09";"15,70";"";"7,73";"9,60";"";"53,30";"";"9,75";"3,92";""
"020105";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"49,94";"2,49";"65,67";"34,33";"0,00";"97,51";"19,38";"";"6,97";"8,23";"";"45,70";"";"15,61";"4,11";""
"020106";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"51,50";"1,64";"67,86";"32,14";"0,00";"98,36";"18,52";"";"7,27";"8,46";"";"49,48";"";"12,05";"4,21";""
"020201";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"54,07";"1,44";"68,28";"31,72";"0,00";"98,56";"27,24";"";"5,68";"7,06";"";"41,27";"";"14,55";"4,19";""
"020202";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"59,56";"1,01";"64,33";"35,67";"0,00";"98,99";"30,23";"";"5,29";"13,32";"";"38,51";"";"10,87";"1,78";""
"020203";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"51,78";"1,86";"65,28";"34,72";"0,00";"98,14";"28,81";"";"5,91";"7,99";"";"46,42";"";"8,36";"2,50";""
"020204";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"50,96";"1,27";"68,75";"31,25";"0,00";"98,73";"19,50";"";"6,89";"11,61";"";"50,06";"";"9,61";"2,32";""
"020205";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"55,66";"1,63";"68,66";"31,34";"0,00";"98,37";"20,05";"";"5,72";"12,89";"";"51,30";"";"8,33";"1,71";""
"020206";"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";"54,25";"1,42";"69,57";"30,43";"0,00";"98,58";"19,43";"";"6,05";"9,31";"";"56,19";"";"7,49";"1,54";""
"020207";"gm. Niemcza";"dzierżoniowski";"dolnośląskie";"50,48";"1,96";"65,91";"34,09";"0,00";"98,04";"22,41";"";"5,26";"11,62";"";"48,19";"";"10,93";"1,59";""
"020301";"m. Głogów";"głogowski";"dolnośląskie";"61,10";"0,81";"61,72";"38,28";"0,00";"99,19";"27,63";"";"5,16";"4,32";"";"42,60";"";"17,68";"2,62";""
"020302";"gm. Głogów";"głogowski";"dolnośląskie";"62,40";"1,84";"71,67";"28,33";"0,00";"98,16";"23,22";"";"5,80";"7,20";"";"48,32";"";"13,47";"2,00";""
"020303";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"64,78";"1,80";"73,33";"26,67";"0,00";"98,20";"23,54";"";"6,45";"6,77";"";"43,08";"";"17,75";"2,41";""
"020304";"gm. Kotla";"głogowski";"dolnośląskie";"50,53";"1,98";"73,53";"26,47";"0,00";"98,02";"21,09";"";"4,58";"5,53";"";"54,72";"";"11,47";"2,61";""
"020305";"gm. Pęcław";"głogowski";"dolnośląskie";"50,12";"2,53";"50,00";"50,00";"0,00";"97,47";"12,06";"";"4,61";"15,48";"";"62,06";"";"4,96";"0,83";""
"020306";"gm. Żukowice";"głogowski";"dolnośląskie";"52,37";"2,49";"82,86";"17,14";"0,00";"97,51";"19,21";"";"6,28";"7,23";"";"51,42";"";"13,51";"2,34";""
"020401";"gm. Góra";"górowski";"dolnośląskie";"51,54";"1,25";"72,45";"27,55";"0,00";"98,75";"26,72";"";"5,74";"7,30";"";"44,18";"";"11,84";"4,22";""
"020402";"gm. Jemielno";"górowski";"dolnośląskie";"47,73";"2,18";"64,00";"36,00";"0,00";"97,82";"15,76";"";"5,08";"9,80";"";"57,88";"";"9,44";"2,05";""
