"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Frekwencja";"Procent głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Procent głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY POLEXIT";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"KOMITET WYBORCZY WYBORCÓW GŁOS SILNEJ POLSKI"
20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";12;24;24;"39,85";"0,63";"67,61";"32,39";"0,00";"99,37";"44,08";"8,36";"4,72";"10,94";;"0,30";;"30,43";;"1,17";
20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";12;21;21;"36,37";"0,72";"43,33";"56,67";"0,00";"99,28";"33,55";"5,02";"5,31";"15,53";;"0,27";;"39,07";;"1,25";
20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";12;7;7;"31,60";"0,93";"50,00";"50,00";"0,00";"99,07";"23,97";"4,14";"3,51";"13,19";;"0,16";;"53,55";;"1,48";
20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";12;14;14;"29,07";"1,06";"60,00";"40,00";"0,00";"98,94";"22,17";"3,98";"5,50";"16,76";;"0,52";;"49,69";;"1,38";
20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";12;7;7;"29,58";"1,17";"61,11";"38,89";"0,00";"98,83";"34,56";"5,27";"5,13";"15,60";;"0,39";;"37,13";;"1,91";
20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";12;10;10;"31,48";"1,47";"70,00";"30,00";"0,00";"98,53";"27,32";"5,66";"3,33";"17,04";;"0,20";;"45,50";;"0,94";
20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";12;22;22;"36,13";"0,66";"49,06";"50,94";"0,00";"99,34";"39,68";"7,10";"5,69";"10,67";;"0,16";;"35,50";;"1,20";
20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";12;23;23;"41,08";"0,56";"60,00";"40,00";"0,00";"99,44";"43,92";"6,47";"4,53";"10,46";;"0,24";;"33,43";;"0,95";
20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";12;11;11;"34,71";"0,99";"37,50";"62,50";"0,00";"99,01";"35,72";"5,62";"4,79";"11,87";;"0,54";;"40,09";;"1,37";
20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";12;3;3;"31,28";"0,62";"66,67";"33,33";"0,00";"99,38";"30,29";"5,79";"8,16";"12,98";;"0,56";;"41,31";;"0,91";
