packid;id;name;date;town;cntry;weight;height;played;lbs;pens;conv
33;11520;Gethin Jenkins;1980;Cardiff;Wales;121;188;311;;0;0
33;21352;Mike Phillips;1982;Carmarthen;Wales;101;191;374;;0;0
33;21358;Adam Jones;1981;Morriston;Wales;120;183;313;;0;0
33;21359;Huw Bennett;1983;Abergavenny;Wales;106;183;338;;0;0
33;23227;Paul James;1982;Neath;Wales;115;186;233;;0;0
33;24721;Ryan Jones;1981;Newport;Wales;115;197;184;;0;0
33;24722;Luke Charteris;1983;Camborne;England;125;206;383;;0;0
33;26351;Aled Brew;1986;Cardiff;Wales;98;185;54;;0;0
33;26376;Alun Wyn Jones;1985;Swansea;Wales;122;197;394;;0;0
33;26386;Jamie Roberts;1986;Newport;Wales;110;193;384;;0;0
33;28216;Lee Byrne;1980;Bridgend;Wales;96;191;160;;0;0
33;29368;Jonathan Davies;1988;Solihull;England;105;186;415;;0;0
33;29369;Bradley Davies;1987;Church Village;Wales;122;198;204;;0;0
33;29385;Ken Owens;1987;Carmarthen;Wales;108;185;19;;0;0
33;29386;Rhys Priestland;1987;Carmarthen;Wales;92;183;312;;60;71
33;29693;Craig Mitchell;1986;Neath;Wales;116;183;80;;0;0
33;30417;James Hook;1985;Neath;Wales;96;185;167;;54;50
33;32432;Ryan Bevington;1988;Bridgend;Wales;112;182;19;;0;0
33;32440;Leigh Halfpenny;1988;Swansea;Wales;83;178;360;;33;0
33;32443;Sam Warburton;1988;Cardiff;Wales;106;188;386;;0;0
33;35224;Andy Powell;1981;Brecon;Wales;114;193;126;;0;0
33;36341;Danny Lydiate;1987;Salford;England;112;193;224;;0;0
33;36749;Scott Williams;1990;Carmarthen;Wales;99;183;160;;0;0
33;36752;Tavis Knoyle;1990;Neath;Wales;94;185;57;;0;0
33;38923;Toby Faletau;1990;Tofoa;Tonga;109;188;430;;0;0
33;42052;George North;1992;King's Lynn;England;105;192;425;;0;0
33;43923;Lloyd Burns;1984;Pontypool;Wales;109;183;121;;0;0
33;44416;Lloyd Williams;1989;Cardiff;Wales;90;183;47;;0;0
33;967;Stephen Jones;1977;Aberystwyth;Wales;92;186;117;;100;85
33;977;Shane Williams;1977;Swansea;Wales;80;170;320;;0;0
34;10555;Lewis Moody;1978;Ascot;England;104;190;249;;0;0
34;10557;Steve Thompson;1978;Hemel Hempstead;England;115;191;261;;0;0
34;12549;Tom Palmer;1979;Harringay;England;115;198;277;;0;0
34;18128;Mark Cueto;1979;Workington;England;94;184;160;;0;0
34;18130;Andrew Sheridan;1979;Bromley;England;123;190;61;;0;0
34;1956;Simon Shaw;1973;Nairobi;Kenya;123;203;132;;0;0
34;2164;Jonny Wilkinson;1979;Frimley;England;88;178;258;;36;71
34;2227;Mike Tindall;1978;Otley;England;102;187;230;;0;0
34;23903;Matt Stevens;1982;Durban;South Africa;123;187;230;;0;0
34;24170;Lee Mears;1979;Torquay;England;96;173;29;;0;0
34;24171;Louis Deacon;1980;Leicester;England;115;198;251;;0;0
34;26498;James Haskell;1985;Windsor;England;111;194;320;;0;0
34;26504;David Wilson;1985;South Shields;England;122;185;40;;0;0
34;26512;Toby Flood;1985;Frimley;England;93;191;209;;100;69
34;26513;Ben Foden;1985;Chester;England;93;183;371;;0;0
34;26763;Dylan Hartley;1986;Rotorua;New Zealand;108;185;104;;0;0
34;29161;Dan Cole;1987;Leicester;England;118;190;341;;0;0
34;30472;Delon Armitage;1983;San Fernando;Trinidad&Tobago;94;190;268;;0;0
34;30641;Tom Croft;1985;Basingstoke;England;105;198;308;;0;0
34;30767;Richard Wigglesworth;1983;Blackpool;England;86;176;89;;0;0
34;30827;Thomas Waldrom;1983;Lower Hutt;New Zealand;111;185;0;;0;0
34;31840;Nick Easter;1978;Epsom;England;114;192;187;;0;0
34;31877;Alex Corbisiero;1988;New York;USA;116;185;112;;0;0
34;31884;Joe Simpson;1988;Sydney;Australia;84;180;13;;0;0
34;34184;Courtney Lawes;1989;London;England;114;201;169;;0;0
34;34189;Ben Youngs;1989;Cawston;England;87;178;293;;0;0
34;37038;Matt Banahan;1986;;Jersey;112;201;33;;0;0
34;38767;Chris Ashton;1987;Wigan;England;92;186;400;;0;0
34;38768;Shontayne Hape;1981;Auckland;New Zealand;102;187;80;;0;0
34;39980;Tom Wood;1986;Coventry;England;105;195;88;;0;0
34;44193;Manu Tuilagi;1991;Moto'otua;Samoa;111;185;386;;0;0
35;1126;Chris Paterson;1978;Edinburgh;Scotland;80;180;250;;78;25
35;11601;Nathan Hines;1976;Wagga Wagga;Australia;118;201;136;;0;0
35;12476;Mike Blair;1981;Edinburgh;Scotland;84;180;150;;0;0
35;12478;Allan Jacobsen;1978;Edinburgh;Scotland;112;178;274;;0;0
35;21413;Dougie Hall;1980;Dingwall;Scotland;105;183;10;;0;0
35;21419;Chris Cusiter;1982;Aberdeen;Scotland;83;180;27;;0;0
35;21420;Simon Danielli;1979;Edinburgh;Scotland;102;191;160;;0;0
35;23911;Dan Parks;1978;Hornsby;Australia;92;181;192;;63;0
35;24020;Graeme Morrison;1982;Hong Kong;Hong Kong;103;191;160;;0;0
35;24022;Sean Lamont;1981;Perth;Scotland;103;189;320;;0;0
35;24025;Alastair Kellock;1981;Glasgow;Scotland;118;205;160;;0;0
35;24029;Rory Lawson;1981;Dunfermline;Scotland;83;176;140;;0;0
35;24724;Ross Ford;1984;Leith;Scotland;113;184;296;;0;0
35;25786;Kelly Brown;1982;Leith;Scotland;106;193;237;;0;0
35;25788;Scott Lawson;1981;Lanark;Scotland;100;172;12;;0;0
35;25790;Rory Lamont;1982;Perth;Scotland;100;189;69;;0;0
35;25797;John Barclay;1986;Hong Kong;Hong Kong;101;190;203;;0;0
35;26062;Ally Strokosch;1983;Paisley;Scotland;108;191;222;;0;0
35;26326;Moray Low;1984;Torphins;Scotland;125;188;0;;0;0
35;26342;Nick De Luca;1984;Dumfries;Scotland;95;182;200;;0;0
35;27045;Euan Murray;1980;Glasgow;Scotland;118;185;160;;0;0
35;28922;Richie Vernon;1987;Dundee;Scotland;107;198;162;;0;0
35;29648;Ross Rennie;1986;Edinburgh;Scotland;99;184;115;;0;0
35;30567;Alasdair Dickinson;1983;Dundee;Scotland;112;185;50;;0;0
35;31139;Jim Hamilton;1982;Swindon;England;123;203;160;;0;0
35;32360;Ruaridh Jackson;1988;Northampton;England;86;182;125;;100;0
35;34128;Richie Gray;1989;Glasgow;Scotland;128;205;198;;0;0
35;35400;Max Evans;1983;Torquay;England;87;180;280;;0;0
35;35455;Geoff Cross;1982;Edinburgh;Scotland;115;183;153;;0;0
35;36828;Joe Ansbro;1985;Glasgow;Scotland;95;183;160;;0;0
36;10534;Paul O'Connell;1979;Limerick;Ireland;112;198;298;;0;0
36;10535;Geordan Murphy;1978;Dublin;Ireland;88;186;97;;0;0
36;11606;Leo Cullen;1978;Dublin;Ireland;110;198;80;;0;0
36;13197;Donncha O'Callaghan;1979;Cork;Ireland;116;198;365;;0;0
36;15371;Paddy Wallace;1979;Belfast;Northern Ireland;88;177;80;;0;0
36;24768;Tommy Bowe;1984;Armagh;Ireland;98;191;320;;0;0
36;24769;Denis Leamy;1981;Limerick;Ireland;108;188;65;;0;0
36;26541;Jonathan Sexton;1985;Dublin;Ireland;92;190;180;;36;75
36;26542;Andrew Trimble;1984;Belfast;Northern Ireland;97;188;112;;0;0
36;26549;Stephen Ferris;1985;Lisburn;Northern Ireland;113;192;306;;0;0
36;28238;Rory Best;1982;Craigavon;Northern Ireland;105;178;272;;0;0
36;28295;Jerry Flannery;1978;Galway;Ireland;101;180;19;;0;0
36;28362;Eoin Reddan;1980;Limerick;Ireland;84;178;130;;0;0
36;28983;Cian Healy;1987;Dublin;Ireland;115;184;280;;0;0
36;28999;Keith Earls;1987;Limerick;Ireland;90;180;359;;0;0
36;29554;Rob Kearney;1986;Dublin;Ireland;95;187;314;;0;0
36;29558;Fergus McFadden;1986;Kilkenny;Ireland;93;185;80;;0;0
36;3031;Brian O'Driscoll;1979;Dublin;Ireland;94;181;309;;0;0
36;3032;Ronan O'Gara;1977;San Diego;USA;84;180;246;;89;83
36;30505;Jamie Heaslip;1983;Tiberias;Israel;109;193;394;;0;0
36;30662;Sean Cronin;1986;Limerick;Ireland;103;183;107;;0;0
36;30668;Sean O'Brien;1987;Dublin;Ireland;107;188;296;;0;0
36;30774;Tom Court;1980;Brisbane;Australia;118;190;74;;0;0
36;30779;Shane Jennings;1981;Dublin;Ireland;105;188;83;;0;0
36;30866;Isaac Boss;1980;Tokoroa;New Zealand;88;177;65;;0;0
36;32918;Mike Ross;1979;Cork;Ireland;124;188;347;;0;0
36;32947;Tony Buckley;1980;Cork;Ireland;137;195;95;;0;0
36;35402;Donnacha Ryan;1983;Limerick;Ireland;114;201;106;;0;0
36;36654;Conor Murray;1989;Limerick;Ireland;91;187;200;;0;0
36;40016;Damien Varley;1983;Limerick;Ireland;110;181;0;;0;0
36;8046;Gordon D'Arcy;1980;Wexford;Ireland;90;183;289;;0;0
37;10877;Richie McCaw;1980;Oamaru;New Zealand;106;187;392;;0;0
37;10884;Andrew Hore;1978;Dunedin;New Zealand;113;183;271;;0;0
37;11614;Ali Williams;1981;Auckland;New Zealand;115;202;279;;0;0
37;11615;Keven Mealamu;1979;Tokoroa;New Zealand;109;181;276;;0;0
37;11712;Tony Woodcock;1981;Helensville;New Zealand;119;184;517;;0;0
37;15639;Ma'a Nonu;1982;Wellington;New Zealand;106;182;467;;0;0
37;15643;Brad Thorn;1975;Mosgiel;New Zealand;114;195;461;;0;0
37;15646;Daniel Carter;1982;Leeston;New Zealand;93;178;153;;100;60
37;15647;Mils Muliaina;1980;Salelesi;Samoa;93;183;90;;0;0
37;21378;Corey Flynn;1981;Invercargill;New Zealand;108;184;6;;0;0
37;24750;Jerome Kaino;1983;Tutuila;Samoa;110;196;560;;0;0
37;24752;Jimmy Cowan;1982;Gore;New Zealand;95;182;139;;0;0
37;24753;Piri Weepu;1983;Lower Hutt;New Zealand;96;178;310;;69;57
37;24756;Conrad Smith;1981;Hawera;New Zealand;95;186;480;;0;0
37;26030;Isaia Toeava;1986;Moto'otua;Samoa;99;181;194;;0;0
37;26658;Andy Ellis;1984;Christchurch;New Zealand;90;182;151;;0;0
37;26680;Richard Kahui;1985;Tokoroa;New Zealand;101;190;381;;0;0
37;26692;Hosea Gear;1984;Gisborne;New Zealand;102;188;0;;0;0
37;26720;Ben Franks;1984;Frankston;Australia;117;183;68;;0;0
37;26722;Kieran Read;1985;Papakura;New Zealand;108;193;290;;0;0
37;28217;John Afoa;1983;Otahuhu;New Zealand;119;183;22;;0;0
37;28847;Colin Slade;1987;Burwood;New Zealand;90;183;200;;50;64
37;28851;Victor Vito;1987;Wellington;New Zealand;109;192;217;;0;0
37;30530;Stephen Donald;1983;Papakura;New Zealand;96;186;46;;100;0
37;30819;Cory Jane;1983;Lower Hutt;New Zealand;88;183;334;;0;0
37;30871;Anthony Boric;1983;Auckland;New Zealand;113;200;50;;0;0
37;32481;Israel Dagg;1988;Marton;New Zealand;95;186;367;;0;0
37;32482;Sam Whitelock;1988;Palmerston North;New Zealand;114;202;404;;0;0
37;32500;Zac Guildford;1989;Masterton;New Zealand;96;182;80;;0;0
37;34343;Adam Thomson;1982;Ashburton;New Zealand;110;196;151;;0;0
