pack;id;name;position;age;height;weight;caps
argentina;15697;Juan Martín Hernández;FlyHalf;33;187;94;55
argentina;25284;Marcos Ayerza;Prop;32;186;113;62
argentina;25972;Juan Martín Fernandez Lobbe;BackRow;33;191;106;66
argentina;26184;Juan Manuel Leguizamon;BackRow;32;190;104;64
argentina;26186;Agustín Creevy;Hooker;30;182;106;42
argentina;26382;Horacio Agulla;Wing;30;181;90;60
argentina;26389;Marcelo Bosch;Centre;31;186;92;37
argentina;32106;Martín Landajo;ScrumHalf;27;171;81;47
argentina;32114;Nicolas Sanchez;FlyHalf;26;177;83;35
argentina;32115;Juan Pablo Socino;Centre;27;174;98;2
argentina;33385;Lucas Gonzalez Amorosino;Wing;29;185;93;45
argentina;35308;Juan Pablo Orlandi;Prop;32;190;119;16
argentina;36719;Tomas Cubelli;ScrumHalf;26;175;79;40
argentina;36736;Nahuel Tetaz Chaparro;Prop;25;188;121;22
argentina;36738;Joaquin Tuculet;FullBack;26;184;86;25
argentina;36893;Santiago Gonzalez Iglesias;Centre;27;178;89;16
argentina;36898;Juan Imhoff;Wing;27;185;90;29
argentina;37040;Mariano Galarza;Lock;28;203;115;25
argentina;37041;Leonardo Senatore;BackRow;31;191;106;30
argentina;39417;Matias Alemanno;Lock;23;198;112;15
argentina;39436;Javier Ortega Desio;BackRow;25;193;104;17
argentina;43433;Jeronimo De La Fuente;Centre;24;183;93;15
argentina;43443;Matías Moroni;Centre;24;184;85;4
argentina;45831;Pablo Matera;BackRow;22;193;99;18
argentina;45833;Facundo Isa;BackRow;22;188;103;8
argentina;45845;Santiago Cordero;Wing;21;176;79;14
argentina;47086;Ramiro Herrera;Prop;26;191;130;15
argentina;48534;Tomas Lavanini;Lock;22;200;118;23
argentina;48626;Lucas Noguera;Prop;21;179;107;18
argentina;48628;Julian Montoya;Hooker;21;183;110;11
argentina;48633;Guido Petti Pagadizabal;Lock;20;193;104;7
australia;11629;Matt Giteau;FlyHalf;32;178;84;97
australia;24031;Drew Mitchell;Wing;31;182;92;66
australia;26695;Adam Ashley-Cooper;Centre;31;182;98;109
australia;26708;Dean Mumm;Lock;31;196;109;39
australia;26709;Tatafu Polota-Nau;Hooker;30;181;114;56
australia;26812;Stephen Moore;Hooker;32;186;112;97
australia;28213;Greg Holmes;Prop;32;187;114;19
australia;29265;Will Genia;ScrumHalf;27;174;82;61
australia;29281;David Pocock;BackRow;27;187;115;51
australia;29613;Sekope Kepu;Prop;29;188;118;58
australia;30906;Wycliff Palu;BackRow;33;194;115;57
australia;32124;Quade Cooper;FlyHalf;27;186;92;58
australia;32131;Ben McCalman;BackRow;27;192;106;42
australia;32135;Rob Simmons;Lock;26;200;115;55
australia;32241;Henry Speight;Wing;27;186;97;5
australia;33014;Kurtley Beale;FlyHalf;26;184;92;55
australia;34011;Rob Horne;Wing;26;186;93;28
australia;34029;Toby Smith;Prop;26;190;116;2
australia;36781;Kane Douglas;Lock;26;202;123;18
australia;36790;James Slipper;Prop;26;186;117;69
australia;36793;Matt Toomua;Centre;25;182;90;27
australia;39454;Michael Hooper;BackRow;23;182;101;47
australia;39727;Tevita Kuridrani;Centre;24;192;102;26
australia;39738;Scott Sio;Prop;23;187;115;12
australia;42051;Nick Phipps;ScrumHalf;26;180;87;34
australia;42460;Bernard Foley;FlyHalf;26;182;89;22
australia;43181;Will Skelton;Lock;23;203;140;14
australia;45641;Sean McMahon;BackRow;21;186;100;5
australia;46474;Joseph Tomane;Wing;25;188;101;17
australia;49009;Israel Folau;FullBack;26;193;103;34
australia;49202;Scott Fardy;BackRow;31;198;114;25
canada;11693;Jamie Cudmore;Lock;37;198;116;37
canada;21022;James Pritchard;FullBack;36;175;85;61
canada;26435;Phil Mack;ScrumHalf;30;170;77;29
canada;27139;Aaron Carpenter;Hooker;32;183;107;69
canada;29061;Matt Evans;FullBack;27;183;93;31
canada;29070;Phil Mackenzie;Wing;28;185;96;28
canada;29071;John Moonlight;BackRow;28;187;103;22
canada;29748;Ciaran Hearn;Centre;29;190;100;47
canada;30466;Richard Thorpe;BackRow;30;187;105;7
canada;30806;Hubert Buydens;Prop;33;191;120;37
canada;31794;DTH Van Der Merwe;Wing;29;185;101;37
canada;32149;Nathan Hirayama;FlyHalf;27;183;88;21
canada;32150;Harry Jones;FlyHalf;26;185;90;18
canada;32152;Jamie Mackenzie;ScrumHalf;26;175;89;8
canada;32163;Andrew Tiedemann;Prop;27;183;115;37
canada;32923;Nanyak Dala;BackRow;31;178;100;35
canada;34203;Conor Trainor;Centre;25;188;95;20
canada;35161;Jebb Sinclair;BackRow;29;193;111;41
canada;36697;Brett Beukeboom;Lock;25;196;113;16
canada;36698;Connor Braid;FlyHalf;25;185;82;19
canada;36979;Doug Wooldridge;Prop;29;180;106;21
canada;37948;Nick Blevins;Centre;26;187;98;26
canada;39095;Tyler Ardron;BackRow;24;194;110;21
canada;39101;Jeff Hassler;Wing;24;178;96;16
canada;39110;Liam Underwood;FlyHalf;24;189;91;11
canada;42995;Evan Olmstead;Lock;24;197;115;6
canada;45720;Jake Ilnicki;Prop;23;180;125;8
canada;47196;Ray Barkwill;Hooker;35;180;103;24
canada;48383;Djustice Sears-Duru;Prop;21;185;118;10
canada;48984;Benoit Piffero;Hooker;28;183;102;10
canada;49498;Kyle Gilmour;BackRow;27;185;85;13
canada;50728;Gordon McRorie;ScrumHalf;27;178;80;13
england;26498;James Haskell;BackRow;30;193;114;61
england;26504;David Wilson;Prop;30;188;122;43
england;29159;Danny Care;ScrumHalf;28;175;85;52
england;29161;Dan Cole;Prop;28;189;118;57
england;29182;Tom Youngs;Hooker;28;175;102;29
england;29501;Rob Webber;Hooker;29;183;110;15
england;30362;Brad Barritt;Centre;29;185;95;25
england;30475;Geoff Parling;Lock;31;198;114;30
england;30643;Chris Robshaw;BackRow;29;188;110;41
england;30644;Mike Brown;FullBack;30;183;92;41
england;30767;Richard Wigglesworth;ScrumHalf;32;176;86;25
england;31886;Alex Goode;FullBack;27;180;91;18
england;34184;Courtney Lawes;Lock;26;201;115;42
england;34189;Ben Youngs;ScrumHalf;26;178;87;53
england;36524;Jamie George;Hooker;24;183;109;2
england;36527;Joe Marler;Prop;25;183;113;35
england;38888;Mako Vunipola;Prop;24;182;118;28
england;38889;Kieran Brookes;Prop;25;186;122;14
england;38906;Jonny May;Wing;25;189;90;18
england;38907;Jonathan Joseph;Centre;24;183;93;14
england;38948;George Kruis;Lock;25;198;112;8
england;39980;Tom Wood;BackRow;28;193;108;40
england;43573;Owen Farrell;FlyHalf;24;188;90;34
england;43574;George Ford;FlyHalf;22;175;80;15
england;43585;Joe Launchbury;Lock;24;198;115;26
england;45048;Ben Morgan;BackRow;26;190;116;30
england;45664;Henry Slade;Centre;22;190;90;1
england;46112;Billy Vunipola;BackRow;22;188;126;21
england;48701;Jack Nowell;Wing;22;180;89;9
england;48706;Anthony Watson;Wing;21;188;90;13
england;54715;Sam Burgess;Centre;26;193;116;4
fiji;25561;Sunia Koto;Hooker;35;178;110;46
fiji;26836;Akapusi Qera;BackRow;31;193;102;49
fiji;30386;Gabiriele Lovobalavu;Centre;30;176;97;22
fiji;30388;Asaeli Tikoirotuma;Wing;29;186;93;14
fiji;30748;Netani Talei;BackRow;32;190;110;31
fiji;30749;Sakiusa Matadigo;BackRow;33;188;106;21
fiji;32240;Kini Murimurivalu;FullBack;26;184;94;11
fiji;32550;Isei Colati;Prop;31;175;115;9
fiji;32581;Vereniki Goneva;Centre;31;189;99;37
fiji;34212;Manasa Saulo;Prop;26;189;111;26
fiji;34517;Nemia Kenatale;ScrumHalf;29;179;85;35
fiji;36078;Apisalome Ratuniyarawa;Lock;29;198;114;17
fiji;36099;Viliame Veikoso;Hooker;33;178;102;30
fiji;36149;Henry Seniloli;ScrumHalf;26;174;70;8
fiji;36150;Nikola Matawalu;ScrumHalf;26;179;85;28
fiji;36161;Leone Nakarawa;Lock;27;198;117;33
fiji;37960;Josh Matavesi;FlyHalf;24;184;93;14
fiji;39968;Campese Ma'afu;Prop;30;182;114;37
fiji;39969;Talemaitoga Tuapati;Hooker;31;180;107;31
fiji;39970;Dominiko Waqaniburotu;BackRow;29;189;111;25
fiji;39972;Nemani Nadolo;Centre;27;194;125;22
fiji;42054;Malakai Ravulo;BackRow;32;190;107;35
fiji;42485;Tevita Cavubati;Lock;28;200;120;10
