lp;kto;klub;noInterPol;nadanobieg;uwagiInterPol
1.;Chmielowski Piotr;SLD;1610;15;;
2.;Sobecka Anna Elżbieta;PiS;1590;664;;
3.;Warzecha Jan;PiS;1399;3;;
4.;Kmiecik Henryk;PSL;1383;23;;
5.;Rzońca Bogdan;PiS;1363;4;;
6.;Moskal Kazimierz;PiS;1020;;;
7.;Lassota Józef;PO;857;1;;
8.;Nemś Anna;PO;795;;;
9.;Tomaszewski Tadeusz;SLD;677;1;;
10.;Orzechowski Maciej;PO;622;;;
11.;Niemczyk Małgorzata;PO;511;;;
12.;Girzyński Zbigniew;niez.;510;5;;
13.;Giżyński Szymon;PiS;468;4;;
14.;Brejza Krzysztof;PO;432;1;;
15.;Borowiak Łukasz;PO;419;;mandat wygasł 01-12-2014;
16.;Kępiński Adam;SLD;418;3;;
17.;Gądek Lidia;PO;389;;;
18.;Szeliga Piotr;niez.;389;;;
19.;Rybakowicz Adam;RP;383;;;
20.;Wiśniewska Jadwiga;PiS;372;;mandat wygasł 27-05-2014;
21.;Kraczkowski Maks;PiS;359;1;;
22.;Kwiatkowski Adam;PiS;352;2;mandat wygasł 07-08-2015;
23.;Godson John Abraham;PSL;338;;;
24.;Piontkowski Dariusz;PiS;336;1;;
25.;Kempa Beata;ZP;330;;;
26.;Wielichowska Monika;PO;309;;;
27.;Dębski Artur;PSL;289;;;
28.;Opioła Marek;PiS;286;3;;
29.;Kozłowska Iwona;PO;270;;;
30.;Zieliński Jarosław;PiS;263;;;
31.;Szwed Stanisław;PiS;252;;;
32.;Dąbrowski Andrzej;ZP;251;1;ślubował 17-11-2011;
33.;Zuba Maria;PiS;243;;;
34.;Gadowski Krzysztof;PO;237;;;
35.;Polaczek Jerzy;PiS;235;1;;
36.;Szarama Wojciech;PiS;233;;;
37.;Ziobro Kazimierz;ZP;233;1;;
38.;Niedbała Marek;SLD;231;;ślubował 05-06-2014;
39.;Chmielowiec Zbigniew;PiS;230;1;;
40.;Bartuś Barbara;PiS;228;1;;
41.;Babinetz Piotr;PiS;227;1;;
42.;Ziobro Jan;ZP;224;3;;
43.;Siedlaczek Henryk;PO;219;2;;
44.;Borkowski Jerzy;RP;216;3;;
45.;Górczyński Artur;SLD;213;;;
46.;Janczyk Wiesław;PiS;208;;;
47.;Jackiewicz Dawid;PiS;206;2;mandat wygasł 27-05-2014;
48.;Polak Marek;PiS;206;;;
49.;Matuszczak Zbigniew;SLD;201;;;
50.;Czarnecki Przemysław;PiS;198;1;ślubował 05-06-2014;
51.;Pacholski Michał Tomasz;PSL;198;;;
52.;Małecki Maciej;PiS;196;2;;
53.;Wipler Przemysław;niez.;194;2;;
54.;Mazurek Beata;PiS;193;;;
55.;Krząkała Marek;PO;191;;;
56.;Zgorzelski Piotr;PSL;189;;;
57.;Nowak Tomasz Piotr;PO;185;;;
58.;Zbonikowski Łukasz;PiS;173;1;;
59.;Kwiatkowski Jacek;RP;167;;;
60.;Rogacki Adam;niez.;161;1;;
61.;Wziątek Stanisław;SLD;159;;;
62.;Łuczak Mieczysław Marcin;PSL;155;;mandat wygasł 02-02-2015;
63.;Makowski Tomasz;PSL;152;1;;
64.;Zawiślak Sławomir;PiS;152;;;
65.;Machałek Marzena;PiS;150;1;;
66.;Stolarski Marek;SLD;147;;;
67.;Wolak Ewa;PO;146;1;;
68.;Cieśliński Piotr;PO;141;1;;
69.;Materna Jerzy;PiS;141;1;;
70.;Matuszewski Marek;PiS;139;;;
71.;Raczkowski Damian;PO;137;2;;
72.;Sługocki Waldemar;PO;137;;;
73.;Cycoń Marian;PO;134;;;
74.;Banaszak Maciej;SLD;133;7;;
75.;Kłosowski Krzysztof;SLD;133;4;;
76.;Latos Tomasz;PiS;133;;;
77.;Łatas Marek;PiS;132;;;
78.;Jurgiel Krzysztof;PiS;131;;;
79.;Łybacka Krystyna;SLD;131;;mandat wygasł 27-05-2014;
80.;Kołodziej Ewa;PO;130;;;
81.;Nowak Maria;PiS;129;;;
82.;Olejniczak Cezary;SLD;129;;;
83.;Babiarz Piotr Łukasz;PiS;128;4;ślubował 05-06-2014;
84.;Wontor Bogusław;SLD;127;;;
85.;Adamczak Małgorzata;PO;125;;mandat wygasł 01-12-2014;
86.;Garbowski Tomasz;SLD;124;;;
87.;Górczyński Jarosław;PSL;124;;mandat wygasł 10-12-2014;
88.;Andzel Waldemar;PiS;123;;;
89.;Klepacz Witold;SLD;123;2;;
90.;Gierada Artur;PO;122;1;;
91.;Kamiński Mariusz Antoni;niez.;122;1;;
