lp;kto;partia;noGlos;procGlos;uwagiGlos
1.;Brejza Krzysztof;PO;6294;99.94;;
2.;Dunin Artur;PO;6291;99.89;;
3.;Kozłowska Iwona;PO;6291;99.89;;
4.;Zawadzki Ryszard;PO;6291;99.89;;
5.;Grabarczyk Cezary;PO;6290;99.87;;
6.;Konwiński Zbigniew;PO;6290;99.87;;
7.;Pięta Jarosław;PO;6290;99.87;;
8.;Brzezinka Jacek;PO;6288;99.84;;
9.;Krząkała Marek;PO;6288;99.84;;
10.;Mrzygłocka Izabela Katarzyna;PO;6288;99.84;;
11.;Czernow Zofia;PO;6286;99.81;;
12.;Kozaczyński Jacek;PO;6286;99.81;;
13.;Pluta Mirosław;PO;6286;99.81;;
14.;Sługocki Waldemar;PO;6286;99.81;;
15.;Wójcik Marek;PO;6286;99.81;;
16.;Janyska Maria Małgorzata;PO;6285;99.79;;
17.;Ławrynowicz Zofia;PO;6283;99.76;;
18.;Orzechowski Andrzej;PO;6283;99.76;;
19.;Hanajczyk Agnieszka;PO;6282;99.75;;
20.;Mężydło Antoni;PO;6282;99.75;;
21.;Nowak Tomasz Piotr;PO;6282;99.75;;
22.;Augustyn Urszula;PO;6281;99.73;;
23.;Kłosin Krystyna;PO;6281;99.73;;
24.;Dąbrowska Alicja;PO;6279;99.70;;
25.;Grad Mariusz;PO;6279;99.70;;
26.;Pępek Małgorzata;PO;6279;99.70;;
27.;Pietrzczyk Lucjan Marek;PO;6279;99.70;;
28.;Arndt Paweł;PO;6277;99.67;;
29.;Gadowski Krzysztof;PO;6276;99.65;;
30.;Żmuda-Trzebiatowska Ewa;PO;6275;99.63;;
31.;Kania Andrzej;ZP;6274;99.62;;
32.;Kaźmierczak Jan;PO;6274;99.62;;
33.;Czechyra Czesław;PO;6273;99.60;;
34.;Gapińska Elżbieta;PO;6273;99.60;;
35.;Trybuś-Cieślar Aleksandra;PO;6272;99.59;;
36.;Cichoń Janusz;PO;6271;99.57;;
37.;Drozd Ewa;PO;6271;99.57;;
38.;Racki Józef;PSL;6270;99.56;;
39.;Popiołek Zofia;RP;6268;99.52;;
40.;Ajchler Romuald;SLD;6267;99.51;;
41.;Sycz Miron;PO;6266;99.49;mandat wygasł 02-11-2015;
42.;Grupiński Rafał;PO;6265;99.48;;
43.;Siedlaczek Henryk;PO;6262;99.43;;
44.;Krajewska Ligia;PO;6261;99.41;;
45.;Szeliga Piotr;niez.;6261;99.41;;
46.;Rząsa Marek;PO;6260;99.40;;
47.;Hoppe Teresa;PO;6259;99.38;;
48.;Borowczak Jerzy;PO;6255;99.32;;
49.;Suski Paweł;PO;6253;99.29;;
50.;Szumilas Krystyna;PO;6251;99.25;;
51.;Szymański Tomasz;PO;6251;99.25;;
52.;Żelichowski Stanisław;PSL;6249;99.22;;
53.;Pacelt Zbigniew;PO;6244;99.14;;
54.;Gąsior-Marek Magdalena;PO;6243;99.13;;
55.;Wardzała Robert;PO;6243;99.13;;
56.;Pahl Witold;PO;6242;99.11;;
57.;Kropiwnicki Robert;PO;6241;99.09;;
58.;Skowrońska Krystyna;PO;6241;99.09;;
59.;Kozdroń Jerzy;PO;6240;99.08;;
60.;Woźniak Tadeusz;ZP;6240;99.08;;
61.;Dzięcioł Janusz;PO;6236;99.02;;
62.;Sztolcman Grzegorz;PO;6234;98.98;;
63.;Zieliński Maciej;PO;6234;98.98;;
64.;Kołacz-Leszczyńska Agnieszka;PO;6232;98.95;;
65.;Marczułajtis-Walczak Jagna;PO;6232;98.95;;
66.;Okła-Drewnowicz Marzena;PO;6232;98.95;;
67.;Sibińska Krystyna;PO;6232;98.95;;
68.;Śledzińska-Katarasińska Iwona;PO;6231;98.94;;
69.;Polak Piotr;PiS;6230;98.92;;
70.;Niesiołowski Stefan;PO;6229;98.90;;
71.;Szczerba Michał;PO;6227;98.87;;
72.;Cieśliński Piotr;PO;6226;98.86;;
73.;Gierada Artur;PO;6226;98.86;;
74.;Bublewicz Beata;PO;6222;98.79;;
75.;Nemś Anna;PO;6222;98.79;;
76.;Gelert Elżbieta;PO;6220;98.76;;
77.;Oświęcimski Konstanty;PO;6220;98.76;;
78.;Suchowiejko Wiesław;PO;6219;98.75;;
79.;Zieliński Jarosław;PiS;6219;98.75;;
80.;Ziemniak Wojciech;PO;6219;98.75;;
81.;Andzel Waldemar;PiS;6217;98.71;;
82.;Matusiak Grzegorz;PiS;6216;98.70;;
83.;Neumann Sławomir;PO;6213;98.65;;
84.;Papke Paweł;PO;6209;98.59;;
85.;Lamczyk Stanisław;PO;6208;98.57;;
86.;Nykiel Mirosława;PO;6208;98.57;;
87.;Rutnicki Jakub;PO;6208;98.57;;
88.;Kołakowski Lech;PiS;6205;98.52;;
89.;Gut-Mostowy Andrzej;PO;6204;98.51;;
90.;Olechowska Alicja;PO;6204;98.51;;
91.;Witczak Mariusz;PO;6204;98.51;;
92.;Janczyk Wiesław;PiS;6203;98.49;;
93.;Krasulski Leonard;PiS;6203;98.49;;
94.;Kochan Magdalena;PO;6202;98.48;;
95.;Materna Jerzy;PiS;6202;98.48;;
96.;Arkit Tadeusz;PO;6201;98.46;;
97.;Fabisiak Joanna;PO;6201;98.46;;
98.;Fiedler Arkady;PO;6199;98.43;;
99.;Rzońca Bogdan;PiS;6196;98.38;;
100.;Święcicki Marcin;PO;6195;98.36;;
101.;Aziewicz Tadeusz;PO;6193;98.33;;
102.;Polak Marek;PiS;6193;98.33;;
