kadencja;posel;data.ur;wiek;klub;miejsce.ur;okreg;glosy;plec
1991;Jarosław Woźniak;1964-03-17;27;Klub Parlamentarny Konfederacji Polski Niepodległej;Ostrów Wielkopolski;04 Łódź;;M
1991;Juliusz Braun;1948-08-29;43;Klub Parlamentarny Unia Demokratyczna;Milechowy;08 Kielce;;M
1991;Janusz Choiński;1954-06-12;37;Klub Parlamentarny &quot;Tarnów;Ruch dla Rzeczypospolitej&quot;;31 Tarnów
1991;Jerzy Niczyperowicz;1936-11-20;55;Klub Parlamentarny NSZZ &quot;Nieśwież;Solidarność&quot;;23 Olsztyn
1991;Marek Zieliński;1952-10-07;39;Klub Parlamentarny NSZZ &quot;Gorzów;Solidarność&quot;;18 Poznań
1991;Janina Kraus;1952-01-10;39;Klub Parlamentarny Konfederacji Polski Niepodległej;Katowice;36 Katowice;;F
1991;Mariusz Marasek;1959-04-22;32;Koło Poselskie Akcji Polskiej;Skierniewice;03 Płock;;M
1991;Antoni Furtak;1944-06-12;47;Klub Parlamentarny Porozumienie Ludowe;Chrząchówek;22 Gdańsk;;M
1991;Marek Balicki;1953-09-29;38;Klub Parlamentarny Unia Demokratyczna;Słupsk;02 Legionowo;;M
1991;Stefan Pastuszewski;1949-08-19;42;Koło Poselskie &quot;Bydgoszcz;Chrześcijańska Demokracja&quot;;17 Bydgoszcz
1991;Grażyna Staniszewska;1949-11-02;42;Klub Parlamentarny Unia Demokratyczna;Bielsko-Biała;34 Bielsko-Biała;;F
1991;Zbigniew Dyka;1928-10-05;63;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;Warszawa;33 Kraków;;M
1991;Tadeusz Mazowiecki;1927-04-18;64;Klub Parlamentarny Unia Demokratyczna;Płock;18 Poznań;;M
1991;Danuta Waniek;1946-10-26;45;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;Włocławek;01 Warszawa;;F
1991;Andrzej Rychlik;1955-06-19;36;poseł niezrzeszony;Zduńska Wola;05 Piotrków Trybunalski;;M
1991;Witold Gadomski;1953-06-16;38;Klub Polski Program Liberalny;Pułtusk;01 Warszawa;;M
1991;Janusz Szymański;1958-07-15;33;Unia Pracy - Koło Parlamentarne;Łowicz;25 Białystok;;M
1991;Tadeusz Lewandowski;1944-01-06;47;Klub Parlamentarny NSZZ &quot;Płuchów - ZSRR;Solidarność&quot;;13 Jelenia Góra
1991;Marek Domin;1963-03-29;28;Parlamentarny Klub Polskiego Stronnictwa Ludowego;Rozogi;23 Olsztyn;;M
1991;Maciej Manicki;1954-11-21;37;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;Poznań;20 Szczecin;;M
1991;Maciej Srebro;1966-02-19;25;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;Poznań;15 Kalisz;;M
1991;Marcin Libicki;1939-02-03;52;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;Poznań;18 Poznań;;M
1991;Marian Żenkiewicz;1945-03-17;46;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;Toruń;16 Toruń;;M
1991;Józef Hermanowicz;1929-07-27;62;Koło Poselskie &quot;Baranowicze - ZSRR;Chrześcijańska Demokracja&quot;;19 Gorzów
1991;Jerzy Eysymontt;1937-06-26;54;Klub Polski Program Liberalny;Łuck - Białoruś;12 Wałbrzych;;M
1991;Marek Dąbrowski;1951-04-13;40;Klub Parlamentarny Unia Demokratyczna;Bydgoszcz;01 Warszawa;;M
1991;Waldemar Polczyński;1954-12-10;37;Klub Parlamentarny Konfederacji Polski Niepodległej;Wrocław;25 Białystok;;M
1991;Stanisław Czechoński;1944-05-12;47;poseł niezrzeszony;Szczebrzeszyn;27 Zamość;;M
1991;Roman Wierzbicki;1937-02-25;54;Klub Parlamentarny Porozumienie Ludowe;Sadurki;28 Lublin;;M
1991;Henryk Bąk;1930-11-19;61;Klub Parlamentarny Porozumienie Ludowe;Lisów;;;M
1991;Jarosław Ulatowski;1958-07-28;33;Klub Polski Program Liberalny;Działdowo;22 Gdańsk;;M
1991;Waldemar Sikora;1945-01-01;46;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;Rudnik n/Sanem;29 Rzeszów;;M
1991;Ryszard Smolarek;1952-05-10;39;Parlamentarny Klub Polskiego Stronnictwa Ludowego;Koło;26 Siedlce;;M
1991;Jerzy Dziewulski;1943-12-15;48;Klub Polski Program Liberalny;Warszawa;34 Bielsko-Biała;;M
1991;Jan Szczepaniak;1936-11-24;55;Parlamentarny Klub Polskiego Stronnictwa Ludowego;Kolonia Rdzuchów;16 Toruń;;M
1991;Przemysław Sytek;1959-03-25;32;Klub Parlamentarny Konfederacji Polski Niepodległej;Poznań;15 Kalisz;;M
1991;Jerzy Synowiec;1946-03-23;45;Klub Parlamentarny Konfederacji Polski Niepodległej;Zarębice, gm. Przyrów;09 Częstochowa;;M
1991;Wojciech Saletra;1955-09-26;36;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;Kielce;08 Kielce;;M
1991;Aleksander Małachowski;1924-11-23;67;Unia Pracy - Koło Parlamentarne;Lwów - Ukraina;25 Białystok;;M
1991;Zygmunt Łenyk;1950-02-13;41;Klub Parlamentarny Konfederacji Polski Niepodległej;Chrzanów;29 Rzeszów;;M
1991;Jan Kulas;1957-07-21;34;Klub Parlamentarny NSZZ &quot;Kościerzyna;Solidarność&quot;;22 Gdańsk
1991;Jan Olszewski;1930-08-20;61;Klub Parlamentarny &quot;Warszawa;Ruch dla Rzeczypospolitej&quot;;01 Warszawa
1991;Andrzej Pawłowski;1956-05-26;35;Klub Parlamentarny Unia Demokratyczna;Świebodzin;15 Kalisz;;M
1991;Dariusz Wójcik;1961-04-09;30;Klub Parlamentarny Konfederacji Polski Niepodległej;Chełm Lubelski;;;M
1991;Andrzej Zarębski;1957-07-07;34;Klub Polski Program Liberalny;Gdynia;14 Zielona Góra;;M
1991;Janusz Onyszkiewicz;1937-12-18;54;Klub Parlamentarny Unia Demokratyczna;Lwów - ZSRR;30 Przemyśl;;M
1991;Helmut Paździor;1940-11-24;51;Parlamentarne Koło Mniejszości Niemieckiej;Leśnica;10 Opole;;M
1991;Czesław Sterkowicz;1936-06-20;55;poseł niezrzeszony;Olszyny;31 Tarnów;;M
1991;Aleksander Usakiewicz;1943-04-19;48;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;Brańsk;25 Białystok;;M
1991;Józef Kania;1948-11-23;43;Parlamentarny Klub Porozumienia Centrum;Brzuśnik;34 Bielsko-Biała;;M
1991;Krzysztof Żabiński;1953-02-07;38;Klub Polski Program Liberalny;Toruń;16 Toruń;;M
1991;Marek Koczwara;1953-06-27;38;Klub Polski Program Liberalny;Mrągowo;17 Bydgoszcz;;M
1991;Władysław Żabiński;1942-06-27;49;Parlamentarny Klub Polskiego Stronnictwa Ludowego;Olszyny;31 Tarnów;;M
1991;Maria Żółtowska;1948-01-31;43;Klub Parlamentarny NSZZ &quot;Zybułtowo;Solidarność&quot;;03 Płock
1991;Kazimierz Świtoń;1931-08-04;60;Klub Parlamentarny &quot;Katowice;Ruch dla Rzeczypospolitej&quot;;36 Katowice
1991;Tadeusz Wójcik;1944-02-17;47;Klub Parlamentarny Porozumienie Ludowe;Bzianka;30 Przemyśl;;M
1991;Wojciech Kwiatkowski;1937-09-06;54;poseł niezrzeszony;Wilno - ZSRR;16 Toruń;;M
1991;Mikołaj Kozakiewicz;1923-12-24;68;Parlamentarny Klub Polskiego Stronnictwa Ludowego;Albertyn - Białoruś;01 Warszawa;;M
1991;Elżbieta Michalak;1958-01-02;33;Klub Parlamentarny Konfederacji Polski Niepodległej;Chełmno;16 Toruń;;F
1991;Józef Frączek;1952-02-14;39;Klub Parlamentarny Porozumienie Ludowe;Łańcut;29 Rzeszów;;M
1991;Roman Andrzejewski;1931-07-30;60;Klub Parlamentarny Konwencja Polska;Poznań;18 Poznań;;M
1991;Roman Jagieliński;1947-01-02;44;Parlamentarny Klub Polskiego Stronnictwa Ludowego;Wichradz;05 Piotrków Trybunalski;;M
1991;Jarosław Kaczyński;1949-06-18;42;Parlamentarny Klub Porozumienia Centrum;Warszawa;01 Warszawa;;M
1991;Krzysztof Błażejczyk;1962-10-11;29;Klub Parlamentarny Konfederacji Polski Niepodległej;Będzin;13 Jelenia Góra;;M
1991;Stanisław Wąsik;1940-03-29;51;Klub Parlamentarny NSZZ &quot;Andrychów;Solidarność&quot;;34 Bielsko-Biała
1991;Tadeusz s.Piotra Kowalczyk;1952-06-03;39;Poseł nie zrzeszony;Krogulcza Sucha;07 Radom;;M
1991;Jerzy Jankowski;1953-09-18;38;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;Stargard Szczeciński;13 Jelenia Góra;;M
1991;Eugeniusz Kielek;1940-10-20;51;Klub Parlamentarny NSZZ &quot;Przykop;Solidarność&quot;;29 Rzeszów
1991;Czesław Sobierajski;1952-06-05;39;Parlamentarny Klub Porozumienia Centrum;Kielce;37 Gliwice;;M
1991;Zbigniew Lech;1946-01-05;45;Klub Parlamentarny Konwencja Polska;Nasławice;11 Wrocław;;M
1991;Jerzy Kopania;1945-09-04;46;Klub Parlamentarny Unia Demokratyczna;Kutno;25 Białystok;;M
1991;Władysław Adamski;1963-05-23;28;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;Ruda Śląska;08 Kielce;;M
1991;Andrzej Tyszkiewicz;1949-09-06;42;Parlamentarny Klub Porozumienia Centrum;Sokoły;13 Jelenia Góra;;M
1991;Kazimierz Szczygielski;1946-11-16;45;Klub Parlamentarny Unia Demokratyczna;Dziećmarów;10 Opole;;M
1991;Jan Mizikowski;1931-05-04;60;Klub Parlamentarny &quot;Stanisławów;Ruch dla Rzeczypospolitej&quot;;26 Siedlce
