Jarosław Woźniak;1964-03-17;Ostrów Wielkopolski;Klub Parlamentarny Konfederacji Polski Niepodległej;04 Łódź;;M
Juliusz Braun;1948-08-29;Milechowy;Klub Parlamentarny Unia Demokratyczna;08 Kielce;;M
Janusz Choiński;1954-06-12;Tarnów;Klub Parlamentarny &quot;Ruch dla Rzeczypospolitej&quot;;31 Tarnów
Jerzy Niczyperowicz;1936-11-20;Nieśwież;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;23 Olsztyn
Marek Zieliński;1952-10-07;Gorzów;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;18 Poznań
Janina Kraus;1952-01-10;Katowice;Klub Parlamentarny Konfederacji Polski Niepodległej;36 Katowice;;F
Mariusz Marasek;1959-04-22;Skierniewice;Koło Poselskie Akcji Polskiej;03 Płock;;M
Antoni Furtak;1944-06-12;Chrząchówek;Klub Parlamentarny Porozumienie Ludowe;22 Gdańsk;;M
Marek Balicki;1953-09-29;Słupsk;Klub Parlamentarny Unia Demokratyczna;02 Legionowo;;M
Stefan Pastuszewski;1949-08-19;Bydgoszcz;Koło Poselskie &quot;Chrześcijańska Demokracja&quot;;17 Bydgoszcz
Grażyna Staniszewska;1949-11-02;Bielsko-Biała;Klub Parlamentarny Unia Demokratyczna;34 Bielsko-Biała;;F
Zbigniew Dyka;1928-10-05;Warszawa;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;33 Kraków;;M
Tadeusz Mazowiecki;1927-04-18;Płock;Klub Parlamentarny Unia Demokratyczna;18 Poznań;;M
Danuta Waniek;1946-10-26;Włocławek;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;01 Warszawa;;F
Andrzej Rychlik;1955-06-19;Zduńska Wola;poseł niezrzeszony;05 Piotrków Trybunalski;;M
Witold Gadomski;1953-06-16;Pułtusk;Klub Polski Program Liberalny;01 Warszawa;;M
Janusz Szymański;1958-07-15;Łowicz;Unia Pracy - Koło Parlamentarne;25 Białystok;;M
Tadeusz Lewandowski;1944-01-06;Płuchów - ZSRR;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;13 Jelenia Góra
Marek Domin;1963-03-29;Rozogi;Parlamentarny Klub Polskiego Stronnictwa Ludowego;23 Olsztyn;;M
Maciej Manicki;1954-11-21;Poznań;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;20 Szczecin;;M
Maciej Srebro;1966-02-19;Poznań;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;15 Kalisz;;M
Marcin Libicki;1939-02-03;Poznań;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;18 Poznań;;M
Marian Żenkiewicz;1945-03-17;Toruń;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;16 Toruń;;M
Józef Hermanowicz;1929-07-27;Baranowicze - ZSRR;Koło Poselskie &quot;Chrześcijańska Demokracja&quot;;19 Gorzów
Jerzy Eysymontt;1937-06-26;Łuck - Białoruś;Klub Polski Program Liberalny;12 Wałbrzych;;M
Marek Dąbrowski;1951-04-13;Bydgoszcz;Klub Parlamentarny Unia Demokratyczna;01 Warszawa;;M
Waldemar Polczyński;1954-12-10;Wrocław;Klub Parlamentarny Konfederacji Polski Niepodległej;25 Białystok;;M
Stanisław Czechoński;1944-05-12;Szczebrzeszyn;poseł niezrzeszony;27 Zamość;;M
Roman Wierzbicki;1937-02-25;Sadurki;Klub Parlamentarny Porozumienie Ludowe;28 Lublin;;M
Henryk Bąk;1930-11-19;Lisów;Klub Parlamentarny Porozumienie Ludowe;;;M
Jarosław Ulatowski;1958-07-28;Działdowo;Klub Polski Program Liberalny;22 Gdańsk;;M
Waldemar Sikora;1945-01-01;Rudnik n/Sanem;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;29 Rzeszów;;M
Ryszard Smolarek;1952-05-10;Koło;Parlamentarny Klub Polskiego Stronnictwa Ludowego;26 Siedlce;;M
Jerzy Dziewulski;1943-12-15;Warszawa;Klub Polski Program Liberalny;34 Bielsko-Biała;;M
Jan Szczepaniak;1936-11-24;Kolonia Rdzuchów;Parlamentarny Klub Polskiego Stronnictwa Ludowego;16 Toruń;;M
Przemysław Sytek;1959-03-25;Poznań;Klub Parlamentarny Konfederacji Polski Niepodległej;15 Kalisz;;M
Jerzy Synowiec;1946-03-23;Zarębice, gm. Przyrów;Klub Parlamentarny Konfederacji Polski Niepodległej;09 Częstochowa;;M
Wojciech Saletra;1955-09-26;Kielce;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;08 Kielce;;M
Aleksander Małachowski;1924-11-23;Lwów - Ukraina;Unia Pracy - Koło Parlamentarne;25 Białystok;;M
Zygmunt Łenyk;1950-02-13;Chrzanów;Klub Parlamentarny Konfederacji Polski Niepodległej;29 Rzeszów;;M
Jan Kulas;1957-07-21;Kościerzyna;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;22 Gdańsk
Jan Olszewski;1930-08-20;Warszawa;Klub Parlamentarny &quot;Ruch dla Rzeczypospolitej&quot;;01 Warszawa
Andrzej Pawłowski;1956-05-26;Świebodzin;Klub Parlamentarny Unia Demokratyczna;15 Kalisz;;M
Dariusz Wójcik;1961-04-09;Chełm Lubelski;Klub Parlamentarny Konfederacji Polski Niepodległej;;;M
Andrzej Zarębski;1957-07-07;Gdynia;Klub Polski Program Liberalny;14 Zielona Góra;;M
Janusz Onyszkiewicz;1937-12-18;Lwów - ZSRR;Klub Parlamentarny Unia Demokratyczna;30 Przemyśl;;M
Helmut Paździor;1940-11-24;Leśnica;Parlamentarne Koło Mniejszości Niemieckiej;10 Opole;;M
Czesław Sterkowicz;1936-06-20;Olszyny;poseł niezrzeszony;31 Tarnów;;M
Aleksander Usakiewicz;1943-04-19;Brańsk;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;25 Białystok;;M
Józef Kania;1948-11-23;Brzuśnik;Parlamentarny Klub Porozumienia Centrum;34 Bielsko-Biała;;M
Krzysztof Żabiński;1953-02-07;Toruń;Klub Polski Program Liberalny;16 Toruń;;M
Marek Koczwara;1953-06-27;Mrągowo;Klub Polski Program Liberalny;17 Bydgoszcz;;M
Władysław Żabiński;1942-06-27;Olszyny;Parlamentarny Klub Polskiego Stronnictwa Ludowego;31 Tarnów;;M
Maria Żółtowska;1948-01-31;Zybułtowo;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;03 Płock
Kazimierz Świtoń;1931-08-04;Katowice;Klub Parlamentarny &quot;Ruch dla Rzeczypospolitej&quot;;36 Katowice
Tadeusz Wójcik;1944-02-17;Bzianka;Klub Parlamentarny Porozumienie Ludowe;30 Przemyśl;;M
Wojciech Kwiatkowski;1937-09-06;Wilno - ZSRR;poseł niezrzeszony;16 Toruń;;M
Mikołaj Kozakiewicz;1923-12-24;Albertyn - Białoruś;Parlamentarny Klub Polskiego Stronnictwa Ludowego;01 Warszawa;;M
Elżbieta Michalak;1958-01-02;Chełmno;Klub Parlamentarny Konfederacji Polski Niepodległej;16 Toruń;;F
Józef Frączek;1952-02-14;Łańcut;Klub Parlamentarny Porozumienie Ludowe;29 Rzeszów;;M
Roman Andrzejewski;1931-07-30;Poznań;Klub Parlamentarny Konwencja Polska;18 Poznań;;M
Roman Jagieliński;1947-01-02;Wichradz;Parlamentarny Klub Polskiego Stronnictwa Ludowego;05 Piotrków Trybunalski;;M
Jarosław Kaczyński;1949-06-18;Warszawa;Parlamentarny Klub Porozumienia Centrum;01 Warszawa;;M
Krzysztof Błażejczyk;1962-10-11;Będzin;Klub Parlamentarny Konfederacji Polski Niepodległej;13 Jelenia Góra;;M
Stanisław Wąsik;1940-03-29;Andrychów;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;34 Bielsko-Biała
Tadeusz s.Piotra Kowalczyk;1952-06-03;Krogulcza Sucha;Poseł nie zrzeszony;07 Radom;;M
Jerzy Jankowski;1953-09-18;Stargard Szczeciński;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;13 Jelenia Góra;;M
Eugeniusz Kielek;1940-10-20;Przykop;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;29 Rzeszów
Czesław Sobierajski;1952-06-05;Kielce;Parlamentarny Klub Porozumienia Centrum;37 Gliwice;;M
Zbigniew Lech;1946-01-05;Nasławice;Klub Parlamentarny Konwencja Polska;11 Wrocław;;M
Jerzy Kopania;1945-09-04;Kutno;Klub Parlamentarny Unia Demokratyczna;25 Białystok;;M
Władysław Adamski;1963-05-23;Ruda Śląska;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;08 Kielce;;M
Andrzej Tyszkiewicz;1949-09-06;Sokoły;Parlamentarny Klub Porozumienia Centrum;13 Jelenia Góra;;M
Kazimierz Szczygielski;1946-11-16;Dziećmarów;Klub Parlamentarny Unia Demokratyczna;10 Opole;;M
Jan Mizikowski;1931-05-04;Stanisławów;Klub Parlamentarny &quot;Ruch dla Rzeczypospolitej&quot;;26 Siedlce
Donald Tusk;1957-04-22;Gdańsk;Klub Polski Program Liberalny;22 Gdańsk;;M
Tadeusz Lasocki;1950-11-28;Skarżyn Nowy;Koło Poselskie &quot;Chrześcijańska Demokracja&quot;;24 Ostrołęka
Jacek Kurczewski;1943-01-11;Edynburg - Szkocja;Klub Polski Program Liberalny;;;M
Zenon Michalak;1956-07-09;Lubań Śląski;Klub Polski Program Liberalny;11 Wrocław;;M
Herbert Szafraniec;1941-12-20;Katowice;Klub Polski Program Liberalny;35 Sosnowiec;;M
