Jan Lityński;1946-01-18;Warszawa;Klub Parlamentarny Unii Wolności ;48 Wałbrzych;;M
Ryszard Wawryniewicz;1962-01-18;Wałbrzych;Klub Parlamentarny Akcji Wyborczej Solidarność;48 Wałbrzych;;M
Mieczysław Piotr Jacków;1954-08-01;Środa Wielkpolska;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;35 Poznań;;M
Paweł Łączkowski;1942-07-31;Kielce;Klub Parlamentarny Akcji Wyborczej Solidarność;35 Poznań;;M
Wiktor Osik;1947-06-14;Łukowiec;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;39 Siedlce;;M
Wojciech Hausner;1957-01-14;Kraków;Klub Parlamentarny Akcji Wyborczej Solidarność;21 Kraków;;M
Waldemar Pawlak;1959-09-05;Model;Klub Parlamentarny Polskiego Stronnictwa Ludowego;34 Płock;;M
Lech Szymańczyk;1949-05-15;Wola Młocka;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;02 Warszawa;;M
Grzegorz Cygonik;1969-02-09;Bielsko-Biała;Klub Parlamentarny Akcji Wyborczej Solidarność;46 Tarnów;;M
Wojciech Frank;1962-01-15;Wodzisław Śląski;Klub Parlamentarny Akcji Wyborczej Solidarność;17 Gliwice;;M
Jerzy Koralewski;1939-12-16;Ostrów Wlkp.;Klub Parlamentarny Unii Wolności ;14 Kalisz;;M
Władysław Bułka;1936-03-29;Rycerka Górna;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;05 Bielsko-Biała;;M
Michał Janiszewski;1954-09-26;Łochów;Koło Parlamentarne ALTERNATYWA;01 Warszawa;;M
Piotr Miszczuk;1953-06-26;Siedliszcze n/Wieprzem;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;07 Chełm;;M
Wacław Olak;1927-08-17;Warszawa;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;01 Warszawa;;M
Maria Władysława Smereczyńska;1954-07-12;Warszawa;Klub Parlamentarny Akcji Wyborczej Solidarność;01 Warszawa;;F
Jolanta Banach;1958-11-11;Lębork;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;11 Gdańsk;;F
Zbigniew Kaniewski;1948-11-09;Białogard;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;27 Łódź;;M
Janusz Onyszkiewicz;1937-12-18;Lwów ;Klub Parlamentarny Unii Wolności ;36 Przemyśl;;M
Stanisław Pilniakowski;1944-04-14;Kraków;Klub Parlamentarny Unii Wolności ;21 Kraków;;M
Marek Jan Wójcik;1954-01-24;Częstochowa;Klub Parlamentarny Akcji Wyborczej Solidarność;09 Częstochowa;;M
Alicja Murynowicz;1957-09-21;Szydłowiec;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;27 Łódź;;F
Stanisław Misztal;1953-09-28;Hrubieszów;posłowie niezrzeszeni;51 Zamość;;M
