id;imnz;dat_ur;mce_ur;partia;log;zawod;nrokregu;nzokregu
001;Adam Abramowicz;10-03-1961;Biała Podlaska,Polska;PiS;12708;przedsiębiorca;7;Chełm
002;Małgorzata Adamczak;27-03-1971;Kościan,Polska;PO;18119;nauczyciel wychowania fizycznego;36;Kalisz
003;Andrzej Adamczyk;04-01-1959;Krzeszowice,Polska;PiS;14297;parlamentarzysta;13;Kraków
004;Romuald Ajchler;19-01-1949;Duszniki Wlkp.,Polska;SLD;9362;rolnik;38;Piła
005;Leszek Aleksandrzak;08-08-1958;Opatówek,Polska;SLD;9941;historyk;36;Kalisz
006;Waldemar Andzel;17-09-1971;Czeladź,Polska;PiS;10328;parlamentarzysta;32;Sosnowiec
007;Dorota Arciszewska-Mielewczyk;16-02-1968;Gdynia,Polska;PiS;18088;ekonomista;26;Gdynia
008;Jan Krzysztof Ardanowski;11-02-1961;Czernikowo,Polska;PiS;14841;magister inżynier rolnictwa;5;Toruń
009;Iwona Ewa Arent;04-06-1968;Olsztyn,Polska;PiS;11955;politolog;35;Olsztyn
010;Tadeusz Arkit;10-11-1955;Tenczynek,Polska;PO;12458;inżynier górnik;12;Chrzanów
011;Bartosz Arłukowicz;30-12-1971;Resko,Polska;PO;101746;lekarz;41;Szczecin
012;Paweł Arndt;21-01-1954;Gniezno,Polska;PO;12627;poseł na Sejm RP;37;Konin
013;Marek Ast;27-09-1958;Zielona Góra,Polska;PiS;12598;radca prawny;8;Zielona
014;Urszula Augustyn;01-09-1964;Tarnów,Polska;PO;9724;dziennikarka;15;Tarnów
015;Tadeusz Aziewicz;31-10-1960;Sopot,Polska;PO;14013;ekonomista;26;Gdynia
016;Zbigniew Babalski;27-04-1953;Ostróda,Polska;PiS;7217;inż. rolnictwa;34;Elbląg
017;Piotr Babinetz;09-09-1969;Krosno,Polska;PiS;7239;historyk;22;Krosno
018;Marek Balt;08-04-1973;Częstochowa,Polska;SLD;5378;inżynier ekonomista;28;Częstochowa
019;Maciej Banaszak;13-06-1975;Poznań,Polska;RP;18837;przedsiębiorca;39;Poznań
020;Anna Bańkowska;30-04-1946;Żnin,Polska;SLD;16203;poseł na Sejm RP;4;Bydgoszcz
022;Barbara Bartuś;03-07-1967;Gorlice,Polska;PiS;14652;parlamentarzysta;14;Nowy
023;Piotr Paweł Bauć;29-06-1960;Gdańsk,Polska;RP;13398;nauczyciel akademicki;25;Gdańsk
024;Dariusz Bąk;04-01-1958;Mogielnica,Polska;PiS;10217;leśnik;17;Radom
025;Włodzimierz Bernacki;17-02-1960;Proszowice,Polska;PiS;18699;nauczyciel akademicki;15;Tarnów
026;Andrzej Bętkowski;28-12-1951;Skarżysko-Kamienna,Polska;PiS;4591;menadżer sportu;33;Kielce
027;Robert Biedroń;13-04-1976;Rymanów,Polska;RP;16919;politolog;26;Gdynia
028;Marek Biernacki;28-04-1959;Sopot,Polska;PO;66019;prawnik;26;Gdynia
029;Andrzej Biernat;11-08-1960;Urzędów,Polska;PO;25721;nauczyciel;11;Sieradz
030;Leszek Blanik;01-03-1977;Wodzisław Śląski,Polska;PO;15031;nauczyciel akademicki;25;Gdańsk
031;Mariusz Błaszczak;19-09-1969;Legionowo,Polska;PiS;44319;urzędnik państwowy;20;Warszawa
032;Joanna Bobowska;17-04-1967;Kraków,Polska;PO;7976;dziennikarka;12;Chrzanów
033;Bartłomiej Bodio;24-08-1972;Kędzierzyn-Koźle,Polska;RP;8740;ekonomista;18;Siedlce
034;Jacek Bogucki;13-02-1959;Wysokie Mazowieckie,Polska;SP;10927;inżynier mechanik;24;Białystok
035;Edmund Borawski;17-04-1946;Świdry Podleśne,Polska;PSL;11759;technolog żywności;24;Białystok
036;Jerzy Borkowski;29-08-1957;Lipnica,Polska;RP;20292;przedsiębiorca;32;Sosnowiec
037;Krzysztof Borkowski;10-08-1964;Siedlce,Polska;PSL;6868;przedsiębiorca;18;Siedlce
038;Jerzy Borowczak;15-11-1957;Białogard,Polska;PO;10504;parlamentarzysta;25;Gdańsk
039;Łukasz Borowiak;11-04-1975;Leszno,Polska;PO;11545;ekonomista;36;Kalisz
040;Artur Bramora;10-10-1972;Myszków,Polska;RP;10610;optyk;28;Częstochowa
041;Krzysztof Brejza;16-05-1983;Bydgoszcz,Polska;PO;12600;poseł na Sejm RP;4;Bydgoszcz
042;Joachim Brudziński;04-02-1968;Świerklaniec,Polska;PiS;38700;politolog;41;Szczecin
043;Jacek Brzezinka;30-08-1966;Bytom,Polska;PO;10775;menadżer;29;Gliwice
044;Beata Bublewicz;26-02-1975;Olsztyn,Polska;PO;23262;socjolog;35;Olsztyn
045;Barbara Bubula;04-03-1963;Kraków,Polska;PiS;7502;filolog;13;Kraków
046;Borys Budka;11-03-1978;Czeladź,Polska;PO;10260;radca prawny;29;Gliwice
047;Jerzy Budnik;30-05-1951;Wejherowo,Polska;PO;8546;administratywista;26;Gdynia
048;Bożenna Bukiewicz;14-02-1952;Żary,Polska;PO;38017;inż. mechanik;8;Zielona
049;Andrzej Buła;28-08-1965;Kluczbork,Polska;PO;9167;parlamentarzysta;21;Opole
050;Jan Bury;01-10-1963;Przeworsk,Polska;PSL;15649;prawnik;23;Rzeszów
051;Renata Butryn;31-05-1959;Dębica,Polska;PO;8941;nauczyciel;23;Rzeszów
052;Jan Cedzyński;28-02-1961;Mąchocice Kapitulne,Polska;RP;14796;inżynier budownictwa;33;Kielce
053;Jarosław Charłampowicz;19-12-1969;Brzeg Dolny,Polska;PO;8399;politolog;3;Wrocław
054;Zbigniew Chmielowiec;22-09-1954;Kolbuszowa,Polska;PiS;16038;inżynier inżynierii środowiska;23;Rzeszów
055;Piotr Chmielowski;27-04-1965;Chorzów,Polska;RP;9925;inżynier mechanik;30;Rybnik
057;Janusz Cichoń;07-01-1957;Bytom,Polska;PO;13902;nauczyciel akademicki;35;Olsztyn
058;Piotr Cieśliński;08-08-1978;Olsztyn,Polska;PO;15547;ekonomista;34;Elbląg
059;Marian Cycoń;17-07-1940;Barcice,Polska;PO;10678;wyższy urzędnik samorządowy;14;Nowy
060;Barbara Czaplicka;22-11-1948;Warszawa,Polska;PO;8340;lekarz;20;Warszawa
061;Witold Czarnecki;12-04-1953;Murowana Goślina,Polska;PiS;10201;wykładowca akademicki;37;Konin
062;Arkadiusz Czartoryski;14-04-1966;Ostrołęka,Polska;PiS;17516;nauczyciel;18;Siedlce
063;Czesław Czechyra;12-01-1954;Potok Górny,Polska;PO;4347;lekarz;17;Radom
064;Jacek Czerniak;30-08-1964;Świdnik,Polska;SLD;5965;politolog;6;Lublin
