imnz;rokur;wiek;klub;miejsce;okreg;glosy;plec
Adam Abramowicz;1961-03-10;54;PiS;NA;7 Chełm;10500;M
Andrzej Adamczyk;1959-01-04;56;PiS;NA;13 Kraków;18514;M
Zbigniew Ajchler;1955-11-21;60;PO;NA;38 Piła;7275;M
Adam Andruszkiewicz;1990-06-30;25;KUKIZ;NA;24 Białystok;15668;M
Waldemar Andzel;1971-09-17;44;PiS;NA;32 Sosnowiec;12021;M
Piotr Apel;1984-02-08;31;KUKIZ;NA;9 Łódź;7935;M
Dorota Arciszewska-Mielewczyk;1968-02-16;47;PiS;NA;26 Gdynia;25054;F
Jan Krzysztof Ardanowski;1961-02-11;54;PiS;NA;5 Toruń;18366;M
Iwona Ewa Arent;1968-06-04;47;PiS;NA;35 Olsztyn;26377;F
Bartosz Arłukowicz;1971-12-30;44;PO;NA;41 Szczecin;20678;M
Paweł Arndt;1954-01-21;61;PO;NA;37 Konin;17925;M
Marek Ast;1958-09-27;57;PiS;NA;8 Zielona Góra;17530;M
Urszula Augustyn;1964-09-01;51;PO;NA;15 Tarnów;13928;F
Joanna Augustynowska;1979-06-14;36;PETRU;NA;3 Wrocław;9989;F
Tadeusz Aziewicz;1960-10-31;55;PO;NA;26 Gdynia;6625;M
Zbigniew Babalski;1953-04-27;62;PiS;NA;34 Elbląg;11695;M
Piotr Babiarz;1975-02-03;40;PiS;NA;3 Wrocław;12950;M
Piotr Babinetz;1969-09-09;46;PiS;NA;22 Krosno;10170;M
Wojciech Bakun;1981-01-29;34;KUKIZ;NA;22 Krosno;9406;M
Paweł Bańkowski;1969-09-01;46;PO;NA;32 Sosnowiec;6707;M
Ryszard Bartosik;1968-01-11;47;PiS;NA;37 Konin;8163;M
Barbara Bartuś;1967-07-03;48;PiS;NA;14 Nowy Sącz;20725;F
Mieczysław Kazimierz Baszko;1961-06-26;54;PSL;NA;24 Białystok;7010;M
Dariusz Bąk;1958-01-04;57;PiS;NA;17 Radom;17961;M
Paweł Bejda;1962-10-13;53;PSL;NA;11 Sieradz;6283;M
Włodzimierz Bernacki;1960-02-17;55;PiS;NA;15 Tarnów;27673;M
Anna Białkowska;1971-09-03;44;PO;NA;17 Radom;7466;F
Jerzy Bielecki;1969-11-19;46;PiS;NA;6 Lublin;8510;M
Marek Biernacki;1959-04-28;56;PO;NA;26 Gdynia;42586;M
Zbigniew Biernat;1963-11-13;52;PiS;NA;12 Chrzanów;3644;M
Mariusz Błaszczak;1969-09-19;46;PiS;NA;20 Warszawa;73139;M
Magdalena Błeńska;1983-03-22;32;KUKIZ;NA;25 Gdańsk;9437;F
Jacek Bogucki;1959-02-13;56;PiS;NA;24 Białystok;9707;M
Jerzy Borowczak;1957-11-15;58;PO;NA;25 Gdańsk;16931;M
Joanna Borowiak;1967-08-20;48;PiS;NA;5 Toruń;8292;F
Agata Borowiec;1987-06-13;28;PiS;NA;7 Chełm;17183;F
Elżbieta Borowska;1988-10-13;27;KUKIZ;NA;14 Nowy Sącz;8115;F
Bożena Borys-Szopa;1954-03-11;61;PiS;NA;31 Katowice;7912;F
Krzysztof Brejza;1983-05-16;32;PO;NA;4 Bydgoszcz;15951;M
Joachim Brudziński;1968-02-04;47;PiS;NA;41 Szczecin;46918;M
Józef Brynkus;1962-04-05;53;KUKIZ;NA;12 Chrzanów;8615;M
Barbara Bubula;1963-03-04;52;PiS;NA;13 Kraków;9813;F
Wojciech Buczak;1955-02-06;60;PiS;NA;23 Rzeszów;18202;M
Waldemar Buda;1982-09-21;33;PiS;NA;9 Łódź;15028;M
Borys Budka;1978-03-11;37;PO;NA;29 Gliwice;37761;M
Bożenna Bukiewicz;1952-02-14;63;PO;NA;8 Zielona Góra;25715;F
Lidia Burzyńska;1964-08-27;51;PiS;NA;28 Częstochowa;9760;F
Małgorzata Chmiel;1953-05-01;62;PO;NA;25 Gdańsk;13346;F
Zbigniew Chmielowiec;1954-09-22;61;PiS;NA;23 Rzeszów;18197;M
Barbara Chrobak;1965-09-10;50;KUKIZ;NA;32 Sosnowiec;8550;F
Sylwester Chruszcz;1972-08-22;43;KUKIZ;NA;41 Szczecin;11052;M
Alicja Chybicka;1951-05-10;64;PO;NA;3 Wrocław;62211;F
Janusz Cichoń;1957-01-07;58;PO;NA;35 Olsztyn;17864;M
Michał Cieślak;1974-12-09;41;PiS;NA;33 Kielce;6331;M
Piotr Cieśliński;1978-08-08;37;PO;NA;34 Elbląg;7774;M
Tomasz Cimoszewicz;1979-10-16;36;PO;NA;24 Białystok;14496;M
Tadeusz Cymański;1955-06-06;60;PiS;NA;25 Gdańsk;13126;M
Adam Cyrański;1960-03-29;55;PETRU;NA;33 Kielce;12120;M
Krzysztof Czabański;1948-10-04;67;PiS;NA;5 Toruń;16546;M
Przemysław Czarnecki;1983-09-12;32;PiS;NA;3 Wrocław;9200;M
