imnz;wiek;klub;kadencje
Adam Abramowicz;50;PiS;2
Adam Hofman;31;PiS;3
Adam Kwiatkowski;39;PiS;1
Adam Kępiński;36;RP;1
Adam Lipiński;55;PiS;5
Adam Rogacki;35;PiS;3
Adam Rybakowicz;27;RP;1
Adam Szejnfeld;53;PO;3
Adam Żyliński;53;PO;2
Agnieszka Hanajczyk;48;PO;2
Agnieszka Kozłowska-Rajewicz;42;PO;2
Agnieszka Kołacz-Leszczyńska;39;PO;1
Agnieszka Pomaska;31;PO;2
Aleksander Grad;49;PO;4
Aleksandra Trybuś;44;PO;1
Alicja Dąbrowska;55;PO;2
Alicja Olechowska;55;PO;4
Andrzej Adamczyk;52;PiS;3
Andrzej Biernat;51;PO;3
Andrzej Buła;46;PO;2
Andrzej Bętkowski;60;PiS;2
Andrzej Czerwiński;57;PO;4
Andrzej Dera;50;PiS;1
Andrzej Duda;39;PiS;1
Andrzej Dąbrowski;39;PiS;1
Andrzej Gałażewski;67;PO;4
Andrzej Gut-Mostowy;51;PO;3
Andrzej Halicki;50;PO;3
Andrzej Jaworski;41;PiS;2
Andrzej Kania;48;PO;2
Andrzej Lewandowski;57;RP;1
Andrzej Orzechowski;49;PO;2
Andrzej Piątak;42;RP;1
Andrzej Romanek;44;PiS;1
Andrzej Rozenek;42;RP;1
Andrzej Szlachta;64;PiS;3
Andrzej Sztorc;58;PSL;2
Anna Bańkowska;65;SLD;6
Anna Elżbieta Sobecka;60;PiS;1
Anna Fotyga;54;PiS;1
Anna Grodzka;57;RP;1
Anna Nemś;47;PO;1
Anna Paluch;51;PiS;3
Anna Zalewska;46;PiS;2
Antoni Macierewicz;63;PiS;5
Antoni Mężydło;57;PO;4
Arkadiusz Czartoryski;45;PiS;3
Arkadiusz Litwiński;41;PO;3
Arkadiusz Mularczyk;40;PiS;3
Arkady Fiedler;66;PO;3
Armand Kamil Ryfiński;37;RP;1
Artur Bramora;39;RP;1
Artur Dunin;42;PO;2
Artur Dębski;42;RP;1
Artur Gierada;32;PO;2
Artur Górczyński;39;RP;1
Artur Górski;41;PiS;3
Artur Ostrowski;43;SLD;3
Barbara Bartuś;44;PiS;2
Barbara Bubula;48;PiS;2
Barbara Czaplicka;63;PO;2
Barbara Kudrycka;55;PO;1
Bartosz Arłukowicz;40;PO;2
Bartosz Kownacki;32;PiS;1
Bartłomiej Bodio;39;RP;1
Beata Bublewicz;36;PO;3
Beata Kempa;45;PiS;3
Beata Mazurek;44;PiS;3
Beata Małecka-Libera;57;PO;3
Beata Szydło;48;PiS;3
Bogdan Rzońca;50;PiS;1
Bogdan Zdrojewski;54;PO;4
Bogusław Wontor;44;SLD;4
Bolesław Grzegorz Piecha;57;PiS;3
Borys Budka;33;PO;1
Bożena Kamińska;46;PO;1
Bożena Szydłowska;60;PO;2
Bożena Sławiak;63;PO;2
Bożenna Bukiewicz;59;PO;3
Brygida Kolenda-Łabuś;61;PO;1
Cezary Grabarczyk;51;PO;4
Cezary Kucharski;39;PO;1
Cezary Olejniczak;39;SLD;1
Cezary Tomczyk;27;PO;2
Czesław Czechyra;57;PO;2
Czesław Gluza;55;PO;1
Czesław Hoc;57;PiS;3
Czesław Mroczek;47;PO;3
Damian Raczkowski;36;PO;3
Danuta Pietraszewska;64;PO;3
Dariusz Bąk;53;PiS;2
Dariusz Cezar Dziadzio;36;RP;1
Dariusz Joński;32;SLD;1
Dariusz Piontkowski;47;PiS;1
Dariusz Rosati;65;PO;1
Dariusz Seliga;42;PiS;3
Dawid Jackiewicz;38;PiS;3
Domicela Kopaczewska;53;PO;3
Donald Tusk;54;PO;5
Dorota Arciszewska-Mielewczyk;43;PiS;2
Dorota Niedziela;47;PO;1
Dorota Rutkowska;49;PO;2
Edmund Borawski;65;PSL;3
Edward Czesak;60;PiS;3
Edward Siarka;48;PiS;3
Elżbieta Apolonia Pierzchała;57;PO;1
Elżbieta Gapińska;51;PO;1
Elżbieta Gelert;56;PO;1
Elżbieta Kruk;52;PiS;3
Elżbieta Radziszewska;53;PO;4
Elżbieta Rafalska;56;PiS;2
Elżbieta Witek;54;PiS;3
Eugeniusz Czykwin;62;SLD;5
Eugeniusz Kłopotek;58;PSL;3
Eugeniusz Tomasz Grzeszczak;57;PSL;1
Ewa Drozd;48;PO;2
Ewa Kopacz;55;PO;4
Ewa Kołodziej;33;PO;1
Ewa Malik;50;PiS;3
Ewa Wolak;51;PO;3
Ewa Żmuda-Trzebiatowska;55;PO;1
Franciszek Jerzy Stefaniuk;67;PSL;6
Gabriela Masłowska;61;PiS;4
Genowefa Tokarska;62;PSL;1
Grzegorz Adam Woźniak;43;PiS;1
Grzegorz Matusiak;50;PiS;1
Grzegorz Napieralski;37;SLD;4
Grzegorz Raniewicz;41;PO;2
Grzegorz Schetyna;48;PO;4
Grzegorz Schreiber;50;PiS;2
Grzegorz Sztolcman;49;PO;2
Grzegorz Tobiszowski;46;PiS;3
Halina Rozpondek;61;PO;3
Halina Szymiec-Raczyńska;62;RP;1
Henryk Kmiecik;58;RP;1
Henryk Kowalczyk;55;PiS;3
Henryk Siedlaczek;55;PO;3
Henryk Smolarz;42;PSL;2
Ireneusz Raś;39;PO;3
Iwona Ewa Arent;43;PiS;1
Iwona Guzowska;37;PO;2
Iwona Kozłowska;48;PO;1
Iwona Śledzińska-Katarasińska;70;PO;7
Izabela Katarzyna Mrzygłocka;52;PO;3
Izabela Kloc;48;PiS;3
Izabela Leszczyna;49;PO;2
Jacek Bogucki;52;PiS;3
Jacek Brzezinka;45;PO;2
Jacek Czerniak;47;SLD;1
Jacek Falfus;60;PiS;4
Jacek Kozaczyński;43;PO;2
Jacek Kwiatkowski;41;RP;1
Jacek Najder;33;RP;1
Jacek Osuch;53;PiS;2
Jacek Sasin;42;PiS;1
Jacek Tomczak;38;PO;3
Jacek Świat;56;PiS;1
Jacek Żalek;38;PO;2
Jadwiga Wiśniewska;48;PiS;3
Jadwiga Zakrzewska;61;PO;3
Jagna Marczułajtis-Walczak;33;PO;1
Jakub Rutnicki;33;PO;3
Jakub Szulc;38;PO;3
Jan Bury;48;PSL;6
Jan Cedzyński;50;RP;1
Jan Dziedziczak;30;PiS;2
Jan Kaźmierczak;61;PO;2
Jan Krzysztof Ardanowski;50;PiS;1
Jan Szyszko;67;PiS;3
Jan Tomaszewski;63;PiS;1
Jan Vincent-Rostowski;60;PO;1
Jan Warzecha;52;PiS;2
Jan Ziobro;22;PiS;1
Jan Łopata;57;PSL;3
Janina Okrągły;56;PO;2
Janusz Cichoń;54;PO;2
Janusz Dzięcioł;58;PO;2
Janusz Palikot;47;RP;3
Janusz Piechociński;51;PSL;5
Janusz Śniadek;56;PiS;1
Jarosław Charłampowicz;42;PO;1
Jarosław Gowin;50;PO;2
Jarosław Górczyński;40;PSL;1
Jarosław Kaczyński;62;PiS;6
Jarosław Katulski;50;PO;2
Jarosław Pięta;47;PO;2
Jarosław Rusiecki;50;PiS;3
Jarosław Sellin;48;PiS;3
Jarosław Tomasz Jagiełło;40;niez.;1
Jarosław Zieliński;51;PiS;4
Jarosław Żaczek;44;PiS;3
Jerzy Borkowski;54;RP;1
Jerzy Borowczak;54;PO;2
Jerzy Budnik;60;PO;3
Jerzy Fedorowicz;64;PO;1
Jerzy Kozdroń;61;PO;3
Jerzy Materna;55;PiS;3
Jerzy Polaczek;50;PiS;4
Jerzy Rębek;51;PiS;2
Jerzy Szmit;51;PiS;1
Jerzy Wenderlich;57;SLD;5
Jerzy Ziętek;55;PO;2
Jerzy Żyżyński;62;PiS;1
Joachim Brudziński;43;PiS;3
Joanna Bobowska;44;PO;1
Joanna Fabisiak;61;PO;3
Joanna Kluzik-Rostkowska;48;PO;2
Joanna Mucha;35;PO;2
John Abraham Godson;41;PO;2
Jolanta Szczypińska;54;PiS;4
Julia Pitera;58;PO;3
Józef Lassota;68;PO;2
Józef Racki;68;PSL;2
Józef Rojek;61;PiS;3
Józef Zych;73;PSL;7
Józefa Hrynkiewicz;66;PiS;1
Katarzyna Hall;54;PO;1
Katarzyna Matusik-Lipiec;36;PO;2
Kazimierz Gołojuch;47;PiS;3
Kazimierz Michał Ujazdowski;47;PiS;4
Kazimierz Moskal;49;PiS;3
Kazimierz Plocke;53;PO;4
Kazimierz Ziobro;62;PiS;1
Killion Munyama;50;PO;1
Konstanty Miodowicz;60;PO;4
Konstanty Oświęcimski;47;PO;2
Kosma Złotowski;47;PiS;1
Krystyna Kłosin;57;PO;2
Krystyna Ozga;67;PSL;4
Krystyna Pawłowicz;59;PiS;1
Krystyna Poślednia;54;PO;1
Krystyna Sibińska;49;PO;1
Krystyna Skowrońska;57;PO;4
Krystyna Szumilas;55;PO;4
Krystyna Łybacka;65;SLD;7
Krzysztof Borkowski;47;PSL;2
Krzysztof Brejza;28;PO;2
Krzysztof Gadowski;49;PO;3
Krzysztof Jurgiel;58;PiS;4
Krzysztof Kwiatkowski;40;PO;1
Krzysztof Kłosowski;36;RP;1
Krzysztof Lipiec;52;PiS;3
Krzysztof Michałkiewicz;58;PiS;3
Krzysztof Popiołek;55;PiS;2
Krzysztof Szczerski;38;PiS;1
Krzysztof Tchórzewski;61;PiS;4
Lech Kołakowski;48;PiS;3
Lech Sprawka;56;PiS;2
Leonard Krasulski;61;PiS;3
Leszek Aleksandrzak;53;SLD;2
Leszek Blanik;34;PO;1
Leszek Dobrzyński;44;PiS;2
Leszek Jastrzębski;35;PO;2
Leszek Korzeniowski;56;PO;4
Leszek Miller;65;SLD;5
Lidia Gądek;44;PO;1
Lidia Staroń;51;PO;3
Ligia Krajewska;62;PO;1
Lucjan Marek Pietrzczyk;51;PO;1
Ludwik Dorn;57;PiS;4
Maciej Banaszak;36;RP;1
Maciej Małecki;37;PiS;1
Maciej Mroczek;38;RP;1
Maciej Orzechowski;40;PO;2
Maciej Wydrzyński;37;RP;1
Maciej Zieliński;40;PO;1
Maciej Łopiński;64;PiS;1
Magdalena Gąsior-Marek;28;PO;2
Magdalena Kochan;61;PO;3
Maks Kraczkowski;32;PiS;3
Marcin Kierwiński;35;PO;1
Marcin Mastalerek;27;PiS;1
Marcin Witko;40;PiS;1
Marcin Święcicki;64;PO;2
Marek Ast;53;PiS;3
Marek Balt;38;SLD;1
Marek Biernacki;52;PO;3
Marek Domaracki;47;RP;1
Marek Gos;42;PSL;1
Marek Hok;58;PO;1
Marek Krząkała;44;PO;2
Marek Kuchciński;56;PiS;4
Marek Matuszewski;52;PiS;3
Marek Opioła;35;PiS;3
Marek Plura;41;PO;2
Marek Polak;48;PiS;3
Marek Poznański;27;RP;1
Marek Rząsa;54;PO;2
Marek Sawicki;53;PSL;5
Marek Stolarski;48;RP;1
Marek Suski;53;PiS;4
Marek Wojtkowski;43;PO;2
Marek Wójcik;31;PO;3
Marek Łapiński;40;PO;1
Marek Łatas;51;PiS;2
Maria Małgorzata Janyska;49;PO;1
Maria Nowak;61;PiS;3
Maria Zuba;60;PiS;3
Marian Cycoń;71;PO;2
Mariusz Antoni Kamiński;33;PiS;1
Mariusz Błaszczak;42;PiS;2
Mariusz Grad;38;PO;2
Mariusz Kamiński;46;PiS;3
Mariusz Orion Jędrysek;49;PiS;1
Mariusz Witczak;40;PO;1
Marzena Dorota Wróbel;48;PiS;2
Marzena Machałek;51;PiS;3
Marzena Okła-Drewnowicz;39;PO;2
Małgorzata Adamczak;40;PO;1
Małgorzata Gosiewska;45;PiS;2
Małgorzata Kidawa-Błońska;54;PO;3
Małgorzata Marcinkiewicz;49;RP;1
Małgorzata Niemczyk;42;PO;1
Małgorzata Pępek;50;PO;1
Małgorzata Sadurska;36;PiS;3
Małgorzata Sekuła-Szmajdzińska;55;SLD;1
Michał Jach;60;PiS;2
Michał Jaros;30;PO;2
Michał Kabaciński;23;RP;1
Michał Szczerba;34;PO;2
Michał Tomasz Pacholski;26;RP;1
Michał Wojtkiewicz;65;PiS;3
Mieczysław Golba;45;PiS;3
Mieczysław Kasprzak;58;PSL;5
Mieczysław Marcin Łuczak;56;PSL;3
Miron Sycz;51;PO;2
Mirosław Koźlakiewicz;54;PO;3
Mirosław Maliszewski;43;PSL;3
Mirosław Pawlak;69;PSL;6
Mirosław Pluta;51;PO;2
Mirosława Nykiel;58;PO;2
Monika Wielichowska;38;PO;2
Norbert Wojnarowski;35;PO;2
Patryk Jaki;26;PiS;1
Paweł Arndt;57;PO;3
Paweł Graś;47;PO;4
Paweł Olszewski;32;PO;3
Paweł Papke;34;PO;1
Paweł Sajak;34;RP;1
Paweł Suski;47;PO;2
Paweł Szałamacha;42;PiS;1
Piotr Babinetz;42;PiS;2
Piotr Chmielowski;46;RP;1
Piotr Cieśliński;33;PO;2
Piotr Naimski;60;PiS;1
Piotr Paweł Bauć;51;RP;1
Piotr Polak;50;PiS;2
Piotr Pyzik;52;PiS;1
Piotr Szeliga;34;PiS;1
Piotr Tomański;42;PO;2
Piotr Van der Coghen;58;PO;2
Piotr Walkowski;48;PSL;2
Piotr Zgorzelski;48;PSL;1
Przemysław Wipler;33;PiS;1
Radosław Sikorski;48;PO;2
Radosław Witkowski;37;PO;2
Rafał Grupiński;59;PO;3
Rajmund Miller;57;PO;1
Renata Butryn;52;PO;2
Renata Zaremba;44;PO;2
Robert Biedroń;35;RP;1
Robert Kołakowski;48;PiS;3
Robert Kropiwnicki;37;PO;2
Robert Telus;42;PiS;2
Robert Tyszkiewicz;48;PO;3
Robert Wardzała;36;PO;1
Roman Jacek Kosecki;45;PO;1
Roman Kaczor;55;PO;2
Roman Kotliński;44;RP;1
Romuald Ajchler;62;SLD;5
Ryszard Galla;55;niez.;3
Ryszard Kalisz;54;SLD;4
Ryszard Terlecki;62;PiS;2
Ryszard Zawadzki;60;PO;2
Ryszard Zbrzyzny;56;SLD;5
Stanisław Gawłowski;43;PO;3
Stanisław Huskowski;58;PO;2
Stanisław Kalemba;64;PSL;7
Stanisław Lamczyk;54;PO;3
Stanisław Ożóg;58;PiS;3
Stanisław Piotrowicz;59;PiS;1
Stanisław Pięta;40;PiS;3
Stanisław Szwed;56;PiS;3
Stanisław Wziątek;52;SLD;3
Stanisław Żelichowski;67;PSL;7
Stanisław Żmijan;55;PO;4
Stanisława Prządka;68;SLD;4
Stefan Niesiołowski;67;PO;4
Stefan Strzałkowski;54;PiS;2
Szymon Giżyński;55;PiS;2
Sławomir Jan Piechota;51;PO;2
Sławomir Kopyciński;36;RP;2
Sławomir Kowalski;50;PO;1
Sławomir Kłosowski;47;PiS;3
Sławomir Neumann;43;PO;2
Sławomir Nowak;37;PO;4
Sławomir Zawiślak;48;PiS;3
Tadeusz Arkit;56;PO;2
Tadeusz Aziewicz;51;PO;3
Tadeusz Dziuba;63;PiS;1
Tadeusz Iwiński;67;SLD;7
Tadeusz Jarmuziewicz;54;PO;4
Tadeusz Tomaszewski;52;SLD;5
Tadeusz Woźniak;51;PiS;3
Teresa Hoppe;64;PO;1
Teresa Piotrowska;56;PO;4
Tomasz Garbowski;32;SLD;3
Tomasz Górski;38;PiS;3
Tomasz Głogowski;37;PO;3
Tomasz Kaczmarek;35;PiS;1
Tomasz Kamiński;32;SLD;2
Tomasz Kulesza;52;PO;3
Tomasz Latos;47;PiS;3
Tomasz Lenz;43;PO;3
Tomasz Makowski;38;RP;1
Tomasz Piotr Nowak;55;PO;3
Tomasz Smolarz;45;PO;2
Tomasz Szymański;33;PO;1
Tomasz Tomczykiewicz;50;PO;4
