100099;181504;Dom Pomocy Społecznej w Rudzie|Ruda| 102 |39-122 Kamionka
100133;181603;Niepubliczny Zakład Opieki Zdrowotnej AVEE-med. Zakład Opiekuńczo-Leczniczy|Niechobrz| 972 |36-047 Niechobrz
100134;181603;Dom Spokojnej Starości "Złote Liście"|Zarzecze| 23 |36-041 Boguchwała
100141;181604;Dom Pomocy Społecznej Im. Św. Ojca Pio|Chmielnik| 4 |36-016 Chmielnik
100346;181801;Dom Pomocy Społecznej|Stalowa Wola|Romana Dmowskiego 2a |37-450 Stalowa Wola
100381;181805;Dom Pomocy Społecznej dla Dorosłych w Irenie|Irena| 72 |37-470 Zaklików
100400;181901;Dom Pomocy Społecznej - Filia w Pstrągowej Woli|Pstrągowa| 616 |38-121 Pstrągowa
100500;182004;Dom Pomocy Społecznej|Nowa Dęba|Jana Pawła II 7 |39-460 Nowa Dęba
100559;186101;Dom Pomocy Społecznej Nr 1|Krosno|ul. F. Żwirki i S. Wigury 4a |38-400 Krosno
100560;186101;Dom Pomocy Społecznej Nr 2|Krosno|ul. Kletówki 7 |38-400 Krosno
100594;186201;Zakład Opiekuńczo - Leczniczy|Przemyśl|Jasińskiego 15 |37-700 Przemyśl
100596;186201;Miejski Dom Pomocy Społecznej|Przemyśl|ul. Wysockiego 99 |37-700 Przemyśl
100598;186201;Miejski Dom Pomocy Społecznej|Przemyśl|ul. Św. Brata Alberta 3 |37-700 Przemyśl
100601;186201;Niepubliczny Zakład Opiekuńczo - Leczniczy i Opieki Palitywnej SAN-MED B&amp;K s.c.|Przemyśl|ul. Rogozińskiego 30 |37-700 Przemyśl
100651;186301;Dom Pomocy Społecznej dla Kombatantów|Rzeszów|ul. Powstańców Śląskich 4 |35-610 Rzeszów
100692;186301;Dom Pomocy Społecznej dla Osób w Podeszłym Wieku oraz Osób Niepełnosprawnych Fizycznie w Rzeszowie|Rzeszów|Sucharskiego 1 |35-222 Rzeszów
100693;186301;Filia Domu Pomocy Społecznej dla Osób w Podeszłym Wieku oraz Osób Niepełnosprawnych Fizycznie w Rzeszowie|Rzeszów|Łabędzia 9 |35-207 Rzeszów
100726;186401;Dom Pomocy Społecznej|Tarnobrzeg|Kurasia 7 |39-400 Tarnobrzeg
100783;200201;Dom Pomocy Społecznej w Choroszczy|Choroszcz|Aleja Niepodległości 4 |16-070 Choroszcz
100819;200205;Dom Pomocy Społecznej w Czerewkach|Czerewki| 1 |16-061 Juchnowiec Kościelny
100834;200206;Dom Pomocy Społecznej w Uhowie|Uhowo|ul. Surażska 67 |18-100 Łapy
100846;200207;Dom Pomocy Społecznej ”Spokojna Przystań” w Garbarach|Garbary| 1 |16-050 Michałowo
100847;200207;Dom Pomocy Społecznej „Jawor” w Jałówce|Garbary|Leśna 11 |16-050 Michałowo
100877;200212;Dom Pomocy Społecznej pw. Św. Franciszka z Asyżu|Tykocin|Klasztorna 1 |16-080 Tykocin
100913;200302;Dom Pomocy Społecznej im. Jana Pawła II|Brańsk|Jana Pawła II 12 |17-120 Brańsk
101007;200502;Dom Pomocy Społecznej "Rokitnik"|Białowieża|Centura 2 |17-230 Białowieża
101142;200803;Sala ćwiczeń rehabilitacyjnych w Domu Pomocy Społecznej "Dom Kombatanta" w Mocieszach|Mociesze| 4A |19-124 Jaświły
101159;200806;Dom Pomocy Społecznej w Mońkach|Mońki|PCK 15 |19-100 Mońki
101195;201001;Powiatowy Dom Pomocy Społecznej w Siemiatyczach|Siemiatycze|ul. Szpitalna 10 |17-300 Siemiatycze
101354;201302;Dom Pomocy Społecznej w Kozarzach|Kozarze| 63 |18-230 Ciechanowiec
101355;201302;Zakład Opiekuńczo - Leczniczy w Ciechanowcu|Ciechanowiec|Pl. Ks. K. Kluka 4 |18-230 Ciechanowiec
101564;206101;Świetlica Dziennego Pobytu dla Dzieci przy Dziennym Domu Pomocy Społecznej|Białystok, Starosielce|ul. Barszczańska 18 |15-639 Białystok
101565;206101;Świetlica Dziennego Pobytu dla Dzieci przy Dziennym Domu Pomocy Społecznej|Białystok, Starosielce|ul. Barszczańska 18 |15-639 Białystok
101618;206101;Dom Pomocy Społecznej|Białystok|Świerkowa 9 |15-328 Białystok
101675;206301;Dom Pomocy Społecznej "Kalina"|Suwałki|ul. K. Pułaskiego 66 |16-400 Suwałki
101782;220201;Dom Pomocy Społecznej|Chojnice|Leśna 12 |89-600 Chojnice
101846;220302;Dom Pomocy Społecznej|Czarne|Zamkowa 19 |77-330 Czarne
102035;220603;Dom Pomocy Społecznej w Cisewiu|Cisewie| 35 |83-440 Cisewie
102085;220701;Dom Pomocy Społecznej|Kwidzyn|Malborska 18 |82-500 Kwidzyn
102087;220701;Dom Pomocy Społecznej|Kwidzyn|ul. Malborska 18 |82-500 Kwidzyn
102126;220705;Dom Pomocy Społecznej w Ryjewie|Ryjewo|Słoneczna 14 |82-420 Ryjewo
102152;220801;Dom Pomocy Społecznej Nr 1 w Lęborku|Lębork|ul. Mieczysława Stryjewskiego 23 |84-300 Lębork
102153;220801;Dom Pomocy Społecznej Nr 2 w Lęborku|Lębork|ul. I Armii Wojska Polskiego 43 |84-300 Lębork
102198;220901;Dom Pomocy Społecznej|Malbork|Juliusza Słowackiego 45 |82-200 Malbork
102244;221004;Dom Pomocy Społecznej "MORS" w Stegnie|Stegna|Morska 11 |82-103 Stegna
102258;221103;Dom Pomocy Społecznej w Pucku|Puck|Aleksandra Majkowskiego 3 |84-100 Puck
102285;221106;Dom Pomocy Społecznej|Lubkowo|Długa 50 |84-110 Krokowa
102359;221206;Zakład Opiekuńczo-Leczniczy Psychiatryczny w Kobylnicy|Kobylnica|Franciszkańska 1 |76-251 Kobylnica
102374;221208;Dom Pomocy Społecznej w Lubuczewie|Lubuczewo| 29A |76-200 Słupsk
102477;221312;Dom Pomocy Społecznej|Szpęgawsk|Kasztanowa 23 |83-200 Starogard Gdański
102529;221402;Świetlica DPS w Gniewie|Gniew|Gdańska 23 |83-140 Gniew
102530;221402;Dom Pomocy Społecznej|Wielkie Wyręby| 23 |83-230 Smętowo Graniczne
102545;221404;Dom Pomocy Społecznej|Pelplin|Szpitalna 2 |83-130 Pelplin
102561;221406;Dom Pomocy Społecznej|Damaszka| 1 |83-209 Godziszewo
102562;221406;Dom Pomocy Społecznej|Stanisławie| 31 |83-112 Lubiszewo
102617;221503;Dom Pomocy Społecznej|Wejherowo|Św. Jacka 14 |84-200 Wejherowo
102618;221503;Dom Pomocy Społecznej|Wejherowo|Przebendowskiego 1 |84-200 Wejherowo
102631;221505;Dom Pomocy Społecznej|Strzebielinek| 15 |84-250 Gniewino
102929;226101;Dom Pomocy Społecznej "Ostoja"|Gdańsk, Stogi|ul. Hoża 4 |80-628 Gdańsk 8
102944;226101;Dom Pomocy Społecznej|Gdańsk, Oliwa|ul. Polanki 121 |80-308 Gdańsk 5
103068;226201;Dom Pomocy Społecznej|Gdynia|Pawia 31 |81-078 Gdynia
103114;226301;Dom Pomocy Społecznej "Leśna Oaza"|Słupsk|ul. Leśna 8 |76-200 Słupsk
103127;226401;Dom Pomocy Społecznej|Sopot|ul. Adama Mickiewicza 49 |81-866 Sopot
103178;240101;Dom Pomocy Społecznej|Będzin|Fryderyka Chopina 1 |42-506 Będzin
103180;240102;Dom Pomocy Społecznej "Senior"|Czeladź|ul. Szpitalna 5A |41-250 Czeladź
