okreg;tkod;idkomisji
10;100101;89849
10;100101;89850
10;100101;89851
10;100101;89852
10;100101;89853
10;100101;89854
10;100101;89855
10;100101;89856
10;100101;89857
10;100101;89858
10;100101;89859
10;100101;89860
10;100101;89861
10;100101;89862
10;100101;89863
10;100101;89864
10;100101;89865
10;100101;89866
10;100101;89867
10;100101;89868
10;100101;89869
10;100101;89870
10;100101;89871
10;100101;89872
10;100101;89873
10;100101;89874
10;100101;89875
10;100101;89876
10;100102;89877
10;100102;89878
10;100102;89879
10;100102;89880
10;100102;89881
10;100102;89882
10;100102;89883
10;100102;89884
10;100102;89885
10;100103;89886
10;100103;89887
10;100103;89888
10;100103;89889
10;100103;89890
10;100103;89891
10;100104;89892
10;100104;89893
10;100104;89894
10;100104;89895
10;100105;89896
10;100105;89897
10;100105;89898
10;100106;89899
10;100106;89900
10;100106;89901
10;100106;89902
10;100106;89903
10;100107;89904
10;100107;89905
10;100107;89906
10;100107;89907
10;100107;89908
10;100107;89909
10;100107;89910
10;100108;89911
10;100108;89912
10;100108;89913
10;100108;89914
10;100108;89915
10;100108;89916
10;100108;89917
10;100108;89918
10;100108;89919
10;100108;89920
10;100701;90236
10;100701;90237
10;100701;90238
10;100701;90239
10;100701;90240
10;100702;90241
10;100702;90242
10;100702;90243
10;100702;90244
10;100702;90245
10;100702;90246
10;100702;90247
10;100702;90248
10;100702;90249
10;100702;90250
10;100702;90251
10;100702;90252
10;100702;90253
10;100703;90254
10;100703;90255
10;100703;90256
10;100703;90257
10;100704;90258
10;100704;90259
10;100704;90260
10;100704;90261
10;100704;90262
10;100704;90263
10;100704;90264
10;100704;90265
10;100704;90266
10;100704;90267
10;100704;90268
10;100704;90269
10;100704;90270
10;100704;90271
10;100704;90272
10;100704;90273
10;100704;90274
10;100704;90275
10;100704;90276
10;100704;90277
10;100704;90278
10;100704;90279
10;100704;90280
10;100704;90281
10;100704;90282
10;100704;90283
10;100705;90284
10;100705;90285
10;100705;90286
10;100705;90287
10;100706;90288
10;100706;90289
10;100706;90290
10;100706;90291
10;100707;90292
10;100707;90293
10;100707;90294
10;100707;90295
10;100707;90296
10;100707;90297
10;100707;90298
10;100707;90299
10;100708;90300
10;100708;90301
10;100708;90302
10;100708;90303
10;100708;90304
10;100708;90305
10;100708;90306
10;100708;90307
10;100708;90308
10;101001;90440
10;101001;90441
10;101001;90442
10;101001;90443
10;101001;90444
10;101002;90445
10;101002;90446
10;101002;90447
10;101002;90448
10;101003;90449
10;101003;90450
10;101003;90451
10;101003;90452
10;101003;90453
10;101003;90454
10;101003;90455
10;101003;90456
10;101003;90457
10;101004;90458
10;101004;90459
10;101004;90460
10;101004;90461
10;101004;90462
10;101005;90463
10;101005;90464
10;101005;90465
10;101005;90466
10;101006;90467
10;101006;90468
10;101006;90469
10;101006;90470
10;101006;90471
10;101006;90472
10;101006;90473
10;101006;90474
10;101006;90475
10;101007;90476
10;101007;90477
10;101007;90478
10;101007;90479
10;101008;90480
10;101008;90481
10;101008;90482
10;101008;90483
10;101008;90484
10;101008;90485
10;101008;90486
10;101008;90487
10;101008;90488
10;101009;90489
10;101009;90490
10;101009;90491
10;101009;90492
10;101009;90493
10;101009;90494
10;101009;90495
10;101009;90496
10;101009;90497
10;101009;90498
10;101009;90499
10;101010;90500
10;101010;90501
10;101010;90502
10;101010;90503
10;101010;90504
10;101010;90505
10;101010;90506
10;101010;90507
10;101011;90508
10;101011;90509
10;101011;90510
10;101011;90511
10;101011;90512
10;101011;90513
10;101201;90565
10;101201;90566
10;101201;90567
10;101201;90568
10;101201;90569
10;101201;90570
10;101201;90571
10;101201;90572
10;101201;90573
10;101201;90574
10;101201;90575
10;101201;90576
