nrk;pgnw;freq;lgw;lgnw
100000;3.76;37.67;410;16
100001;3.02;44.74;578;18
100002;3.76;50.24;307;12
100003;2.59;52.30;676;18
100004;2.73;52.68;821;23
100005;1.81;67.48;163;3
100006;6.01;51.79;516;33
100007;2.55;61.95;725;19
100008;3.92;51.34;809;33
100009;5.32;48.82;605;34
100010;4.12;55.04;372;16
100011;2.79;56.74;348;10
100012;2.95;46.83;659;20
100013;1.47;38.31;134;2
100014;6.47;49.88;188;13
100015;10.56;42.37;144;17
100016;3.40;51.59;313;11
100017;3.31;38.23;146;5
100018;5.09;36.18;205;11
100019;4.26;46.84;270;12
100020;1.81;49.92;869;16
100021;1.75;49.22;280;5
100022;3.44;48.56;702;25
100023;3.60;42.41;428;16
100024;3.07;56.62;916;29
100025;5.00;49.22;418;22
100026;2.19;56.85;134;3
100027;2.96;59.53;394;12
100028;3.79;45.60;254;10
100029;3.53;56.37;683;25
100030;6.56;44.00;356;25
100031;4.02;48.36;454;19
100032;4.33;58.40;376;17
100033;4.07;46.55;259;11
100034;4.27;39.66;202;9
100035;5.79;57.75;179;11
100036;1.59;57.62;186;3
100037;8.00;57.87;115;10
100038;3.59;57.61;456;17
100039;2.67;59.33;328;9
100040;2.74;55.42;532;15
100041;4.40;53.75;521;24
100042;3.00;55.40;194;6
100043;3.09;46.09;251;8
100044;2.54;55.51;383;10
100045;1.75;65.30;281;5
100046;1.31;51.96;301;4
100047;4.41;45.49;564;26
100048;4.73;37.38;302;15
100049;4.13;39.49;209;9
100050;3.15;47.18;461;15
100051;0.00;36.92;72;0
100052;3.94;51.23;341;14
100053;1.30;35.48;76;1
100054;0.79;51.01;125;1
100055;4.40;52.22;326;15
100056;3.68;41.94;366;14
100057;3.33;46.85;726;25
100058;3.53;49.13;520;19
100059;1.09;55.12;181;2
100060;2.76;56.36;599;17
100061;4.66;55.37;511;25
100062;3.62;53.65;559;21
100063;2.56;61.02;572;15
100064;3.81;53.39;379;15
100065;1.43;55.01;276;4
100066;4.71;57.34;324;16
100067;3.08;57.67;346;11
100068;2.47;53.47;593;15
100069;3.32;55.79;787;27
100070;3.05;53.53;382;12
100071;2.29;57.43;725;17
100072;2.99;52.43;649;20
100073;0.31;54.79;319;1
100074;3.19;56.44;759;25
100075;2.34;66.81;460;11
100076;2.77;54.81;316;9
100077;1.89;55.92;829;16
100078;3.00;58.49;421;13
100079;1.91;59.70;513;10
100080;1.79;60.90;439;8
100081;2.31;62.86;845;20
100082;0.38;58.05;521;2
100083;0.53;57.11;751;4
100084;3.99;49.75;385;16
100085;2.38;57.53;164;4
100086;2.77;54.92;668;19
100087;1.15;58.00;86;1
100088;2.40;54.31;609;15
100089;4.11;59.85;536;23
100090;3.33;53.92;406;14
100091;2.60;48.65;561;15
100092;2.76;54.57;493;14
100093;2.33;54.89;126;3
100094;6.38;58.08;323;22
100095;2.43;43.56;241;6
100096;1.77;56.00;555;10
100097;2.01;66.49;877;18
100098;1.29;62.73;766;10
100099;11.32;59.55;47;6
100100;6.45;40.26;29;2
100101;3.98;52.15;338;14
100102;3.05;63.44;700;22
100103;3.58;54.32;836;31
100104;4.57;49.26;668;32
100105;9.30;39.63;156;16
100106;4.76;48.67;540;27
100107;2.86;47.59;815;24
100108;3.38;50.18;400;14
100109;2.06;51.59;808;17
100110;3.67;49.51;341;13
100111;0.00;78.08;57;0
100112;2.46;53.49;913;23
100113;0.79;43.55;251;2
100114;2.52;53.76;697;18
100115;3.03;48.91;480;15
100116;2.75;52.00;354;10
100117;4.73;55.54;544;27
100118;1.87;47.99;526;10
100119;2.21;56.20;266;6
100120;3.81;51.84;353;14
100121;1.45;57.02;1225;18
100122;1.20;59.29;1066;13
100123;2.65;59.53;441;12
100124;1.79;57.17;548;10
100125;1.47;60.78;1344;20
100126;1.71;55.61;633;11
100127;1.39;58.79;712;10
100128;1.20;60.62;660;8
100129;1.71;60.47;690;12
100130;0.88;65.46;791;7
100131;2.96;54.57;689;21
100132;1.38;63.80;285;4
100133;0.00;12.90;4;0
100134;0.00;4.44;2;0
100135;2.34;63.55;877;21
100136;3.02;59.99;836;26
100137;3.22;50.88;421;14
100138;1.36;50.90;362;5
100139;1.79;49.91;274;5
100140;3.79;58.15;127;5
100141;1.79;86.15;55;1
100142;3.25;39.85;357;12
100143;6.90;48.60;162;12
100144;3.30;38.56;176;6
100145;1.69;43.57;350;6
100146;2.85;53.21;443;13
100147;2.26;40.67;130;3
100148;6.76;34.34;317;23
100149;9.24;28.33;108;11
100150;5.42;50.92;157;9
100151;1.39;46.45;71;1
100152;2.32;56.84;548;13
100153;2.06;58.71;1142;24
100154;1.27;48.76;155;2
100155;3.33;44.67;174;6
100156;3.43;44.16;591;21
100157;4.66;53.83;348;17
100158;3.72;53.17;751;29
100159;2.19;61.62;1074;24
100160;3.14;59.33;154;5
100161;2.71;57.34;323;9
100162;6.56;61.62;228;16
100163;2.81;58.28;277;8
100164;1.22;56.35;649;8
100165;2.00;62.01;539;11
100166;2.15;60.98;364;8
100167;1.69;61.68;1046;18
100168;0.00;54.55;24;0
100169;3.73;55.66;232;9
100170;4.55;62.66;671;32
100171;3.08;59.68;660;21
100172;2.76;67.79;176;5
100173;3.04;54.12;223;7
100174;3.49;55.85;304;11
100175;2.26;58.13;475;11
100176;3.16;49.29;337;11
100177;2.09;51.82;516;11
100178;1.22;58.05;648;8
100179;2.27;56.03;345;8
100180;5.62;56.42;336;20
100181;2.04;50.63;673;14
100182;1.39;55.89;426;6
100183;2.69;53.79;905;25
100184;0.86;60.96;1034;9
100185;2.37;63.19;947;23
100186;3.08;57.40;598;19
100187;2.71;56.28;789;22
100188;1.45;62.76;613;9
100189;1.64;53.99;1018;17
100190;2.09;60.56;842;18
100191;3.06;52.33;761;24
100192;1.46;57.75;202;3
100193;2.19;58.23;938;21
100194;2.85;58.22;922;27
100195;5.03;49.07;151;8
100196;6.02;37.47;156;10
100197;1.80;62.39;764;14
100198;3.35;53.68;866;30
100199;4.15;52.12;1085;47
100200;4.32;48.57;421;19
100201;3.07;51.90;727;23
100202;4.07;52.58;283;12
100203;4.30;33.82;89;4
100204;0.35;56.50;286;1
100205;6.75;57.80;235;17
100206;1.92;56.46;1020;20
100207;0.75;59.11;528;4
100208;3.68;58.53;654;25
100209;1.74;62.46;734;13
100210;4.41;59.84;282;13
100211;2.79;60.05;244;7
100212;3.23;48.76;210;7
100213;2.54;51.30;422;11
100214;2.74;54.67;1065;30
100215;1.99;55.93;934;19
100216;2.98;53.99;879;27
100217;2.89;60.15;538;16
100218;1.82;55.32;970;18
100219;2.20;65.13;1109;25
100220;2.48;64.19;591;15
100221;1.92;69.43;715;14
100222;1.72;54.57;229;4
100223;2.49;56.06;979;25
100224;3.22;53.76;871;29
100225;2.16;51.42;407;9
100226;3.47;55.82;639;23
100227;0.98;56.65;1012;10
100228;1.42;54.28;832;12
100229;3.57;53.28;243;9
100230;3.23;61.49;629;21
100231;3.15;61.52;1045;34
100232;1.84;55.69;639;12
100233;2.08;52.99;754;16
100234;2.70;58.41;794;22
100235;2.38;57.36;616;15
100236;2.11;47.93;464;10
100237;1.94;44.31;557;11
100238;2.16;44.98;543;12
100239;0.74;49.71;671;5
100240;0.84;48.49;588;5
100241;1.41;54.34;771;11
100242;2.40;48.60;815;20
100243;1.49;48.37;729;11
100244;2.55;43.59;650;17
100245;1.94;47.91;709;14
100246;1.70;43.73;521;9
100247;2.77;48.58;667;19
100248;2.88;43.33;606;18
100249;2.07;51.97;710;15
100250;2.10;55.37;793;17
100251;2.56;50.68;685;18
100252;2.01;44.17;586;12
100253;2.80;50.00;973;28
100254;2.31;48.84;762;18
100255;2.01;48.25;877;18
100256;2.10;44.32;653;14
100257;1.75;54.47;730;13
100258;10.71;45.90;75;9
100259;26.42;46.49;39;14
100260;5.33;42.25;462;26
100261;3.14;41.32;401;13
100262;2.69;47.49;470;13
100263;7.41;27.00;75;6
100264;3.18;43.16;821;27
100265;3.19;47.79;606;20
100266;1.91;46.27;462;9
100267;2.08;33.33;329;7
100268;5.07;23.59;131;7
100269;5.48;24.54;138;8
100270;1.10;28.48;180;2
100271;3.17;33.92;428;14
100272;18.75;41.56;52;12
100273;6.98;34.13;80;6
100274;1.60;45.70;246;4
100275;2.57;49.00;835;22
100276;4.28;47.80;291;13
100277;4.80;43.71;119;6
100278;2.50;44.37;273;7
100279;5.98;49.73;173;11
100280;2.38;43.65;369;9
100281;3.40;46.26;227;8
100282;2.87;50.56;305;9
100283;2.40;42.88;447;11
100284;4.23;60.04;521;23
100285;4.50;46.61;446;21
100286;4.15;37.34;277;12
100287;2.45;42.32;398;10
100288;2.06;48.02;95;2
100289;3.64;38.87;106;4
100290;1.13;41.15;262;3
100291;4.23;36.36;249;11
100292;1.64;45.32;300;5
100293;5.38;45.86;246;14
100294;6.18;38.95;577;38
100295;3.01;43.56;774;24
100296;2.82;44.66;999;29
100297;7.64;32.67;290;24
100298;1.75;44.14;729;13
100299;3.44;48.51;534;19
100300;5.63;42.94;436;26
100301;6.25;34.47;180;12
100302;4.05;46.84;426;18
100303;3.35;42.06;635;22
100304;5.21;43.25;437;24
100305;2.53;49.92;308;8
100306;3.92;48.81;612;25
100307;2.70;48.37;504;14
100308;2.65;41.14;294;8
100309;3.45;34.24;364;13
100310;0.85;54.44;815;7
100311;2.33;54.41;965;23
100312;1.95;49.70;903;18
100313;1.27;52.33;620;8
100314;0.81;49.88;610;5
100315;1.75;48.23;563;10
100316;2.37;48.03;536;13
100317;2.69;52.45;688;19
100318;1.02;52.96;779;8
100319;2.34;56.07;708;17
100320;1.38;49.15;573;8
100321;1.84;55.95;748;14
100322;2.98;50.63;781;24
100323;1.83;49.21;645;12
100324;1.63;55.63;724;12
100325;1.56;48.49;631;10
100326;2.15;48.17;592;13
100327;1.64;53.15;779;13
