nrk;pgnw;freq;lgw;lgnw;pPiS;pPO
100000;3.76;37.67;410;16;51.46;9.76
100001;3.02;44.74;578;18;41.87;14.19
100002;3.76;50.24;307;12;69.71;4.23
100003;2.59;52.30;676;18;64.64;6.21
100004;2.73;52.68;821;23;65.77;7.67
100005;1.81;67.48;163;3;64.42;3.07
100006;6.01;51.79;516;33;62.21;6.20
100007;2.55;61.95;725;19;76.00;4.83
100008;3.92;51.34;809;33;63.16;5.19
100009;5.32;48.82;605;34;64.63;10.74
100010;4.12;55.04;372;16;73.92;6.99
100011;2.79;56.74;348;10;75.29;1.72
100012;2.95;46.83;659;20;51.14;5.61
100013;1.47;38.31;134;2;43.28;24.63
100014;6.47;49.88;188;13;47.34;13.30
100015;10.56;42.37;144;17;58.33;6.25
100016;3.40;51.59;313;11;51.12;12.78
100017;3.31;38.23;146;5;39.73;12.33
100018;5.09;36.18;205;11;48.29;11.22
100019;4.26;46.84;270;12;62.96;6.30
100020;1.81;49.92;869;16;42.23;17.61
100021;1.75;49.22;280;5;58.93;7.14
100022;3.44;48.56;702;25;71.79;6.55
100023;3.60;42.41;428;16;63.32;3.74
100024;3.07;56.62;916;29;71.72;3.60
100025;5.00;49.22;418;22;76.08;3.11
100026;2.19;56.85;134;3;58.21;7.46
100027;2.96;59.53;394;12;75.38;2.03
100028;3.79;45.60;254;10;66.93;7.09
100029;3.53;56.37;683;25;51.10;5.27
100030;6.56;44.00;356;25;32.87;9.27
100031;4.02;48.36;454;19;30.62;2.64
100032;4.33;58.40;376;17;34.04;1.33
100033;4.07;46.55;259;11;44.79;5.41
100034;4.27;39.66;202;9;41.09;4.95
100035;5.79;57.75;179;11;40.78;2.23
100036;1.59;57.62;186;3;48.92;3.76
100037;8.00;57.87;115;10;24.35;0.87
100038;3.59;57.61;456;17;62.94;7.02
100039;2.67;59.33;328;9;54.88;8.54
100040;2.74;55.42;532;15;62.78;7.71
100041;4.40;53.75;521;24;70.83;6.53
100042;3.00;55.40;194;6;71.65;2.58
100043;3.09;46.09;251;8;77.29;3.19
100044;2.54;55.51;383;10;71.80;6.01
100045;1.75;65.30;281;5;80.43;3.91
100046;1.31;51.96;301;4;72.09;3.99
100047;4.41;45.49;564;26;62.23;7.45
100048;4.73;37.38;302;15;53.97;11.92
100049;4.13;39.49;209;9;73.68;7.66
100050;3.15;47.18;461;15;69.85;7.16
100051;0.00;36.92;72;0;45.83;43.06
100052;3.94;51.23;341;14;75.66;2.64
100053;1.30;35.48;76;1;68.42;3.95
100054;0.79;51.01;125;1;77.60;2.40
100055;4.40;52.22;326;15;69.63;7.98
100056;3.68;41.94;366;14;69.13;3.55
100057;3.33;46.85;726;25;60.19;9.92
100058;3.53;49.13;520;19;72.50;4.42
100059;1.09;55.12;181;2;71.82;1.66
100060;2.76;56.36;599;17;73.46;2.34
100061;4.66;55.37;511;25;82.78;2.15
100062;3.62;53.65;559;21;71.38;3.22
100063;2.56;61.02;572;15;71.15;2.97
100064;3.81;53.39;379;15;78.10;1.85
100065;1.43;55.01;276;4;60.14;4.71
100066;4.71;57.34;324;16;66.36;6.79
100067;3.08;57.67;346;11;52.31;8.67
100068;2.47;53.47;593;15;58.35;8.26
100069;3.32;55.79;787;27;70.14;3.81
100070;3.05;53.53;382;12;68.32;5.76
100071;2.29;57.43;725;17;63.03;7.45
100072;2.99;52.43;649;20;47.61;12.48
100073;0.31;54.79;319;1;51.72;9.40
100074;3.19;56.44;759;25;52.83;9.62
100075;2.34;66.81;460;11;52.61;10.87
100076;2.77;54.81;316;9;60.76;8.54
100077;1.89;55.92;829;16;52.96;13.15
100078;3.00;58.49;421;13;66.03;11.40
100079;1.91;59.70;513;10;59.84;17.54
100080;1.79;60.90;439;8;64.69;11.85
100081;2.31;62.86;845;20;55.98;11.60
100082;0.38;58.05;521;2;62.57;7.87
100083;0.53;57.11;751;4;62.45;9.85
100084;3.99;49.75;385;16;70.13;3.38
100085;2.38;57.53;164;4;72.56;6.71
100086;2.77;54.92;668;19;76.20;5.54
100087;1.15;58.00;86;1;73.26;8.14
100088;2.40;54.31;609;15;73.40;3.12
100089;4.11;59.85;536;23;76.49;4.29
100090;3.33;53.92;406;14;74.88;5.67
100091;2.60;48.65;561;15;57.93;8.91
100092;2.76;54.57;493;14;65.31;4.26
100093;2.33;54.89;126;3;80.95;2.38
100094;6.38;58.08;323;22;83.28;1.55
100095;2.43;43.56;241;6;68.88;7.88
100096;1.77;56.00;555;10;65.95;4.32
100097;2.01;66.49;877;18;77.77;1.14
100098;1.29;62.73;766;10;82.11;1.70
100099;11.32;59.55;47;6;85.11;2.13
100100;6.45;40.26;29;2;68.97;17.24
100101;3.98;52.15;338;14;78.11;0.89
100102;3.05;63.44;700;22;77.71;2.71
100103;3.58;54.32;836;31;59.09;6.94
100104;4.57;49.26;668;32;67.96;2.40
100105;9.30;39.63;156;16;62.18;5.77
100106;4.76;48.67;540;27;73.89;3.89
100107;2.86;47.59;815;24;50.31;11.53
100108;3.38;50.18;400;14;46.75;11.25
100109;2.06;51.59;808;17;50.62;8.54
100110;3.67;49.51;341;13;78.59;4.40
100111;0.00;78.08;57;0;68.42;3.51
100112;2.46;53.49;913;23;53.12;6.79
100113;0.79;43.55;251;2;51.39;7.57
100114;2.52;53.76;697;18;63.70;5.16
100115;3.03;48.91;480;15;59.58;9.58
100116;2.75;52.00;354;10;69.49;4.80
100117;4.73;55.54;544;27;66.54;4.41
100118;1.87;47.99;526;10;73.19;2.85
100119;2.21;56.20;266;6;63.53;7.14
100120;3.81;51.84;353;14;70.82;2.27
100121;1.45;57.02;1225;18;52.57;11.27
100122;1.20;59.29;1066;13;45.68;14.73
100123;2.65;59.53;441;12;47.85;17.01
100124;1.79;57.17;548;10;59.31;11.50
100125;1.47;60.78;1344;20;66.89;7.89
100126;1.71;55.61;633;11;75.83;3.95
100127;1.39;58.79;712;10;66.29;7.87
100128;1.20;60.62;660;8;65.15;7.73
100129;1.71;60.47;690;12;43.04;15.36
100130;0.88;65.46;791;7;50.70;14.16
100131;2.96;54.57;689;21;64.44;8.13
100132;1.38;63.80;285;4;62.11;8.07
100133;0.00;12.90;4;0;75.00;0.00
100134;0.00;4.44;2;0;100.00;0.00
100135;2.34;63.55;877;21;58.04;11.29
100136;3.02;59.99;836;26;67.46;5.50
100137;3.22;50.88;421;14;58.19;7.60
100138;1.36;50.90;362;5;66.57;4.70
100139;1.79;49.91;274;5;50.36;7.66
100140;3.79;58.15;127;5;64.57;6.30
100141;1.79;86.15;55;1;94.55;3.64
100142;3.25;39.85;357;12;52.66;12.04
100143;6.90;48.60;162;12;65.43;3.09
100144;3.30;38.56;176;6;60.23;2.27
100145;1.69;43.57;350;6;60.86;6.29
100146;2.85;53.21;443;13;69.75;3.61
100147;2.26;40.67;130;3;57.69;7.69
100148;6.76;34.34;317;23;54.57;3.79
100149;9.24;28.33;108;11;54.63;2.78
100150;5.42;50.92;157;9;55.41;8.92
100151;1.39;46.45;71;1;76.06;2.82
100152;2.32;56.84;548;13;46.90;16.61
100153;2.06;58.71;1142;24;53.59;11.38
100154;1.27;48.76;155;2;65.16;4.52
100155;3.33;44.67;174;6;72.99;5.75
100156;3.43;44.16;591;21;64.47;7.11
100157;4.66;53.83;348;17;62.07;9.77
100158;3.72;53.17;751;29;70.44;5.19
100159;2.19;61.62;1074;24;68.99;5.77
100160;3.14;59.33;154;5;55.19;17.53
100161;2.71;57.34;323;9;54.18;13.31
100162;6.56;61.62;228;16;57.02;12.72
100163;2.81;58.28;277;8;55.60;8.30
100164;1.22;56.35;649;8;51.31;12.02
100165;2.00;62.01;539;11;44.71;18.37
100166;2.15;60.98;364;8;44.23;22.25
100167;1.69;61.68;1046;18;50.67;14.82
100168;0.00;54.55;24;0;66.67;16.67
100169;3.73;55.66;232;9;66.38;4.31
100170;4.55;62.66;671;32;62.00;7.15
100171;3.08;59.68;660;21;71.82;3.33
