nrk;teryt;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw
100000;181405;Szkoła Podstawowa w Kańczudze|Kańczuga|ul. Szkolna 7 |37-220 Kańczuga;1131;426;426;16;410;37.67;3.76
100001;181405;Hala Sportowa w Kańczudze|Kańczuga|ul. Parkowa 10 |37-220 Kańczuga;1332;596;596;18;578;44.74;3.02
100002;181406;Zespół Szkół w Chałupkach|Chałupki| 109 |37-200 Przeworsk;635;319;319;12;307;50.24;3.76
100003;181406;Gimnazjum Nr 5 w Gorliczynie|Gorliczyna| 148 |37-200 Przeworsk;1327;694;694;18;676;52.30;2.59
100004;181406;Wiejski dom Kultury w Grzęsce|Grzęska| 536 |37-200 Przeworsk;1602;844;844;23;821;52.68;2.73
100005;181406;Wiejski Dom Kultury w Gwizdaju|Gwizdaj|al. Jana Pawła II 3A |37-200 Przeworsk;246;166;166;3;163;67.48;1.81
100006;181406;Wiejski Dom Kultury w Mirocinie|Mirocin| 386 |37-200 Przeworsk;1060;549;549;33;516;51.79;6.01
100007;181406;Wiejski Dom Kultury w Nowosielcach|Nowosielce| 565 |37-200 Przeworsk;1201;744;744;19;725;61.95;2.55
100008;181406;Zespół Szkół w Rozborzu|Rozbórz| 568 |37-200 Przeworsk;1640;842;842;33;809;51.34;3.92
100009;181406;Wiejski Dom Kultury w Studzianie|Studzian| 302 |37-200 Przeworsk;1309;639;639;34;605;48.82;5.32
100010;181406;Wiejski Dom Kultury w Świętoniowej|Świętoniowa| 229A |37-200 Przeworsk;705;388;388;16;372;55.04;4.12
100011;181406;Wiejski Dom Kultury w Ujeznej|Ujezna| 223 |37-200 Przeworsk;631;358;358;10;348;56.74;2.79
100012;181406;Wiejski Dom Kultury w Urzejowicach|Urzejowice| 484 |37-200 Przeworsk;1450;679;679;20;659;46.83;2.95
100013;181407;Remizo-świetlica w Czercach|Czerce| 130 |37-530 Sieniawa;355;136;136;2;134;38.31;1.47
100014;181407;Remizo-świetlica w Czerwonej Woli|Czerwona Wola| |37-530 Sieniawa;403;201;201;13;188;49.88;6.47
100015;181407;Remizo-świetlica w Dobrej|Dobra| |37-530 Sieniawa;380;161;161;17;144;42.37;10.56
100016;181407;Remizo-świetlica w Dybkowie|Dybków| |37-530 Sieniawa;628;324;324;11;313;51.59;3.40
100017;181407;Dom Ludowy w Leżachowie|Leżachów| |37-530 Sieniawa;395;151;151;5;146;38.23;3.31
100018;181407;Dom Ludowy w Piganach|Pigany| |37-530 Sieniawa;597;216;216;11;205;36.18;5.09
100019;181407;Remizo-świetlica w Rudce|Rudka| |37-530 Sieniawa;602;282;282;12;270;46.84;4.26
100020;181407;Szkoła Podstawowa w Sieniawie|Sieniawa|Rynek 4 |37-530 Sieniawa;1773;885;885;16;869;49.92;1.81
100021;181407;Remizo-świetlica w Wylewie|Wylewa| |37-530 Sieniawa;579;285;285;5;280;49.22;1.75
100022;181408;Zespół Szkół w Tryńczy|Tryńcza| 129 |37-204 Tryńcza;1497;727;727;25;702;48.56;3.44
100023;181408;Wiejski Dom Kultury w Gorzycach|Gorzyce| 88 |37-204 Tryńcza;1047;444;444;16;428;42.41;3.60
100024;181408;Wiejski Dom Kultury w Gniewczynie Łańcuckiej|Gniewczyna Łańcucka| 621 |37-203 Gniewczyna Łańcucka;1669;945;945;29;916;56.62;3.07
100025;181408;Zespół Szkoły i Przedszkola w Jagielle|Jagiełła| 275 |37-203 Gniewczyna Łańcucka;894;440;440;22;418;49.22;5.00
100026;181408;Wiejski Dom Kultury w Głogowcu|Głogowiec| 60 |37-204 Tryńcza;241;137;137;3;134;56.85;2.19
100027;181408;Wiejski Dom Kultury w Gniewczynie Trynieckiej|Gniewczyna Tryniecka| 27 |37-203 Gniewczyna Łańcucka;682;406;406;12;394;59.53;2.96
100028;181408;Szkoła Podstawowa w Ubieszynie|Ubieszyn| 65 |37-204 Tryńcza;579;264;264;10;254;45.60;3.79
100029;181409;Zespół Szkół im. Jana Pawła II w Zarzeczu|Zarzecze| 9A |37-205 Zarzecze;1256;708;708;25;683;56.37;3.53
100030;181409;Szkoła Podstawowa w Siennowie|Siennów| 227 |37-205 Zarzecze;866;381;381;25;356;44.00;6.56
100031;181409;Zespół Szkół im. św. Brata Alberta w Żurawiczkach|Żurawiczki| 82 |37-200 Przeworsk;978;473;473;19;454;48.36;4.02
100032;181409;Szkoła Podstawowa w Maćkówce|Maćkówka| 210 |37-200 Przeworsk;673;393;393;17;376;58.40;4.33
100033;181409;Zespół Szkół w Zarzeczu Szkoła filialna im. Orła Białego w Pełnatyczach|Pełnatycze| 16 |37-205 Zarzecze;580;270;270;11;259;46.55;4.07
100034;181409;Zespół Szkół w Zarzeczu Szkoła filialna im. Kardynała Stefana Wyszyńskiego w Rożniatowie|Rożniatów| 5A |37-205 Zarzecze;532;211;211;9;202;39.66;4.27
100035;181409;Remiza OSP w Zalesiu|Zalesie| |37-205 Zarzecze;329;190;190;11;179;57.75;5.79
100036;181409;Remiza OSP w Kisielowie|Kisielów| |37-205 Zarzecze;328;189;189;3;186;57.62;1.59
100037;181409;Remiza OSP w Łapajówce|Łapajówka| |37-205 Zarzecze;216;125;125;10;115;57.87;8.00
100038;181501;Zespół Szkół w Iwierzycach|Iwierzyce| 188 |39-124 Iwierzyce;821;473;473;17;456;57.61;3.59
100039;181501;Zespół Szkół w Iwierzycach, Szkoła Filialna w Sielcu|Sielec| 51 B |39-120 Sędziszów Małopolski;568;337;337;9;328;59.33;2.67
100040;181501;Szkoła Podstawowa w Olchowej|Olchowa| 3 |39-127 Będziemyśl;987;547;547;15;532;55.42;2.74
100041;181501;Szkoła Podstawowa w Nockowej|Nockowa| 1 |39-124 Iwierzyce;1014;545;545;24;521;53.75;4.40
100042;181501;Szkoła Podstawowa w Nockowej,Szkoła Filialna w Będzienicy|Będzienica| 44 |39-124 Iwierzyce;361;200;200;6;194;55.40;3.00
100043;181501;Szkoła Podstawowa w Bystrzycy, Szkoła Filialna w Wiśniowej|Wiśniowa| 69 |39-124 Iwierzyce;562;259;259;8;251;46.09;3.09
100044;181501;Szkoła Podstawowa w Bystrzycy|Bystrzyca| 52 A |39-124 Iwierzyce;708;393;393;10;383;55.51;2.54
100045;181501;Dom Strażaka w Olimpowie|Olimpów| 57 |39-124 Iwierzyce;438;286;286;5;281;65.30;1.75
100046;181501;Szkoła Podstawowa w Wiercanach|Wiercany| 73 |39-124 Iwierzyce;587;305;305;4;301;51.96;1.31
100047;181502;Dom Strażaka w Ostrowie|Ostrów| 224 |39-103 Ostrów;1297;590;590;26;564;45.49;4.41
100048;181502;Szkoła Podstawowa w Skrzyszowie|Skrzyszów| 190 |39-103 Ostrów;848;317;317;15;302;37.38;4.73
100049;181502;Szkoła Podstawowa w Woli Ocieckiej|Wola Ociecka| 114 |39-104 Ocieka;552;218;218;9;209;39.49;4.13
