glosy;komisja
0;107597
0;89654
1;111436
1;107560
2;83629
2;95793
2;89493
2;105774
2;100134
3;90636
3;102259
3;108266
3;89237
3;90052
3;105598
3;86133
3;108764
3;83792
4;88218
4;86193
4;107000
4;100133
4;104714
4;91065
4;110282
4;89596
4;87931
4;92974
4;85870
4;90637
4;84917
4;92399
4;96655
4;105746
4;86446
5;100691
5;98074
5;106055
5;99260
5;98369
5;84501
5;84218
5;86967
5;109629
5;110623
5;104265
5;104169
5;91814
6;84742
6;110779
6;102562
6;91139
6;108763
6;108654
6;85627
6;90396
6;101614
6;105521
6;101003
6;83664
6;98314
6;107979
6;107528
6;107598
6;103243
7;106178
7;86476
7;101355
7;105841
7;95482
7;105105
7;107864
7;98418
7;96880
7;107474
8;106941
8;89294
8;93260
8;107355
8;102232
8;103453
8;94170
8;85559
8;87415
8;86226
8;100560
8;98043
8;90371
8;98044
9;83831
9;85818
9;108762
9;83861
9;87618
9;89772
9;102512
9;98205
9;102086
9;111072
9;106985
9;105409
9;90321
9;90736
9;89265
9;88231
9;111151
9;92448
9;102151
9;106812
9;84007
9;107115
9;98141
9;104786
9;88489
9;104541
9;90422
9;84583
9;104787
9;103115
9;103342
9;87144
9;89199
9;105106
10;98416
10;107356
10;98718
10;92499
10;110490
10;96379
10;91967
10;108079
10;98184
10;107123
10;86466
10;92496
10;106008
10;94502
10;109581
10;91608
10;89189
10;105965
10;88134
10;86587
10;86966
10;86144
10;85545
11;91063
11;90388
11;91033
11;102153
11;109195
11;110305
11;86445
11;101167
11;103690
11;110488
11;105995
11;110328
11;108390
11;110744
11;100835
11;107467
11;91946
11;105365
11;87143
12;88795
12;83918
12;95792
12;83600
12;98152
12;101196
12;101964
12;98435
12;102359
12;84084
12;104923
12;102152
12;91823
12;90869
12;88794
12;90322
12;106252
12;94449
12;103476
12;102530
12;98138
13;110711
13;94386
13;109497
13;84842
13;95463
13;87698
13;84006
13;100693
13;87140
13;94522
13;96259
13;102420
13;109061
13;98115
13;87146
13;96611
13;90662
13;89074
13;108303
13;91119
13;104209
13;106701
13;102258
13;86674
13;94448
13;107527
13;83983
13;92923
13;89951
14;107317
14;108798
14;87212
14;110677
14;83818
14;104319
14;104641
14;110881
14;102511
14;107316
14;105987
14;100728
14;101159
14;96536
14;109175
14;109088
14;88447
14;89407
14;103138
14;96276
14;101965
14;86764
14;95275
14;100503
14;101007
14;110975
14;103114
14;105591
14;90753
14;110672
14;102943
14;92542
15;92995
15;92302
15;104168
15;106944
15;87214
15;90558
15;98113
15;109972
15;105366
15;83910
15;89544
15;98116
15;100521
15;84664
15;101610
15;83849
15;86192
15;109672
15;108497
15;109871
15;102200
15;108966
15;85473
15;107918
15;105932
15;101142
15;96653
15;103451
15;94960
15;106430
15;85720
15;85171
15;84071
16;94909
16;90119
16;109973
16;104785
16;89275
16;109027
16;98139
16;102126
16;103681
16;94947
16;88488
16;109129
16;111081
16;103139
16;101379
16;85781
16;100726
16;96617
16;107151
16;108496
16;110464
16;83695
16;104172
16;97738
16;108525
16;83858
16;110796
16;89274
16;103287
16;93295
16;109089
16;87909
16;87141
16;85470
16;101616
16;89211
16;107797
16;102478
16;103178
17;105354
17;110411
17;110678
17;95339
17;110581
17;106948
17;91619
17;101046
17;106940
17;105748
17;89144
17;99901
17;107558
17;104208
17;98914
17;89329
17;110582
17;98658
17;90626
17;104783
17;91011
17;106648
17;97864
17;106054
17;84970
17;108069
17;95280
17;83761
17;83843
17;102198
17;107053
18;90181
18;105924
18;92845
18;107628
18;85980
18;90542
18;111404
18;99207
18;93131
18;105838
18;108078
18;106125
18;111025
18;95816
18;93411
18;85549
18;90060
18;102934
18;94679
18;107408
18;90283
18;91630
18;111437
18;84137
18;91628
18;84064
18;85544
18;89942
19;89652
19;87213
19;102477
19;89076
19;90843
19;102929
19;84649
19;106016
19;84786
19;103888
19;106552
19;103140
19;107690
19;90409
19;111102
19;106106
19;90111
19;100502
19;96548
19;101611
19;84703
19;94021
19;98831
19;98829
19;89943
20;95726
20;85476
20;101826
20;102285
20;86965
20;91620
20;94098
20;83984
20;98913
20;94739
20;105155
20;99206
20;91632
20;94044
20;92498
20;107124
20;97907
20;85959
20;105104
20;90320
20;92844
20;103752
20;100819
20;110286
20;107372
20;88703
20;94447
20;100913
20;84663
20;106805
20;86363
20;101755
21;105154
21;85118
21;89077
21;108828
21;108740
21;102374
21;84994
21;92324
21;84277
21;108323
21;108223
21;99030
21;91042
21;95483
21;104718
21;92449
21;109535
21;111435
21;105102
21;84283
21;94017
21;107255
21;105108
21;102311
21;110684
21;92288
21;111398
21;105369
21;86968
21;105353
21;94036
21;89704
21;92565
21;94299
21;105922
21;108346
21;84291
21;86637
21;86298
22;106647
22;97899
22;110580
22;86961
22;108827
22;92325
22;100501
22;101715
22;95504
22;106938
22;110287
22;93335
22;111150
22;107505
22;94039
22;97917
22;100598
22;96493
22;91723
22;87145
22;84106
22;108122
22;101781
22;98550
22;111023
22;93196
22;106369
22;85620
22;92426
22;98073
22;97432
22;95577
22;105367
22;104780
22;86263
22;97060
22;102529
22;101195
22;110466
22;97825
23;86111
23;105368
23;88351
23;85795
23;99360
23;108091
23;90051
23;89920
23;99593
23;109297
23;97836
23;94030
23;106281
23;109461
23;105101
23;110599
23;87687
23;100346
23;94096
23;83602
23;103179
23;111206
23;94043
23;84995
23;103857
24;91633
24;99687
24;84971
24;83894
24;100168
24;94402
24;90840
24;98701
24;88429
