teryt;typ;name
020101;U;Bolesławiec
020102;R;Bolesławiec
020103;R;Gromadka
020104;R;Nowogrodziec
020105;R;Osiecznica
020106;R;Warta Bolesławiecka
020201;U;Bielawa
020202;U;Dzierżoniów
020203;R;Pieszyce
020204;U;Piława Górna
020205;R;Dzierżoniów
020206;R;Łagiewniki
020207;R;Niemcza
020301;U;Głogów
020302;R;Głogów
020303;R;Jerzmanowa
020304;R;Kotla
020305;R;Pęcław
020306;R;Żukowice
020401;R;Góra
020402;R;Jemielno
020403;R;Niechlów
020404;R;Wąsosz
020501;U;Jawor
020502;R;Bolków
020503;R;Męcinka
020504;R;Mściwojów
020505;R;Paszowice
020506;R;Wądroże Wielkie
020601;U;Karpacz
020602;U;Kowary
020603;U;Piechowice
020604;U;Szklarska Poręba
020605;R;Janowice Wielkie
020606;R;Jeżów Sudecki
020607;R;Mysłakowice
020608;R;Podgórzyn
020609;R;Stara Kamienica
020701;U;Kamienna Góra
020702;R;Kamienna Góra
020703;R;Lubawka
020704;R;Marciszów
020801;U;Duszniki-Zdrój
020802;U;Kłodzko
020803;U;Kudowa-Zdrój
020804;U;Nowa Ruda
020805;U;Polanica-Zdrój
020806;R;Bystrzyca Kłodzka
020807;R;Kłodzko
020808;R;Lądek-Zdrój
020809;R;Lewin Kłodzki
020810;R;Międzylesie
020811;R;Nowa Ruda
020812;R;Radków
020813;R;Stronie Śląskie
020814;R;Szczytna
020901;U;Chojnów
020902;R;Chojnów
020903;R;Krotoszyce
020904;R;Kunice
020905;R;Legnickie Pole
020906;R;Miłkowice
020907;R;Prochowice
020908;R;Ruja
021001;U;Lubań
021002;U;Świeradów-Zdrój
021003;R;Leśna
021004;R;Lubań
021005;R;Olszyna
021006;R;Platerówka
021007;R;Siekierczyn
021101;U;Lubin
021102;R;Lubin
021103;R;Rudna
021104;R;Ścinawa
021201;R;Gryfów Śląski
021202;R;Lubomierz
021203;R;Lwówek Śląski
021204;R;Mirsk
021205;R;Wleń
021301;R;Cieszków
021302;R;Krośnice
021303;R;Milicz
021401;U;Oleśnica
021402;R;Bierutów
021403;R;Dobroszyce
021404;R;Dziadowa Kłoda
021405;R;Międzybórz
021406;R;Oleśnica
021407;R;Syców
021408;R;Twardogóra
021501;U;Oława
021502;R;Domaniów
021503;R;Jelcz-Laskowice
021504;R;Oława
021601;R;Chocianów
021602;R;Gaworzyce
021603;R;Grębocice
021604;R;Polkowice
021605;R;Przemków
021606;R;Radwanice
021701;R;Borów
021702;R;Kondratowice
021703;R;Przeworno
021704;R;Strzelin
021705;R;Wiązów
021801;R;Kostomłoty
021802;R;Malczyce
021803;R;Miękinia
021804;R;Środa Śląska
021805;R;Udanin
021901;U;Świdnica
021902;U;Świebodzice
021903;R;Dobromierz
021904;R;Jaworzyna Śląska
021905;R;Marcinowice
021906;R;Strzegom
021907;R;Świdnica
021908;R;Żarów
022001;R;Oborniki Śląskie
022002;R;Prusice
022003;R;Trzebnica
022004;R;Wisznia Mała
022005;R;Zawonia
022006;R;Żmigród
022101;U;Boguszów-Gorce
022102;U;Jedlina-Zdrój
022103;U;Szczawno-Zdrój
022104;R;Czarny Bór
022105;R;Głuszyca
022106;R;Mieroszów
022107;R;Stare Bogaczowice
022108;R;Walim
022201;R;Brzeg Dolny
022202;R;Wińsko
022203;R;Wołów
022301;R;Czernica
022302;R;Długołęka
022303;R;Jordanów Śląski
022304;R;Kąty Wrocławskie
022305;R;Kobierzyce
022306;R;Mietków
022307;R;Sobótka
022308;R;Siechnice
022309;R;Żórawina
022401;R;Bardo
022402;R;Ciepłowody
022403;R;Kamieniec Ząbkowicki
022404;R;Stoszowice
022405;R;Ząbkowice Śląskie
022406;R;Ziębice
022407;R;Złoty Stok
022501;U;Zawidów
022502;U;Zgorzelec
022503;R;Bogatynia
022504;R;Pieńsk
022505;R;Sulików
022506;R;Węgliniec
022507;R;Zgorzelec
022601;U;Wojcieszów
022602;U;Złotoryja
022603;R;Pielgrzymka
022604;R;Świerzawa
022605;R;Zagrodno
022606;R;Złotoryja
026101;U;Jelenia Góra
026201;U;Legnica
026401;U;Wrocław
026402;R;Wrocław-Fabryczna
026403;R;Wrocław-Krzyki
026404;R;Wrocław-Psie Pole
026405;R;Wrocław-Stare Miasto
026406;R;Wrocław-Śródmieście
026501;U;Wałbrzych
040101;U;Aleksandrów Kujawski
040102;U;Ciechocinek
040103;U;Nieszawa
040104;R;Aleksandrów Kujawski
040105;R;Bądkowo
040106;R;Koneck
040107;R;Raciążek
040108;R;Waganiec
040109;R;Zakrzewo
040201;U;Brodnica
040202;R;Bobrowo
040203;R;Brodnica
040204;R;Brzozie
040205;R;Górzno
040206;R;Bartniczka
040207;R;Jabłonowo Pomorskie
040208;R;Osiek
040209;R;Świedziebnia
040210;R;Zbiczno
040301;R;Białe Błota
040302;R;Dąbrowa Chełmińska
040303;R;Dobrcz
040304;R;Koronowo
040305;R;Nowa Wieś Wielka
040306;R;Osielsko
040307;R;Sicienko
040308;R;Solec Kujawski
040401;U;Chełmno
040402;R;Chełmno
040403;R;Kijewo Królewskie
040404;R;Lisewo
040405;R;Papowo Biskupie
040406;R;Stolno
040407;R;Unisław
040501;U;Golub-Dobrzyń
040502;R;Ciechocin
040503;R;Golub-Dobrzyń
040504;R;Kowalewo Pomorskie
040505;R;Radomin
040506;R;Zbójno
040601;R;Grudziądz
040602;R;Gruta
040603;R;Łasin
040604;R;Radzyń Chełmiński
040605;R;Rogóźno
040606;R;Świecie nad Osą
040701;U;Inowrocław
040702;R;Dąbrowa Biskupia
040703;R;Gniewkowo
040704;R;Inowrocław
040705;R;Janikowo
040706;R;Kruszwica
040707;R;Pakość
040708;R;Rojewo
040709;R;Złotniki Kujawskie
040801;U;Lipno
040802;R;Bobrowniki
040803;R;Chrostkowo
040804;R;Dobrzyń nad Wisłą
040805;R;Kikół
040806;R;Lipno
040807;R;Skępe
040808;R;Tłuchowo
040809;R;Wielgie
040901;R;Dąbrowa
040902;R;Jeziora Wielkie
040903;R;Mogilno
040904;R;Strzelno
041001;R;Kcynia
041002;R;Mrocza
041003;R;Nakło nad Notecią
041004;R;Sadki
041005;R;Szubin
041101;U;Radziejów
041102;R;Bytoń
041103;R;Dobre
041104;R;Osięciny
041105;R;Piotrków Kujawski
041106;R;Radziejów
041107;R;Topólka
041201;U;Rypin
041202;R;Brzuze
041203;R;Rogowo
041204;R;Rypin
041205;R;Skrwilno
041206;R;Wąpielsk
041301;R;Kamień Krajeński
041302;R;Sępólno Krajeńskie
041303;R;Sośno
041304;R;Więcbork
041401;R;Bukowiec
041402;R;Dragacz
041403;R;Drzycim
041404;R;Jeżewo
041405;R;Lniano
041406;R;Nowe
041407;R;Osie
041408;R;Pruszcz
041409;R;Świecie
041410;R;Świekatowo
041411;R;Warlubie
041501;U;Chełmża
041502;R;Chełmża
041503;R;Czernikowo
041504;R;Lubicz
041505;R;Łubianka
041506;R;Łysomice
041507;R;Obrowo
041508;R;Wielka Nieszawka
041509;R;Zławieś Wielka
041601;R;Cekcyn
041602;R;Gostycyn
041603;R;Kęsowo
041604;R;Lubiewo
041605;R;Śliwice
041606;R;Tuchola
041701;U;Wąbrzeźno
041702;R;Dębowa Łąka
041703;R;Książki
041704;R;Płużnica
041705;R;Ryńsk
041801;U;Kowal
041802;R;Baruchowo
041803;R;Boniewo
041804;R;Brześć Kujawski
041805;R;Choceń
041806;R;Chodecz
041807;R;Fabianki
041808;R;Izbica Kujawska
041809;R;Kowal
041810;R;Lubanie
041811;R;Lubień Kujawski
041812;R;Lubraniec
041813;R;Włocławek
041901;R;Barcin
041902;R;Gąsawa
041903;R;Janowiec Wielkopolski
041904;R;Łabiszyn
041905;R;Rogowo
041906;R;Żnin
046101;U;Bydgoszcz
046201;U;Grudziądz
046301;U;Toruń
046401;U;Włocławek
060101;U;Międzyrzec Podlaski
060102;U;Terespol
060103;R;Biała Podlaska
060104;R;Drelów
060105;R;Janów Podlaski
060106;R;Kodeń
060107;R;Konstantynów
060108;R;Leśna Podlaska
060109;R;Łomazy
060110;R;Międzyrzec Podlaski
060111;R;Piszczac
060112;R;Rokitno
060113;R;Rossosz
060114;R;Sławatycze
060115;R;Sosnówka
060116;R;Terespol
060117;R;Tuczna
060118;R;Wisznice
060119;R;Zalesie
060201;U;Biłgoraj
060202;R;Aleksandrów
060203;R;Biłgoraj
060204;R;Biszcza
060205;R;Frampol
060206;R;Goraj
060207;R;Józefów
060208;R;Księżpol
060209;R;Łukowa
060210;R;Obsza
060211;R;Potok Górny
060212;R;Tarnogród
060213;R;Tereszpol
060214;R;Turobin
060301;U;Rejowiec Fabryczny
060302;R;Białopole
060303;R;Chełm
060304;R;Dorohusk
060305;R;Dubienka
060306;R;Kamień
060307;R;Leśniowice
060308;R;Rejowiec Fabryczny
060309;R;Ruda-Huta
060310;R;Sawin
060311;R;Siedliszcze
060312;R;Wierzbica
060313;R;Wojsławice
060314;R;Żmudź
060315;R;Rejowiec
060401;U;Hrubieszów
060402;R;Dołhobyczów
060403;R;Horodło
060404;R;Hrubieszów
060405;R;Mircze
060406;R;Trzeszczany
060407;R;Uchanie
060408;R;Werbkowice
060501;R;Batorz
060502;R;Chrzanów
060503;R;Dzwola
060504;R;Godziszów
060505;R;Janów Lubelski
060506;R;Modliborzyce
060507;R;Potok Wielki
060601;U;Krasnystaw
060602;R;Fajsławice
060603;R;Gorzków
060604;R;Izbica
060605;R;Krasnystaw
060606;R;Kraśniczyn
060607;R;Łopiennik Górny
060609;R;Rudnik
060610;R;Siennica Różana
060611;R;Żółkiewka
060701;U;Kraśnik
060702;R;Annopol
060703;R;Dzierzkowice
060704;R;Gościeradów
060705;R;Kraśnik
060706;R;Szastarka
060707;R;Trzydnik Duży
060708;R;Urzędów
060709;R;Wilkołaz
060710;R;Zakrzówek
060801;U;Lubartów
060802;R;Abramów
060803;R;Firlej
060804;R;Jeziorzany
060805;R;Kamionka
060806;R;Kock
060807;R;Lubartów
