# źródło: https://pl.wikisource.org/wiki/Polskie_powiaty_wed%C5%82ug_kodu_TERYT
aleksandrowski;0401
augustowski;2001
bartoszycki;2801
bełchatowski;1001
będziński;2401
bialski;0601
białobrzeski;1401
białogardzki;3201
białostocki;2002
bielski;2003;(podlaski)
bielski;2402;(śląski)
bieszczadzki;1801
biłgorajski;0602
bocheński;1201
bolesławiecki;0201
braniewski;2802
brodnicki;0402
brzeski;1202;(małopolski)
brzeski;1601;(opolski)
brzeziński;1021
brzozowski;1802
buski;2601
bydgoski;0403
bytowski;2201
chełmiński;0404
chełmski;0603
chodzieski;3001
chojnicki;2202
choszczeński;3202
chrzanowski;1203
ciechanowski;1402
cieszyński;2403
czarnkowsko-trzcianecki;3002
częstochowski;2404
człuchowski;2203
dąbrowski;1204
dębicki;1803
drawski;3203
działdowski;2803
dzierżoniowski;0202
elbląski;2804
ełcki;2805
garwoliński;1403
gdański;2204
giżycki;2806
gliwicki;2405
głogowski;0203
głubczycki;1602
gnieźnieński;3003
goleniowski;3204
golubsko-dobrzyński;0405
gołdapski;2818
gorlicki;1205
gorzowski;0801
gostyniński;1404
gostyński;3004
górowski;0204
grajewski;2004
grodziski;1405;(mazowiecki)
grodziski;3005;(wielkopolski)
grójecki;1406
grudziądzki;0406
gryficki;3205
gryfiński;3206
hajnowski;2005
hrubieszowski;0604
iławski;2807
inowrocławski;0407
janowski;0605
jarociński;3006
jarosławski;1804
jasielski;1805
jaworski;0205
jeleniogórski;0206
jędrzejowski;2602
kaliski;3007
kamiennogórski;0207
kamieński;3207
kartuski;2205
kazimierski;2603
kędzierzyńsko-kozielski;1603
kępiński;3008
kętrzyński;2808
kielecki;2604
kluczborski;1604
kłobucki;2406
kłodzki;0208
kolbuszowski;1806
kolneński;2006
kolski;3009
kołobrzeski;3208
konecki;2605
koniński;3010
koszaliński;3209
kościański;3011
kościerski;2206
kozienicki;1407
krakowski;1206
krapkowicki;1605
krasnostawski;0606
kraśnicki;0607
krośnieński;0802;(odrzański)
krośnieński;1807;(podkarpacki)
krotoszyński;3012
kutnowski;1002
kwidzyński;2207
legionowski;1408
legnicki;0209
leski;1821
leszczyński;3013
leżajski;1808
lęborski;2208
lidzbarski;2809
limanowski;1207
lipnowski;0408
lipski;1409
lubaczowski;1809
lubański;0210
lubartowski;0608
lubelski;0609
lubiński;0211
lubliniecki;2407
lwówecki;0212
łańcucki;1810
łaski;1003
łęczycki;1004
łęczyński;0610
łobeski;3218
łomżyński;2007
łosicki;1410
łowicki;1005
łódzki wschodni;1006
łukowski;0611
makowski;1411
malborski;2209
miechowski;1208
mielecki;1811
międzychodzki;3014
międzyrzecki;0803
mikołowski;2408
milicki;0213
miński;1412
mławski;1413
mogileński;0409
moniecki;2008
mrągowski;2810
myszkowski;2409
myślenicki;1209
myśliborski;3210
nakielski;0410
namysłowski;1606
nidzicki;2811
niżański;1812
nowodworski;2210;(gdański)
nowodworski;1414;(mazowiecki)
nowomiejski;2812
nowosądecki;1210
nowosolski;0804
nowotarski;1211
nowotomyski;3015
nyski;1607
obornicki;3016
olecki;2813
oleski;1608
oleśnicki;0214
olkuski;1212
olsztyński;2814
oławski;0215
opatowski;2606
opoczyński;1007
opolski;0612;(lubelski)
opolski;1609;(śląski)
ostrołęcki;1415
ostrowiecki;2607
ostrowski;1416;(mazowiecki)
ostrowski;3017;(wielkopolski)
ostródzki;2815
ostrzeszowski;3018
oświęcimski;1213
otwocki;1417
pabianicki;1008
pajęczański;1009
parczewski;0613
piaseczyński;1418
pilski;3019
pińczowski;2608
piotrkowski;1010
piski;2816
pleszewski;3020
płocki;1419
płoński;1420
poddębicki;1011
policki;3211
polkowicki;0216
poznański;3021
proszowicki;1214
prudnicki;1610
pruszkowski;1421
przasnyski;1422
przemyski;1813
przeworski;1814
przysuski;1423
pszczyński;2410
pucki;2211
puławski;0614
pułtuski;1424
pyrzycki;3212
raciborski;2411
radomski;1425
radomszczański;1012
radziejowski;0411
radzyński;0615
rawicki;3022
rawski;1013
ropczycko-sędziszowski;1815
rybnicki;2412
rycki;0616
rypiński;0412
rzeszowski;1816
sandomierski;2609
sanocki;1817
sejneński;2009
sępoleński;0413
siedlecki;1426
siemiatycki;2010
