KORWIN:
2 100106 KORWIN   650 28.175 (Rusiec)
0 149901 KORWIN 21757 12.542 (zagranica*)
0 229901 KORWIN    15 11.628 (statki gdańsk*)
2 022105 KORWIN   292 10.111 (Głuszyca)
2 060604 KORWIN   259  9.625 (Izbica)
1 281201 KORWIN   371  9.104 (Nowe Miasto Lubawskie)
2 041407 KORWIN   154  8.922 (Osie)
2 220205 KORWIN    68  8.831 (Konarzyny)
1 280501 KORWIN  1642  8.450 (Ełk)
2 080107 KORWIN   301  8.186 (Witnica)
2 181902 KORWIN   307  8.128 (Frysztak)
2 142604 KORWIN   156  7.984 (Mokobody)
1 180901 KORWIN   380  7.943 (Lubaczów)
1 220802 KORWIN   119  7.788 (Łeba)
1 060601 KORWIN   581  7.760 (Krasnystaw)
2 320206 KORWIN    92  7.492 (Recz)
2 061003 KORWIN   730  7.491 (Łęczna)
2 281204 KORWIN   213  7.463 (Kurzętnik)
2 181904 KORWIN   569  7.403 (Strzyżów)
2 060605 KORWIN   220  7.392 (Krasnystaw)
2 321303 KORWIN   190  7.339 (Darłowo)
2 180602 KORWIN   715  7.336 (Kolbuszowa)
2 321103 KORWIN    46  7.325 (Nowe Warpno)
2 281205 KORWIN   182  7.324 (Nowe Miasto Lubawskie)
2 020105 KORWIN   149  7.311 (Osiecznica)
2 280206 KORWIN    51  7.265 (Płoskinia)
2 060803 KORWIN   131  7.139 (Firlej)
2 180105 KORWIN    48  7.059 (Lutowiska)
2 181206 KORWIN   243  7.046 (Rudnik nad Sanem)
1 321301 KORWIN   361  7.023 (Darłowo)
2 080801 KORWIN    72  6.984 (Lubrza)
2 061411 KORWIN   185  6.978 (Żyrzyn)
2 060912 KORWIN   194  6.931 (Strzyżewice)
2 120901 KORWIN   434  6.930 (Dobczyce)
2 060306 KORWIN    89  6.905 (Kamień)
2 120615 KORWIN   352  6.901 (Wielka Wieś)
2 321001 KORWIN   415  6.862 (Barlinek)
2 280703 KORWIN   244  6.854 (Iława)
