teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;ret;onumo;trans
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;PiS;1;LIPIŃSKI;Adam Józef;Mężczyzna;PiS;[1];1;1==1
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;PiS;2;WITEK;Elżbieta Barbara;Kobieta;PiS;[1];1;1==1
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;3;MACHAŁEK;Marzena Anna;Kobieta;PiS;[1];1;1==1
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;PiS;4;KUBÓW;Krzysztof Jan;Mężczyzna;PiS;[1];1;1==1
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;PiS;5;ZUBOWSKI;Wojciech Michał;Mężczyzna;PiS;[1];1;1==1
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;PiS;6;SZYMAŃSKA;Ewa Zofia;Kobieta;PiS;[1];1;1==1
021001;1;Lubań;gm;51.114691,15.2808625;1;Legnica;PiS;7;ZEMBIK;Teresa;Kobieta;PiS;[0];-1;
020905;2;Legnickie Pole;gw;51.1475985,16.240183;1;Legnica;PiS;8;BABUŚKA;Adam;Mężczyzna;PiS;[0];-1;
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;9;RYPIŃSKI;Józef;Mężczyzna;SolidarnaPolska;[0];-1;
020101;1;Bolesławiec;gm;51.262169,15.55163;1;Legnica;PiS;10;POGODA;Szymon Marek;Mężczyzna;PiS;[0];-1;
021604;3;Polkowice;gmw;51.498251,16.080965;1;Legnica;PiS;11;MARCINIAK;Wojciech;Mężczyzna;PiS;[1];1;1==1
022606;2;Złotoryja;gw;51.146528,15.9496655;1;Legnica;PiS;12;KARWAN;Jacek;Mężczyzna;PiS;[1];1;1==1
021203;3;Lwówek Śląski;gmw;51.121997,15.602352;1;Legnica;PiS;13;KREDKOWSKI;Andrzej;Mężczyzna;PiS;[0];-1;
022502;1;Zgorzelec;gm;51.1517745,15.017122;1;Legnica;PiS;14;BUCIUTO;Jadwiga Barbara;Kobieta;PiS;[1];1;1==1
020701;1;Kamienna Góra;gm;50.784689,16.0337155;1;Legnica;PiS;15;GĘBORYS;Dagmara Helena;Kobieta;BEZP;[1];1;1==1
022602;1;Złotoryja;gm;51.122384,15.918558;1;Legnica;PiS;16;BRZOZOWSKA;Kamila Dorota;Kobieta;PiS;[0];-1;
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;PiS;17;BADZIŃSKA;Agnieszka Ewa;Kobieta;PiS;[0];-1;
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;PiS;18;SADOWSKA-KOWALSKA;Aurelia Barbara;Kobieta;PiS;[0];-1;
021005;3;Olszyna;gmw;51.0595585,15.359148;1;Legnica;PiS;19;CZYRKO;Eurydyka Maria;Kobieta;PiS;[0];-1;
021604;3;Polkowice;gmw;51.498251,16.080965;1;Legnica;PiS;20;KWIATKOWSKA;Ewa;Kobieta;PiS;[1];1;1==1
021204;3;Mirsk;gmw;50.918972,15.4017945;1;Legnica;PiS;21;URBANOWICZ;Łukasz Franciszek;Mężczyzna;PiS;[0];-1;
020101;1;Bolesławiec;gm;51.262169,15.55163;1;Legnica;PiS;22;SARBAK;Dawid Łukasz;Mężczyzna;PiS;[0];-1;
022503;3;Bogatynia;gmw;50.94787,14.919586;1;Legnica;PiS;23;BOJAKOWSKA;Dorota;Kobieta;PiS;[0];-1;
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;24;LESZCZYK;Wojciech Paweł;Mężczyzna;PiS;[0];-1;
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;KOBW;1;BORYS;Piotr;Mężczyzna;PORP;[0];-1;
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;KOBW;2;CZERNOW;Zofia;Kobieta;PORP;[1];1;1==1
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;KOBW;3;KROPIWNICKI;Robert;Mężczyzna;PORP;[1];1;1==1
020702;2;Kamienna Góra;gw;50.7542435,16.019381;1;Legnica;KOBW;4;KRAWCZYK;Iwona Małgorzata;Kobieta;PORP;[1];1;1==1
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;KOBW;5;DROZD;Ewa;Kobieta;PORP;[1];1;1==1
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;KOBW;6;DUDKOWIAK;Jarosław Ryszard;Mężczyzna;PORP;[0];-1;
022502;1;Zgorzelec;gm;51.1517745,15.017122;1;Legnica;KOBW;7;BARANOWSKA;Dorota;Kobieta;PORP;[0];-1;
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;KOBW;8;BANDER;Michał;Mężczyzna;PORP;[0];-1;
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;KOBW;9;SIKORA;Konrad Jerzy;Mężczyzna;Nowoczesna;[1];1;1==1
021001;1;Lubań;gm;51.114691,15.2808625;1;Legnica;KOBW;10;ROWIŃSKI;Konrad Antoni;Mężczyzna;PORP;[0];-1;
021601;3;Chocianów;gmw;51.421964,15.9622825;1;Legnica;KOBW;11;PICHAŁA;Anna Eugenia;Kobieta;BEZP;[0];-1;
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;KOBW;12;DOWHAŃ-DOMAŃSKA;Ksenia Anna;Kobieta;PORP;[0];-1;
021601;3;Chocianów;gmw;51.421964,15.9622825;1;Legnica;KOBW;13;ROLSKA;Beata Edyta;Kobieta;BEZP;[0];-1;
021203;3;Lwówek Śląski;gmw;51.121997,15.602352;1;Legnica;KOBW;14;GRZEŚKÓW;Zbigniew;Mężczyzna;PORP;[0];-1;
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;KOBW;15;BARCIK;Krystyna Henryka;Kobieta;PORP;[0];-1;
020101;1;Bolesławiec;gm;51.262169,15.55163;1;Legnica;KOBW;16;MAGRYŚ;Urszula;Kobieta;PORP;[0];-1;
022604;3;Świerzawa;gmw;51.0153275,15.8612555;1;Legnica;KOBW;17;JAGIEŁŁO;Jakub Krzysztof;Mężczyzna;BEZP;[0];-1;
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;KOBW;18;SKÓRZEWSKA;Barbara Anna;Kobieta;BEZP;[0];-1;
