teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;PiS;1;LIPIŃSKI;Adam Józef;Mężczyzna;PiS;52.254408 21.041473
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;PiS;2;WITEK;Elżbieta Barbara;Kobieta;PiS;51.064664 16.184602
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;3;MACHAŁEK;Marzena Anna;Kobieta;PiS;50.853730 15.736810
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;PiS;4;KUBÓW;Krzysztof Jan;Mężczyzna;PiS;51.401672 16.202945
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;PiS;5;ZUBOWSKI;Wojciech Michał;Mężczyzna;PiS;51.679740 16.046834
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;KOBW;1;BORYS;Piotr;Mężczyzna;PORP;51.393104 16.187353
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;KOBW;2;CZERNOW;Zofia;Kobieta;PORP;50.839389 15.730401
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;KOBW;3;KROPIWNICKI;Robert;Mężczyzna;PORP;51.194382 16.154907
020702;2;Kamienna Góra;gw;50.7542435,16.019381;1;Legnica;KOBW;4;KRAWCZYK;Iwona Małgorzata;Kobieta;PORP;50.751733 16.019313
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;KOBW;5;DROZD;Ewa;Kobieta;PORP;51.670985 16.053807
146516;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;SLD;1;SEKUŁA-SZMAJDZIŃSKA;Małgorzata Helena;Kobieta;SLD;52.230915 21.013338
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;SLD;2;OBAZ;Robert Marcin;Mężczyzna;Wiosna;50.862284 15.726860
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;3;FILACZYŃSKA;Kaja;Kobieta;LRazem;51.205821 16.153643
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;SLD;4;ZBRZYZNY;Ryszard;Mężczyzna;SLD;51.364453 16.178987
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;SLD;5;PIĄTEK;Damian;Mężczyzna;SLD;51.668871 16.049335
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;BZPS;1;MYRDA;Adam Stanisław;Mężczyzna;BEZP;51.404310 16.200512
020101;1;Bolesławiec;gm;51.262169,15.55163;1;Legnica;BZPS;2;GABRYSIAK;Tomasz Andrzej;Mężczyzna;BEZP;51.262134 15.549540
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;BZPS;3;KIEŁB;Jacek;Mężczyzna;BEZP;51.203676 16.150869
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;BZPS;4;MIEDZIŃSKI;Piotr Jan;Mężczyzna;BEZP;50.852995 15.717808
022507;2;Zgorzelec;gw;51.112729,15.080307;1;Legnica;BZPS;5;JANIK;Kazimierz;Mężczyzna;BEZP;51.111982 15.079021
101401;1;Sieradz;gm;51.6017525,18.738381;1;Legnica;KONFEDERACJA;1;UTECHT;Waldemar Arkadiusz;Mężczyzna;KWiN;51.597412 18.731847
020306;2;Żukowice;gw;51.670003,15.935772;1;Legnica;KONFEDERACJA;2;JASIŃSKI;Krzysztof Piotr;Mężczyzna;RuchNarodowy;51.669133 15.932942
021103;2;Rudna;gw;51.5224735,16.3300445;1;Legnica;KONFEDERACJA;3;POTOCKA-KACZYK;Anna Dorota;Kobieta;RuchNarodowy;51.523632 16.329334
021601;3;Chocianów;gmw;51.421964,15.9622825;1;Legnica;KONFEDERACJA;4;MISTOŃ;Krzysztof Norbert;Mężczyzna;BEZP;51.425640 15.958083
020609;2;Stara Kamienica;gw;50.8990185,15.5525475;1;Legnica;KONFEDERACJA;5;GUDOWSKI;Dominik Sławomir;Mężczyzna;BEZP;50.899830 15.555289
022501;1;Zawidów;gm;51.0245045,15.045272;1;Legnica;PSL;1;ŻUK;Stanisław Adam;Mężczyzna;BEZP;51.020350 15.045250
020907;3;Prochowice;gmw;51.270047,16.388257;1;Legnica;PSL;2;SAMBORSKI;Tadeusz;Mężczyzna;PSL;51.267367 16.389995
021203;3;Lwówek Śląski;gmw;51.121997,15.602352;1;Legnica;PSL;3;SZCZĘSNA;Mariola;Kobieta;PSL;51.122500 15.599704
