teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;PiS;1;LIPIŃSKI;Adam Józef;Mężczyzna;PiS;52.254408 21.041473
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;PiS;2;WITEK;Elżbieta Barbara;Kobieta;PiS;51.064664 16.184602
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;3;MACHAŁEK;Marzena Anna;Kobieta;PiS;50.853730 15.736810
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;PiS;4;KUBÓW;Krzysztof Jan;Mężczyzna;PiS;51.401672 16.202945
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;PiS;5;ZUBOWSKI;Wojciech Michał;Mężczyzna;PiS;51.679740 16.046834
146514;1;Mst Warszawa (a);mm;52.233002,21.0614195;2;Wałbrzych;PiS;1;DWORCZYK;Michał Paweł;Mężczyzna;PiS;52.210750 21.097830
021902;1;Świebodzice;gm;50.872466,16.338554;2;Wałbrzych;PiS;2;ZYSKA;Ireneusz;Mężczyzna;PiS;50.871921 16.335225
021901;1;Świdnica;gm;50.840617,16.492523;2;Wałbrzych;PiS;3;MURDZEK;Wojciech Piotr;Mężczyzna;PorozumienieJarosławaGowina;50.847286 16.494338
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;PiS;4;BADORA;Maciej Adam;Mężczyzna;PiS;50.779104 16.288439
022405;3;Ząbkowice Śląskie;gmw;50.5983195,16.834261;2;Wałbrzych;PiS;5;GWÓŹDŹ;Marcin Piotr;Mężczyzna;PiS;50.600548 16.831114
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;1;STACHOWIAK-RÓŻECKA;Mirosława Agnieszka;Kobieta;PiS;51.118832 17.002228
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;2;HRENIAK;Paweł Marek;Mężczyzna;PiS;51.106519 16.969594
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;3;ŚWIAT;Jacek;Mężczyzna;PiS;51.142118 16.972261
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;4;CZARNECKI;Przemysław Maksymilian;Mężczyzna;PiS;51.106584 17.006757
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;5;CALIŃSKA-MAYER;Małgorzata Maria;Kobieta;PiS;51.133485 17.012339
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;PiS;1;LATOS;Tomasz Edward;Mężczyzna;PiS;53.147707 18.038458
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;PiS;2;SCHREIBER;Łukasz Paweł;Mężczyzna;PiS;53.114969 18.047902
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;PiS;3;KRÓL;Piotr Marek;Mężczyzna;PiS;53.115202 18.039020
142106;2;Raszyn;gw;52.129531,20.913398;4;Bydgoszcz;PiS;4;KOWNACKI;Bartosz Józef;Mężczyzna;PiS;52.130324 20.910633
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;PiS;5;KOZANECKA;Ewa Elżbieta;Kobieta;PiS;53.135544 18.046452
041504;2;Lubicz;gw;53.0405415,18.771044;5;Toruń;PiS;1;ARDANOWSKI;Jan Krzysztof;Mężczyzna;PiS;53.039248 18.773971
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;5;Toruń;PiS;2;CZABAŃSKI;Krzysztof;Mężczyzna;BEZP;52.212179 21.043486
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;PiS;3;MICHAŁEK;Iwona Krystyna;Kobieta;PorozumienieJarosławaGowina;53.017172 18.590221
046401;1;Włocławek;mm;52.6653805,19.060831;5;Toruń;PiS;4;BOROWIAK;Joanna Beata;Kobieta;PiS;52.669104 19.067673
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;PiS;5;SOBECKA;Anna Elżbieta;Kobieta;PiS;53.014244 18.604063
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;PiS;1;TUŁAJEW;Sylwester Karol;Mężczyzna;PiS;51.207784 22.540078
060907;2;Jastków;gw;51.294832,22.408424;6;Lublin;PiS;2;CZARNEK;Przemysław;Mężczyzna;PiS;51.299556 22.408515
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;PiS;3;MASŁOWSKA;Gabriela;Kobieta;BEZP;51.223503 22.565373
