teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
022501;1;Zawidów;gm;51.0245045,15.045272;1;Legnica;PSL;1;ŻUK;Stanisław Adam;Mężczyzna;BEZP;51.020350 15.045250
020907;3;Prochowice;gmw;51.270047,16.388257;1;Legnica;PSL;2;SAMBORSKI;Tadeusz;Mężczyzna;PSL;51.267367 16.389995
021203;3;Lwówek Śląski;gmw;51.121997,15.602352;1;Legnica;PSL;3;SZCZĘSNA;Mariola;Kobieta;PSL;51.122500 15.599704
022502;1;Zgorzelec;gm;51.1517745,15.017122;1;Legnica;PSL;4;ROJEK;Andrzej;Mężczyzna;BEZP;51.155569 15.015568
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;PSL;5;LASKOWSKI;Stanisław;Mężczyzna;PSL;51.071627 16.187016
022404;2;Stoszowice;gw;50.597569,16.676565;2;Wałbrzych;PSL;1;GANCARZ;Paweł Jarosław;Mężczyzna;PSL;50.597071 16.676884
020806;3;Bystrzyca Kłodzka;gmw;50.2872735,16.637027;2;Wałbrzych;PSL;2;KOŁT;Józef;Mężczyzna;PiS;50.289170 16.641128
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;PSL;3;KWIATKOWSKA;Ewa Daniela;Kobieta;BEZP;50.784957 16.292656
020802;1;Kłodzko;gm;50.433701,16.6490345;2;Wałbrzych;PSL;4;KUCZEK;Magdalena Dorota;Kobieta;BEZP;50.430474 16.645490
020202;1;Dzierżoniów;gm;50.7291785,16.6473105;2;Wałbrzych;PSL;5;RUDNICKI;Jarosław Jerzy;Mężczyzna;BEZP;50.726152 16.648257
022308;3;Siechnice;gmw;51.032178,17.145507;3;Wrocław;PSL;1;PROTASIEWICZ;Jacek;Mężczyzna;członek partii politycznej: Unia Europejskich Demokratów;51.032958 17.153147
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;2;ZEGAN;Maciej Adam;Mężczyzna;BEZP;51.110761 16.976849
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;3;BRONOWICKA;Joanna Barbara;Kobieta;PSL;51.154312 16.996515
021303;3;Milicz;gmw;51.5066955,17.2811095;3;Wrocław;PSL;4;DUDA;Grzegorz Tomasz;Mężczyzna;PSL;51.504341 17.279190
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;5;SOCHA;Jan;Mężczyzna;PSL;51.132983 16.995149
040902;2;Jeziora Wielkie;gw;52.5371685,18.226247;4;Bydgoszcz;PSL;1;KURZAWA;Dariusz;Mężczyzna;PSL;52.536707 18.222600
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;PSL;2;SIKORA;Krzysztof Gustaw;Mężczyzna;BEZP;53.130194 18.044971
