teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
021203;3;Lwówek Śląski;gmw;51.121997,15.602352;1;Legnica;PSL;3;SZCZĘSNA;Mariola;Kobieta;PSL;51.122500 15.599704
021201;3;Gryfów Śląski;gmw;51.044249,15.4398685;1;Legnica;PSL;7;RAK;Zofia;Kobieta;PSL;51.043236 15.439132
020606;2;Jeżów Sudecki;gw;50.9613265,15.7349305;1;Legnica;PSL;9;BRZOZOWSKA;Bożena Maria;Kobieta;BEZP;50.960672 15.734962
020102;2;Bolesławiec;gw;51.320913,15.551468;1;Legnica;PSL;10;BURDYNA;Olga;Kobieta;BEZP;51.318493 15.552901
020907;3;Prochowice;gmw;51.270047,16.388257;1;Legnica;PSL;11;WRONA;Maria;Kobieta;PSL;51.272867 16.389007
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;PSL;12;STANKIEWICZ;Cecylia Ewa;Kobieta;BEZP;51.372074 16.185204
022606;2;Złotoryja;gw;51.146528,15.9496655;1;Legnica;PSL;18;TUCHOWSKA;Kazimiera Zofia;Kobieta;PSL;51.147743 15.949647
022503;3;Bogatynia;gmw;50.94787,14.919586;1;Legnica;PSL;21;OTROCIUK;Barbara;Kobieta;PSL;50.950467 14.913520
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PSL;22;BUKAT;Eugenia;Kobieta;BEZP;50.854912 15.716636
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;PSL;3;KWIATKOWSKA;Ewa Daniela;Kobieta;BEZP;50.784957 16.292656
020802;1;Kłodzko;gm;50.433701,16.6490345;2;Wałbrzych;PSL;4;KUCZEK;Magdalena Dorota;Kobieta;BEZP;50.430474 16.645490
020808;3;Lądek-Zdrój;gmw;50.3492305,16.8419125;2;Wałbrzych;PSL;6;BONIECKA;Joanna Bogna;Kobieta;PSL;50.346784 16.846284
022105;3;Głuszyca;gmw;50.6761965,16.364084;2;Wałbrzych;PSL;7;SOKOŁOWSKA;Maria;Kobieta;PSL;50.675785 16.364660
022406;3;Ziębice;gmw;50.5820985,17.037862;2;Wałbrzych;PSL;11;WIERZBICKA-BARA;Danuta Maria;Kobieta;BEZP;50.581137 17.038780
022102;1;Jedlina-Zdrój;gm;50.7241855,16.3395575;2;Wałbrzych;PSL;12;KOWALSKA;Sylwia Edyta;Kobieta;BEZP;50.723432 16.337057
020803;1;Kudowa-Zdrój;gm;50.445798,16.268813;2;Wałbrzych;PSL;13;KARCH;Izabela Maria;Kobieta;PSL;50.444414 16.268351
020205;2;Dzierżoniów;gw;50.7258675,16.6606305;2;Wałbrzych;PSL;14;SULIKOWSKA;Natalia Weronika;Kobieta;BEZP;50.726579 16.660536
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;3;BRONOWICKA;Joanna Barbara;Kobieta;PSL;51.154312 16.996515
022302;2;Długołęka;gw;51.187834,17.211194;3;Wrocław;PSL;9;LITWIN;Ewa Grażyna;Kobieta;BEZP;51.189160 17.207283
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;12;KWIATKOWSKA-KORCZAK;Janina;Kobieta;członek partii politycznej: Unia Europejskich Demokratów;51.116186 17.004661
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;13;KUCHARSKA;Aleksandra Anna;Kobieta;członek partii politycznej: Unia Europejskich Demokratów;51.138250 16.964182
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;3;Wrocław;PSL;17;SZULC;Joanna Alicja;Kobieta;PSL;50.853985 15.724313
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;18;FURDYNA;Jolanta Stanisława;Kobieta;członek partii politycznej: Unia Europejskich Demokratów;51.107809 16.999130
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;20;BUBNICKA;Barbara Maria;Kobieta;członek partii politycznej: Unia Europejskich Demokratów;51.126426 17.011341
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;22;MAJOCHA;Elżbieta Marta;Kobieta;członek partii politycznej: Unia Europejskich Demokratów;51.126058 16.968739
021001;1;Lubań;gm;51.114691,15.2808625;3;Wrocław;PSL;24;ADAMCZYK-POGORZELEC;Bożena Maria;Kobieta;BEZP;51.110196 15.275282
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;25;BARTOSZEWICZ;Urszula Agnieszka;Kobieta;PSL;51.129238 17.018971
021704;3;Strzelin;gmw;50.7697595,17.075162;3;Wrocław;PSL;26;PAWNUK;Emilia Maria;Kobieta;BEZP;50.766952 17.075771
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PSL;27;MRÓZ-MOŻDŻONEK;Joanna Róża;Kobieta;PSL;51.118404 17.004658
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;PSL;3;ŚMIGIELSKA;Klaudia;Kobieta;BEZP;53.126309 18.038838
041906;3;Żnin;gmw;52.855233,17.7169025;4;Bydgoszcz;PSL;4;KOZŁOWSKA;Zofia Władysława;Kobieta;PSL;52.857311 17.717728
040701;1;Inowrocław;gm;52.781695,18.250197;4;Bydgoszcz;PSL;5;NAWROT;Jadwiga Władysława;Kobieta;BEZP;52.778959 18.241085
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;PSL;8;ANKIEWICZ-JASIŃSKA;Ewa Teresa;Kobieta;BEZP;53.134397 18.022079
041302;3;Sępólno Krajeńskie;gmw;53.44934,17.513002;4;Bydgoszcz;PSL;11;SOBIECHOWSKA;Hanna Jadwiga;Kobieta;PSL;53.446604 17.516472
041003;3;Nakło nad Notecią;gmw;53.141937,17.648624;4;Bydgoszcz;PSL;12;PAZDERSKA;Aleksandra Beata;Kobieta;BEZP;53.136331 17.647741
040903;3;Mogilno;gmw;52.631121,17.950286;4;Bydgoszcz;PSL;16;STANEK;Aleksandra Maria;Kobieta;BEZP;52.629212 17.951491
040703;3;Gniewkowo;gmw;52.884398,18.4261085;4;Bydgoszcz;PSL;18;PROCHOWNIK;Wiesława Stanisława;Kobieta;PSL;52.881653 18.428772
