teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
146516;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;SLD;1;SEKUŁA-SZMAJDZIŃSKA;Małgorzata Helena;Kobieta;SLD;52.230915 21.013338
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;SLD;2;OBAZ;Robert Marcin;Mężczyzna;Wiosna;50.862284 15.726860
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;3;FILACZYŃSKA;Kaja;Kobieta;LRazem;51.205821 16.153643
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;SLD;4;ZBRZYZNY;Ryszard;Mężczyzna;SLD;51.364453 16.178987
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;SLD;5;PIĄTEK;Damian;Mężczyzna;SLD;51.668871 16.049335
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;6;BURAKOWSKA;Krystyna Anna;Kobieta;LRazem;51.208907 16.150198
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;SLD;7;PACZÓSKI;Piotr Jerzy;Mężczyzna;SLD;50.844173 15.721048
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;8;ORZECHOWSKA;Joanna Magdalena;Kobieta;Wiosna;51.198143 16.163581
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;SLD;9;GRYĆ;Paweł;Mężczyzna;LRazem;50.843333 15.717916
022602;1;Złotoryja;gm;51.122384,15.918558;1;Legnica;SLD;10;MIARA;Rafał;Mężczyzna;SLD;51.122320 15.921149
021601;3;Chocianów;gmw;51.421964,15.9622825;1;Legnica;SLD;11;JANKOWSKA;Magdalena;Kobieta;Wiosna;51.415576 15.960576
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;12;KRÓLEWIECKA-WALA;Dominika;Kobieta;LRazem;51.212964 16.155015
021604;3;Polkowice;gmw;51.498251,16.080965;1;Legnica;SLD;13;MAJEWICZ;Przemysław Mikołaj;Mężczyzna;Wiosna;51.494608 16.080749
020902;2;Chojnów;gw;51.2938565,15.9079155;1;Legnica;SLD;14;BIDNYK;Mikołaj Adam;Mężczyzna;BEZP;51.294546 15.910110
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;SLD;15;KOHLMAN;Piotr Rafał;Mężczyzna;BEZP;51.660358 16.044203
020103;2;Gromadka;gw;51.4006135,15.7375655;1;Legnica;SLD;16;GŁUSZKO;Rafał Krzysztof;Mężczyzna;BEZP;51.398113 15.737169
020502;3;Bolków;gmw;50.922557,16.0670365;1;Legnica;SLD;17;BACZMAŃSKI;Paweł Adam;Mężczyzna;BEZP;50.922824 16.062774
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;SLD;18;PŁANETA-SIEWIERSKA;Edyta Katarzyna;Kobieta;BEZP;52.255487 21.106178
022502;1;Zgorzelec;gm;51.1517745,15.017122;1;Legnica;SLD;19;GRZYB;Leszek Kazimierz;Mężczyzna;SLD;51.158668 15.016405
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;SLD;20;RAKSZEWSKA;Alicja;Kobieta;BEZP;51.391157 16.201290
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;21;JÓŹWIK;Magdalena;Kobieta;BEZP;51.206324 16.159342
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;SLD;22;BRYCZKOWSKA;Inez Jolanta;Kobieta;BEZP;51.663808 16.048835
021201;3;Gryfów Śląski;gmw;51.044249,15.4398685;1;Legnica;SLD;23;KOKO;Daniel Radosław;Mężczyzna;SLD;51.040596 15.438929
020303;2;Jerzmanowa;gw;51.595815,16.036256;1;Legnica;SLD;24;GADEK;Sławomir Adam;Mężczyzna;LRazem;51.593708 16.037863
026401;1;Wrocław (a);mm;51.1261165,16.991816;2;Wałbrzych;SLD;1;DYDUCH;Marek;Mężczyzna;SLD;51.108688 16.983893
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;SLD;2;KOTARBA;Mariusz;Mężczyzna;Wiosna;50.784012 16.287936
021901;1;Świdnica;gm;50.840617,16.492523;2;Wałbrzych;SLD;3;LECH;Kornelia Joanna;Kobieta;SLD;50.843547 16.493497
020802;1;Kłodzko;gm;50.433701,16.6490345;2;Wałbrzych;SLD;4;ŁĄCKI;Adam Edward;Mężczyzna;SLD;50.436035 16.648461
