teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
146516;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;SLD;1;SEKUŁA-SZMAJDZIŃSKA;Małgorzata Helena;Kobieta;SLD;52.230915 21.013338
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;3;FILACZYŃSKA;Kaja;Kobieta;LRazem;51.205821 16.153643
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;6;BURAKOWSKA;Krystyna Anna;Kobieta;LRazem;51.208907 16.150198
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;8;ORZECHOWSKA;Joanna Magdalena;Kobieta;Wiosna;51.198143 16.163581
021601;3;Chocianów;gmw;51.421964,15.9622825;1;Legnica;SLD;11;JANKOWSKA;Magdalena;Kobieta;Wiosna;51.415576 15.960576
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;12;KRÓLEWIECKA-WALA;Dominika;Kobieta;LRazem;51.212964 16.155015
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;SLD;18;PŁANETA-SIEWIERSKA;Edyta Katarzyna;Kobieta;BEZP;52.255487 21.106178
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;SLD;20;RAKSZEWSKA;Alicja;Kobieta;BEZP;51.391157 16.201290
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;21;JÓŹWIK;Magdalena;Kobieta;BEZP;51.206324 16.159342
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;SLD;22;BRYCZKOWSKA;Inez Jolanta;Kobieta;BEZP;51.663808 16.048835
021901;1;Świdnica;gm;50.840617,16.492523;2;Wałbrzych;SLD;3;LECH;Kornelia Joanna;Kobieta;SLD;50.843547 16.493497
020811;2;Nowa Ruda;gw;50.5890215,16.5072725;2;Wałbrzych;SLD;5;MUSIAŁEK;Małgorzata Aleksandra;Kobieta;BEZP;50.591822 16.506204
020802;1;Kłodzko;gm;50.433701,16.6490345;2;Wałbrzych;SLD;7;CHOJNACKA;Cecylia Agnieszka;Kobieta;SLD;50.436343 16.644209
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;SLD;9;CHUĆ;Renata;Kobieta;BEZP;50.782678 16.290456
021901;1;Świdnica;gm;50.840617,16.492523;2;Wałbrzych;SLD;10;SŁABICKA;Jolanta Izabela;Kobieta;SLD;50.839767 16.497950
020202;1;Dzierżoniów;gm;50.7291785,16.6473105;2;Wałbrzych;SLD;11;HABIERA-GÓRSKA;Agnieszka Beata;Kobieta;Wiosna;50.727582 16.650892
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;SLD;16;STABROWSKA;Anna Ewa;Kobieta;LRazem;50.775529 16.293550
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;2;STOŻEK;Marta Magdalena;Kobieta;LRazem;51.126581 16.977962
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;4;LUBINIECKA-RÓŻYŁO;Katarzyna Elżbieta;Kobieta;BEZP;51.126461 17.014194
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;6;JOKS;Marlena Ewa;Kobieta;SLD;51.108203 16.968617
021001;1;Lubań;gm;51.114691,15.2808625;3;Wrocław;SLD;8;ŁAGOWSKA;Anna Katarzyna;Kobieta;LRazem;51.119491 15.279640
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;11;GAJDZIŃSKA;Anna;Kobieta;LRazem;51.119238 17.019346
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;14;DĄBROWSKA;Katarzyna;Kobieta;LRazem;51.116651 16.994204
022001;3;Oborniki Śląskie;gmw;51.2791445,16.890133;3;Wrocław;SLD;15;ŚMIAŁEK;Danuta Maria;Kobieta;SLD;51.278370 16.886156
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;16;TERPIŁOWSKA;Irena Róża;Kobieta;BEZP;51.136024 16.989769
020401;3;Góra;gmw;51.6775665,16.546938;3;Wrocław;SLD;18;KORDEK-CHMIELEWSKA;Agnieszka Katarzyna;Kobieta;SLD;51.679863 16.544322
022304;3;Kąty Wrocławskie;gmw;51.0333645,16.8230165;3;Wrocław;SLD;20;CHŁÓDEK;Agnieszka Barbara;Kobieta;LRazem;51.032763 16.822072
022308;3;Siechnice;gmw;51.032178,17.145507;3;Wrocław;SLD;24;BANACH;Maria Teresa;Kobieta;BEZP;51.028959 17.143740
022308;3;Siechnice;gmw;51.032178,17.145507;3;Wrocław;SLD;25;WARZYCHA;Małgorzata Danuta;Kobieta;LRazem;51.030108 17.146638
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;28;DZIEMIANOWICZ-BĄK;Agnieszka Ewa;Kobieta;BEZP;51.132603 16.980920
301504;3;Nowy Tomyśl;gmw;52.3118025,16.154488;4;Bydgoszcz;SLD;4;NOWAK;Izabela Anna;Kobieta;BEZP;52.315633 16.159185
040701;1;Inowrocław;gm;52.781695,18.250197;4;Bydgoszcz;SLD;5;LUDWISIAK-KAWECKA;Anna Magdalena;Kobieta;BEZP;52.783860 18.258783
041003;3;Nakło nad Notecią;gmw;53.141937,17.648624;4;Bydgoszcz;SLD;7;KOŃCZAK;Danuta Elżbieta;Kobieta;BEZP;53.137693 17.646385
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;9;KOZŁOWSKA;Karolina;Kobieta;LRazem;53.112538 18.040851
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;10;KNIOŁA;Magdalena;Kobieta;BEZP;53.130584 18.040306
040706;3;Kruszwica;gmw;52.6364415,18.369577;4;Bydgoszcz;SLD;11;BUDZIŃSKA;Elżbieta Maria;Kobieta;BEZP;52.634630 18.367127
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;13;SMOLAGA;Aleksandra Justyna;Kobieta;LRazem;53.109088 18.037080
040701;1;Inowrocław;gm;52.781695,18.250197;4;Bydgoszcz;SLD;15;OSUCH;Katarzyna Anna;Kobieta;BEZP;52.784886 18.257754
