rok;nro;nrlisty;komitet;nrk;nazwisko;imiona;plec;zawod;partia;glosy;procent;mandat
2015;10;1;PiS;1;MACIEREWICZ;Antoni;M;historyk;PiS;33960;11.89;t
2015;10;1;PiS;2;MILCZANOWSKA;Anna Maria;K;pedagog;BEZPARTYJNY;11562;4.05;t
2015;10;1;PiS;3;TELUS;Robert;M;rolnik;PiS;18670;6.53;t
2015;10;1;PiS;4;MISIEWICZ;Bartłomiej Sebastian;M;administratywista;PiS;1992;0.70;n
2015;10;1;PiS;5;WOJCIECHOWSKI;Grzegorz Michał;M;rolnik;PiS;21163;7.41;t
2015;10;1;PiS;6;MACIEJEWSKI;Krzysztof;M;mechanik;PiS;6818;2.39;t
2015;10;1;PiS;7;WĘGRZYNOWSKI;Mariusz Tomasz;M;nauczyciel;PiS;5266;1.84;n
2015;10;1;PiS;8;KUKLIŃSKI;Mirosław;M;samorządowiec;PiS;3735;1.31;n
2015;10;1;PiS;9;LOREK;Grzegorz Andrzej;M;urzędnik samorządowy;PiS;6344;2.22;n
2015;10;1;PiS;10;TRĘBSKI;Leszek;M;inżynier elektryk;PiS;4558;1.60;n
2015;10;1;PiS;11;PIETRASZKO;Anna Irena;K;ogrodnik;PiS;1444;0.51;n
2015;10;1;PiS;12;SZYMAŃSKA;Zofia Aleksandra;K;prawnik;PiS;1878;0.66;n
2015;10;1;PiS;13;WYSOCKA;Agnieszka Katarzyna;K;nauczyciel;BEZPARTYJNY;3598;1.26;n
2015;10;1;PiS;14;WENDROWSKA;Ewa Beata;K;lekarz;BEZPARTYJNY;1938;0.68;n
2015;10;1;PiS;15;LASOTA;Magdalena Małgorzata;K;bankowiec;BEZPARTYJNY;1141;0.40;n
2015;10;1;PiS;16;MESZKA-STEFANOWSKA;Bożena;K;samorządowiec;PiS;328;0.11;n
2015;10;1;PiS;17;KUBIAK;Dariusz Jan;M;samorządowiec;PiS;8004;2.80;t
2015;10;1;PiS;18;PAWLIKOWSKI;Jan;M;nauczyciel;BEZPARTYJNY;1735;0.61;n
2015;10;2;PO;1;RUTKOWSKA;Dorota;K;socjolog;PO;10157;3.55;t
2015;10;2;PO;2;RADZISZEWSKA;Elżbieta;K;lekarz medycyny;PO;12741;4.46;t
2015;10;2;PO;3;ROŻNIATOWSKI;Arkadiusz Paweł;M;auditor wewnętrzny;PO;1371;0.48;n
2015;10;2;PO;4;SPÓLNICKA;Magdalena Sylwia;K;farmaceuta;PO;4048;1.42;n
2015;10;2;PO;5;KUCHARSKI;Sylwester Wojciech;M;inżynier leśnik;PO;2457;0.86;n
2015;10;2;PO;6;CZAPLA;Andrzej Wiesław;M;inżynier elektryk;PO;2750;0.96;n
2015;10;2;PO;7;SOKALSKI;Jacek Marian;M;ekonomista;BEZPARTYJNY;1195;0.42;n
2015;10;2;PO;8;GRONOSTAJ-URBAŃSKA;Ewa;K;nauczyciel;BEZPARTYJNY;391;0.14;n
2015;10;2;PO;9;PIETRZAK;Teresa Wiesława;K;specjalista ds. sprzedaży;PO;814;0.28;n
2015;10;2;PO;10;DRZEWOSKA-ŁUCZAK;Agnieszka Beata;K;rzecznik konsumentów;PO;1716;0.60;n
2015;10;2;PO;11;MOSCARDO-MALINOWSKI;Hanna Marianna;K;architekt;PO;120;0.04;n
2015;10;2;PO;12;SIEDLECKI;Grzegorz Józef;M;prawnik;PO;1133;0.40;n
2015;10;2;PO;13;CZYŻYŃSKI;Konrad Andrzej;M;nauczyciel;PO;234;0.08;n
2015;10;2;PO;14;WIKTOROWICZ;Beata;K;geolog;BEZPARTYJNY;1329;0.47;n
2015;10;2;PO;15;BUJNOWSKI;Tadeusz Ryszard;M;lekarz medycyny;BEZPARTYJNY;1731;0.61;n
2015;10;2;PO;16;GRZELAK;Jacek Stefan;M;inżynier ochrony środowiska;PO;324;0.11;n
2015;10;2;PO;17;URBAŃCZYK;Bartosz Mariusz;M;politolog;BEZPARTYJNY;315;0.11;n
2015;10;2;PO;18;TOMASZEWSKI;Jan;M;trener piłkarski;BEZPARTYJNY;1347;0.47;n
2015;10;3;PRAZEM;1;KRYSIAK;Wioleta Magdalena;K;specjalista pracy socjalnej;PRAZEM;4049;1.42;n
2015;10;3;PRAZEM;2;PODPORA;Mariusz Łukasz;M;reżyser;PRAZEM;1196;0.42;n
2015;10;3;PRAZEM;3;GROCHULSKA-BUCEWKA;Agata Maria;K;handlowiec;BEZPARTYJNY;481;0.17;n
2015;10;3;PRAZEM;4;RÓŻALSKI;Artur;M;programista aplikacji;PRAZEM;519;0.18;n
2015;10;3;PRAZEM;5;WAŁKUSKA;Natalia Krystyna;K;technik ekonomista;BEZPARTYJNY;330;0.12;n
2015;10;3;PRAZEM;6;BARTOSIEWICZ;Rafał;M;specjalista bezpieczeństwa i higieny pracy;PRAZEM;652;0.23;n
2015;10;3;PRAZEM;7;RAŁ;Aleksandra;K;artysta grafik;BEZPARTYJNY;353;0.12;n
2015;10;3;PRAZEM;8;OSIŃSKI;Jacek Edward;M;technik handlowiec;BEZPARTYJNY;391;0.14;n
2015;10;3;PRAZEM;9;JELONKIEWICZ;Jolanta Kazimiera;K;nauczycielka informatyki;BEZPARTYJNY;120;0.04;n
2015;10;3;PRAZEM;10;ŁUGOWSKI;Kasper Cezary;M;programista aplikacji;PRAZEM;225;0.08;n
2015;10;3;PRAZEM;11;WINNICKA-SZMIELEW;Barbara Ewa;K;lekarz dentysta;BEZPARTYJNY;431;0.15;n
2015;10;4;KORWiN;1;KĘDZIERSKI;Lech Tomasz;M;inżynier mechanik;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;5316;1.86;n
2015;10;4;KORWiN;2;WOŹNIAK;Dariusz Paweł;M;lekarz weterynarii;BEZPARTYJNY;1897;0.66;n
2015;10;4;KORWiN;3;PŁACHETA;Wojciech Zdzisław;M;inżynier odlewnictwa;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;471;0.16;n
2015;10;4;KORWiN;4;OLAK;Anna;K;studentka;BEZPARTYJNY;654;0.23;n
2015;10;4;KORWiN;5;KASPRZYCA;Dawid Paweł;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;390;0.14;n
2015;10;4;KORWiN;6;ADAMCZYK;Marta Magdalena;K;studentka;BEZPARTYJNY;271;0.09;n
2015;10;4;KORWiN;7;KOPIŃSKI;Mateusz Sebastian;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;246;0.09;n
2015;10;4;KORWiN;8;WÓJCIK;Katarzyna;K;studentka;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;334;0.12;n
2015;10;4;KORWiN;9;KURCZYNA;Mateusz Adam;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;149;0.05;n
2015;10;4;KORWiN;10;OLEJNIK;Jagoda Katarzyna;K;ekonomistka;BEZPARTYJNY;282;0.10;n
2015;10;4;KORWiN;11;TRĘBSKI;Bartosz Adrian;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;180;0.06;n
2015;10;4;KORWiN;12;BRZEZIŃSKI;Jakub Radosław;M;kierowca;BEZPARTYJNY;216;0.08;n
2015;10;4;KORWiN;13;UTECHT;Bożena Teresa;K;technik elektroradiologii;BEZPARTYJNY;79;0.03;n
2015;10;4;KORWiN;14;DOBIESZ;Alicja Maria;K;psycholog;BEZPARTYJNY;122;0.04;n
2015;10;4;KORWiN;15;MIELCZAREK;Sebastian Krystian;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;553;0.19;n
2015;10;5;PSL;1;KLIMCZAK;Dariusz;M;pracownik samorządowy;PSL;6081;2.13;n
2015;10;5;PSL;2;OZGA;Krystyna Ewa;K;rolnik;PSL;3383;1.18;n
2015;10;5;PSL;3;BAGIEŃSKI;Artur Jan;M;nauczyciel;PSL;2808;0.98;n
2015;10;5;PSL;4;ROBAK;Barbara Danuta;K;pracownik samorządowy;PSL;737;0.26;n
2015;10;5;PSL;5;ŚLUSARCZYK;Wojciech;M;pracownik samorządowy;PSL;690;0.24;n
2015;10;5;PSL;6;CHRZĘST;Szczepan Józef;M;politolog;PSL;607;0.21;n
2015;10;5;PSL;7;WŁODARCZYK;Alojzy;M;nauczyciel;PSL;1681;0.59;n
2015;10;5;PSL;8;KRÓL-POSPIESZNY;Anna Małgorzata;K;pracownik samorządowy;BEZPARTYJNY;747;0.26;n
2015;10;5;PSL;9;WIERUSZEWSKI;Jan;M;ekonomista;PSL;667;0.23;n
2015;10;5;PSL;10;WITASZCZYK;Stanisław;M;meliorant;PSL;1708;0.60;n
2015;10;5;PSL;11;KUBIK;Małgorzata Agnieszka;K;nauczyciel;BEZPARTYJNY;323;0.11;n
