okr00;woj;okrname;coord;okr;komitet;nrk;glosy2015;p2015;Idk;empty;komitet2;kto;glosy2019
2;02;Wałbrzych;50.7851055,16.2913995;2;PiS;1;24935;10.65;1294965;2;PiS;DWORCZYK Michał Paweł;58426
10;10;Piotrków Trybunalski;51.4129525,19.716625;10;PiS;1;33960;11.89;1295342;10;PiS;MACIEREWICZ Antoni;31280
28;24;Częstochowa;50.8096365,19.122219;28;PiS;1;24802;10.48;1295407;28;PiS;GIŻYŃSKI Szymon Stanisław;42325
23;18;Rzeszów;50.0058865,21.976327;23;PiS;1;27010;5.32;1295466;23;PiS;SOBOLEWSKI Krzysztof;38912
22;18;Krosno;49.6892935,21.753032;22;PiS;1;34558;10.57;1295548;22;PiS;KUCHCIŃSKI Marek Tadeusz;61262
4;04;Bydgoszcz;53.129727,18.038169;4;PiS;1;40288;10.76;1295685;4;PiS;LATOS Tomasz Edward;60132
18;14;Siedlce;52.1617485,22.27579;18;PiS;1;19018;5.07;1295688;18;PiS;TCHÓRZEWSKI Krzysztof Józef;62891
24;20;Białystok;53.1275085,23.156492;24;PiS;1;44620;10.25;1295713;24;PiS;PIONTKOWSKI Dariusz;63878
27;24;Bielsko-Biała;49.812118,19.038784;27;PiS;1;46220;13.70;1295854;27;PiS;SZWED Stanisław;65315
1;02;Legnica;51.2047315,16.1583115;1;PiS;1;26199;7.34;1295878;1;PiS;LIPIŃSKI Adam Józef;33269
40;32;Koszalin;54.2071915,16.2167295;40;PiS;1;25072;11.55;1295942;40;PiS;HOC Czesław;33083
19;14;Warszawa;52.233002,21.0614195;19;PiS;1;202424;18.48;1295975;19;PiS;KACZYŃSKI Jarosław Aleksander;248935
9;10;Łódź;51.77348,19.4804095;9;PiS;1;41697;11.61;1295990;9;PiS;GLIŃSKI Piotr Tadeusz;43626
30;24;Bielsko-Biała;49.812118,19.038784;30;PiS;1;43648;15.05;1296007;30;PiS;PIECHA Bolesław Grzegorz;38809
11;10;Sieradz;51.6017525,18.738381;11;PiS;1;32909;8.90;1296026;11;PiS;LICHOCKA Joanna Katarzyna;45823
33;26;Kielce;50.85419,20.615443;33;PiS;1;27568;5.88;1296103;33;PiS;ZIOBRO Zbigniew Tadeusz;115903
5;04;Toruń;53.014486,18.6014485;5;PiS;1;16546;4.56;1296219;5;PiS;ARDANOWSKI Jan Krzysztof;76267
41;32;Szczecin;53.429696,14.6242155;41;PiS;1;46918;12.33;1296337;41;PiS;GRÓBARCZYK Marek Józef;58912
15;12;Tarnów;50.002445,21.021696;15;PiS;1;27673;9.49;1296364;15;PiS;PIECZARKA Anna Maria;75220
21;16;Opole;50.6788155,17.9061435;21;PiS;1;9289;2.75;1296380;21;PiS;POROWSKA Violetta Teresa;38583
40;32;Koszalin;54.2071915,16.2167295;40;PSL;1;1518;0.70;1296430;40;PSL;LUBCZYK Radosław;6712
17;14;Radom;51.417238,21.156178;17;PiS;1;36542;13.27;1296524;17;PiS;SUSKI Marek;69141
41;32;Szczecin;53.429696,14.6242155;41;PSL;1;3063;0.80;1296589;41;PSL;RZEPA Jarosław Michał;12622
31;24;Katowice;50.214288,19.008149;31;PiS;1;36422;8.86;1296681;31;PiS;MORAWIECKI Mateusz Jakub;133687
26;22;Słupsk;54.4605945,17.0281465;26;PiS;1;31013;6.65;1296709;26;PiS;HORAŁA Marcin Michał;86079
12;12;Kraków;50.046894,20.0048255;12;PSL;1;2397;0.88;1296731;12;PSL;BRYNKUS Józef;8122
21;16;Opole;50.6788155,17.9061435;21;PSL;1;3952;1.17;1296758;21;PSL;KUKIZ Paweł Piotr;23468
20;14;Warszawa;52.233002,21.0614195;20;PiS;1;73139;14.91;1296808;20;PiS;BŁASZCZAK Mariusz;135189
12;12;Kraków;50.046894,20.0048255;12;PiS;1;96127;35.40;1296824;12;PiS;BOCHENEK Rafał Paweł;46816
29;24;Katowice;50.214288,19.008149;29;PiS;1;34979;11.91;1296873;29;PiS;BORYS-SZOPA Bożena Teresa;49914
32;24;Katowice;50.214288,19.008149;32;PiS;1;28909;10.16;1296877;32;PiS;MALIK Ewa Danuta;46773
3;02;Wrocław;51.1261165,16.991816;3;PiS;1;41296;7.89;1296990;3;PiS;STACHOWIAK-RÓŻECKA Mirosława Agnieszka;91236
10;10;Piotrków Trybunalski;51.4129525,19.716625;10;PSL;1;6081;2.13;1297075;10;PSL;KLIMCZAK Dariusz;15977
35;28;Olsztyn;53.776555,20.4665675;35;PiS;1;26377;9.91;1297095;35;PiS;MAKSYMOWICZ Wojciech Stefan;31575
6;06;Lublin;51.218389,22.563923;6;PSL;1;7750;1.59;1297101;6;PSL;ŁOPATA Jan Zbigniew;13346
