okr00;woj;okrname;coord;okr;komitet;glosy2015;p2015;glosy2019;p2019
10;10;Piotrków Trybunalski;51.4129525,19.716625;10;PiS;134134;46.95;194658;56.21
10;10;Piotrków Trybunalski;51.4129525,19.716625;10;PO;44173;15.46;54160;15.64
10;10;Piotrków Trybunalski;51.4129525,19.716625;10;SLD;21352;7.47;37930;10.95
10;10;Piotrków Trybunalski;51.4129525,19.716625;10;PSL;21364;7.48;36151;10.44
11;10;Sieradz;51.6017525,18.738381;11;PiS;147623;39.93;229245;49.81
11;10;Sieradz;51.6017525,18.738381;11;PO;78314;21.18;94268;20.48
11;10;Sieradz;51.6017525,18.738381;11;SLD;30256;8.18;55116;11.98
11;10;Sieradz;51.6017525,18.738381;11;PSL;29044;7.86;47373;10.29
12;12;Kraków;50.046894,20.0048255;12;PiS;133213;49.05;169106;53.48
12;12;Kraków;50.046894,20.0048255;12;PO;55454;20.42;72869;23.04
12;12;Kraków;50.046894,20.0048255;12;SLD;14473;5.33;26909;8.51
12;12;Kraków;50.046894,20.0048255;12;PSL;8226;3.03;24996;7.90
13;12;Kraków;50.046894,20.0048255;13;PiS;209607;38.62;256847;39.56
13;12;Kraków;50.046894,20.0048255;13;PO;133558;24.61;197930;30.48
13;12;Kraków;50.046894,20.0048255;13;SLD;34643;6.38;84457;13.01
13;12;Kraków;50.046894,20.0048255;13;PSL;14644;2.70;47219;7.27
14;12;Nowy Sącz;49.610243,20.70664;14;PiS;188010;60.56;243583;65.80
14;12;Nowy Sącz;49.610243,20.70664;14;PO;43309;13.95;51183;13.83
14;12;Nowy Sącz;49.610243,20.70664;14;PSL;12929;4.16;27203;7.35
14;12;Nowy Sącz;49.610243,20.70664;14;SLD;7924;2.55;22483;6.07
15;12;Tarnów;50.002445,21.021696;15;PiS;151623;51.99;206845;59.59
15;12;Tarnów;50.002445,21.021696;15;PO;42887;14.71;48597;14.00
15;12;Tarnów;50.002445,21.021696;15;PSL;23552;8.08;46333;13.35
15;12;Tarnów;50.002445,21.021696;15;SLD;9933;3.41;20618;5.94
16;14;Płock;52.5354155,19.7150025;16;PiS;131431;43.78;194371;52.45
16;14;Płock;52.5354155,19.7150025;16;PO;49353;16.44;62429;16.85
16;14;Płock;52.5354155,19.7150025;16;PSL;31994;10.66;56227;15.17
16;14;Płock;52.5354155,19.7150025;16;SLD;24440;8.14;32448;8.76
17;14;Radom;51.417238,21.156178;17;PiS;130758;47.49;193709;57.82
17;14;Radom;51.417238,21.156178;17;PO;48332;17.55;57449;17.15
17;14;Radom;51.417238,21.156178;17;PSL;25933;9.42;34185;10.20
17;14;Radom;51.417238,21.156178;17;SLD;13258;4.82;24884;7.43
18;14;Siedlce;52.1617485,22.27579;18;PiS;191733;51.10;270641;59.76
18;14;Siedlce;52.1617485,22.27579;18;PO;50858;13.55;63124;13.94
18;14;Siedlce;52.1617485,22.27579;18;PSL;38396;10.23;54085;11.94
18;14;Siedlce;52.1617485,22.27579;18;SLD;16327;4.35;29235;6.45
19;14;Warszawa;52.233002,21.0614195;19;PO;301672;27.54;570540;42.13
19;14;Warszawa;52.233002,21.0614195;19;PiS;327342;29.89;373943;27.61
19;14;Warszawa;52.233002,21.0614195;19;SLD;93666;8.55;245034;18.09
19;14;Warszawa;52.233002,21.0614195;19;PSL;7882;0.72;64525;4.76
1;02;Legnica;51.2047315,16.1583115;1;PiS;127370;35.70;183364;42.40
1;02;Legnica;51.2047315,16.1583115;1;PO;90060;25.24;108191;25.02
1;02;Legnica;51.2047315,16.1583115;1;SLD;37298;10.45;71061;16.43
1;02;Legnica;51.2047315,16.1583115;1;PSL;13886;3.89;31006;7.17
20;14;Warszawa;52.233002,21.0614195;20;PiS;190355;38.80;241407;40.99
20;14;Warszawa;52.233002,21.0614195;20;PO;123227;25.12;167889;28.50
20;14;Warszawa;52.233002,21.0614195;20;SLD;27774;5.66;76930;13.06
20;14;Warszawa;52.233002,21.0614195;20;PSL;18666;3.80;50820;8.63
21;16;Opole;50.6788155,17.9061435;21;PiS;93926;27.77;152999;37.64
21;16;Opole;50.6788155,17.9061435;21;PO;88731;26.23;108570;26.71
21;16;Opole;50.6788155,17.9061435;21;SLD;22841;6.75;47699;11.74
21;16;Opole;50.6788155,17.9061435;21;PSL;12464;3.68;41901;10.31
22;18;Krosno;49.6892935,21.753032;22;PiS;174900;53.51;247488;63.36
22;18;Krosno;49.6892935,21.753032;22;PO;44971;13.76;62246;15.94
22;18;Krosno;49.6892935,21.753032;22;PSL;23805;7.28;30655;7.85
22;18;Krosno;49.6892935,21.753032;22;SLD;14893;4.56;23577;6.04
23;18;Rzeszów;50.0058865,21.976327;23;PiS;284642;56.11;367268;62.38
23;18;Rzeszów;50.0058865,21.976327;23;PO;66516;13.11;84703;14.39
23;18;Rzeszów;50.0058865,21.976327;23;PSL;23667;4.67;45868;7.79
23;18;Rzeszów;50.0058865,21.976327;23;SLD;22409;4.42;38817;6.59
24;20;Białystok;53.1275085,23.156492;24;PiS;197575;45.38;270888;52.04
24;20;Białystok;53.1275085,23.156492;24;PO;72894;16.74;109527;21.04
24;20;Białystok;53.1275085,23.156492;24;PSL;35116;8.07;48566;9.33
24;20;Białystok;53.1275085,23.156492;24;SLD;32015;7.35;47342;9.09
25;22;Gdańsk;54.361096,18.6899295;25;PO;148305;34.72;218484;41.31
25;22;Gdańsk;54.361096,18.6899295;25;PiS;126466;29.61;169753;32.10
25;22;Gdańsk;54.361096,18.6899295;25;SLD;28168;6.59;71236;13.47
25;22;Gdańsk;54.361096,18.6899295;25;PSL;12904;3.02;31203;5.90
26;22;Słupsk;54.4605945,17.0281465;26;PiS;145698;31.22;176649;39.65
26;22;Słupsk;54.4605945,17.0281465;26;PO;156147;33.46;146536;32.89
26;22;Słupsk;54.4605945,17.0281465;26;SLD;30973;6.64;51478;11.55
26;22;Słupsk;54.4605945,17.0281465;26;PSL;15064;3.23;38529;8.65
27;24;Bielsko-Biała;49.812118,19.038784;27;PiS;136330;40.42;182027;46.76
27;24;Bielsko-Biała;49.812118,19.038784;27;PO;79506;23.57;105876;27.20
27;24;Bielsko-Biała;49.812118,19.038784;27;SLD;22122;6.56;44701;11.48
27;24;Bielsko-Biała;49.812118,19.038784;27;PSL;11533;3.42;27752;7.13
28;24;Częstochowa;50.8096365,19.122219;28;PiS;84773;35.82;125990;44.28
28;24;Częstochowa;50.8096365,19.122219;28;PO;49580;20.95;64374;22.63
28;24;Częstochowa;50.8096365,19.122219;28;SLD;26305;11.12;44354;15.59
28;24;Częstochowa;50.8096365,19.122219;28;PSL;11799;4.99;24704;8.68
29;24;Katowice;50.214288,19.008149;29;PiS;89584;30.51;128579;37.75
29;24;Katowice;50.214288,19.008149;29;PO;85130;28.99;111078;32.61
29;24;Katowice;50.214288,19.008149;29;SLD;21163;7.21;45583;13.38
29;24;Katowice;50.214288,19.008149;29;PSL;7342;2.50;20408;5.99
2;02;Wałbrzych;50.7851055,16.2913995;2;PiS;72929;31.15;114728;40.54
2;02;Wałbrzych;50.7851055,16.2913995;2;PO;76424;32.65;90812;32.09
2;02;Wałbrzych;50.7851055,16.2913995;2;SLD;20517;8.76;34957;12.35
2;02;Wałbrzych;50.7851055,16.2913995;2;PSL;7448;3.18;20528;7.25
30;24;Bielsko-Biała;49.812118,19.038784;30;PiS;114799;39.59;161160;48.28
30;24;Bielsko-Biała;49.812118,19.038784;30;PO;70188;24.21;92493;27.71
30;24;Bielsko-Biała;49.812118,19.038784;30;SLD;17201;5.93;32300;9.68
30;24;Bielsko-Biała;49.812118,19.038784;30;PSL;5197;1.79;18816;5.64
31;24;Katowice;50.214288,19.008149;31;PiS;135367;32.92;183289;39.21
31;24;Katowice;50.214288,19.008149;31;PO;116658;28.37;173755;37.17
31;24;Katowice;50.214288,19.008149;31;SLD;27837;6.77;55670;11.91
31;24;Katowice;50.214288,19.008149;31;PSL;4064;0.99;20428;4.37
32;24;Katowice;50.214288,19.008149;32;PiS;84410;29.65;124553;37.13
32;24;Katowice;50.214288,19.008149;32;PO;72755;25.56;99499;29.66
32;24;Katowice;50.214288,19.008149;32;SLD;39774;13.97;73466;21.90
32;24;Katowice;50.214288,19.008149;32;PSL;6687;2.35;16263;4.85
33;26;Kielce;50.85419,20.615443;33;PiS;200652;42.81;314455;55.18
33;26;Kielce;50.85419,20.615443;33;PO;80866;17.25;94880;16.65
33;26;Kielce;50.85419,20.615443;33;SLD;36880;7.87;56699;9.95
33;26;Kielce;50.85419,20.615443;33;PSL;44574;9.51;56289;9.88
34;28;Elbląg;54.1988105,19.434411;34;PiS;63236;31.56;102478;40.86
34;28;Elbląg;54.1988105,19.434411;34;PO;60359;30.12;71320;28.43
34;28;Elbląg;54.1988105,19.434411;34;SLD;15407;7.69;29196;11.64
34;28;Elbląg;54.1988105,19.434411;34;PSL;13411;6.69;27319;10.89
35;28;Olsztyn;53.776555,20.4665675;35;PiS;80970;30.42;128760;38.82
35;28;Olsztyn;53.776555,20.4665675;35;PO;72055;27.07;87780;26.46
35;28;Olsztyn;53.776555,20.4665675;35;SLD;23312;8.76;45912;13.84
35;28;Olsztyn;53.776555,20.4665675;35;PSL;22458;8.44;43758;13.19
36;30;Kalisz;51.747363,18.0760685;36;PiS;115668;31.85;195053;42.48
36;30;Kalisz;51.747363,18.0760685;36;PO;89668;24.69;113489;24.72
36;30;Kalisz;51.747363,18.0760685;36;SLD;32047;8.82;61674;13.43
36;30;Kalisz;51.747363,18.0760685;36;PSL;39874;10.98;58759;12.80
37;30;Konin;52.2562205,18.262651;37;PiS;103781;37.41;166965;47.29
37;30;Konin;52.2562205,18.262651;37;PO;56111;20.23;72295;20.48
37;30;Konin;52.2562205,18.262651;37;SLD;32649;11.77;53090;15.04
37;30;Konin;52.2562205,18.262651;37;PSL;19027;6.86;34620;9.81
38;30;Piła;53.134976,16.7601705;38;PiS;73665;27.26;124392;35.64
38;30;Piła;53.134976,16.7601705;38;PO;83845;31.02;106810;30.60
38;30;Piła;53.134976,16.7601705;38;PSL;20712;7.66;48371;13.86
38;30;Piła;53.134976,16.7601705;38;SLD;24723;9.15;46355;13.28
39;30;Poznań;52.4006265,16.90154;39;PO;146141;35.65;233474;45.38
39;30;Poznań;52.4006265,16.90154;39;PiS;97975;23.90;130319;25.33
39;30;Poznań;52.4006265,16.90154;39;SLD;33080;8.07;84835;16.49
39;30;Poznań;52.4006265,16.90154;39;PSL;7809;1.91;31875;6.20
3;02;Wrocław;51.1261165,16.991816;3;PiS;163323;31.21;226915;34.67
3;02;Wrocław;51.1261165,16.991816;3;PO;159582;30.49;214629;32.80
3;02;Wrocław;51.1261165,16.991816;3;SLD;31932;6.10;100843;15.41
3;02;Wrocław;51.1261165,16.991816;3;PSL;13604;2.60;42269;6.46
40;32;Koszalin;54.2071915,16.2167295;40;PiS;62032;28.58;100078;36.83
40;32;Koszalin;54.2071915,16.2167295;40;PO;65262;30.07;87799;32.31
40;32;Koszalin;54.2071915,16.2167295;40;SLD;24697;11.38;41943;15.44
40;32;Koszalin;54.2071915,16.2167295;40;PSL;8972;4.13;25632;9.43
41;32;Szczecin;53.429696,14.6242155;41;PO;121479;31.93;168022;35.71
41;32;Szczecin;53.429696,14.6242155;41;PiS;110697;29.09;165200;35.11
41;32;Szczecin;53.429696,14.6242155;41;SLD;32584;8.56;71756;15.25
41;32;Szczecin;53.429696,14.6242155;41;PSL;14776;3.88;34807;7.40
4;04;Bydgoszcz;53.129727,18.038169;4;PiS;113024;30.20;167550;36.43
4;04;Bydgoszcz;53.129727,18.038169;4;PO;110948;29.64;142844;31.05
4;04;Bydgoszcz;53.129727,18.038169;4;SLD;37583;10.04;69763;15.17
4;04;Bydgoszcz;53.129727,18.038169;4;PSL;22701;6.07;41497;9.02
5;04;Toruń;53.014486,18.6014485;5;PiS;121703;33.57;182648;40.38
5;04;Toruń;53.014486,18.6014485;5;PO;93432;25.77;119526;26.42
5;04;Toruń;53.014486,18.6014485;5;SLD;39003;10.76;67076;14.83
5;04;Toruń;53.014486,18.6014485;5;PSL;24476;6.75;49225;10.88
6;06;Lublin;51.218389,22.563923;6;PiS;232014;47.57;313284;55.39
6;06;Lublin;51.218389,22.563923;6;PO;80892;16.59;109185;19.30
6;06;Lublin;51.218389,22.563923;6;PSL;37733;7.74;51474;9.10
6;06;Lublin;51.218389,22.563923;6;SLD;29172;5.98;44152;7.81
7;06;Chełm;51.1355835,23.489705;7;PiS;163122;48.02;238802;59.50
7;06;Chełm;51.1355835,23.489705;7;PO;41823;12.31;59401;14.80
7;06;Chełm;51.1355835,23.489705;7;PSL;38689;11.39;47604;11.86
7;06;Chełm;51.1355835,23.489705;7;SLD;24161;7.11;27404;6.83
8;08;Zielona Góra;51.9277125,15.5215805;8;PiS;97877;28.27;150188;34.30
8;08;Zielona Góra;51.9277125,15.5215805;8;PO;97676;28.21;136955;31.27
8;08;Zielona Góra;51.9277125,15.5215805;8;SLD;34695;10.02;68341;15.61
8;08;Zielona Góra;51.9277125,15.5215805;8;PSL;17743;5.12;50943;11.63
9;10;Łódź;51.77348,19.4804095;9;PO;112333;31.28;148830;35.82
9;10;Łódź;51.77348,19.4804095;9;PiS;107350;29.90;136731;32.90
