Komitet;Typ;Pozycja;Nazwisko;Imiona;Plec;Partia;Zawod
PiS;KWPP;1;LIPIŃSKI;Adam Józef;Mężczyzna;PiS;ekonomista
PiS;KWPP;2;WITEK;Elżbieta Barbara;Kobieta;PiS;parlamentarzysta
PiS;KWPP;3;MACHAŁEK;Marzena Anna;Kobieta;PiS;parlamentarzysta
PiS;KWPP;4;KUBÓW;Krzysztof Jan;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;5;ZUBOWSKI;Wojciech Michał;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;6;SZYMAŃSKA;Ewa Zofia;Kobieta;PiS;biegły rewident
PiS;KWPP;7;ZEMBIK;Teresa;Kobieta;PiS;nauczyciel informatyki/ technologii informacyjnej
PiS;KWPP;8;BABUŚKA;Adam;Mężczyzna;PiS;przedstawiciel władzy samorządowej - Starosta
PiS;KWPP;9;RYPIŃSKI;Józef;Mężczyzna;SolidarnaPolska;fizyk
PiS;KWPP;10;POGODA;Szymon Marek;Mężczyzna;PiS;kierownik biura
PiS;KWPP;11;MARCINIAK;Wojciech;Mężczyzna;PiS;filolog
PiS;KWPP;12;KARWAN;Jacek;Mężczyzna;PiS;prezes
PiS;KWPP;13;KREDKOWSKI;Andrzej;Mężczyzna;PiS;nauczyciel religii w szkole podstawowej
PiS;KWPP;14;BUCIUTO;Jadwiga Barbara;Kobieta;PiS;nauczyciel matematyki
PiS;KWPP;15;GĘBORYS;Dagmara Helena;Kobieta;BEZP;ekonomista
PiS;KWPP;16;BRZOZOWSKA;Kamila Dorota;Kobieta;PiS;kierownik wydziału
PiS;KWPP;17;BADZIŃSKA;Agnieszka Ewa;Kobieta;PiS;ekonomista
PiS;KWPP;18;SADOWSKA-KOWALSKA;Aurelia Barbara;Kobieta;PiS;pracownik do spraw osobowych
PiS;KWPP;19;CZYRKO;Eurydyka Maria;Kobieta;PiS;nauczyciel języka polskiego w szkole podstawowej
PiS;KWPP;20;KWIATKOWSKA;Ewa;Kobieta;PiS;pielęgniarka
PiS;KWPP;21;URBANOWICZ;Łukasz Franciszek;Mężczyzna;PiS;technik mechanik pojazdów samochodowych
PiS;KWPP;22;SARBAK;Dawid Łukasz;Mężczyzna;PiS;specjalista administracji publicznej
PiS;KWPP;23;BOJAKOWSKA;Dorota;Kobieta;PiS;specjalista administracji publicznej
PiS;KWPP;24;LESZCZYK;Wojciech Paweł;Mężczyzna;PiS;fizyk
KOBW;KKW;1;BORYS;Piotr;Mężczyzna;PORP;przedstawiciel władzy samorządowej - radny
KOBW;KKW;2;CZERNOW;Zofia;Kobieta;PORP;parlamentarzystka
KOBW;KKW;3;KROPIWNICKI;Robert;Mężczyzna;PORP;parlamentarzysta
KOBW;KKW;4;KRAWCZYK;Iwona Małgorzata;Kobieta;PORP;parlamentarzysta
KOBW;KKW;5;DROZD;Ewa;Kobieta;PORP;parlamentarzystka
KOBW;KKW;6;DUDKOWIAK;Jarosław Ryszard;Mężczyzna;PORP;przedstawiciel władzy samorządowej - Starosta
KOBW;KKW;7;BARANOWSKA;Dorota;Kobieta;PORP;nauczyciel
KOBW;KKW;8;BANDER;Michał;Mężczyzna;PORP;fizjoterapeuta
KOBW;KKW;9;SIKORA;Konrad Jerzy;Mężczyzna;Nowoczesna;urzędnik samorządowy
KOBW;KKW;10;ROWIŃSKI;Konrad Antoni;Mężczyzna;PORP;przedstawiciel władzy samorządowej - wicestarosta
KOBW;KKW;11;PICHAŁA;Anna Eugenia;Kobieta;BEZP;ekonomista
KOBW;KKW;12;DOWHAŃ-DOMAŃSKA;Ksenia Anna;Kobieta;PORP;przedsiębiorca
KOBW;KKW;13;ROLSKA;Beata Edyta;Kobieta;BEZP;neurologopeda nauczyciel - pedagog
KOBW;KKW;14;GRZEŚKÓW;Zbigniew;Mężczyzna;PORP;ekonomista
KOBW;KKW;15;BARCIK;Krystyna Henryka;Kobieta;PORP;ekonomista
KOBW;KKW;16;MAGRYŚ;Urszula;Kobieta;PORP;specjalista do spraw rachunkowości
KOBW;KKW;17;JAGIEŁŁO;Jakub Krzysztof;Mężczyzna;BEZP;przedstawiciel władzy samorządowej - radny
KOBW;KKW;18;SKÓRZEWSKA;Barbara Anna;Kobieta;BEZP;nauczyciel
KOBW;KKW;19;STRĄCZEK;Joanna Dorota;Kobieta;BEZP;kierownik przychodni
KOBW;KKW;20;SURWIŁO;Małgorzata Joanna;Kobieta;Nowoczesna;technik administracji
KOBW;KKW;21;BROK;Anna;Kobieta;PORP;ekonomista
KOBW;KKW;22;ZIELIŃSKI;Grzegorz;Mężczyzna;Nowoczesna;ekonomista
KOBW;KKW;23;GRAF;Mirosław;Mężczyzna;PORP;nauczyciel wychowania fizycznego
KOBW;KKW;24;BARTKOWIAK;Włodzimierz;Mężczyzna;Zieloni;analityk finansowy
SLD;KWPP;1;SEKUŁA-SZMAJDZIŃSKA;Małgorzata Helena;Kobieta;SLD;adwokat
SLD;KWPP;2;OBAZ;Robert Marcin;Mężczyzna;Wiosna;inżynier telekomunikacji
SLD;KWPP;3;FILACZYŃSKA;Kaja;Kobieta;LRazem;lekarka
SLD;KWPP;4;ZBRZYZNY;Ryszard;Mężczyzna;SLD;inżynier górnik
SLD;KWPP;5;PIĄTEK;Damian;Mężczyzna;SLD;pracownik samorządowy
SLD;KWPP;6;BURAKOWSKA;Krystyna Anna;Kobieta;LRazem;nauczyciel przedszkola
SLD;KWPP;7;PACZÓSKI;Piotr Jerzy;Mężczyzna;SLD;ekonomista
SLD;KWPP;8;ORZECHOWSKA;Joanna Magdalena;Kobieta;Wiosna;specjalista ds. konsultingu
SLD;KWPP;9;GRYĆ;Paweł;Mężczyzna;LRazem;inżynier organizacji i planowania produkcji
SLD;KWPP;10;MIARA;Rafał;Mężczyzna;SLD;ekonomista
SLD;KWPP;11;JANKOWSKA;Magdalena;Kobieta;Wiosna;biotechnolog
SLD;KWPP;12;KRÓLEWIECKA-WALA;Dominika;Kobieta;LRazem;pedagog specjalny
SLD;KWPP;13;MAJEWICZ;Przemysław Mikołaj;Mężczyzna;Wiosna;przedsiębiorca
SLD;KWPP;14;BIDNYK;Mikołaj Adam;Mężczyzna;BEZP;specjalista do spraw rekrutacji pracowników
SLD;KWPP;15;KOHLMAN;Piotr Rafał;Mężczyzna;BEZP;nauczyciel
SLD;KWPP;16;GŁUSZKO;Rafał Krzysztof;Mężczyzna;BEZP;lekarz
SLD;KWPP;17;BACZMAŃSKI;Paweł Adam;Mężczyzna;BEZP;strażak
SLD;KWPP;18;PŁANETA-SIEWIERSKA;Edyta Katarzyna;Kobieta;BEZP;adwokat
SLD;KWPP;19;GRZYB;Leszek Kazimierz;Mężczyzna;SLD;menedżer
SLD;KWPP;20;RAKSZEWSKA;Alicja;Kobieta;BEZP;policjant służby kryminalnej - emeryt
SLD;KWPP;21;JÓŹWIK;Magdalena;Kobieta;BEZP;grafik komputerowy multimediów
SLD;KWPP;22;BRYCZKOWSKA;Inez Jolanta;Kobieta;BEZP;nauczyciel
SLD;KWPP;23;KOKO;Daniel Radosław;Mężczyzna;SLD;fizjoterapeuta
SLD;KWPP;24;GADEK;Sławomir Adam;Mężczyzna;LRazem;inżynier mechanik - środki transportu
BZPS;KWW;1;MYRDA;Adam Stanisław;Mężczyzna;BEZP;mechanik maszyn i urzadzeń górnictwa podziemnego
BZPS;KWW;2;GABRYSIAK;Tomasz Andrzej;Mężczyzna;BEZP;przedstawiciel władzy samorządowej - starosta
BZPS;KWW;3;KIEŁB;Jacek;Mężczyzna;BEZP;politolog
BZPS;KWW;4;MIEDZIŃSKI;Piotr Jan;Mężczyzna;BEZP;ekonomista
BZPS;KWW;5;JANIK;Kazimierz;Mężczyzna;BEZP;inżynier rolnictwa
BZPS;KWW;6;CASTAÑEDA TRUJILLO;Beata;Kobieta;BEZP;ekonomista
BZPS;KWW;7;WANDYCZ;Piotr Kazimierz;Mężczyzna;BEZP;strażak
BZPS;KWW;8;SZEFFS;Irena Ewa;Kobieta;BEZP;pielęgniarka - specjalista pielęgniarstwa kardiologicznego
BZPS;KWW;9;SALA;Rafał Krzysztof;Mężczyzna;BEZP;specjalista administracji publicznej
BZPS;KWW;10;LEWICKI;Krzysztof Mirosław;Mężczyzna;BEZP;przedstawiciel władzy samorządowej - radny
BZPS;KWW;11;TOBIASZ;Aleksandra Marta;Kobieta;BEZP;ekonomista
BZPS;KWW;12;CIEŚLA;Maciej Jan;Mężczyzna;BEZP;nauczyciel wychowania fizycznego
BZPS;KWW;13;SOBIESKA;Emilia Janina;Kobieta;BEZP;organizator imprez rozrywkowych
BZPS;KWW;14;ZIELIŃSKI;Artur Waldemar;Mężczyzna;BEZP;specjalista administracji publicznej
BZPS;KWW;15;CZAJA;Dariusz Andrzej;Mężczyzna;BEZP;nauczyciel historii
