teryt;woj;urban;t2;ludnosc;w1;w3;p1;p3;frek;pis                             
02;dolnośląskie;67.54;02;2891321;1772043;1732907;61.29;59.93;60.92;38.32
04;kujawsko-pomorskie;58.12;04;2061942;1260193;1235108;61.12;59.90;58.10;38.39
06;lubelskie;46.19;06;2095258;1083542;1059884;51.71;50.58;58.00;57.10
08;lubuskie;64.26;08;1007145;622751;608518;61.83;60.42;57.20;34.30
10;łódzkie;61.75;10;2437970;1474137;1442914;60.47;59.19;63.51;45.87
12;małopolskie;47.83;12;3410441;1936233;1898417;56.77;55.66;63.78;52.08
14;mazowieckie;64.66;14;5425028;3519772;3439456;64.88;63.40;69.46;40.88
16;opolskie;52.89;16;976774;525124;513984;53.76;52.62;52.91;37.64
18;podkarpackie;41.09;18;2121229;933049;912568;43.99;43.02;58.57;62.77
20;podlaskie;60.85;20;1173286;576162;563307;49.11;48.01;56.97;52.04
22;pomorskie;62.58;22;2346671;1463176;1430023;62.35;60.94;63.46;34.37
24;śląskie;75.89;24;4492330;2678728;2626390;59.63;58.46;62.25;42.09
26;świętokrzyskie;44.83;26;1224626;689433;674914;56.30;55.11;57.70;55.18
28;warmińsko-mazurskie;59.01;28;1416495;803736;786307;56.74;55.51;53.61;39.70
30;wielkopolskie;53.30;30;3496450;2233652;2187673;63.88;62.57;62.95;36.80
32;zachodniopomorskie;68.08;32;1688047;1029773;1005544;61.00;59.57;57.87;35.74

















