typ;numer;patrole;statki;tonaz;okrety;okrety.tonaz
ii;1;2;0;0;0;0
ii;2;2;0;0;0;0
ii;3;5;2;2348;0;0
ii;4;4;3;5133;1;1090
ii;5;2;0;0;0;0
ii;6;2;0;0;0;0
ii;7;6;1;2694;0;0
ii;8;0;0;0;0;0
ii;9;9;7;16669;1;552
ii;10;5;2;6356;0;0
ii;11;0;0;0;0;0
ii;12;2;0;0;0;0
ii;13;9;9;28056;0;0
ii;14;6;9;12344;0;0
ii;15;5;3;4532;0;0
ii;16;3;1;3378;0;0
ii;17;4;3;1825;0;0
ii;18;4;2;1500;0;0
ii;19;0;0;0;0;0
ii;20;6;13;30067;0;0
ii;21;7;5;10706;0;0
ii;22;7;6;7344;1;1475
ii;23;6;7;11179;2;1410
ii;24;9;1;961;5;571
ii;25;5;7;33209;0;0
ii;26;6;11;48645;0;0
ii;56;2;3;8860;0;0
ii;57;1;11;48053;0;0
ii;58;2;6;16148;0;0
ii;59;3;17;34130;0;0
ii;60;9;3;7561;0;0
ii;61;1;5;19668;0;0
ii;62;5;1;4581;1;1350
ii;63;0;0;0;0;0
ii;120;0;0;0;0;0
ii;121;0;0;0;0;0
ii;137;4;6;24136;0;0
ii;138;5;6;48564;0;0
ii;139;2;0;0;0;0
ii;140;3;3;12410;1;206
ii;141;4;4;6801;0;0
ii;142;3;0;0;0;0
ii;143;4;1;1409;0;0
ii;144;3;0;0;1;206
ii;145;3;0;0;0;0
ii;146;2;1;3496;0;0
ii;147;3;2;6145;0;0
ii;148;0;0;0;0;0
ii;149;0;0;0;0;0
ii;150;0;0;0;0;0
ii;151;0;0;0;0;0
ii;152;0;0;0;0;0
ix;37;1;53;200124;2;2404
ix;38;1;35;188967;0;0
ix;39;0;0;0;0;0
ix;40;2;0;0;0;0
ix;41;3;5;22815;0;0
ix;42;0;0;0;0;0
ix;43;4;21;117036;0;0
ix;44;2;8;30885;0;0
ix;64;0;0;0;0;0
ix;65;6;12;66174;0;0
ix;66;9;33;200021;0;0
ix;67;7;13;72138;0;0
ix;68;0;0;0;0;0
ix;103;1;45;237596;0;0
ix;104;0;0;0;0;0
ix;105;9;22;123924;1;1546
ix;106;0;0;0;0;0
ix;107;4;37;207375;0;0
ix;108;1;25;118722;0;0
ix;109;9;12;79969;0;0
ix;110;2;3;10149;0;0
ix;111;2;4;24176;0;0
ix;122;2;1;5911;0;0
ix;123;2;42;219924;1;683
ix;124;1;46;219862;2;5775
ix;125;7;17;82873;0;0
ix;126;6;24;111564;1;450
