TABLE 23;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;1999;;2000;;2001;;2002;2003e;
Afghanistane;;116; ;50; ;50; ;60;70;
Albaniae;;106; ;110;;39; ;50;50;
Algeriae;;7,500; ;8,300; ;8,300;;9,000;9,000;
Angola;;207;r;201;r;200;r, e;250;250;
Argentina;;7,187; ;6,114; ;5,545; ;3,910;3,900;
Armenia;;287; ;219; ;300; ;400;500;
Australiae;;7,450; ;7,500; ;7,500; ;7,550;8,000;
Austria ;;3,817; ;3,776; ;3,863; ;3,800;3,800;
Azerbaijan ;;177; ;200;e;500; ;800;1,000;
Bahrain;;156; ;89;;89; ;67;70;
Bangladesh3;;2,085; ;3,580; ;5,005; ;5,000;5,000;
Barbados;;253;r;268;;250; ;298;300;
Belarus ;;2,100; ;1,847; ;1,803; ;2,171;2,472;
Belgium  ;;7,277; ;7,150; ;7,500;e;8,000;8,000;
Benine;;200; ;250; ;250;;250;250;
Bhutane;;150; ;150; ;160;;160;160;
Bolivia;;1,201; ;1,072; ;983;r;1,010;1,000;
Bosnia and Herzegovinae ;;300; ;300; ;300;;300;300;
Brazil;;40,270; ;39,208; ;38,927; ;38,027;37,980;
Brunei;;208; ;232; ;227; ;241;235;
Bulgaria;;2,060; ;2,209; ;2,088;r;2,137;2,100;
Burkina Fasoe;;180;r;100;r;50; ;30;30;
Burma;;338; ;393; ;378; ;400;600;
Cambodiae;;--; ;--; ;--;r;--;--;
Cameroon ;;850; ;890; ;930;e;950;900;
Canada;;12,634; ;12,612; ;12,986; ;13,200;14,063;
Chile;;3,036; ;3,491; ;3,513;r;3,522;3,550;
China;;573,000; ;597,000; ;661,040; ;725,000;813,190;
Colombiae;;9,200; ;9,750; ;6,830;r;6,604;6,800;
Congo (Brazzaville) ;;--; ;20;e;--; ;--;--;
Congo (Kinshasa) ;;159; ;161; ;192; ;190;190;
Costa Ricae;;1,100; ;1,150; ;1,100; ;1,100;1,130;
Cote d'Ivoiree;;650; ;650; ;650; ;650;650;
Croatia ;;2,712; ;2,852; ;3,246; ;3,378;3,654;
Cuba;;1,785; ;1,633; ;1,324; ;1,327;1,300;
Cyprus  ;;1,157; ;1,398; ;1,369; ;1,600;1,600;
Czech Republic;;4,241; ;4,093; ;3,550; ;3,500;3,500;
Denmark  ;;1,926; ;2,009; ;2,010;e;2,010;2,020;
Dominican Republic;;2,283;r;2,505;r;2,746;r;3,050;2,907;
Ecuador;;2,300;;2,800;e;2,920;r;3,000;3,100;
Egypt  ;;23,313;;24,143;;24,500;e;28,000;29,100;
El Salvador;;1,031; ;1,064; ;1,174; ;1,318;1,391;
Eritreae;;45; ;45;;45; ;45;45;
Estonia;;358;;329;;405; ;466;470;
Ethiopia  ;;638;;880;;900;r;900;1,200;
Fijie;;95; ;95; ;95; ;95;100;
Finland;;1,310; ;1,422; ;1,325; ;1,350;1,360;
France;;20,219; ;20,137; ;19,839; ;20,000;20,000;
French Guianae;;88;;88;  ;58;4;62;62;
Gabon;;180;;210; ;304;r;350;350;
Georgia ;;341;r;348; ;335;r;347;300;
Germany;;35,912; ;34,727; ;30,989; ;30,000;30,000;
Ghana  ;;1,870; ;1,950; ;1,900;e;1,900;1,900;
Greece;;13,908; ;14,530; ;15,000; ;15,500;16,000;
Guadeloupee;;230;;230;;230;;230;230;
Guatemala;;1,600; ;1,600; ;1,600;e;1,600;1,650;
Guinea  ;;297; ;300; ;315;r;360;360;
Haiti;;--;;--;;204;;290;200;
Honduras;;980; ;1,100; ;1,100;e;1,100;1,000;
Hong Kong;;1,387;;1,284; ;1,279;r;1,206;1,250;
Hungary;;2,979;;3,326; ;3,452; ;3,510;3,500;
See footnotes at end of table.;;;;;;;;;;
;;;;;;;;;;
TABLE 23--Continued;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;; ;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;1999;;2000;;2001;;2002;2003e;
Iceland;;131;;144; ;125; ;130;135;
Indiae;;90,000;;95,000; ;100,000;;102,000;110,000;
Indonesia  ;;23,925;;27,789; ;31,300; ;34,640;35,000;
Iran  ;;22,080; ;23,880; ;26,640;r;28,600;30,000;
Iraqe;;5,000;r;6,000;r;6,000;r;6,834;1,000;
Irelande;;2,466;4;2,620;4;2,600; ;2,500;2,500;
Israele  ;;6,354;4;5,703;r, 4;4,700;r;5,150;5,150;
Italy;;37,299; ;38,925; ;39,804; ;40,000;38,000;
Jamaica;;504; ;521; ;596;;614;620;
Japan;;80,120; ;81,097; ;76,550;;71,828;71,000;
Jordan;;2,687;;2,640; ;3,173;;3,558;3,515;
Kazakhstan ;;838;;1,175; ;2,029;;2,129;2,570;
Kenya;;1,440;r, e;1,367;r;1,319;r;1,463;1,537;
Korea, Northe;;4,000; ;4,600;r;5,160;;5,320;5,500;
Korea, Republic of;;48,157;;51,255; ;52,046;;55,514;59,199;
Kuwait;;1,435; ;1,540; ;1,600;e;1,600;1,600;
Kyrgyzstan;;386;;500; ;469;;533;770;
Laose;;80;;92; ;92; ;240;250;
Latvia ;;W;;W; ;W; ;W;W;
Lebanon ;;2,714; ;2,808; ;2,890; ;2,852;2,950;
Liberiae;;15; ;71;r;63;r, 4;54;30;
Libyae;;3,000; ;3,000; ;3,000;;3,300;3,300;
Lithuania;;666; ;570; ;529; ;605;600;
Luxembourg;;742; ;749; ;750;e;750;750;
Macedonia ;;520; ;585; ;450;;450;450;
Madagascar  ;;46;;51; ;52;;33;33;
Malawi;;187;;156; ;181;;174;190;
