TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2000;;2001;;2002;;2003e;2004e;
Afghanistane;;50; ;50; ;60; ;70;70;
Albania;;180;r;--;r;--;r;578;573;
Algeriae;;8,300; ;8,300;;9,000; ;9,000;9,000;
Angolae;;201;3;200; ;250; ;250;250;
Argentina;;6,121;r;5,545; ;3,910; ;5,218;6,254;
Armenia;;219; ;300; ;355;r;384;400;
Australiae;;7,500; ;7,500; ;7,550; ;8,000;8,000;
Austria ;;3,776; ;3,863; ;3,800;e;3,800;3,800;
Azerbaijan ;;200;e;500; ;848;r;1,013;1,400;
Bahrain;;89;;89; ;67; ;70;75;
Bangladesh4;;3,580; ;5,005; ;5,000;e;5,000;5,000;
Barbados;;268;;250; ;298; ;330;330;
Belarus ;;1,847; ;1,803; ;2,171; ;2,472;2,500;
Belgiume  ;;7,150;3;7,500; ;8,152;r, 3;8,000;8,000;
Benine;;250; ;250;;250; ;250;250;
Bhutane;;150; ;160;;160;;160;170;
Bolivia;;1,072; ;983; ;1,010; ;1,138;1,276;
Bosnia and Herzegovina;;628;r;704;r;913;r;891;1,045;
Brazil;;39,208; ;38,927; ;38,027; ;34,010;38,000;
Brunei;;232; ;227; ;241; ;235;240;
Bulgaria;;2,209; ;2,088; ;2,137; ;2,100;2,100;
Burkina Fasoe;;100; ;50; ;30; ;30;30;
Burma;;393; ;378; ;450;r, e;572;600;
Cameroone ;;890;3;930; ;950; ;930;930;
Canada;;12,612; ;12,986; ;13,710;r;13,424;14,017;
Chile;;3,377;r;3,513;r;3,462;r;3,622;3,798;
China;;597,000; ;661,040; ;725,000; ;862,080;933,690;
Colombiae;;9,750; ;6,830; ;6,604;3;7,300;8,000;
Congo (Brazzaville)e ;;20; ;--;3;--; ;--;--;
Congo (Kinshasa) ;;169;r;201;r;265;r;331;400;
Costa Rica;;1,050;r;1,200;r;1,200;r, e;1,320;1,300;
Côte d'Ivoiree;;650; ;650; ;650; ;650;650;
Croatia ;;2,852; ;3,246; ;3,378; ;3,654;3,811;
Cuba;;1,633; ;1,324; ;1,327; ;1,700;1,700;
Cyprus  ;;1,398; ;1,369; ;1,438;r;1,637;1,689;
