TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
 ;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2002;;2003;;2004;;2005;2006e;
Afghanistane;;60; ;70;;70; ;60;50;
Albania;;--; ;578; ;573; ;575;600;
Algeriae;;9,000; ;9,000;;11,000;r;11,296;15,000;
Angola;;597;;700;;754;;1,315;1,373;
Argentina;;3,911;;5,217;;6,254;;7,595;8,929;
Armenia  ;;355;;384;;501;;605;610;
Australiae;;7,550;;8,000;;8,000;;9,000;9,000;
Austria;;3,918;;3,886;;3,976;;4,736;4,700;
Azerbaijan ;;848;;1,013;;1,428;;1,538;1,605;
Bahrain;;67;;129;;153;;191;190;
Bangladeshe;;5,000;;5,000;;5,000;;5,100;5,100;
Barbados;;298;;325;;322;;320;320;
Belarus ;;2,171;;2,472;;2,731;;3,131;3,495;
Belgium ;;6,980;;6,550;;6,715;;7,594;8,192;
Benine;;250;;250;;250;;250;250;
Bhutane;;160;;160;;170;;170;180;
Bolivia;;1,010; ;1,138;;1,276;;1,440;1,636;
Bosnia and Herzegovina;;913; ;891;;1,045;;1,026;1,226;
Brazil;;38,027; ;34,010;;34,413;;36,673;39,540;
Brunei;;241; ;236;;242;;266;270;
Bulgariae;;2,137;3;2,100;;2,100;;2,100;2,000;
Burkina Fasoe;;30; ;30;;30;;30;30;
Burma4;;471;;572;;519;;543;570;
Cameroon;;937;;949;;1,032;;1,000;1,000;
Canada;;13,079;;13,416;;13,863;;14,179;14,355;
Chile;;3,462; ;3,622;;3,798;;3,999;4,112;
China;;725,000; ;862,080;;970,000;;1,068,850;1,204,110;
Colombia;;6,604;5;7,337;;7,822;;9,959;10,038;
Congo (Brazzaville) ;;--;;--;;--;;100;100;
Congo (Kinshasa) ;;265;;331;;403;;511;530;
Costa Ricae;;1,200; ;1,600;;1,900;;2,000;2,000;
Côte d'Ivoiree;;650; ;650;;650;;650;650;
Croatia ;;3,378; ;3,654;;3,811;;3,481;3,633;
Cuba;;1,327; ;1,346;;1,401;r;1,567;1,705;
Cyprus  ;;1,438; ;1,637;;1,689;;1,805;1,786;
Czech Republic;;3,217; ;3,465;;3,829;;3,978;4,222;
Denmark  ;;2,028;;1,953;;2,150;;2,120;2,115;
Dominican Republic;;3,050; ;2,907;r;2,654;r;2,779;2,800;
Ecuadore;;3,000; ;3,100;;3,000;r;3,000;3,000;
Egypt  ;;28,155; ;26,639;;28,763;;29,000;29,000;
El Salvador;;1,323;r;1,391;r;1,265;r;1,131;1,311;
Eritreae;;45; ;45; ;45;;45;45;
Estonia;;466; ;506;;615;;650;700;
Ethiopia6;;900; ;1,130;;1,316;;1,568;1,700;
Fijie;;111;r, 3;120;r;120;r;143;150;
Finland;;1,198; ;1,493;;1,295;r;1,357;1,685;
France;;19,437;;19,655;;20,962;;21,277;22,270;
French Guianae;;62;3;60;;60;;60;60;
Gabone;;257;3;260;;260;;260;260;
Georgia ;;347; ;345;;425;;450;450;
Germany;;31,009; ;32,749;;31,854;;30,629;33,516;
Ghanae  ;;1,900; ;1,900;;1,900;;1,900;1,900;
Greece;;14,282;;14,638;;15,039;;15,166;15,674;
Guadeloupe;;230; ;230;;230;;230;230;
Guatemalae;;2,000;r;2,000;r;2,200;r;2,400;2,500;
Guineae  ;;360; ;360;;360;;360;360;
Haitie;;290;3;290;r, 3;300;;300;300;
Honduras;;1,224;r;1,268;r;1,392;r;1,384;1,400;
Hong Kong;;1,206; ;1,189;;1,039;;1,005;1,010;
Hungary;;3,510; ;3,573;;3,349;;3,371;3,724;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
 ;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2002;;2003;;2004;;2005;2006e;
Iceland;;83;;90;;90;e;95;95;
Indiae;;115,000; ;123,000;3;130,000;;145,000;160,000;
Indonesia  ;;34,640; ;35,500;;33,230;r;33,917;35,000;
Iran  ;;28,600; ;30,460;;32,198;;32,650;33,000;
Iraqe;;6,834;3;1,901;3;2,500;;3,000;3,500;
Ireland;;3,320;;3,830;;5,000;r, e;5,083;4,981;
Israel;;4,584; ;4,632; ;4,494; ;5,093;5,089;
Italy;;41,722;r;43,580;r;45,343;r;40,284;47,814;
Jamaica;;614;;608; ;808;;845;761;
Japan;;71,828; ;68,766; ;67,376;;69,629;69,942;
Jordan;;3,558; ;3,515; ;3,908;;4,046;3,967;
Kazakhstan ;;2,129;;2,570; ;3,662;;3,975;4,200;
Kenya;;1,463; ;1,658; ;1,789;;2,123;2,200;
Korea, Northe;;5,320; ;5,540; ;5,630;;5,700;5,700;
Korea, Republic of;;55,514; ;59,194; ;54,330;;51,391;54,971;
Kuwait;;1,584; ;1,863;;2,635;;2,145;2,200;
Kyrgyzstan;;533; ;757; ;870;r;900;1,211;
Laose;;240; ;250;;250;;250;250;
Latvia ;;260; ;295; ;284; ;280;280;
Lebanon ;;2,852; ;3,500;r;4,500;r;4,500;5,000;
Liberia;;54;;25;e;121;r;144;155;
Libyae;;3,300; ;3,500;3;3,600;;3,621;3,600;
Lithuania;;606; ;597; ;753; ;832;850;
Luxembourg;;728;;714;;797;;760;800;
Macedonia ;;600;e;768; ;820; ;800;800;
Madagascare  ;;30;r;200;r;170;r;150;150;
Malawi;;109;r;161;r;120;;160;200;
Malaysia;;14,336; ;17,243; ;15,690;;17,860;18,000;
Martiniquee;;221;3;220;;220;;220;220;
Mauritaniae;;200; ;200; ;300;3;300;374;
Mexico;;33,372; ;33,593;;34,992; ;37,452;40,616;
Moldova ;;300; ;255;;440;;641;837;
Mongolia;;148; ;162; ;62;;112;141;
Moroccoe  ;;10,200; ;10,400;;11,000;;11,000;11,000;
Mozambique  ;;490;r;600;r;570;r;560;720;
Nepale;;290;;295; ;285;;290;295;
Netherlands ;;3,085;;2,450;;2,380;;2,496;2,790;
New Caledonia ;;100; ;100;;115;r;119;125;
New Zealande;;1,000;r;1,080;r;1,110;3;1,100;1,100;
Nicaragua;;549; ;890;r;521;r;530;530;
Nigere;;54;;54;r;54;r;54;54;
Nigeriae;;2,100; ;2,300; ;2,300;;2,400;3,000;
Norway;;1,631;;1,650;;1,420;;1,613;1,695;
Omane;;1,700; ;2,100; ;2,500;;2,621;2,600;
Pakistane ;;11,000; ;13,000;;15,000;r;17,000;20,000;
Panama;;748;r;889;r;1,042;r;1,050;1,050;
Paraguaye;;450;r;520;r;470;r;550;600;
Peru ;;3,980; ;4,000; ;4,590; ;4,600;5,000;
Philippines;;13,400;r;13,060;;13,346;r;15,494;12,033;
Poland;;10,948; ;11,653; ;12,566;;12,646;14,688;
Portugal;;9,759;;8,567;;8,843;;8,438;8,340;
