TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2005;;2006;;2007;;2008;2009e;
Afghanistane;;60; ;50; ;50;;50;50;
Albania;;489;;525;;889;;737;740;
Algeria;;12,800;;14,702;;15,886;;17,398;18,000;
Angola;;1,315;;1,373;;1,400;e;1,780;1,800;
Argentina;;7,595;;8,929;;9,602;;9,703;10,000;
Armenia  ;;605;;625;;722;;770;750;
Australiae;;8,475;r, 3;9,000;;9,500;r;9,000;8,500;
Austria;;4,560;;4,852;;5,202;;5,309;4,600;
Azerbaijan ;;1,538;;1,622;;1,691;r;1,595;1,283;
Bahrain;;400;;400;;400;;438;800;
Bangladeshe;;5,100;;5,100;;5,100;;5,000;5,000;
Barbados;;341;;338;;294;;300;300;
Belarus ;;3,131;;3,495;;3,820;e;4,219;4,350;
Belgium;;7,594;;8,192;;8,200;e;8,200;8,200;
Benine;;250;;1,489;3;1,550;3;1,500;1,500;
Bhutane;;170;;180;;180;;180;180;
Bolivia;;1,440;;1,636;;1,739;;1,985;2,292;
Bosnia and Herzegovina ;;1,026;;1,226;;1,283;;1,406;1,074;
Brazil;;38,705;r;41,895;r;46,551;r;51,970;51,748;
Bruneie;;266;3;240;;200;;240;220;
Bulgaria;;3,618;;4,093;;4,413;;4,903;2,662;
Burkina Fasoe;;30;;30;;30;;30;30;
Burma4;;543;;570;;608;;676;670;
Cambodia;;--;;--;;87;;772;774;
Cameroone;;1,000;;1,000;;1,000;;1,000;1,000;
Canada;;14,179;;14,336;;15,078;;13,672;10,985;
Chile;;3,999;;4,112;;4,440;;4,622;3,876;
China;;1,068,850;;1,236,770;;1,361,170;;1,400,000;1,629,000;
Colombia;;9,959;;10,038;5;11,068;5;10,456;10,000;
Congo (Brazzaville)e;;100;3;100;;100;;100;100;
Congo (Kinshasa) ;;521;r;519;r;530;r;411;444;
Costa Rica;;2,000;r, e;1,900;r;2,300;r;2,500;2,500;
Côte d’Ivoiree;;650;;650; ;650;;650;650;
Croatia ;;3,481;;3,598;;3,587;r;3,637;2,800;
Cuba;;1,567;;1,705;;1,805;;1,707;1,700;
Cyprus  ;;1,805;;1,786;;1,873;;1,870;1,800;
Czech Republic;;3,978;;4,239;;4,899;;4,710;3,637;
Denmark  ;;2,120;;2,115;;2,100;e;2,100;2,000;
Dominican Republic;;2,779;;3,777;;4,100;e;4,000;3,000;
Ecuador;;3,690;;4,110;;4,420;;5,493;5,000;
Egypt  ;;32,458;;36,200;;38,400;;40,000;46,500;
El Salvador;;1,131;;1,311;;1,300;e;1,300;1,300;
Eritreae;;45;;45;;45;;45;45;
Estonia;;726;;849;;937;;808;326;
Ethiopia;;1,569;;1,731;r;1,626;r;1,834;2,300;
Fijie;;143;3;143;;145;;143;110;
Finland;;1,357;;1,685;;1,743;;1,745;1,750;
France;;21,277;;22,540;;22,300;e;21,700;18,300;
French Guianae;;60;;60;;60;;62;62;
Gabone;;260;;260; ;229;3;230;230;
Georgiae;;450;;450;;450;;450;450;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2005;;2006;;2007;;2008;2009e;
Germany;;31,009;;33,630;;33,382;;33,581;30,441;
Ghanae  ;;1,800;r;1,800;r;1,800;r;1,800;1,800;
Greece;;15,166;;15,674;;16,667;;16,500;16,000;
Guadeloupee;;240;;230;;230;;230;230;
Guatemalae;;2,400;;2,500;;2,500;;2,500;1,500;
Guineae;;--;r;--;r;--;r;--;--;
Haitie;;300;;300;;300;;300;300;
Hondurase;;1,384;3;1,800;;1,800;;1,800;1,800;
Hong Konge;;1,005;3;1,010;;1,000;;1,000;1,000;
Hungary;;3,371;;3,724;;3,552;;3,544;3,200;
Iceland;;132;;141;;90;e;100;100;
Indiae;;145,000; ;160,000; ;170,000;;185,000;205,000;
Indonesiae;;33,917;3;35,000;;36,000;;36,000;40,000;
Irane;;32,650;3;35,300;;41,000;r;44,400;50,000;
Iraqe;;3,000;;3,500;;4,500;;6,453;8,000;
Ireland;;5,083;;4,981;;5,000;;5,000;5,000;
Israel ;;5,093;;5,089;;5,000;e;4,818;4,759;
Italy;;40,284;;47,814;;47,542;;43,030;36,317;
Jamaica;;845;;761;;592;;725;700;
Japan;;69,629;;69,942;;67,685;;62,810;54,800;
Jordan;;4,046;;3,967;;4,051;;4,375;5,000;
Kazakhstan ;;3,975;;4,880;;5,699;;5,223;5,000;
Kenya;;2,123;;2,174;;2,546;;2,829;3,320;
Korea, Northe;;5,700;;6,160;;6,130;;6,415;6,400;
Korea, Republic of;;51,391;;53,971;;52,182;r;51,653;50,127;
Kosovo6;;450;;450;e;470;;590;600;
Kuwaite;;2,145;3;2,200;;2,200;;2,200;2,000;
Kyrgyzstan;;973;r;1,060;r;1,230;r;1,218;1,100;
Laose;;250;;400;;400;;400;400;
Latviae;;280;;280;;300;;310;300;
Lebanon ;;4,600;;4,400;;4,900;e;5,000;5,000;
Liberia;;144;;155;;157;;94;95;
Libya;;3,621;;5,300;e;5,206;;5,509;6,000;
Lithuania;;832;;1,065;;1,105;;1,100;1,100;
Luxembourge;;760;3;800;;780;;780;780;
Macedonia ;;887;r;924;r;945;r;916;909;
Madagascare  ;;150;;150;;270;3;270;240;
Malawi;;166;;188;;185;;240;240;
Malaysia;;17,860;;18,400;e;19,480;;19,000;18,500;
Martiniquee;;220;;220;;220;;220;220;
Mauritania;;300;e;374;;410;;446;500;
Mexico;;37,452;;40,362;;40,670;;47,609;35,160;
Moldova ;;641;;837;;800;e;750;700;
Mongolia;;112;;141;;180;r;269;140;
Moroccoe  ;;11,000;;11,000;;11,000;;11,000;12,000;
Mozambiquee;;490;;600;;800;;730;830;
Nepale, 4;;290;;295;;300;;295;300;
Netherlands ;;2,496;;2,790;;2,700;e;2,700;2,700;
New Caledonia ;;119;;133;;134;e;134;130;
New Zealande;;1,100;;1,120;3;1,100;;1,100;1,100;
Nicaraguae;;530;3;530;;530;;530;530;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2005;;2006;;2007;;2008;2009e;
Nigere ;;59;r;83;r;62;r;42;40;
Nigeriae;;2,700;;3,300;;4,700;;5,000;4,500;
Norway;;1,613;;1,695;;1,700;e;1,700;1,650;
Oman;;2,686;;3,611;;3,880;;3,991;4,000;
Pakistane ;;17,000;;20,652;3;27,000;r;31,000;32,000;
Panamae;;1,050;3;1,050;;1,050;;1,050;1,050;
Paraguaye;;550;;600;;600;;600;600;
Peru;;5,107;;5,782;;6,231;;6,922;6,862;
Philippines ;;15,494;;12,033;;13,048;;13,369;14,865;
Poland;;12,646;;14,688;;17,120;;17,207;15,537;
Portugal;;8,438;;8,340;;12,631;;12,650;12,700;
Qatar;;1,500;;1,568;;2,500;e;3,500;4,150;
Réunione;;380;;400;;400;;400;375;
Romania;;7,032;;8,253;;10,000;r, e;11,000;7,800;
Russia ;;48,500;;54,700;;59,900;;53,600;44,300;
Rwanda  ;;101;;103;;103;;103;100;
Saudi Arabia;;26,064;;27,056;;30,369;;31,823;40,000;
Senegal;;2,623;;2,884;;3,152;;3,084;3,000;
Serbia7;;2,276;8;2,565;;2,677;;2,843;2,232;
Sierra Leone;;172;;234;;236;;254;250;
Slovakia  ;;3,499;;3,593;;3,718;;4,157;3,011;
Slovenia;;1,114;;1,269;;1,300;e;1,300;1,000;
South Africa, sales9;;11,464;;12,658;;13,651;;13,341;11,500;
Spain, including Canary Islands;;50,347;;54,033;;54,720;;42,088;29,505;
Sri Lankae;;1,500;;1,600;;1,700;;1,800;1,900;
Sudan ;;331;;202;;326;;370;1,000;
Surinamee;;65;;65;;65;;65;65;
Sweden;;2,709;;2,952;;2,950;;2,900;2,950;
Switzerland  ;;4,022;;4,040;;4,000;e;4,000;4,000;
Syria;;4,700;e;4,804;;5,104;;5,336;5,605;
Taiwan;;19,891;;19,294;;18,957;;17,330;15,918;
Tajikistan;;253;;282;;313;;190;190;
Tanzania ;;1,366;;1,370;r;1,630;r;1,756;1,700;
Thailand ;;37,872;;39,408;;35,668;;31,651;31,181;
Togoe  ;;800;;800; ;800;;800;800;
Trinidad and Tobago;;686;;883;;1,992;r;958;950;
Tunisia;;6,691;;6,932;;7,052;;7,559;8,000;
Turkey;;42,787;;47,499;;49,553;;54,027;53,973;
Turkmenistane;;650;;800;;900;;900;900;
Ugandae;;630;;630;;650;;650;650;
