TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY 1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2006;;2007;;2008;;2009;;2010e;;
Afghanistan;;50; ;50;e;37;r;32;r;36;3;;
Albania;;525;;889;;918;r;1,108;r;1,300;;
Algeria;;14,702;;15,886;;17,398;;19,100;r;20,000;;
Angolae;;1,373;3;1,400;;1,780;;1,800;;1,500;;
Argentina;;8,929;;9,602;;9,703;;10,000;e;10,000;;
Armenia  ;;625;;722;;770;;467;r;488;3;;
Australiae;;9,000;;9,200;r;9,400;r;9,200;r;9,000;;
Austria;;4,852;;5,202;;5,309;;4,646;r;4,254;3;;
Azerbaijan ;;1,622;;1,693;r;1,595;;1,286;r;1,279;3;;
Bahrain;;400;;400;;438;;700;r, e;1,200;;
Bangladeshe;;5,100;;5,100;;5,000;;5,000;;5,000;;
Barbados;;338;;294;;316;r;301;r;300;;
Belarus ;;3,495;;3,820;r;4,219;;4,350;;4,531;3;;
Belgium;;8,192;;9,571;r;6,225;r;9,403;r;8,722;3;;
Benine;;1,489;3;1,550;;1,500;;1,500;;1,500;;
Bhutane;;180;;180;;180;;180;;180;;
Bolivia;;1,636;;1,739;;1,985;;2,292;;2,414;3;;
Bosnia and Herzegovina ;;1,226;;1,283;;1,406;;1,074;;949;3;;
Brazil;;41,895;;46,551;;51,970;;51,748;;59,118;3;;
Bruneie;;240;;200;;240;;220;;220;;
Bulgaria;;4,093;;4,413;;4,903;;2,662;;3,000;;
Burkina Fasoe;;30;;30;;30;;30;;30;;
Burma4;;570;;608;;676;;670;;534;3;;
Cambodia;;--;;87;;772;;774;;775;;
Cameroone;;1,000;;1,150;3;1,000;;1,000;;1,000;;
Canada;;14,336;;15,078;;13,672;;10,985;;12,431;3;;
Chile;;4,112;;4,440;;4,622;;3,876;;3,871;3;;
China;;1,236,770;;1,361,170;;1,400,000;;1,644,000;r;1,880,000;p, 3;;
Colombia5;;10,038;;11,068;;10,456;;9,232;r;9,488;3;;
Congo (Brazzaville)e;;100;;100;;105;r;110;r;100;;
Congo (Kinshasa) ;;519;;530;;411;;444;;530;;
Costa Rica;;1,400;r;2,300;;2,500;;1,498;r;1,276;3;;
Côte d’Ivoire;;360;r;469;r;360;r;283;r;280;;
Croatia ;;3,598;;3,587;;3,637;;2,838;r;2,664;3;;
Cuba;;1,705;;1,805;;1,707;;1,626;r;1,600;;
Cyprus  ;;1,786;;1,873;;1,870;e;1,481;r;1,329;3;;
Czech Republic;;4,239;;4,899;;4,710;;3,637;;3,345;3;;
Denmark  ;;2,937;r;2,871;r;2,539;r;1,578;r;2,000;;
Dominican Republice;;3,777;3;4,100;;4,000;;3,000;;3,000;;
Ecuador;;4,110;;4,420;;5,493;;5,000;e;5,000;;
Egypt  ;;36,100;r;38,469;r;39,844;r;46,500;;48,000;;
El Salvador;;1,311;;1,300;e;1,300;e;1,212;r;1,200;;
Eritreae;;45;;45;;45;;45;;45;;
Estonia;;849;;937;;808;;326;;375;;
Ethiopia;;1,731;;1,626;;1,834;;2,300;e;2,700;;
Fijie;;143;;145;;143;;110;;110;;
Finland;;1,685;;1,743;;1,745;;1,052;r;1,050;;
France;;22,540;;22,300;e;21,700;;18,300;;18,300;;
French Guianae;;62;r;62;r;62;;62;;62;;
Gabone;;260; ;229;3;230;;230;;230;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY 1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2006;;2007;;2008;;2009;;2010e;;
Georgiae;;450;;450;;450;;870;r, 3;857;3;;
Germany;;33,630;;33,382;;33,581;;30,441;;29,894;3;;
Ghanae  ;;1,800;;1,800;;1,800;;1,800;;1,800;;
