TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2007;;2008;;2009;;2010;;2011e;;
Afghanistan;;30;r, e;37;;32;;36;;38;;
Albania;;889;;918;;1,108;;1,300;e;1,300;;
Algeria;;15,886;;17,398;;18,730;r;19,100;r;20,000;;
Angolae;;1,400;;1,780;;1,800;;1,500;;1,500;;
Argentina;;9,602;;9,703;;9,385;r;10,423;r;11,592;3;
Armenia  ;;722;;770;;467;;488;;500;;
Australiae;;9,200;;9,400;;9,200;;9,000;;9,100;;
Austria;;5,202;;5,309;;4,646;;4,254;;4,427;3;
Azerbaijan ;;1,693;;1,595;;1,286;;1,279;;1,450;;
Bahraine;;400;3;438;3;700;;700;r;800;;
Bangladeshe;;5,100;;5,000;;5,000;;5,000;;5,000;;
Barbados;;294;;316;;301;;300;e;300;;
Belarus ;;3,820;;4,219;;4,350;;4,531;;4,700;;
Belgium;;9,571;;6,225;;9,403;;8,722;;8,700;;
Benine;;1,550;;1,500;;1,500;;1,430;r;800;;
Bhutane;;180;;180;;180;;200;r;200;;
Bolivia;;1,739;;1,985;;2,292;;2,414;;2,658;3;
Bosnia and Herzegovina ;;1,283;;1,406;;1,074;;949;;893;3;
Brazil;;46,551;;51,970;;51,748;;59,118;;64,093;3;
Bruneie;;200;;240;;220;;220;;230;;
Bulgaria;;4,413;;4,903;;2,662;;1,966;r;1,900;;
Burkina Fasoe;;30;;30;;30;;30;;30;;
Burma4;;608;;676;;670;;534;;535;;
Cambodia;;87;;772;;934;r;789;r;790;;
Cameroone;;1,150;3;1,000;;1,000;;1,000;;1,000;;
Canada;;15,078;;13,672;;10,985;;12,431;;12,001;p, 3;
Chile;;4,440;;4,622;;3,876;;3,871;;4,406;3;
China;;1,361,170;;1,400,000;;1,644,000;;1,820,000;r;2,099,000;p, 3;
Colombia5;;11,068;;10,456;;9,232;;9,488;;10,777;3;
Congo (Brazzaville)e;;100;;105;;110;;80;r;100;;
Congo (Kinshasa) ;;530;;411;;460;r;490;r;382;3;
Costa Rica;;2,300;;2,500;;1,498;;1,276;;1,600;;
Côte d’Ivoire;;469;;360;;283;;280;e;300;;
Croatia ;;3,587;;3,637;;2,838;;2,664;;2,700;;
Cuba;;1,805;;1,707;;1,626;;1,600;e;1,600;;
Cyprus  ;;1,873;;1,900;r, e;1,481;;1,329;;1,400;;
Czech Republic;;4,899;;4,710;;3,637;;3,345;;3,830;;
Denmark  ;;2,871;;2,539;;1,578;;2,000;e;1,800;;
Dominican Republice;;4,100;;4,000;;3,000;;3,000;;3,000;;
Ecuador;;4,420;;5,493;;4,990;r;5,500;r, e;6,000;;
Egypt  ;;40,400;r;39,844;;46,900;r;47,800;r;44,000;;
El Salvadore;;1,300;;1,300;;1,212;3;1,200;;1,200;;
Eritreae;;45;;45;;45;;45;;45;;
Estonia;;937;;808;;326;;375;e;375;;
Ethiopiae;;1,626;3;1,834;3;2,100;r;2,900;r;4,000;;
Fijie;;145;;143;;110;;120;r;120;;
Finland;;1,743;;1,745;;1,052;;1,050;e;1,050;;
France;;22,300;e;21,443;r;18,300;;17,998;r;19,433;3;
French Guianae;;62;;62;;62;;62;;62;;
Gabone;;229;3;230;;250;r;200;r;200;;
Georgiae;;450;;450;;870;3;857;3;865;;
Germany;;33,382;;33,581;;30,441;;29,915;r;33,540;3;
Ghanae  ;;1,800;;1,800;;1,800;;2,400;r;3,000;;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2007;;2008;;2009;;2010;;2011e;;
Greecee;;16,667;3;16,500;;16,000;;15,000;;14,000;;
Guadeloupee;;230;;230;;230;;230;;230;;
Guatemalae;;2,500;;2,500;;2,750;r;2,000;r;1,500;;
Haitie;;290;;290;;290;;290;;290;;
Hondurase;;1,776;3;1,784;3;1,700;r;1,800;;1,710;3;
Hong Konge;;1,000;;1,000;;1,000;;1,000;;1,000;;
Hungarye;;3,552;3;3,544;3;3,200;;3,200;;3,200;;
Icelande;;140;;138;;138;;138;;140;;
Indiae;;170,000;;185,000;;205,000;;220,000;r;240,000;;
Indonesiae;;36,000;;36,000;;22,195;3;28,000;r;30,000;;
Irane;;41,000;;44,400;3;50,000;;55,000;r;61,000;;
Iraqe;;4,500;;6,453;3;6,500;r;6,500;r;8,000;;
Irelande;;4,700;;3,900;;2,600;;2,600;;2,600;;
Israel ;;5,000;e;4,818;;4,759;;5,139;;5,200;;
Italy;;47,542;;43,030;;36,317;;34,408;r;33,120;3;
Jamaica;;592;;725;;736;;723;;700;;
Japan;;67,685;;62,810;;54,800;;51,526;;51,291;3;
Jordan;;4,255;r;4,375;r;3,876;r;3,929;r;4,000;;
Kazakhstan ;;5,699;;5,837;;5,694;;6,686;;7,642;3;
Kenya;;2,546;;2,829;;3,320;;3,710;r;3,969;3;
Korea, Northe;;6,130;;6,415;3;6,400;;6,400;;6,400;;
Korea, Republic of;;52,182;;51,653;;50,127;;47,420;r;48,300;3;
Kosovoe, 6;;470;3;590;3;600;;600;;600;;
Kuwaite;;2,200;;2,600;;2,000;;2,000;;2,250;;
Kyrgyzstan;;1,230;;1,218;;579;;600;e;650;;
Laose;;400;;400;;400;;400;;400;;
Latviae;;300;;310;;650;;1,100;;1,100;;
Lebanon ;;3,945;;4,250;;4,900;;5,227;;5,500;;
Liberia;;157;;94;;71;;72;r;61;3;
Libya;;5,206;;5,509;;6,500;;6,000;e;3,000;;
Lithuania;;1,105;;1,076;;583;;834;;834;;
Luxembourg;;1,081;;1,091;;1,000;;1,078;;1,100;;
Macedonia ;;945;;916;;909;;820;r;981;3;
Madagascare  ;;270;3;360;r;390;r;420;r;420;;
Malawi;;185;;230;r, e;232;r;188;r;203;3;
Malaysia;;19,480;;19,629;;19,457;;19,762;r;19,500;;
Martiniquee;;220;;220;;220;;220;;220;;
Mauritania;;410;;322;;340;;350;e;400;;
Mexico;;38,757;;37,139;;35,160;;34,503;r;35,400;3;
Moldovae;;800;;750;;700;;900;r;900;;
Mongolia;;180;;269;;235;;322;;300;;
Morocco;;12,792;;14,047;;14,519;;14,000;e;12,000;;
Mozambique7;;665;;744;;777;;884;;976;3;
Namibia;;--;;--;;--;;5;e;250;;
Nepale, 4;;300;;295;;295;;295;;295;;
Netherlandse;;2,700;;2,700;;2,700;;2,700;;2,700;;
New Caledonia ;;122;;137;;138;;160;;150;;
New Zealande;;1,100;;1,100;;1,100;;1,200;;1,100;;
Nicaraguae;;530;;530;;650;r, 3;600;r;600;;
Nigere ;;42;;40;;40;;40;;40;;
Nigeria;;4,700;;5,000;;5,000;;6,000;r;11,600;;
Norwaye;;1,700;;1,700;;1,650;;1,650;;1,600;;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2007;;2008;;2009;;2010;;2011e;;
Oman;;3,880;;3,991;;4,000;e;4,500;r;4,500;;
Pakistane;;25,745;3;30,800;r;32,800;r;32,800;r;32,000;3;
Panamae;;1,050;;1,843;3;1,679;3;900;r;897;3;
Paraguaye;;600;;600;;600;;600;;600;;
Peru;;6,231;;6,922;;6,862;;8,396;r;8,100;p;
Philippines;;13,048;;13,369;;14,865;;15,900;e;16,000;;
Poland;;17,120;;17,207;;15,422;r;15,812;r;18,596;3;
Portugal;;12,631;;6,650;r;6,900;r;7,200;r;7,500;p;
Qatare;;2,400;;3,800;;4,095;3;3,780;3;4,000;;
Réunione;;400;;400;;375;;375;;350;;
Romania;;10,060;;10,660;;7,902;;7,008;;7,000;;
Russia ;;59,939;;53,548;;44,266;;50,400;e;55,600;3;
Rwanda  ;;103;;103;;92;;95;r;94;;
Saudi Arabia;;30,369;;31,823;;36,500;;42,300;;48,358;3;
Senegal;;3,152;;3,084;;3,320;r;4,066;r;4,000;;
Serbia8;;2,677;;2,843;;2,232;;2,130;r;2,095;3;
Sierra Leone;;247;r;254;;236;;301;r;311;3;
Slovakia  ;;3,718;;4,157;;3,011;;2,888;;2,900;;
Sloveniae;;1,300;;1,300;;1,000;;1,000;;1,000;;
South Africa, sales;;13,651;;13,473;;11,784;;10,870;r;11,234;3;
Spain, including Canary Islands;;54,720;;42,083;r;29,505;;26,162;r;22,178;3;
Sri Lankae;;1,700;;1,800;;1,900;;2,000;;2,200;;
Sudan ;;326;;246;;622;;2,113;r;5,200;;
Surinamee;;65;;65;;65;;65;;62;;
Swedene;;2,950;3;2,900;;2,950;;2,900;;2,900;;
Switzerlande;;4,000;;4,000;;4,000;;4,000;;3,800;;
Syria;;5,104;;5,336;;5,605;;6,000;;6,000;;
Taiwan;;18,957;;17,330;;15,918;;16,301;;16,852;3;
Tajikistan;;313;;190;;195;;288;;300;;
Tanzania ;;1,630;;1,756;;1,941;;2,312;r;2,400;;
