TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2008;;2009;;2010;;2011;2012e;
Afghanistan;;37;;32;;36;;38;37;
Albania;;918;;1,108;;1,300;;1,800;2,000;
Algeria;;17,397;r;18,732;r;19,100;;19,000;19,000;
Angolae;;1,780;;1,800;;1,500;;1,500;1,600;
Argentina;;9,703;;9,385;;10,423;;11,592;10,716;
Armenia;;770;;467;;488;;422;438;
Australiae;;9,400;;9,200;;8,300;r;8,600;8,600;
Austria;;5,309;;4,646;;4,254;;4,427;4,455;
Azerbaijan ;;1,595;;1,286;;1,279;;1,425;1,966;
Bahraine;;438;3;700;;900;r;1,200;1,300;
Bangladesh4;;10,000;r, e;12,000;r, e;13,770;r;14,690;15,000;
Barbados;;301;r;256;r;229;r;223;176;
Belarus ;;4,219;;4,350;;4,531;;4,604;4,906;
Belgium;;6,710;r;5,990;r;6,095;r;6,954;7,000;
Benin;;1,347;r;1,315;r;1,305;r;1,460;1,390;
Bhutane;;180;;180;;200;;544;521;
Bolivia;;1,985;;2,292;;2,414;;2,658;2,714;
Bosnia and Herzegovina ;;1,406;;1,074;;949;;893;846;
Brazil;;51,884;r;51,748;;59,118;;64,093;68,787;
Bruneie;;240;;220;;270;r;290;300;
Bulgaria;;4,651;r;2,645;r;1,961;r;1,866;2,000;
Burkina Faso;;468;r;563;r;587;r;590;600;
Burma5;;676;;670;;534;;538;600;
Burundi;;--;;--;;--;;35;71;
Cambodia;;772;;934;;789;;907;980;
Cameroone;;1,000;;1,000;;890;r;730;900;
Canada;;13,672;;10,985;;12,431;;12,001;12,465;
Chile;;4,622;;3,876;;3,871;;4,406;4,722;
China;;1,400,000;;1,644,000;;1,822,000;r;2,099,000;2,210,000;
Colombia6;;10,456;;9,232;;9,488;;10,777;10,925;
Congo (Brazzaville)e;;105;;110;;80;;70;150;
Congo (Kinshasa) ;;411;;460;;490;;458;377;
Costa Ricae;;2,100;r;2,100;r;1,276;3;1,600;1,500;
Côte d’Ivoire;;360;;283;;189;r;99;78;
Croatia ;;3,403;r;2,655;r;2,488;r;2,467;2,500;
Cuba;;1,707;;1,626;;1,631;r;1,736;1,833;
Cyprus;;1,914;r;1,484;r;1,329;r;1,207;1,300;
Czech Republic;;4,710;;3,637;;3,345;;3,831;3,350;
Denmark;;2,494;r;1,575;r;1,553;r;1,811;1,798;
Dominican Republic;;4,207;r;3,852;r;4,106;r;3,997;4,130;
Ecuador;;5,493;;4,990;;5,287;r;5,706;5,700;
